iucn_sid,year,cat_ts,cat_ts_score,iucn_version
132789,2008,LC,0,2017-3
132790,2008,LC,0,2017-3
132795,2008,LC,0,2017-3
132799,2008,LC,0,2017-3
132802,2008,LC,0,2017-3
132803,2008,LC,0,2017-3
132804,2008,LC,0,2017-3
132805,2008,LC,0,2017-3
132806,2008,LC,0,2017-3
132807,2008,LC,0,2017-3
132808,2008,LC,0,2017-3
132810,2008,LC,0,2017-3
132811,2008,LC,0,2017-3
132815,2008,LC,0,2017-3
132817,2008,LC,0,2017-3
132818,2008,LC,0,2017-3
132819,2008,LC,0,2017-3
132822,2008,LC,0,2017-3
132822,2017,LC,0,2017-3
132823,2008,LC,0,2017-3
132825,2008,LC,0,2017-3
132826,2008,NT,0.2,2017-3
132827,2008,LC,0,2017-3
132829,2008,LC,0,2017-3
132830,2008,LC,0,2017-3
132859,2008,LC,0,2017-3
132860,2008,VU,0.4,2017-3
132860,2014,VU,0.4,2017-3
132866,2008,VU,0.4,2017-3
132869,2008,NT,0.2,2017-3
132869,2014,NT,0.2,2017-3
132871,2008,NT,0.2,2017-3
132872,2008,NT,0.2,2017-3
132874,2008,LC,0,2017-3
132876,2008,LC,0,2017-3
132877,2008,LC,0,2017-3
132878,2008,NT,0.2,2017-3
132878,2014,NT,0.2,2017-3
132879,2008,NT,0.2,2017-3
132880,2008,VU,0.4,2017-3
132880,2014,VU,0.4,2017-3
132881,2008,LC,0,2017-3
132881,2014,LC,0,2017-3
132883,2008,LC,0,2017-3
132883,2014,LC,0,2017-3
132884,2008,LC,0,2017-3
132885,2008,LC,0,2017-3
132885,2014,LC,0,2017-3
132887,2008,LC,0,2017-3
132887,2014,LC,0,2017-3
132888,2008,NT,0.2,2017-3
132888,2014,NT,0.2,2017-3
132889,2008,LC,0,2017-3
132890,2008,VU,0.4,2017-3
132893,2008,NT,0.2,2017-3
132894,2008,NT,0.2,2017-3
132895,2008,LC,0,2017-3
132895,2014,LC,0,2017-3
132899,2008,VU,0.4,2017-3
132900,2008,LC,0,2017-3
132901,2008,NT,0.2,2017-3
132903,2008,LC,0,2017-3
132903,2014,LC,0,2017-3
132904,2008,NT,0.2,2017-3
132904,2014,NT,0.2,2017-3
132905,2008,NT,0.2,2017-3
132907,2008,NT,0.2,2017-3
132909,2008,VU,0.4,2017-3
132910,2008,NT,0.2,2017-3
132911,2008,LC,0,2017-3
132911,2014,LC,0,2017-3
132913,2008,EN,0.6,2017-3
132916,2008,LC,0,2017-3
132916,2014,LC,0,2017-3
132917,2008,LC,0,2017-3
132917,2014,LC,0,2017-3
132922,2008,LC,0,2017-3
132922,2014,LC,0,2017-3
132923,2008,LC,0,2017-3
132923,2014,LC,0,2017-3
132924,2008,NT,0.2,2017-3
132925,2008,LC,0,2017-3
132925,2014,LC,0,2017-3
132927,2008,NT,0.2,2017-3
132928,2008,VU,0.4,2017-3
132929,2008,NT,0.2,2017-3
132931,2008,VU,0.4,2017-3
132933,2008,NT,0.2,2017-3
132935,2008,VU,0.4,2017-3
132936,2008,LC,0,2017-3
132936,2014,LC,0,2017-3
132937,2008,LC,0,2017-3
132940,2008,VU,0.4,2017-3
132940,2014,VU,0.4,2017-3
132942,2008,VU,0.4,2017-3
132944,2008,NT,0.2,2017-3
132947,2008,LC,0,2017-3
132948,2008,NT,0.2,2017-3
132948,2014,NT,0.2,2017-3
132953,2008,LC,0,2017-3
132956,2008,VU,0.4,2017-3
