iucn_sid,year,rgn_cat_ts,rgn_cat_ts_score,iucn_rgn,iucn_version
59818,2006,LC,0,pan-africa,2017-3
59818,2016,LC,0,pan-africa,2017-3
59821,2006,LC,0,pan-africa,2017-3
59821,2010,LC,0,pan-africa,2017-3
59821,2016,LC,0,pan-africa,2017-3
59824,2006,LC,0,pan-africa,2017-3
59824,2016,LC,0,pan-africa,2017-3
59825,2006,LC,0,pan-africa,2017-3
59825,2010,LC,0,pan-africa,2017-3
59825,2016,LC,0,pan-africa,2017-3
59827,2010,LC,0,pan-africa,2017-3
59827,2016,LC,0,pan-africa,2017-3
59833,2006,LC,0,pan-africa,2017-3
59833,2010,LC,0,pan-africa,2017-3
59834,2010,LC,0,pan-africa,2017-3
59834,2016,LC,0,pan-africa,2017-3
59835,2006,LC,0,pan-africa,2017-3
59835,2010,LC,0,pan-africa,2017-3
59835,2016,LC,0,pan-africa,2017-3
59841,2006,LC,0,pan-africa,2017-3
59841,2016,LC,0,pan-africa,2017-3
59842,2010,LC,0,pan-africa,2017-3
59842,2016,LC,0,pan-africa,2017-3
59850,2006,EN,0.6,central_africa,2017-3
59850,2010,VU,0.4,central_africa,2017-3
59851,2010,LC,0,pan-africa,2017-3
59851,2016,LC,0,pan-africa,2017-3
59855,2006,VU,0.4,pan-africa,2017-3
59855,2010,VU,0.4,pan-africa,2017-3
59858,2006,LC,0,pan-africa,2017-3
59858,2010,LC,0,pan-africa,2017-3
59858,2016,LC,0,pan-africa,2017-3
59866,2010,LC,0,pan-africa,2017-3
59866,2016,LC,0,pan-africa,2017-3
59871,2006,LC,0,pan-africa,2017-3
59871,2010,LC,0,pan-africa,2017-3
59874,2006,LC,0,pan-africa,2017-3
59874,2009,LC,0,pan-africa,2017-3
59876,2006,LC,0,pan-africa,2017-3
59876,2016,LC,0,pan-africa,2017-3
