iucn_sid,habs,deep_ok
10065,"9.7, 9.9",FALSE
10066,"12.7, 9.1, 9.2, 9.9",FALSE
10069,"9.8.4, 9.8.5, 9.8.6, 9.1, 9.2, 9.3, 9.4, 9.5, 9.6, 9.7",FALSE
10070,"9.8.1, 9.8.2, 9.8.5, 9.8.6, 9.7, 9.9",FALSE
10072,"12.7, 9.1, 9.2, 9.4, 9.7",FALSE
10074,"9.2, 9.4, 9.5, 9.6, 9.7, 9.9",FALSE
10075,"12.7, 9.1, 9.1, 9.6, 9.9",FALSE
10077,"9.2, 9.4",FALSE
10082,"12.7, 9.1, 9.1, 9.2, 9.6, 9.7, 9.9",FALSE
10083,"9.6, 9.7, 9.9",FALSE
10087,"9.8.1, 9.8.5, 9.4, 9.5, 9.6, 9.7",FALSE
10088,"15.11, 9.1, 9.7, 9.9",FALSE
10089,"9.7, 9.9",FALSE
10103,9.1,FALSE
10268,9.1,FALSE
10269,"9.1, 9.1",FALSE
10276,"12.1, 12.2, 12.5",FALSE
10303,9.7,FALSE
10310,9.1,FALSE
10329,12.5,FALSE
10340,"10.1, 10.2, 12.1, 12.2, 9.1",TRUE
10707,"10.1, 10.2, 10.3",TRUE
10708,"10.1, 10.2, 10.3",TRUE
10722,9.1,FALSE
10939,"10.1, 9.1, 9.9",TRUE
10960,12.2,FALSE
11030,9.1,FALSE
11047,"10.1, 10.2, 10.3",TRUE
11048,"10.1, 10.2, 10.3",TRUE
11060,9.1,FALSE
11130,9.8.3,FALSE
11140,"10.1, 9.1",TRUE
11141,"10.1, 9.1",TRUE
11142,"10.1, 9.1",TRUE
11143,9.1,FALSE
11144,"10.1, 9.1",TRUE
11145,"10.1, 9.1, 9.1",TRUE
11146,9.1,FALSE
11150,"9.1, 9.4, 9.5, 9.6",FALSE
11200,"10.1, 9.1",TRUE
11206,"9.1, 9.1",FALSE
11375,"10.2, 9.1, 9.2",TRUE
11534,"10.1, 12.2, 9.1",TRUE
11696,"10.1, 10.2, 12.1, 9.1",TRUE
11987,"12.2, 12.3, 12.4, 9.1, 9.4, 9.5",FALSE
12006,12.2,FALSE
12125,"10.1, 9.1",TRUE
12126,"10.1, 9.1",TRUE
12137,"9.1, 9.3, 9.4",FALSE
12143,9.1,FALSE
12246,"10.1, 10.2, 12.1, 9.1",TRUE
12302,"12.5, 9.1",FALSE
12303,"10.1, 12.1, 12.2, 9.1, 9.2",TRUE
12304,"12.5, 9.1",FALSE
12305,"12.1, 12.2, 12.5, 9.1",FALSE
12416,"9.2, 9.9",FALSE
12417,"12.7, 9.2",FALSE
12419,"12.5, 9.1",FALSE
12420,"12.7, 9.1",FALSE
12421,"12.5, 9.1",FALSE
12427,"12.5, 9.1",FALSE
13006,"10.1, 9.1",TRUE
13145,"12.6, 9.1, 9.1",FALSE
13232,9.1,FALSE
13241,"10.1, 10.2, 10.3",TRUE
13242,"10.1, 10.2, 10.3",TRUE
13243,"10.1, 10.2, 10.3",TRUE
13244,"10.1, 10.2, 10.3",TRUE
13245,"10.1, 10.2, 10.3",TRUE
13246,"10.1, 10.2, 10.3",TRUE
13247,"10.1, 10.2, 10.3",TRUE
13248,"10.1, 10.2, 10.3",TRUE
13249,"10.1, 10.2, 10.3",TRUE
13250,"10.1, 10.2, 10.3",TRUE
13251,"10.1, 10.2, 10.3",TRUE
13427,12.5,FALSE
13581,"10.1, 10.2, 10.3, 12.1, 9.1",TRUE
13583,"10.1, 10.2, 10.3, 12.1, 12.2, 12.3, 9.1",TRUE
13653,"10.1, 12.1, 12.2, 9.1",TRUE
13654,"10.1, 10.2, 12.1, 12.2, 9.1",TRUE
13655,"10.1, 12.1, 12.2, 12.3, 9.1",TRUE
13704,"10.1, 10.2, 10.3, 9.1",TRUE
13891,12.7,FALSE
14048,"9.4, 9.9",FALSE
14049,"9.2, 9.7",FALSE
14050,"12.7, 9.1, 9.2, 9.3, 9.4, 9.5, 9.9",FALSE
14051,"12.7, 9.2, 9.9",FALSE
14052,9.2,FALSE
14053,"9.2, 9.3",FALSE
14054,"9.2, 9.4",FALSE
14128,9.1,FALSE
14214,9.1,FALSE
14264,9.1,FALSE
14521,9.1,FALSE
14524,9.1,FALSE
14549,"10.1, 10.2, 12.1, 9.1",TRUE
14629,12.7,FALSE
15106,"10.1, 10.2, 12.1, 12.2, 9.1, 9.4, 9.5, 9.6",TRUE
15108,"10.1, 10.2, 12.2, 9.4, 9.5, 9.6",TRUE
15184,9.2,FALSE
15239,9.1,FALSE
15269,"10.1, 10.2, 9.1",TRUE
15419,"9.1, 9.1",FALSE
15421,"10.1, 10.2, 9.1, 9.1",TRUE
15549,12.2,FALSE
15631,"9.1, 9.1",FALSE
15873,"9.2, 9.3, 9.4, 9.9",FALSE
15939,9.1,FALSE
15968,"12.2, 12.7",FALSE
16012,9.1,FALSE
16238,9.1,FALSE
16474,"10.1, 9.1, 9.4, 9.9",TRUE
16475,"10.1, 9.1, 9.3, 9.4, 9.5, 9.6, 9.9",TRUE
16476,"9.4, 9.5, 9.9",FALSE
16559,12.1,FALSE
16564,"10.1, 10.2, 10.3",TRUE
16781,"9.1, 9.1",FALSE
17013,"10.1, 10.2, 12.1, 12.2, 12.3, 12.4, 12.5, 9.1, 9.1",TRUE
17014,"10.1, 10.2, 12.1, 12.2, 12.3, 12.4, 9.1",TRUE
17020,"10.1, 12.1, 12.2, 12.3, 9.1",TRUE
17021,"10.1, 12.1, 12.2, 12.3, 9.1, 9.1",TRUE
17022,"10.1, 10.2, 12.1, 12.2, 12.3, 12.4, 9.1, 9.1",TRUE
17023,"10.1, 12.1, 9.1",TRUE
17026,"10.1, 10.2, 12.1, 12.2, 12.3, 9.1",TRUE
17027,"9.1, 9.1",FALSE
17028,"10.1, 9.1",TRUE
17029,9.1,FALSE
17030,"10.1, 10.2, 9.1, 9.1",TRUE
17031,"10.1, 9.1",TRUE
17032,"10.1, 9.1",TRUE
17096,"10.1, 9.1, 9.7, 9.9",TRUE
17177,"9.1, 9.7, 9.9",FALSE
17245,"10.1, 10.2, 10.3",TRUE
17977,10.1,TRUE
17978,"10.1, 9.1",TRUE
18145,"9.8.3, 9.8.4, 9.2, 9.3",FALSE
18175,"12.4, 12.7",FALSE
18374,"12.7, 9.2",FALSE
18376,"9.1, 9.4, 9.5, 9.6, 9.7, 9.9",FALSE
18383,"9.1, 9.1",FALSE
18428,9.1,FALSE
18458,"12.5, 9.1",FALSE
18460,9.1,FALSE
18596,"10.1, 10.2, 10.3, 9.1",TRUE
18711,9.1,FALSE
18878,9.1,FALSE
19330,"12.1, 12.2, 12.3",FALSE
19387,9.1,FALSE
19388,9.1,FALSE
19401,12.5,FALSE
19488,"10.1, 10.2, 10.3, 9.1",TRUE
19735,"12.4, 12.5, 12.7, 9.1",FALSE
19782,9.1,FALSE
19855,"10.1, 9.1",TRUE
19861,"9.1, 9.1",FALSE
19877,"9.1, 9.1",FALSE
19897,9.8.5,FALSE
19950,"9.8.2, 9.8.4, 12.7, 9.2, 9.7, 9.9",FALSE
20047,"10.1, 9.1",TRUE
20314,"10.1, 9.1, 9.1, 9.2, 9.4, 9.7",TRUE
20315,"10.1, 9.1, 9.7",TRUE
20316,"9.8.4, 9.2, 9.7, 9.9",FALSE
20318,"11.1.1, 11.1.2, 9.8.4, 9.1, 9.2, 9.4, 9.7",TRUE
20425,"9.1, 9.1",FALSE
20724,"9.2, 9.3",FALSE
20729,"10.1, 9.1",TRUE
20730,"10.1, 9.1",TRUE
20731,"10.1, 10.2, 9.1",TRUE
20732,"10.1, 9.1",TRUE
20733,"10.1, 9.1",TRUE
20738,"10.1, 9.1",TRUE
20745,9.1,FALSE
20795,9.7,FALSE
20860,9.1,FALSE
20862,9.1,FALSE
21257,"9.1, 9.6, 9.7, 9.9",FALSE
21326,"12.7, 9.1",FALSE
21341,"9.1, 9.2, 9.3, 9.4, 9.5, 9.6",FALSE
21342,"9.2, 9.4",FALSE
21343,"9.1, 9.2, 9.4, 9.5, 9.6",FALSE
21500,"10.1, 10.2, 10.3",TRUE
21628,9.1,FALSE
21689,"9.2, 9.7, 9.9",FALSE
21856,"10.1, 10.2, 9.1",TRUE
21857,"10.1, 10.2, 9.1",TRUE
21858,"10.1, 10.2, 10.3",TRUE
21859,"10.1, 10.2, 10.3, 9.1",TRUE
21860,"10.1, 10.2, 9.1",TRUE
21994,"9.1, 9.4",FALSE
22003,"9.1, 9.3, 9.4, 9.5, 9.6",FALSE
22102,9.1,FALSE
22103,"12.2, 12.4, 12.5, 12.7, 9.1, 9.1, 9.5, 9.6, 9.9",FALSE
22104,"10.1, 12.5, 12.7, 9.1, 9.2, 9.3, 9.4, 9.5, 9.6, 9.9",TRUE
22105,"10.1, 12.5, 9.1, 9.9",TRUE
22383,12.3,FALSE
22563,"10.1, 9.1, 9.1",TRUE
22781,12.3,FALSE
22823,"10.1, 12.1, 12.2, 12.3, 12.4",TRUE
22979,9.1,FALSE
23141,12.5,FALSE
23148,"10.1, 10.2, 10.3, 9.1",TRUE
23211,"10.1, 10.2, 10.3",TRUE
23259,"12.4, 9.1, 9.5, 9.7, 9.9",FALSE
31382,12.7,FALSE
32042,"12.1, 12.3",FALSE
33705,12.7,FALSE
34364,12.7,FALSE
37930,12.2,FALSE
38559,"12.2, 12.4",FALSE
39070,"12.1, 12.2",FALSE
39084,12.2,FALSE
39086,12.2,FALSE
39087,12.2,FALSE
39098,12.2,FALSE
39105,12.2,FALSE
39106,12.2,FALSE
39107,12.2,FALSE
39109,12.2,FALSE
39303,"9.8.1, 9.8.2, 9.8.3, 9.2",FALSE
39324,9.1,FALSE
39327,"11.1.1, 11.1.2, 9.4, 9.5, 9.6",TRUE
39328,"9.1, 9.2, 9.4, 9.5, 9.6, 9.7",FALSE
39329,"9.4, 9.5, 9.6",FALSE
39330,"9.4, 9.5, 9.6",FALSE
39331,"9.4, 9.5, 9.6",FALSE
39332,"9.1, 9.2, 9.4",FALSE
39333,"10.1, 9.2, 9.4, 9.7",TRUE
39334,"9.1, 9.2, 9.3, 9.4",FALSE
39335,"9.2, 9.9",FALSE
39336,9.1,FALSE
39337,"10.1, 10.2, 9.1",TRUE
39338,"10.1, 10.2, 10.3, 9.1",TRUE
39339,"10.1, 10.2, 9.1",TRUE
39340,"10.1, 9.1",TRUE
39341,"10.1, 10.2",TRUE
39342,"10.1, 9.1",TRUE
39343,"10.1, 9.1",TRUE
39344,"10.1, 9.1",TRUE
39345,"9.2, 9.4, 9.7",FALSE
39347,"10.1, 10.2, 9.1",TRUE
39349,"10.1, 9.1",TRUE
39350,9.1,FALSE
39351,"9.3, 9.4, 9.9",FALSE
39352,"10.1, 9.1",TRUE
39354,"9.1, 9.4",FALSE
39355,"11.1.1, 11.1.2, 9.3, 9.4",TRUE
39356,"10.1, 9.1",TRUE
39357,"9.3, 9.4, 9.5",FALSE
39358,"11.1.2, 9.2, 9.3, 9.4, 9.5",TRUE
39359,9.1,FALSE
39361,"10.1, 9.1",TRUE
39362,"9.2, 9.4",FALSE
39363,"9.2, 9.3, 9.4, 9.5, 9.6, 9.7",FALSE
39366,"9.1, 9.2, 9.3, 9.4, 9.5, 9.6",FALSE
39368,"12.2, 9.1",FALSE
39369,"10.1, 9.1, 9.9",TRUE
39370,"10.1, 10.2, 9.1",TRUE
39371,9.5,FALSE
39372,"9.1, 9.1",FALSE
39373,"10.1, 9.1",TRUE
39374,10.1,TRUE
39376,"10.1, 9.1",TRUE
39378,"10.1, 10.2, 9.1",TRUE
39379,9.1,FALSE
