iucn_sid,iucn_rgn,pop_trend
120868935,global,unknown
12103,global,NA
12125,global,unknown
12126,global,unknown
12137,global,decreasing
122055033,global,decreasing
122055267,global,decreasing
122055294,global,decreasing
122055381,global,decreasing
122055529,global,decreasing
122055686,global,decreasing
12242,global,NA
12244,global,NA
12246,global,unknown
12302,global,stable
12303,global,decreasing
12305,global,decreasing
123095978,global,decreasing
123320518,global,unknown
123320543,global,unknown
123320646,global,unknown
123320674,global,unknown
123320677,global,unknown
123320865,global,unknown
123320960,global,unknown
123321065,global,unknown
123321962,global,unknown
123321965,global,unknown
123323283,global,unknown
123323295,global,unknown
123323380,global,unknown
123323392,global,unknown
123323452,global,unknown
123323471,global,unknown
123323873,global,unknown
123323914,global,unknown
123323927,global,unknown
123323933,global,unknown
123324008,global,unknown
123324256,global,unknown
123325240,global,unknown
123325265,global,unknown
123325302,global,unknown
123325715,global,unknown
123325779,global,unknown
123325782,global,unknown
123326101,global,unknown
123335326,global,unknown
123335481,global,unknown
123335673,global,unknown
123335677,global,unknown
123335680,global,unknown
123350079,global,unknown
123350109,global,unknown
123350119,global,unknown
123350125,global,unknown
123354515,global,unknown
123354731,global,unknown
123354734,global,unknown
123354780,global,unknown
123355145,global,unknown
123355193,global,unknown
123355281,global,unknown
123355378,global,unknown
123355386,global,unknown
123355425,global,unknown
123356234,global,unknown
123356887,global,unknown
123360429,global,unknown
123360476,global,unknown
123360481,global,unknown
123360553,global,unknown
123360771,global,unknown
123360857,global,unknown
123360888,global,unknown
123360939,global,unknown
123361228,global,unknown
123373847,global,unknown
123374956,global,unknown
123374976,global,unknown
123375793,global,unknown
123376283,global,unknown
123424090,global,unknown
123424581,global,unknown
123424845,global,unknown
123424889,global,unknown
123424951,global,unknown
123424986,global,unknown
123425392,global,unknown
123426284,global,unknown
123426960,global,unknown
123426979,global,unknown
123431369,global,unknown
123439530,global,unknown
123439535,global,unknown
123439665,global,unknown
123439691,global,unknown
123439694,global,unknown
123439722,global,unknown
123439745,global,unknown
123439804,global,unknown
123439834,global,unknown
123439842,global,unknown
123439853,global,unknown
123440719,global,unknown
123440780,global,unknown
123441448,global,unknown
123441501,global,unknown
123456077,global,unknown
123479789,global,unknown
123479792,global,unknown
123479810,global,unknown
123480251,global,unknown
123481305,global,unknown
123481338,global,unknown
123481349,global,unknown
123481390,global,unknown
123481988,global,unknown
123482008,global,unknown
123482119,global,unknown
123482149,global,unknown
123482176,global,unknown
123482213,global,unknown
123482239,global,stable
123482256,global,unknown
123482273,global,unknown
123482304,global,unknown
123482315,global,unknown
123482318,global,unknown
123482322,global,unknown
123482346,global,unknown
123482355,global,unknown
123482384,global,unknown
123482461,global,unknown
123482474,global,unknown
123482501,global,unknown
123482511,global,unknown
123482517,global,unknown
123482609,global,unknown
123482627,global,unknown
123482676,global,unknown
123484382,global,unknown
123491396,global,unknown
123491533,global,unknown
12382,global,NA
12404,global,NA
12416,global,decreasing
12417,global,decreasing
12419,global,decreasing
12421,global,decreasing
12427,global,decreasing
124357224,global,unknown
124357844,global,stable
124357891,global,stable
124696811,global,unknown
126707333,global,unknown
12695,global,decreasing
127826787,global,unknown
12807,global,NA
12808,global,NA
12809,global,NA
12810,global,NA
128706414,global,unknown
129295407,global,unknown
129295975,global,unknown
129296277,global,unknown
129296993,global,unknown
129297014,global,unknown
129297060,global,unknown
129297075,global,unknown
129297101,global,unknown
129297138,global,unknown
129297200,global,unknown
129297232,global,unknown
129298547,global,unknown
129299170,global,unknown
129299545,global,unknown
129299583,global,unknown
129299900,global,unknown
129300105,global,unknown
129300151,global,unknown
129300299,global,unknown
129300330,global,unknown
129302496,global,unknown
129388312,global,unknown
129388760,global,unknown
129389236,global,unknown
129389241,global,unknown
129389418,global,unknown
129389530,global,unknown
129389577,global,unknown
129390126,global,unknown
129390462,global,unknown
129390595,global,unknown
129391378,global,unknown
129391467,global,unknown
129391553,global,unknown
129394062,global,unknown
129394341,global,unknown
129394449,global,unknown
129394511,global,unknown
129394603,global,unknown
129394677,global,unknown
129511143,global,unknown
129511152,global,unknown
129511170,global,unknown
129511181,global,unknown
129511220,global,unknown
129511227,global,unknown
129511234,global,unknown
129511241,global,unknown
129511248,global,unknown
129511252,global,unknown
129511256,global,unknown
