mpa_status,lbl,mu,mu_rr
FALSE,Global EEZ,0.16589345773809486,0.14811783420486568
FALSE,Africa,0.169814630330337,0.14301222000281097
FALSE,Asia,0.15020355202469277,0.12810573408468365
FALSE,C. America/Caribbean,0.15544200396308205,0.09035985286815106
FALSE,Europe,0.17695085438229932,0.17128582172543033
FALSE,N. America,0.15407586406397086,0.12306654516139218
FALSE,Oceania,0.17454174357215047,0.17524975102309123
FALSE,S. America,0.1715772985518749,0.13756417535561283
FALSE,Southern Islands,0.13782513662026868,0.11439798473870653
FALSE,High seas,0.18489042254436722,0.19977572853736156
TRUE,Global EEZ,0.16801339861374046,0.15275799165110324
TRUE,Africa,0.1424905724418227,0.09693434380518863
TRUE,Asia,0.14585753039907542,0.14583620152858906
TRUE,C. America/Caribbean,0.1219824802297467,0.040568886019537544
TRUE,Europe,0.17206774681066622,0.14939023209621952
TRUE,N. America,0.1780270485866933,0.1639898988079754
TRUE,Oceania,0.17258666512196624,0.15715929719275223
TRUE,S. America,0.17536716055890672,0.17547049853690752
TRUE,Southern Islands,0.15200124608428808,0.13526320405408443
TRUE,High seas,0.12770095071704754,0.08342986858274058
