name,identifier,spp_count,version
Northeastern Africa,northeastern_africa,305,2019-2
Eastern Africa,eastern_africa,1602,2019-2
Pan-Africa,pan-africa,5118,2019-2
Gulf of Mexico,gulf_of_mexico,940,2019-2
Southern Africa,southern_africa,805,2019-2
Mediterranean,mediterranean,4714,2019-2
Western Africa,western_africa,976,2019-2
Persian Gulf,persian_gulf,471,2019-2
Northern Africa,northern_africa,360,2019-2
Central Africa,central_africa,1962,2019-2
Europe,europe,15270,2019-2
