iucn_sid,poly_range_km2
41814,499194.433
41816,4299891.571
41818,2857413.281
41819,135810.655
41820,1447894.555
41821,276239.102
41822,194325.547
41823,15220050.231
41824,106877.365
41825,4199502.941
41826,1380630.64
41827,846077.931
41828,1078956.509
41829,2175900.45
41830,2127596.737
41831,9654221.344
41832,11600929.397
41833,7996434.413
41835,12609375.62
41836,11116947.294
41837,890417.657
41838,360276.391
41839,581445.784
41840,1191599.872
41841,127259.117
41842,643197.129
41843,32215.634
41844,642375.467
41845,199538.852
41846,540963.72
41848,13387170.499
41849,6031160.441
41850,15203213.62
41851,5572973.189
41852,1718616.129
41853,1067179.654
41854,1282841.174
41855,44575.293
41856,122846.984
41857,1362139.206
41858,2522528.91
41859,11330933.592
41860,138987.956
41861,154418.02
41862,779713.919
41863,382562.706
41864,449217.251
41866,115864.117
41870,17427.072
41871,4224245.582
41872,7418428.304
41873,1421202.136
41874,9208402.201
41875,125181.82
41876,7834180.083
41877,2245517.725
42700,5271983.425
42701,586891.95
42703,10172.309
42704,855071.711
42706,366614.953
42707,316423.192
42709,18310.156
42710,165655.076
42711,199366.899
42712,576541.136
42713,472938.335
42716,202129.58
42717,222315.123
42718,6064.409
42720,281937.709
42721,543889.818
42722,281593.293
42723,311073.272
42725,153409.834
42726,410558.513
42727,363086.564
42728,419580.548
42729,613698.818
42730,16968.067
42838,1365458.239
43972,8812279.255
43974,1544278.441
44166,3573738.035
44167,362608.507
44170,778233.155
44171,14129.193
44183,1265571.077
44186,751329.49
44205,139552.049
44206,11342.462
44207,467485.237
44209,1130353.896
44210,66093.516
44211,85320.858
44212,326732.595
44213,285280.055
44214,55375.831
44215,435477.295
44216,556976.697
44217,2520346.762
44218,404108.581
44219,70530.854
44220,58072.764
44221,1085881.073
44222,767207.029
44223,647112.373
44224,383198.132
44225,1081366.378
44226,535167.329
44227,8914.279
44228,291419.668
44229,75334.17
44478,1785.819
44479,415787.722
44496,303784.014
44514,760545.802
44515,47569.567
44563,862577.82
44564,34349.18
44565,2213695.016
44566,4890042.05
44567,481016.433
44568,823359.344
44569,505287.182
44570,76271.885
44571,760939.029
44572,94325.044
44573,317302.867
44574,215411.015
44575,58009.785
44576,8976.895
44577,22531.487
44578,61157.823
44579,272357.201
44580,626082.109
44581,866126.646
44582,185145.071
44583,358931.454
44584,369919.357
44585,289199.423
44586,272136.133
44587,523515.298
44588,180203.758
44589,2180071.068
44590,415854.841
44591,1060053.963
44592,2855373.919
44595,141031.094
44596,120203.844
44597,368875.265
44598,594041.667
44599,375949.1
44600,21748.315
44601,22262.108
44602,273809.224
44603,419314.604
44604,15472.84
44605,307629.545
44606,343789.879
44607,57670.563
44608,3291.03
44609,112601.956
44610,5594.113
44611,634316.217
44612,250292.274
44613,239880.349
44614,940975.092
44615,51782.914
44617,585769.424
44618,140342.488
44619,678379.83
44620,91904.45
44621,870610.657
44639,1728685.553
44640,276574.82
44641,223152.084
44642,151490.277
44643,192845.967
44644,2116.823
44645,49105.198
44646,3369.367
44647,481621.074
44649,1417472.662
44650,859077.18
44651,540481.749
44652,129396.445
44653,403978.629
44654,9199.269
44655,90146.819
44656,82575.116
44657,441164.743
44666,1517881.421
44671,204947.847
44672,1062721.472
44673,14957238.247
44674,13571442.233
44675,284814.435
44676,129411.713
44677,158843.9
44678,202992.163
44681,3524959.512
44682,3105877.382
44683,2837191.217
44684,8609845.152
44686,147111.117
44993,1299190.874
44996,682229.221
45925,324775.586
