mpa_status,lbl,mu,mu_rr
FALSE,Global EEZ,0.1696128568322227,0.14429346799005682
FALSE,Africa,0.17529244651653142,0.141199659299777
FALSE,Asia,0.14855198601743916,0.12211951279938463
FALSE,C. America/Caribbean,0.15580968560418487,0.08173807879606074
FALSE,Europe,0.18359276296853466,0.17586507242481708
FALSE,N. America,0.15537058866536096,0.11419776703574114
FALSE,Oceania,0.17686760507677166,0.16221176285315714
FALSE,S. America,0.18147698026627626,0.14474761589002685
FALSE,Southern Islands,0.16107032295693705,0.1361037123589665
FALSE,High seas,0.19623390444434335,0.20525562572804254
TRUE,Global EEZ,0.17699721234339358,0.1593725651985124
TRUE,Africa,0.1260637418266217,0.11195336500031544
TRUE,Asia,0.15952363360185268,0.1496743379349032
TRUE,C. America/Caribbean,0.10260184994811258,0.039530563464079724
TRUE,Europe,0.15065607587573754,0.15808144808532373
TRUE,N. America,0.18444277971350678,0.1526419411678489
TRUE,Oceania,0.17959929430457253,0.16465543390816123
TRUE,S. America,0.1972762348444426,0.1880730545990035
TRUE,Southern Islands,0.15265275472491255,0.12636784835113407
TRUE,High seas,0.11681598817103245,0.06344040495477689
