name,identifier,spp_count,version
Northern Africa,northern_africa,362,2018-1
Eastern Africa,eastern_africa,1588,2018-1
Persian Gulf,persian_gulf,471,2018-1
Europe,europe,13449,2018-1
Southern Africa,southern_africa,808,2018-1
Mediterranean,mediterranean,4635,2018-1
Western Africa,western_africa,976,2018-1
Central Africa,central_africa,1968,2018-1
Gulf of Mexico,gulf_of_mexico,940,2018-1
Pan-Africa,pan-africa,5110,2018-1
Northeastern Africa,northeastern_africa,305,2018-1
