am_sid,iucn_sid,sciname,main_common_name,cat,cat_score
Fis-31399,165664,Chaetodon oxycephalus,Spot-nape Butterflyfish,LC,0
Fis-25650,165659,Chelmon rostratus,Banded Longsnout Butterflyfish,LC,0
Fis-25651,187379,Coris variegata,Dapple coris,LC,0
Fis-31406,39400,Raja microocellata,Smalleyed Skate,NT,0.2
Fis-25659,187715,Bodianus anthioides,Lyre-tail hogfish,LC,0
Fis-25660,187516,Bodianus axillaris,Turncoat hogfish,LC,0
Fis-31407,187638,Bodianus bimaculatus,Two-spot slender hogfish,LC,0
Fis-25661,187587,Bodianus diana,Indian Diana's Hogfish,LC,0
Fis-25662,187646,Bodianus mesothorax,Yellow-spotted hogfish,LC,0
Fis-25663,187578,Choerodon anchorago,Orange-dotted tuskfish,LC,0
Fis-25664,39394,Rhynchobatus djiddensis,Whitespotted Wedgefish,VU,0.4
Fis-26148,161692,Himantura uarnak,Reticulate Whipray,VU,0.4
Fis-31408,60163,Acroteriobatus annulatus,Lesser Guitarfish,LC,0
Fis-25671,172363,Elops machnata,NA,LC,0
Fis-25679,132823,Epinephelus chlorostigma,Brownspotted Grouper,LC,0
Fis-31413,132773,Epinephelus tukula,Potato Grouper,LC,0
Fis-25689,63571,Bolbometopon muricatum,Green Humphead Parrotfish,VU,0.4
Fis-25690,190690,Cetoscarus bicolor,Bicolour Parrotfish,LC,0
Fis-25691,190745,Hipposcarus longiceps,Pacific Longnose Parrotfish,LC,0
Fis-25692,190726,Scarus altipinnis,Filament-finned Parrotfish,LC,0
Fis-121730,190725,Scarus xanthopleura,Red Parrotfish,LC,0
Fis-123151,190711,Chlorurus bowersi,Bower's Parrotfish,NT,0.2
Fis-31416,190707,Scarus chameleon,Chameleon Parrotfish,LC,0
Fis-31417,154677,Scarus festivus,Festive Parrotfish,LC,0
Fis-25694,190747,Scarus forsteni,Forsten's Parrotfish,LC,0
Fis-31418,190755,Scarus frenatus,Bridled Parrotfish,LC,0
Fis-123152,190762,Chlorurus frontalis,Tan-faced Parrotfish,LC,0
Fis-31420,190705,Scarus ghobban,Blue-barred Parrotfish,LC,0
Fis-31422,190740,Scarus niger,Dusky Parrotfish,LC,0
Fis-31423,154960,Scarus oviceps,Blue Parrotfish,LC,0
Fis-31424,190736,Scarus psittacus,Common Parrotfish,LC,0
Fis-31425,190708,Scarus quoyi,Quoy's Parrotfish,LC,0
Fis-25696,190731,Scarus rubroviolaceus,Ember Parrotfish,LC,0
Fis-63983,190715,Chlorurus sordidus,Daisy Parrotfish,LC,0
Fis-31427,165631,Chaetodon auriga,Threadfin Butterflyfish,LC,0
Fis-31428,165692,Chaetodon baronessa,Pacific Triangular Butterflyfish,LC,0
Fis-31431,165668,Chaetodon citrinellus,Speckled Butterflyfish,LC,0
Fis-31432,165681,Chaetodon ephippium,Saddle-back Butterflyfish,LC,0
Fis-31434,165669,Chaetodon lineolatus,Lined Butterflyfish,LC,0
Fis-25697,165651,Chaetodon lunula,Redstriped Butterflyfish,LC,0
Fis-31435,165689,Chaetodon melannotus,Black-backed butterflyfish,LC,0
Fis-31436,165615,Chaetodon mertensii,Orangebar Butterflyfish,LC,0
Fis-31437,165638,Chaetodon meyeri,Scrawled Butterflyfish,LC,0
Fis-31439,165623,Chaetodon octofasciatus,Eight-striped Butterflyfish,LC,0
Fis-31440,165632,Chaetodon punctatofasciatus,Spotted Belly Butterflyfish,LC,0
Fis-31441,165678,Chaetodon quadrimaculatus,Neonbanded Butterflyfish,LC,0
Fis-31442,165680,Chaetodon rafflesii,Raffle's Butterflyfish,LC,0
Fis-31444,165725,Chaetodon semeion,Decorated Butterflyfish,LC,0
Fis-31445,165694,Chaetodon speculum,Oval-spot Butterflyfish,LC,0
Fis-31447,165712,Chaetodon trifascialis,Triangulate Butterflyfish,NT,0.2
Fis-31449,165665,Chaetodon ulietensis,Pacific Double-saddled Butterflyfish,LC,0
Fis-31450,165714,Chaetodon unimaculatus,Teardrop Butterfly Fish,LC,0
Fis-31451,165630,Chaetodon vagabundus,Criss-cross Butterflyfish,LC,0
Fis-25698,165702,Coradion chrysozonus,Goldon-girdled Coralfish,LC,0
Fis-31452,165716,Forcipiger flavissimus,Big long-nosed Butterflyfish,LC,0
Fis-25699,165667,Forcipiger longirostris,Black Long-nosed Butterflyfish,LC,0
Fis-25700,165672,Hemitaurichthys polylepis,Brushytoothed Butterflyfish,LC,0
Fis-31453,154788,Hemitaurichthys thompsoni,Thompson's Butterflyfish,LC,0
Fis-25701,165626,Heniochus acuminatus,Pennant Coral Fish,LC,0
Fis-31454,165640,Heniochus chrysostomus,Threeband Pennantfish,LC,0
Fis-31455,165650,Heniochus monoceros,Unicorn Pennant Coralfish,LC,0
Fis-31456,165622,Heniochus singularius,Singular Bannerfish,LC,0
Fis-25702,165652,Heniochus varius,Hunchbacked Coralfish,LC,0
Fis-25703,187713,Pseudodax moluccanus,Chisel-tooth wrasse,LC,0
Fis-47531,187718,Oxycheilinus arenatus,Thin-line maori wrasse,LC,0
Fis-25704,187523,Oxycheilinus bimaculatus,Twospot maori wrasse,LC,0
Fis-47564,187762,Oxycheilinus celebicus,Slender maori wrasse,LC,0
Fis-25705,187384,Cheilinus chlorourus,White-dotted maori wrasse,LC,0
Fis-149118,187466,Oxycheilinus digramma,Cheek-lined Maori wrasse,LC,0
Fis-25707,187739,Cheilinus fasciatus,Scarlet-breasted maori wrasse,LC,0
Fis-47538,187423,Oxycheilinus orientalis,Oriental maori wrasse,LC,0
Fis-31461,187649,Cheilinus oxycephalus,Point-head maori wrasse,LC,0
Fis-31462,154623,Cheilinus trilobatus,Tripletail Wrasse,LC,0
Fis-31463,4592,Cheilinus undulatus,Humphead Wrasse,EN,0.6
Fis-25708,187674,Oxycheilinus unifasciatus,Whiteband maori wrasse,LC,0
Fis-25709,187722,Epibulus insidiator,Sling-jaw wrasse,LC,0
Fis-25710,187681,Cymolutes praetextatus,Knife razorfish,LC,0
Fis-25711,187530,Cymolutes torquatus,Finescale razorfish,LC,0
Fis-164874,187763,Novaculichthys macrolepidotus,Green-banner wrasse,LC,0
Fis-25713,187441,Novaculichthys taeniourus,Olive-scribbled wrasse,LC,0
Fis-146180,187395,Iniistius aneitensis,White-blotch razor wrasse,LC,0
Fis-146182,187610,Iniistius celebicus,Bronzespot razorfish,LC,0
Fis-7176,187705,Iniistius pavo,Indianfish blue razorfish,LC,0
Fis-31466,187594,Pseudocheilinops ataenia,Pink-streaked wrasse,LC,0
Fis-31467,187658,Pseudocheilinus evanidus,Disappearing wrasse,LC,0
Fis-25716,187477,Pseudocheilinus hexataenia,Six-line wrasse,LC,0
Fis-31468,187621,Pseudocheilinus octotaenia,Eightstripe wrasse,LC,0
Fis-31469,187740,Pseudocheilinus tetrataenia,Four-lined wrasse,LC,0
Fis-31470,187431,Pteragogus cryptus,Indian sneaky wrasse,LC,0
Fis-25717,187625,Pteragogus guttatus,White-barred sneaky-wrasse,LC,0
Fis-31471,155146,Anampses melanurus,White-spotted Wrasse,LC,0
Fis-25718,187383,Cheilio inermis,Sharp-nosed rainbowfish,LC,0
Fis-31472,187802,Coris aygula,False clownwrasse,LC,0
Fis-48603,187436,Coris gaimard,African clown wrasse,LC,0
Fis-31473,187536,Gomphosus varius,Purple club-nosed wrasse,LC,0
Fis-31474,187565,Halichoeres biocellatus,Two-spotted wrasse,LC,0
Fis-25720,187783,Halichoeres hartzfeldii,Orange-line wrasse,LC,0
Fis-25722,187443,Halichoeres margaritaceus,Pearl-spotted wrasse,LC,0
Fis-31476,187507,Halichoeres richmondi,Richmond's wrasse,LC,0
Fis-25723,187454,Halichoeres scapularis,Brownbanded wrasse,LC,0
Fis-25724,187474,Halichoeres trimaculatus,Three-spot wrasse,LC,0
Fis-25725,187373,Hemigymnus fasciatus,Barred thicklip wrasse,LC,0
Fis-25726,187476,Hemigymnus melapterus,Blackedge thicklip wrasse,LC,0
Fis-25727,187698,Hologymnosus annulatus,Narrow-banded rainbowfish,LC,0
Fis-25728,187527,Hologymnosus doliatus,Narrow-banded wrasse,LC,0
Fis-25729,187547,Pseudocoris yamashiroi,Yamashiro's wrasse,LC,0
Fis-25730,187424,Stethojulis bandanensis,Red-spot rainbowfish,LC,0
Fis-25731,187489,Stethojulis strigiventer,Silver-streaked rainbowfish,LC,0
Fis-25732,187490,Thalassoma amblycephalum,Bluntheaded wrasse,LC,0
Fis-10657,187559,Thalassoma hardwicke,Six-banded wrasse,LC,0
Fis-25734,187780,Thalassoma jansenii,Jansen's wrasse,LC,0
Fis-25735,187381,Thalassoma lunare,Crescent-Tail Wrasse,LC,0
Fis-25736,187685,Thalassoma lutescens,Yellow-brown wrasse,LC,0
Fis-25737,187746,Thalassoma purpureum,Purple wrasse,LC,0
Fis-25738,187733,Thalassoma quinquevittatum,Five striped surge wrasse,LC,0
Fis-25739,187707,Thalassoma trilobatum,Green-blocked wrasse,LC,0
Fis-31477,187767,Labroides bicolor,Two-colour cleaner wrasse,LC,0
Fis-31478,187575,Labroides pectoralis,Gold barrier reef cleaner,LC,0
Fis-25741,196421,Crenimugil crenilabis,Fringelip Mullet,LC,0
Fis-124158,197047,Chelon melinopterus,Otomebora Mullet,LC,0
Fis-10471,197054,Ellochelon vaigiensis,Squaretail Mullet,LC,0
Fis-25748,165884,Chaetodontoplus mesoleucus,Vermiculated Angelfish,LC,0
Fis-25749,165867,Pomacanthus navarchus,Bluegirdled Angelfish,LC,0
Fis-25750,165829,Pomacanthus xanthometopon,Yellowface Angelfish,LC,0
Fis-25751,165851,Pomacanthus semicirculatus,Semicircle Angelfish,LC,0
Fis-31480,165848,Centropyge heraldi,Yellow Angelfish,LC,0
Fis-152142,165852,Paracentropyge multifasciata,Barred Angelfish,LC,0
Fis-31481,165864,Genicanthus bellus,Ornate Angelfish,LC,0
Fis-31484,154760,Chromis alpha,Yellow-speckled Chromis,LC,0
Fis-25794,154952,Apogonichthys ocellatus,Ocellated Cardinalfish,LC,0
Fis-170294,155273,Ostorhinchus lateralis,Humpback Cardinal,LC,0
Fis-167071,154872,Apogon compressus,Ochre-striped Cardinalfish,LC,0
Fis-31535,155102,Cheilodipterus singapurensis,Truncate Cardinalfish,LC,0
Fis-25817,196412,Kuhlia mugil,NA,LC,0
Fis-31541,154901,Gazza achlamys,Smalltoothed Ponyfish,LC,0
Fis-25831,155224,Scorpaenodes hirsutus,Hairy Scorpionfish,LC,0
Fis-31554,132747,Epinephelus spilotoceps,Foursaddle Grouper,LC,0
Fis-25868,155300,Pentapodus emeryii,Blue Whiptail,LC,0
Fis-31568,161597,Alopias pelagicus,Pelagic Thresher,VU,0.4
Fis-25888,41835,Nebrius ferrugineus,Tawny Nurse Shark,VU,0.4
Fis-25889,161695,Chaenogaleus macrostoma,Hooktooth Shark,VU,0.4
Fis-31570,41816,Hemigaleus microstoma,Sickelfin Weasel Shark,VU,0.4
Fis-48194,41874,Hemipristis elongata,Snaggletooth Shark,VU,0.4
Fis-25892,41791,Chiloscyllium indicum,Ridgebacked Bamboo Shark,NT,0.2
Fis-31571,161426,Chiloscyllium arabicum,Arabian Carpetshark,NT,0.2
Fis-31573,41872,Chiloscyllium punctatum,Grey Carpetshark,NT,0.2
Fis-25894,41818,Hemiscyllium ocellatum,Epaulette Shark,LC,0
Fis-31576,41820,Hemiscyllium trispeculare,Speckled Carpetshark,LC,0
Fis-31577,39338,Megachasma pelagios,Megamouth Shark,LC,0
Fis-31578,44565,Mitsukurina owstoni,Goblin Shark,LC,0
Fis-31582,41841,Parascyllium collare,Collared Carpetshark,LC,0
Fis-31583,41842,Parascyllium ferrugineum,Rusty Carpetshark,LC,0
Fis-25895,41844,Parascyllium variolatum,Varied Carpetshark,LC,0
Fis-31585,161468,Eridacnis radcliffei,Pygmy Ribbontail Catshark,LC,0
Fis-25897,44611,Eridacnis sinuans,African Ribbontail Catshark,LC,0
Fis-25898,41814,Gollum attenuatus,Slender Smoothhound,LC,0
Fis-25899,39337,Pseudocarcharias kamoharai,Crocodile Shark,NT,0.2
Fis-25900,39351,Furgaleus macki,Whiskery Shark,LC,0
Fis-25902,39354,Hypogaleus hyugaensis,Pencil Shark,LC,0
Fis-25903,161501,Iago omanensis,Bigeye Houndshark,LC,0
Fis-31589,41829,Iago garricki,Longnose Hound Shark,LC,0
Fis-31591,60204,Mustelus higmani,Smalleye Smoothhound,LC,0
Fis-31592,39356,Mustelus lenticulatus,Rig,LC,0
Fis-31593,63128,Mustelus mento,Speckled Smoothhound,NT,0.2
Fis-31596,60203,Mustelus schmitti,Narrownose Smoothhound,EN,0.6
Fis-31597,39357,Mustelus asterias,Starry Smoothhound,LC,0
Fis-31598,63129,Mustelus whitneyi,Humpback Smoothhound,VU,0.4
Fis-31602,39355,Mustelus antarcticus,Gummy Shark,LC,0
Fis-25905,39362,Triakis megalopterus,Spotted Gully Shark,NT,0.2
Fis-31606,161395,Triakis scyllium,Banded Houndshark,LC,0
Fis-25907,178005,Zebrasoma scopas,Brushtail Tang,LC,0
Fis-31607,10070,Hippocampus histrix,Thorny Seahorse,VU,0.4
Fis-31608,10075,Hippocampus kuda,Spotted Seahorse,VU,0.4
Fis-31614,184055,Doryrhamphus excisus ssp. excisus,Pacific blue-stripe pipefish,LC,0
Fis-25918,155073,Doryrhamphus janssi,Janss' Pipefish,LC,0
Fis-25926,40715,Syngnathoides biaculeatus,Alligator Pipefish,LC,0
Fis-25939,154670,Parupeneus multifasciatus,Banded Goatfish,LC,0
Fis-25944,132736,Epinephelus rivulatus,Halfmoon Grouper,LC,0
Fis-31618,44677,Epinephelus albomarginatus,White-edged Rockcod,VU,0.4
Fis-25952,177969,Acanthurus nigricans,Golden Rim Surgeonfish,LC,0
Fis-31620,177955,Ctenochaetus binotatus,Two-spot Bristletooth,LC,0
Fis-31621,178014,Ctenochaetus hawaiiensis,Hawaiian Bristletooth,LC,0
Fis-25953,177964,Ctenochaetus marginatus,Blue-spotted Bristletooth,LC,0
Fis-25954,177949,Ctenochaetus strigosus,Goldring Bristletooth,LC,0
Fis-31622,177986,Ctenochaetus tominiensis,Orange-tipped Bristletooth,LC,0
Fis-25955,177972,Paracanthurus hepatus,Palette Surgeonfish,LC,0
Fis-25956,178015,Zebrasoma flavescens,Yellow Tang,LC,0
Fis-25957,177988,Naso annulatus,Whitemargin Unicornfish,LC,0
Fis-25958,177983,Naso brachycentron,Humpback Unicornfish,LC,0
Fis-25959,177990,Naso brevirostris,Palefin Unicornfish,LC,0
Fis-31623,177979,Naso lopezi,Slender Unicornfish,LC,0
Fis-25960,155120,Naso vlamingii,Bignose Unicornfish,LC,0
Fis-25990,154643,Parenchelyurus hepburni,Hepburn's Blenny,LC,0
Fis-25999,187754,Cymolutes lecluse,Sharp-headed wrasse,LC,0
Fis-31641,64411,Plectropomus areolatus,Squaretail Coralgrouper,VU,0.4
Fis-167308,154678,Apogon sealei,Cheekbar Cardinalfish,LC,0
Fis-26058,14264,Myxus capensis,Freshwater Mullet,LC,0
Fis-31807,5675,Croilia mossambica,Burrowing Goby,LC,0
Fis-150563,196408,Plectorhinchus gibbosus,Brown Sweetlips,LC,0
Fis-26085,41796,Bathytoshia brevicaudata,Short-tail Stingray,LC,0
Fis-31822,155057,Uranoscopus japonicus,Japanese Stargazer,LC,0
Fis-31823,132781,Cephalopholis argus,Peacock Grouper,LC,0
Fis-31825,178106,Sphyraena ensis,Mexican Barracuda,LC,0
Fis-148881,155166,Chilomycterus schoepfii,Striped Burrfish,LC,0
Fis-31827,178070,Cirrhitus rivulatus,Giant Hawkfish,LC,0
Fis-167643,161377,Rajella lintea,Sailray,LC,0
Fis-26110,154734,Pagrus auratus,Snapper,LC,0
Fis-31833,178064,Centropomus nigrescens,Black Robalo,LC,0
Fis-31834,178063,Centropomus medius,Pacific blackfin,LC,0
Fis-31835,178067,Centropomus viridis,White snook,LC,0
Fis-26112,44669,Choerodon schoenleinii,Blackspot Tuskfish,NT,0.2
Fis-8368,190704,Scarus tricolor,Tricolour Parrotfish,LC,0
Fis-26113,61338,Epinephelus malabaricus,Malabar Grouper,NT,0.2
Fis-135733,132751,Epinephelus coeruleopunctatus,Whitespotted Grouper,LC,0
Fis-26117,39773,Cephalopholis boenak,Brown-banded Seabass,LC,0
Fis-26118,132808,Cephalopholis cyanostigma,Blue Spotted Hind,LC,0
Fis-26119,132743,Cephalopholis formosa,Bluelined Hind,LC,0
Fis-26120,132759,Cephalopholis hemistiktos,Yellowfin Hind,NT,0.2
Fis-26121,132737,Cephalopholis leopardus,Leopard Hind,LC,0
Fis-26122,132789,Cephalopholis microprion,Freckled Hind,LC,0
Fis-26123,132732,Cephalopholis miniata,Coral Hind,LC,0
Fis-31841,132779,Cephalopholis oligosticta,Vermilion Hind,LC,0
Fis-26124,132805,Cephalopholis polleni,Harlequin Hind,LC,0
Fis-26125,132741,Cephalopholis sexmaculata,Six-blotch Hind,LC,0
Fis-26126,132757,Cephalopholis sonnerati,Tomato Hind,LC,0
Fis-26127,132825,Cephalopholis spiloparaea,Strawberry Hind,LC,0
Fis-26128,132783,Cephalopholis urodeta,Darkfin Hind,LC,0
Fis-26129,39774,Cromileptes altivelis,Humpback Grouper,VU,0.4
Fis-26135,196447,Mesopristes argenteus,Silver Grunter,LC,0
Fis-26136,44674,Epinephelus coioides,Orange-spotted Grouper,NT,0.2
Fis-26139,7858,Epinephelus lanceolatus,Giant Grouper,VU,0.4
Fis-26140,7859,Epinephelus marginatus,Dusky Grouper,EN,0.6
Fis-26141,132804,Epinephelus ongus,White-streaked Grouper,LC,0
Fis-26142,61339,Epinephelus polyphekadion,Camouflage Grouper,NT,0.2
Fis-26144,132799,Epinephelus quoyanus,Longfin Grouper,LC,0
Fis-31845,132810,Variola albimarginata,White-edged Lyre Tail,LC,0
Fis-166734,60162,Taeniurops meyeni,Blotched Fantail Ray,VU,0.4
Fis-26152,155091,Enchelycore schismatorhynchus,White-margined Moray,LC,0
Fis-26162,165862,Pomacanthus imperator,Emperor Angelfish,LC,0
Fis-31856,165656,Chaetodon xanthurus,Philippine Chevron Butterflyfish,LC,0
Fis-31859,165703,Chaetodon aureofasciatus,Golden-striped Butterflyfish,LC,0
Fis-31860,165634,Chaetodon austriacus,Red Sea Melon Butterflyfish,LC,0
Fis-31861,165711,Chaetodon adiergastos,Philippine Butterflyfish,LC,0
Fis-31862,165710,Chaetodon assarius,West Australian Butterflyfish,LC,0
Fis-31865,154812,Amphiprion sandaracinos,Orange Anemonefish,LC,0
Fis-26169,165835,Apolemichthys trimaculatus,Threespot Angelfish,LC,0
Fis-31867,165688,Chaetodon flavirostris,Dusky Butterflyfish,LC,0
Fis-31868,165718,Chaetodon guentheri,Günther's Butterflyfish,LC,0
Fis-26181,165901,Centropyge tibicen,Keyhole Angelfish,LC,0
Fis-26182,165876,Centropyge multispinis,Multispined Angelfish,LC,0
Fis-31874,165641,Chaetodon ornatissimus,Ornate Butterflyfish,LC,0
Fis-26189,165840,Pomacanthus sexstriatus,Sixbar Angelfish,LC,0
Fis-26192,158627,Pseudanthias pleurotaenia,Mirror Basslet,LC,0
Fis-26195,165885,Pygoplites diacanthus,Royal Angelfish,LC,0
Fis-31884,155135,Sillago japonica,Japanese Whiting,LC,0
Fis-26201,187554,Bodianus bilunulatus,Crescent banded hogfish,LC,0
Fis-26205,187446,Thalassoma cupido,Cupid wrasse,LC,0
Fis-26212,187612,Choerodon jordani,Jordan's tuskfish,LC,0
Fis-31893,165653,Chaetodon pelewensis,Dot-and-dash Butterflyfish,LC,0
Fis-26221,165888,Genicanthus lamarck,Blackstriped Angelfish,LC,0
Fis-31895,165657,Chaetodon plebeius,Blueblotch Butterflyfish,LC,0
Fis-26222,187634,Halichoeres miniatus,Circle-cheek wrasse,LC,0
Fis-31896,187794,Choerodon monostigma,Dark-spot tuskfish,LC,0
Fis-26224,187689,Stethojulis trilineata,Three-lined rainbowfish,LC,0
Fis-31903,155229,Nemateleotris magnifica,Fire Dartfish,LC,0
Fis-31904,165717,Chaetodon rainfordi,Rainford's Butterflyfish,NT,0.2
Fis-26230,187563,Stethojulis interrupta,One-line rainbowfish,LC,0
Fis-31905,165643,Chaetodon selene,Yellow-dotted Butterflyfish,LC,0
Fis-26239,165868,Centropyge nox,Midnight Angelfish,LC,0
Fis-31908,165693,Chaetodon auripes,Oriental Butterflyfish,LC,0
Fis-31910,165616,Chelmon marginalis,Margined Coralfish,LC,0
Fis-62923,165660,Chelmon muelleri,Müller's Coralfish,LC,0
Fis-31913,187450,Coris dorsomacula,Pink-lined wrasse,LC,0
Fis-31914,155165,Corythoichthys amplexus,Brown-banded Pipefish,LC,0
Fis-26244,132778,Epinephelus hexagonatus,White Speckled Rockcod,LC,0
Fis-26245,132766,Epinephelus macrospilos,Snubnose Grouper,LC,0
Fis-26247,187548,Halichoeres nebulosus,Clouded rainbow fish,LC,0
Fis-26248,154904,Halichoeres ornatissimus,Ornate Wrasse,LC,0
Fis-31915,165663,Chaetodon argentatus,Three-band Butterflyfish,LC,0
Fis-31916,165685,Chaetodon wiebeli,Hongkong Butterflyfish,LC,0
Fis-143219,165849,Centropyge ferrugata,Rusty Angelfish,LC,0
Fis-26337,187747,Choerodon robustus,Robust tuskfish,LC,0
Fis-32086,187694,Halichoeres melanochir,Orange-fin wrasse,LC,0
Fis-32088,178020,Naso maculatus,Spotted Unicornfish,LC,0
Fis-26339,177980,Naso thynnoides,Singlespine Unicornfish,LC,0
Fis-26340,177975,Naso minor,Blackspine Unicornfish,LC,0
Fis-26345,154945,Pseudanthias cichlops,Nusa Penida Basslet,LC,0
Fis-32089,196050,Myxine australis,Southern Hagfish,LC,0
Fis-32092,161529,Bathyraja maccaini,McCain's Skate,NT,0.2
Fis-26347,161391,Rhinoraja murrayi,Murray's Skate,NT,0.2
Fis-32104,154998,Argyropelecus hemigymnus,Half-naked Hatchetfish,LC,0
Fis-26365,154789,Krefftichthys anderssoni,NA,LC,0
Fis-32162,154653,Pogonophryne barsukovi,NA,LC,0
Fis-26397,154740,Akarotaxis nudiceps,NA,LC,0
Fis-32182,154711,Bathydraco joannae,NA,LC,0
Fis-32192,154808,Racovitzia glacialis,NA,LC,0
Fis-32221,154851,Zanclorhynchus spinifer,Spiny Horsefish,LC,0
Fis-26414,187679,Coris picta,Banana wrasse,LC,0
Fis-26425,172443,Bathygobius fuscus,Brown Frillfin,LC,0
Fis-32243,154959,Bryaninops amplus,Gorgonian Goby,LC,0
Fis-26433,154641,Gobiodon histrio,Actor Coral Goby,LC,0
Fis-32280,154919,Ateleopus japonicus,Pacific Jellynose Fish,LC,0
Fis-32285,154628,Uropterygius fuscoguttatus,Brown Snake Moray Eel,LC,0
Fis-32296,155153,Atherion elymus,Bearded Silverside,LC,0
Fis-32300,154850,Myripristis pralinia,Big Eye Soldierfish,LC,0
Fis-26483,132776,Plectropomus oligacanthus,Highfin Coral Grouper,NT,0.2
Fis-26494,132826,Epinephelus bleekeri,Duskytail Grouper,NT,0.2
Fis-32305,64396,Epinephelus bruneus,Longtooth Grouper,VU,0.4
Fis-26498,61337,Epinephelus daemelii,Black Rockcod,NT,0.2
Fis-26499,132777,Epinephelus diacanthus,Spinycheek Grouper,NT,0.2
Fis-26503,132726,Epinephelus flavocaeruleus,Blue And Yellow Grouper,LC,0
Fis-26504,132829,Epinephelus howlandi,Blacksaddle Grouper,LC,0
Fis-26507,132748,Epinephelus longispinis,Longspine Grouper,LC,0
Fis-26508,132756,Epinephelus miliaris,Netfin Grouper,LC,0
Fis-26510,132802,Epinephelus poecilonotus,Dot-dash Grouper,LC,0
Fis-32313,132753,Epinephelus polylepis,Smallscaled Grouper,NT,0.2
Fis-26511,132755,Epinephelus radiatus,Oblique-banded Grouper,LC,0
Fis-32316,132749,Epinephelus stictus,Black-dotted Grouper,LC,0
Fis-26517,64412,Plectropomus laevis,Blacksaddled Coral Grouper,VU,0.4
Fis-26518,132790,Triso dermopterus,Oval Grouper,LC,0
Fis-26519,60111,Plesiobatis daviesi,Giant Stingaree,LC,0
Fis-32352,132775,Plectropomus pessuliferus,Roving Coralgrouper,NT,0.2
Fis-32362,155093,Derichthys serpentinus,Narrownecked Oceanic Eel,LC,0
Fis-32377,154613,Synaphobranchus affinis,Grey Cutthroat Eel,LC,0
Fis-26563,154855,Hippichthys spicifer,Bellybarred Pipefish,LC,0
Fis-32400,154765,Ancylopsetta cycloidea,Cyclope Flounder,LC,0
Fis-32415,155034,Crossosalarias macrospilus,Triplespot Blenny,LC,0
Fis-32426,187627,Hologymnosus rhodonotus,Redback longface wrasse,LC,0
Fis-32427,187452,Cirrhilabrus katherinae,Katherine's wrasse,LC,0
Fis-32431,187801,Cirrhilabrus rubrimarginatus,Red margin fairy wrasse,LC,0
Fis-32442,63155,Raja cervigoni,Venezuela Skate,NT,0.2
Fis-63248,61398,Atlantoraja cyclophora,Eyespot Skate,VU,0.4
Fis-131810,161512,Rajella fuliginea,Sooty Skate,LC,0
Fis-131870,161702,Rajella purpuriventralis,Purplebelly Skate,LC,0
Fis-131821,61408,Rostroraja alba,White Skate,EN,0.6
Fis-132547,161464,Leucoraja circularis,Sandy Skate,EN,0.6
Fis-131802,161587,Rajella fyllae,Round Skate,LC,0
Fis-131842,63100,Dipturus oxyrinchus,Longnosed Skate,NT,0.2
Fis-32453,161425,Raja undulata,Undulate Skate,EN,0.6
Fis-26611,39418,Mobula mobular,Giant Devil Ray,EN,0.6
Fis-132546,161461,Leucoraja fullonica,Shagreen Skate,VU,0.4
Fis-32457,154973,Bassozetus robustus,NA,LC,0
Fis-32459,177962,Naso fageni,Horseface Unicornfish,LC,0
Fis-26619,186106,Acantholabrus palloni,Scale-rayed Wrasse,LC,0
Fis-26621,154898,Eviota storthynx,Belly-spotted Pygmy-goby,LC,0
Fis-26622,154833,Bothus mancus,Flowery Flounder,LC,0
Fis-32470,154980,Chirodactylus jessicalenorum,Natal Fingerfin,LC,0
Fis-26659,183158,Kuhlia rupestris,Jungle Perch,LC,0
Fis-26660,187690,Bodianus leucosticticus,Lined hogfish,LC,0
Fis-26669,172469,Hippichthys penicillus,Beady Pipefish,LC,0
Fis-26672,187781,Bodianus perditio,Golden-spot Hogfish,LC,0
Fis-26673,187664,Coris formosa,Queen coris,LC,0
Fis-32511,187569,Gomphosus caeruleus,Indian Ocean bird wrasse,LC,0
Fis-146179,187411,Iniistius pentadactylus,Red-spot razor wrasse,LC,0
Fis-32512,155029,Salarias ceramensis,Seram Blenny,LC,0
Fis-32519,155017,Labroides phthirophagus,Hawaiian Cleaner Wrasse,LC,0
Fis-32521,165683,Heniochus diphreutes,Schooling Bannerfish,LC,0
Fis-26687,187711,Thalassoma duperrey,Saddle-back wrasse,LC,0
Fis-26688,187601,Thalassoma ballieui,Old woman wrasse,LC,0
Fis-32530,165619,Chaetodon guttatissimus,Peppered Butterflyfish,LC,0
Fis-32531,165642,Chaetodon madagaskariensis,Indian Ocean Chevron Butterflyfish,LC,0
Fis-32532,165671,Chaetodon xanthocephalus,Yellow-head Butterflyfish,LC,0
Fis-26699,165719,Hemitaurichthys zoster,Brown-and-white Butterflyfish,LC,0
Fis-57940,187416,Macropharyngodon bipartitus,Vermiculate wrasse,LC,0
Fis-32538,165723,Chaetodon collare,Red-tailed Butterflyfish,LC,0
Fis-32539,165624,Chaetodon triangulum,Herringbone Butterflyfish,LC,0
Fis-32540,187428,Halichoeres leucoxanthus,Lemon meringue wrasse,LC,0
Fis-32542,165662,Chaetodon fremblii,Bluestriped Butterflyfish,LC,0
Fis-32544,165655,Chaetodon multicinctus,Multiband Butterflyfish,LC,0
Fis-32546,165899,Centropyge potteri,Russet Angelfish,LC,0
Fis-26703,165828,Centropyge fisheri,Hawaiian Flame Angelfish,LC,0
Fis-26704,155308,Centropyge loricula,Flame Angel,LC,0
