am_sid,iucn_sid,sciname,main_common_name,cat,cat_score
Fis-29369,191822,Elops saurus,Northern Ladyfish,LC,0
Fis-22800,183596,Lutjanus viridis,Blue and gold snapper,LC,0
Fis-22221,154682,Pristipomoides freemani,Slender Wenchman,LC,0
Fis-29447,170314,Makaira nigricans,Blue Marlin,VU,0.4
Fis-164253,170322,Kajikia albida,White Marlin,VU,0.4
Fis-163398,170309,Kajikia audax,Striped Marlin,NT,0.2
Fis-29576,23148,Xiphias gladius,Swordfish,LC,0
Fis-52418,5369,Coregonus lavaretus,Lavaret,VU,0.4
Fis-29501,19855,Salmo salar,Atlantic Salmon,LC,0
Fis-21630,19861,Salmo trutta,Brown Trout,LC,0
Fis-22918,15319,Oncorhynchus ishikawai,Satsukimasu Salmon,EN,0.6
Fis-22920,135301,Oncorhynchus nerka,Sockeye Salmon,LC,0
Fis-153593,19877,Salvelinus alpinus,Arctic Char,LC,0
Fis-22922,202413,Osmerus mordax,Rainbow Smelt,LC,0
Fis-22963,202415,Thaleichthys pacificus,Eulachon,LC,0
Fis-22842,183619,Anchoa curta,Short Anchovy,LC,0
Fis-22844,183635,Anchoa eigenmannia,Eigenmann's Anchovy,LC,0
Fis-29274,166184,Anguilla japonica,Japanese Eel,EN,0.6
Fis-22845,191108,Anguilla rostrata,American Eel,EN,0.6
Fis-22909,202405,Microgadus tomcod,Atlantic Tomcod,LC,0
Fis-22908,183411,Merluccius productus,North Pacific Hake,LC,0
Fis-22897,155030,Macroramphosus scolopax,Longspine Snipefish,LC,0
Fis-22911,192942,Morone saxatilis,Striped Bass,LC,0
Fis-22910,184088,Morone americana,White Perch,LC,0
Fis-22970,183729,Trachurus symmetricus,Pacific Jack Mackerel,LC,0
Fis-22872,155043,Decapterus russelli,Indian Scad,LC,0
Fis-22853,193092,Exyrias puntang,Puntang Goby,LC,0
Fis-22913,154900,Nemipterus virgatus,Golden Threadfin Bream,VU,0.4
Fis-22885,155309,Isacia conceptionis,Cabinza Grunt,LC,0
Fis-22934,172404,Pomadasys argenteus,Silver Javelin,LC,0
Fis-23016,63570,Argyrosomus hololepidotus,Madagascar Kob,EN,0.6
Fis-23135,154755,Genyonemus lineatus,White Croaker,NT,0.2
Fis-23210,183581,Paralonchurus peruanus,Peruvian banded croaker,LC,0
Fis-23120,132722,Epinephelus aeneus,White Grouper,NT,0.2
Fis-23293,187479,Tautoga onitis,Black-fish,VU,0.4
Fis-23211,154870,Parapercis colias,Blue Cod,LC,0
Fis-164093,154785,Pleuragramma antarctica,Antarctic Silverfish,LC,0
Fis-23313,154897,Trisopterus minutus,NA,LC,0
Fis-23215,183337,Peprilus simillimus,Pacific Butterfish,LC,0
Fis-23224,155177,Psenopsis anomala,Japanese Butterfish,LC,0
Fis-29522,154816,Sebastes mentella,Beaked Redfish,LC,0
Fis-23092,154895,Chelidonichthys kumu,Bluefin Gurnard,LC,0
Fis-16989,17710,Pleuronectes ferrugineus,Yellowtail Flounder,VU,0.4
Fis-8265,155215,Dicologlossa cuneata,Wedge Sole,LC,0
Fis-22990,184000,Anchoa starksi,Starks's Anchovy,LC,0
Fis-29272,155020,Anchoa walkeri,Walker's Anchovy,LC,0
Fis-22995,183917,Anchovia macrolepidota,Bigscale Anchovy,LC,0
Fis-23089,183878,Cetengraulis mysticetus,Pacific Anchoveta,LC,0
Fis-23181,183379,Lycengraulis poeyi,Pacific Sabretooth Anchovy,LC,0
Fis-29425,187398,Labrus bergylta,Ballan Wrasse,LC,0
Fis-23303,155240,Thryssa mystax,Moustached Thryssa,LC,0
Fis-29353,154743,Coilia neglecta,Neglected Grenadier Anchovy,LC,0
Fis-29338,41794,Chlamydoselachus anguineus,Frilled Shark,LC,0
Fis-23149,41823,Heptranchias perlo,Sharpnose Sevengill Shark,NT,0.2
Fis-23157,10030,Hexanchus griseus,Bluntnose Sixgill Shark,NT,0.2
Fis-29367,41802,Echinorhinus cookei,Prickly Shark,NT,0.2
Fis-23171,194812,Lepadogaster lepadogaster,Shore Clingfish,LC,0
Fis-23075,39325,Centrophorus granulosus,NA,VU,0.4
Fis-29319,41740,Centrophorus harrissoni,Harrisson's Dogfish,EN,0.6
Fis-29320,161442,Centrophorus lusitanicus,Lowfin Gulper Shark,VU,0.4
Fis-23076,41871,Centrophorus squamosus,Leafscale Gulper Shark,VU,0.4
Fis-23078,161521,Centroscyllium fabricii,Black Dogfish,LC,0
Fis-29328,41747,Centroscymnus coelolepis,Portuguese Dogfish,NT,0.2
Fis-23074,46864,Centroselachus crepidater,Longnose Velvet Dogfish,LC,0
Fis-61506,41749,Centroscymnus owstonii,Roughskin Dogfish,LC,0
Fis-23080,46865,Scymnodon plunketi,Plunket's Shark,NT,0.2
Fis-29340,41795,Cirrhigaleus barbifer,NA,NT,0.2
Fis-23101,6229,Dalatias licha,Kitefin Shark,NT,0.2
Fis-23103,41798,Deania calcea,Birdbeak Dogfish,LC,0
Fis-23104,161551,Deania profundorum,Arrowhead Dogfish,LC,0
Fis-23105,161635,Deania quadrispinosa,Longsnout Dogfish,NT,0.2
Fis-29380,63108,Etmopterus gracilispinis,Broadbanded Lanternshark,LC,0
Fis-23121,63118,Etmopterus granulosus,Southern Lanternshark,LC,0
Fis-23122,60239,Etmopterus hillianus,Caribbean Lanternshark,LC,0
Fis-29381,161517,Etmopterus lucifer,Blackbelly Lanternshark,LC,0
Fis-23123,161443,Etmopterus pusillus,Smooth Lanternshark,LC,0
Fis-29384,60246,Etmopterus schultzi,Fringefin Lanternshark,LC,0
Fis-29385,60244,Etmopterus sentosus,Thorny Lanternshark,LC,0
Fis-23124,161388,Etmopterus spinax,Velvet Belly Lanternshark,LC,0
Fis-29387,60245,Etmopterus virens,Green Lanternshark,LC,0
Fis-23127,60210,Euprotomicrus bispinatus,Pygmy Shark,LC,0
Fis-23161,41830,Isistius brasiliensis,Cookie-cutter Shark,LC,0
Fis-29421,60212,Isistius plutodus,Largetooth Cookiecutter Shark,LC,0
Fis-29531,60214,Squaliolus laticaudus,Spined Pygmy Shark,LC,0
Fis-23205,63141,Oxynotus centrina,Angular Rough Shark,VU,0.4
Fis-29481,44496,Pliotrema warreni,Sixgill Sawshark,NT,0.2
Fis-23223,39327,Pristiophorus cirratus,Common Sawshark,LC,0
Fis-29485,41846,Pristiophorus nudipinnis,Southern Sawshark,LC,0
Fis-29538,61417,Squatina aculeata,Sawback Angelshark,CR,0.8
Fis-23281,39329,Squatina argentina,Argentine Angel Shark,EN,0.6
Fis-29540,41862,Squatina australis,Australian Angel Shark,LC,0
Fis-29541,39328,Squatina californica,Pacific Angel Shark,NT,0.2
Fis-29544,161558,Squatina japonica,Japanese Angelshark,VU,0.4
Fis-29545,161325,Squatina nebulosa,Clouded Angelshark,VU,0.4
Fis-29546,61418,Squatina oculata,Smoothback Angelshark,CR,0.8
Fis-23282,39332,Squatina squatina,Angelshark,CR,0.8
Fis-23150,39333,Heterodontus francisci,NA,LC,0
Fis-23151,41824,Heterodontus galeatus,Crested Hornshark,LC,0
Fis-23152,161714,Heterodontus japonicus,Japanese Bullhead Shark,LC,0
Fis-23153,39334,Heterodontus portusjacksoni,Port Jackson Shark,LC,0
Fis-23156,41825,Heterodontus zebra,Zebra Port Jackson Shark,LC,0
Fis-29388,3854,Carcharias taurus,Sand Tiger Shark,VU,0.4
Fis-23198,41876,Odontaspis ferox,Smalltooth Sand Tiger,VU,0.4
Fis-23071,3855,Carcharodon carcharias,Great White Shark,VU,0.4
Fis-58485,39341,Isurus oxyrinchus,Shortfin Mako,VU,0.4
Fis-29423,60225,Isurus paucus,Longfin Mako,VU,0.4
Fis-29426,39342,Lamna ditropis,Salmon Shark,LC,0
Fis-23126,41873,Eucrossorhinus dasypogon,Tasselled Wobbegong,LC,0
Fis-23201,41837,Orectolobus maculatus,Spotted Wobbegong,LC,0
Fis-23202,41838,Orectolobus ornatus,Ornate Wobbegong,LC,0
Fis-29459,41839,Orectolobus wardi,Northern Wobbegong,LC,0
Fis-23292,41864,Sutorectus tentaculatus,Cobbler Wobbegong,LC,0
Fis-29282,44217,Apristurus longicephalus,Longhead Catshark,LC,0
Fis-23005,44657,Apristurus microps,Smalleye Catshark,LC,0
Fis-23006,44223,Apristurus platyrhynchus,Flatnose Catshark,LC,0
Fis-23008,44602,Apristurus saldanha,Saldanha Catshark,LC,0
Fis-29454,135567,Mugil cephalus,Flathead Mullet,LC,0
Fis-23028,41720,Asymbolus analis,Grey Spotted Catshark,LC,0
Fis-23029,41727,Asymbolus vincenti,Gulf Catshark,LC,0
Fis-23081,41752,Cephaloscyllium isabellum,Carpet Shark,LC,0
Fis-23082,41753,Cephaloscyllium laticeps,Australian Swellshark,LC,0
Fis-23130,161479,Galeus arae,Roughtail Catshark,LC,0
Fis-6652,41811,Figaro boardmani,Australian Sawtail Shark,LC,0
Fis-23132,161364,Galeus eastmani,Geko Catshark,LC,0
Fis-29397,161398,Galeus melastomus,Blackmouth Catshark,LC,0
Fis-23133,161705,Galeus murinus,Mouse Catshark,LC,0
Fis-29400,44649,Galeus polli,African Sawtail Catshark,LC,0
Fis-29406,161488,Halaelurus boesemani,Speckled Catshark,VU,0.4
Fis-23146,39345,Haploblepharus edwardsii,Happy Eddie,NT,0.2
Fis-29411,39346,Haploblepharus fuscus,Brown Shyshark,VU,0.4
Fis-23158,161675,Holohalaelurus punctatus,Whitespotted Izak,EN,0.6
Fis-23159,161574,Holohalaelurus regani,Izak Catshark,LC,0
Fis-23213,60231,Parmaturus xaniurus,Filetail Catshark,LC,0
Fis-23220,39348,Poroderma africanum,Pyjama Shark,NT,0.2
Fis-29503,161544,Schroederichthys maculatus,Narrowtail Catshark,LC,0
Fis-23196,194844,Notoscopelus elongatus,Pez Linterna Mediterráneo,LC,0
Fis-29516,161336,Scyliorhinus boa,Boa Catshark,LC,0
Fis-23251,161399,Scyliorhinus canicula,Small Spotted Catshark,LC,0
Fis-23252,39349,Scyliorhinus capensis,Yellowspotted Catshark,NT,0.2
Fis-23255,60233,Scyliorhinus retifer,Chain Catshark,LC,0
Fis-23256,161484,Scyliorhinus stellaris,Nursehound,NT,0.2
Fis-29520,161449,Scyliorhinus torrei,Dwarf Catshark,LC,0
