iucn_sid,sciname
67513593,Magnolia peruviana
191878,Magnolia philippinensis
193990,Magnolia platyphylla
193991,Magnolia pleiocarpa
193992,Magnolia poasana
38874,Magnolia polyhypsophylla
193993,Magnolia portoricensis
34962,Magnolia praecalva
193994,Magnolia ptaritepuiana
193995,Magnolia pterocarpa
193996,Magnolia pubescens
194806,Magnolia pugana
31237,Magnolia punduana
67513596,Magnolia quetzal
15116599,Magnolia rabaniana
191517,Magnolia rajaniana
193997,Magnolia rimachii
32426,Magnolia rostrata
191501,Magnolia rufibarbata
82782448,Magnolia rzedowskiana
193998,Magnolia sabahensis
193999,Magnolia salicifolia
38405,Magnolia sambuensis
69321157,Magnolia sanchez-vegae
38875,Magnolia santanderiana
88945600,Magnolia sapaensis
194000,Magnolia sarawakensis
31289,Magnolia sargentiana
67513599,Magnolia savegrensis
30758,Magnolia schiedeana
15116687,Magnolia scortechinii
194001,Magnolia sellowiana
194002,Magnolia sharpii
191503,Magnolia shiluensis
67513602,Magnolia shuarorum
191879,Magnolia siamensis
194003,Magnolia sieboldii
32469,Magnolia sieboldii subsp. sinensis
194006,Magnolia silvioi
67513605,Magnolia sinacacolinii
39005,Magnolia singapurensis
34965,Magnolia sinica
69306476,Magnolia sinostellata
191489,Magnolia sirindhorniae
62599,Magnolia sororum
194007,Magnolia sororum subsp. lutea
35603,Magnolia sororum subsp. sororum
15116768,Magnolia sphaerantha
194008,Magnolia splendens
194009,Magnolia sprengeri
194010,Magnolia stellata
67513608,Magnolia steyermarkii
194011,Magnolia striatifolia
88981112,Magnolia sulawesiana
15116826,Magnolia sumatrae
66772941,Magnolia sumatrana
67513611,Magnolia talamancana
194012,Magnolia tamaulipana
193983,Magnolia tarahumara
191496,Magnolia thailandica
86007342,Magnolia tiepii
194013,Magnolia tripetala
194014,Magnolia tsiampacca
38862,Magnolia urraoensis
191880,Magnolia utilis
67513621,Magnolia vallartensis
86007357,Magnolia vargasiana
15116875,Magnolia vazquezii
194016,Magnolia venezuelensis
191514,Magnolia ventii
194017,Magnolia villosa
194018,Magnolia virginiana
68910770,Magnolia virginiana subsp. oviedoae
88945056,Magnolia viridipetala
38876,Magnolia virolinensis
67513624,Magnolia vovidesii
194019,Magnolia vrieseana
67513627,Magnolia wendtii
67513630,Magnolia wetteri
31274,Magnolia wilsonii
38877,Magnolia wolfii
39017,Magnolia xanthantha
15116978,Magnolia xiana
88965631,Magnolia xianianhei
15117011,Magnolia xinganensis
67513633,Magnolia yantzazana
38863,Magnolia yarumalensis
37455,Magnolia yoroconte
15117052,Magnolia yunnanensis
194020,Magnolia yuyuanensis
67513636,Magnolia zamorana
67513639,Magnolia zamudioi
32427,Magnolia zenii
15117105,Magnolia zhengyiana
67513642,Magnolia zoquepopolucae
133411,Acanthastrea bowerbanki
133557,Acanthastrea brevis
133246,Acanthastrea echinata
133624,Acanthastrea faviaformis
133642,Acanthastrea hemprichii
133106,Acanthastrea hillae
133376,Acanthastrea ishigakiensis
133366,Acanthastrea lordhowensis
133490,Acanthastrea maxima
133326,Acanthastrea regularis
133386,Acanthastrea rotundoflora
132929,Acanthastrea subechinata
133133,Acropora abrolhosensis
133649,Acropora abrotanoides
133463,Acropora aculeus
132940,Acropora acuminata
133655,Acropora akajimensis
133513,Acropora anthocercis
133195,Acropora appressa
133604,Acropora arabensis
133132,Acropora aspera
133160,Acropora austera
133583,Acropora awi
133283,Acropora batunai
133658,Acropora bifurcata
133334,Acropora branchi
133471,Acropora bushyensis
133264,Acropora cardenae
132933,Acropora carduus
133112,Acropora caroliniana
133576,Acropora cerealis
133381,Acropora cervicornis
133481,Acropora chesterfieldensis
133207,Acropora clathrata
133379,Acropora convexa
132862,Acropora cophodactyla
133678,Acropora copiosa
133313,Acropora cytherea
133322,Acropora dendrum
132984,Acropora derawanensis
133396,Acropora desalwii
133250,Acropora digitifera
132910,Acropora divaricata
133223,Acropora donei
133469,Acropora downingi
133661,Acropora echinata
133672,Acropora efflorescens
133688,Acropora elegans
133104,Acropora elegantula
133010,Acropora elseyi
133592,Acropora exquisita
133312,Acropora fastigata
133125,Acropora fenneri
133699,Acropora filiformis
132869,Acropora florida
133644,Acropora formosa
133204,Acropora forskali
133324,Acropora gemmifera
133550,Acropora glauca
133387,Acropora globiceps
133352,Acropora gomezi
133013,Acropora grandis
132948,Acropora granulosa
133449,Acropora haimei
133311,Acropora halmaherae
132981,Acropora hemprichii
133401,Acropora hoeksemai
133319,Acropora horrida
132992,Acropora humilis
133479,Acropora hyacinthus
133600,Acropora indonesia
133273,Acropora inermis
133035,Acropora insignis
132906,Acropora irregularis
133617,Acropora jacquelineae
132882,Acropora japonica
133507,Acropora khayranensis
133233,Acropora kimbeensis
133081,Acropora kirstyae
133500,Acropora kosurini
133086,Acropora lamarcki
133120,Acropora latistella
132946,Acropora lianae
132969,Acropora listeri
133394,Acropora loisetteae
133294,Acropora lokani
132988,Acropora longicyathus
132976,Acropora loripes
133327,Acropora lovelli
133303,Acropora lutkeni
132950,Acropora macrostoma
132914,Acropora maryae
133677,Acropora massawensis
133189,Acropora meridiana
133359,Acropora microclados
133021,Acropora microphthalma
133666,Acropora millepora
133018,Acropora minuta
133483,Acropora mirabilis
133315,Acropora monticulosa
132990,Acropora multiacuta
133698,Acropora nana
133239,Acropora nasuta
133480,Acropora natalensis
133280,Acropora navini
133266,Acropora nobilis
133000,Acropora ocellata
133265,Acropora orbicularis
133475,Acropora pagoensis
133006,Acropora palmata
133531,Acropora palmerae
132972,Acropora paniculata
133494,Acropora papillare
133130,Acropora paragemmifera
133385,Acropora parahemprichii
133138,Acropora parapharaonis
133279,Acropora parilis
132867,Acropora pectinatus
133247,Acropora pharaonis
133639,Acropora pichoni
133103,Acropora pinguis
133017,Acropora plana
133122,Acropora plantaginea
132935,Acropora plumosa
133647,Acropora polystoma
132863,Acropora prostrata
133598,Acropora proximalis
133128,Acropora pruinosa
133033,Acropora pulchra
132966,Acropora rambleri
133115,Acropora retusa
133350,Acropora ridzwani
133248,Acropora robusta
133462,Acropora rongelapensis
132908,Acropora rosaria
133206,Acropora roseni
132913,Acropora rudis
132951,Acropora rufus
133164,Acropora russelli
132998,Acropora samoensis
133271,Acropora sarmentosa
133355,Acropora scherzeriana
133626,Acropora schmitti
132888,Acropora secale
133274,Acropora sekiseiensis
133080,Acropora selago
132886,Acropora seriata
133427,Acropora simplex
133320,Acropora solitaryensis
132937,Acropora spathulata
133338,Acropora speciosa
133432,Acropora spicifera
133402,Acropora squarrosa
132919,Acropora stoddarti
133291,Acropora striata
133087,Acropora subglabra
133682,Acropora subulata
133254,Acropora suharsonoi
133181,Acropora sukarnoi
132934,Acropora tanegashimensis
133203,Acropora tenella
133020,Acropora tenuis
133393,Acropora teres
133061,Acropora tizardi
133318,Acropora torihalimeda
133681,Acropora torresiana
133252,Acropora tortuosa
132971,Acropora tumida
132909,Acropora turaki
133030,Acropora tutuilensis
133621,Acropora valenciennesi
133293,Acropora valida
132952,Acropora variabilis
133348,Acropora variolosa
133025,Acropora vaughani
133050,Acropora vermiculata
133532,Acropora verweyi
133441,Acropora walindii
133518,Acropora wallaceae
132931,Acropora willisae
133547,Acropora yongei
133535,Agaricia agaricites
133153,Agaricia fragilis
133288,Agaricia grahamae
133255,Agaricia humilis
132970,Agaricia lamarcki
133439,Agaricia tenuifolia
133100,Agaricia undata
133332,Alveopora allingi
132905,Alveopora catalai
133093,Alveopora daedalea
133464,Alveopora excelsa
133523,Alveopora fenestrata
133501,Alveopora gigas
132865,Alveopora japonica
132896,Alveopora marionensis
133467,Alveopora minuta
133339,Alveopora ocellata
133482,Alveopora spongiosa
133675,Alveopora tizardi
133156,Alveopora verrilliana
133567,Alveopora viridis
133341,Anacropora forbesi
132973,Anacropora matthai
133524,Anacropora pillai
133415,Anacropora puertogalerae
133689,Anacropora reticulata
133046,Anacropora spinosa
133005,Anacropora spumosa
133484,Anomastraea irregularis
133446,Astrangia poculata
133069,Astreopora cucullata
133214,Astreopora eliptica
133227,Astreopora expansa
133302,Astreopora gracilis
133092,Astreopora incrustans
133267,Astreopora listeri
133306,Astreopora macrostoma
133174,Astreopora moretonensis
133292,Astreopora myriophthalma
133129,Astreopora ocellata
133485,Astreopora randalli
133137,Astreopora scabra
133048,Astreopora suggesta
133620,Australogyra zelli
133573,Australomussa rowleyensis
133085,Balanophyllia europaea
133084,Barabattoia amicorum
133383,Barabattoia laddi
133528,Blastomussa merleti
133253,Blastomussa wellsi
132965,Boninastrea boninensis
132861,Calathiscus tantillus
133597,Cantharellus doederleini
133044,Cantharellus jebbi
133384,Cantharellus noumeae
132890,Catalaphyllia jardinei
133287,Caulastrea connata
133695,Caulastrea curvata
133497,Caulastrea echinulata
133417,Caulastrea furcata
133405,Caulastrea tumida
133575,Cladocora arbuscula
133142,Cladocora caespitosa
133171,Coeloseris mayeri
132884,Colpophyllia natans
133428,Coscinaraea columna
132991,Coscinaraea crassa
133176,Coscinaraea exesa
133684,Coscinaraea hahazimaensis
133163,Coscinaraea marshae
133077,Coscinaraea mcneilli
133323,Coscinaraea monile
133408,Coscinaraea wellsi
133667,Craterestrea levis
133083,Ctenactis albitentaculata
133110,Ctenactis crassa
133148,Ctenactis echinata
133701,Ctenella chagius
133413,Cynarina lacrymalis
133628,Cyphastrea agassizi
133325,Cyphastrea chalcidicum
133669,Cyphastrea decadia
133506,Cyphastrea hexasepta
133690,Cyphastrea japonica
133648,Cyphastrea microphthalma
133321,Cyphastrea ocellina
133167,Cyphastrea serailia
133124,Dendrogyra cylindrus
133436,Dichocoenia stellaris
133102,Dichocoenia stokesii
133231,Diploastrea heliopora
133377,Diploria clivosa
133257,Diploria labyrinthiformis
133155,Diploria strigosa
133114,Duncanopsammia axifuga
132907,Echinomorpha nishihirai
133172,Echinophyllia aspera
133656,Echinophyllia costata
133058,Echinophyllia echinata
132947,Echinophyllia echinoporoides
133609,Echinophyllia orpheensis
133089,Echinophyllia patula
133154,Echinophyllia pectinata
132920,Echinopora ashmorensis
133687,Echinopora forskaliana
133554,Echinopora fruticulosa
132987,Echinopora gemmacea
133487,Echinopora grandicula
133188,Echinopora hirsutissima
133429,Echinopora horrida
133052,Echinopora irregularis
133088,Echinopora lamellosa
133040,Echinopora mammiformis
133243,Echinopora pacificus
