cell_id,mean_risk,var_risk,n_spp_threatened,n_spp_risk,mean_trend,n_spp_trend
1533169,0,NA,0,1,-0.00406,1
1533170,0,NA,0,1,-0.00406,1
1533180,0,NA,0,1,-0.00406,1
1533181,0,NA,0,1,-0.00406,1
1533182,0,NA,0,1,-0.00406,1
1533183,0,NA,0,1,-0.00406,1
1536019,0,NA,0,1,-0.00406,1
1536020,0,NA,0,1,-0.00406,1
1536021,0,NA,0,1,-0.00406,1
1536022,0,NA,0,1,-0.00406,1
1536023,0,NA,0,1,-0.00406,1
1538858,0,NA,0,1,-0.00406,1
1538859,0,NA,0,1,-0.00406,1
1538860,0,NA,0,1,-0.00406,1
1538861,0,NA,0,1,-0.00406,1
1538862,0,NA,0,1,-0.00406,1
1541699,0,NA,0,1,-0.00406,1
1541700,0,NA,0,1,-0.00406,1
1541701,0,NA,0,1,-0.00406,1
1541702,0,NA,0,1,-0.00406,1
1544538,0,NA,0,1,-0.00406,1
1544539,0,NA,0,1,-0.00406,1
1544540,0,NA,0,1,-0.00406,1
1544541,0,NA,0,1,-0.00406,1
1547377,0,NA,0,1,-0.00406,1
1547378,0,NA,0,1,-0.00406,1
1547379,0,NA,0,1,-0.00406,1
1547380,0,NA,0,1,-0.00406,1
1550218,0,NA,0,1,-0.00406,1
1550219,0,NA,0,1,-0.00406,1
1550227,0,NA,0,1,-0.00406,1
1550229,0,NA,0,1,-0.00406,1
1550230,0,NA,0,1,-0.00406,1
1550238,0,NA,0,1,-0.00406,1
1553075,0,NA,0,1,-0.00406,1
1553076,0,NA,0,1,-0.00406,1
1553077,0,NA,0,1,-0.00406,1
1555914,0,NA,0,1,-0.00406,1
1555915,0,NA,0,1,-0.00406,1
1555916,0,NA,0,1,-0.00406,1
1558751,0,NA,0,1,-0.00406,1
1558752,0,NA,0,1,-0.00406,1
1558753,0,NA,0,1,-0.00406,1
1558754,0,NA,0,1,-0.00406,1
1558755,0,NA,0,1,-0.00406,1
1561590,0,NA,0,1,-0.00406,1
1561591,0,NA,0,1,-0.00406,1
1564429,0,NA,0,1,-0.00406,1
1564430,0,NA,0,1,-0.00406,1
1587162,0,NA,0,1,-0.00406,1
1587163,0,NA,0,1,-0.00406,1
1587164,0,NA,0,1,-0.00406,1
1590000,0,NA,0,1,-0.00406,1
1590001,0,NA,0,1,-0.00406,1
1590002,0,NA,0,1,-0.00406,1
1590003,0,NA,0,1,-0.00406,1
1590004,0,NA,0,1,-0.00406,1
1592839,0,NA,0,1,-0.00406,1
1592843,0,NA,0,1,-0.00406,1
1595676,0,NA,0,1,-0.00406,1
1595678,0,NA,0,1,-0.00406,1
1595681,0,NA,0,1,-0.00406,1
1595682,0,NA,0,1,-0.00406,1
1598514,0,NA,0,1,-0.00406,1
1598515,0,NA,0,1,-0.00406,1
1598517,0,NA,0,1,-0.00406,1
1598518,0,NA,0,1,-0.00406,1
1598520,0,NA,0,1,-0.00406,1
1601353,0,NA,0,1,-0.00406,1
1601354,0,NA,0,1,-0.00406,1
1601356,0,NA,0,1,-0.00406,1
1601357,0,NA,0,1,-0.00406,1
1601358,0,NA,0,1,-0.00406,1
1601359,0,NA,0,1,-0.00406,1
1604191,0,NA,0,1,-0.00406,1
1604192,0,NA,0,1,-0.00406,1
1604193,0,NA,0,1,-0.00406,1
1604196,0,NA,0,1,-0.00406,1
1604197,0,NA,0,1,-0.00406,1
1604198,0,NA,0,1,-0.00406,1
1607030,0,NA,0,1,-0.00406,1
1607031,0,NA,0,1,-0.00406,1
1607048,0,NA,0,1,-0.00406,1
1609886,0,NA,0,1,-0.00406,1
1609887,0,NA,0,1,-0.00406,1
1609888,0,NA,0,1,-0.00406,1
1612725,0,NA,0,1,-0.00406,1
1612727,0,NA,0,1,-0.00406,1
1615563,0,NA,0,1,-0.00406,1
1615564,0,NA,0,1,-0.00406,1
1615566,0,NA,0,1,-0.00406,1
1618402,0,NA,0,1,-0.00406,1
1618405,0,NA,0,1,-0.00406,1
1618406,0,NA,0,1,-0.00406,1
1621241,0,NA,0,1,-0.00406,1
1621242,0,NA,0,1,-0.00406,1
1621244,0,NA,0,1,-0.00406,1
1621245,0,NA,0,1,-0.00406,1
1624081,0,NA,0,1,-0.00406,1
1624082,0,NA,0,1,-0.00406,1
1624083,0,NA,0,1,-0.00406,1
1624084,0,NA,0,1,-0.00406,1
1624085,0,NA,0,1,-0.00406,1
1626920,0,NA,0,1,-0.00406,1
1626921,0,NA,0,1,-0.00406,1
1626922,0,NA,0,1,-0.00406,1
1626923,0,NA,0,1,-0.00406,1
1626924,0,NA,0,1,-0.00406,1
1626927,0,NA,0,1,-0.00406,1
1626929,0,NA,0,1,-0.00406,1
1629759,0,NA,0,1,-0.00406,1
1629760,0,NA,0,1,-0.00406,1
1629761,0,NA,0,1,-0.00406,1
1629762,0,NA,0,1,-0.00406,1
1629763,0,NA,0,1,-0.00406,1
1629766,0,NA,0,1,-0.00406,1
1629768,0,NA,0,1,-0.00406,1
