cell_id,mean_risk,n_spp_risk
1202588,0.2,1
1202589,0.2,1
1202590,0.2,1
1205404,0.2,1
1205405,0.2,1
1205406,0.2,1
1205407,0.2,1
1205408,0.2,1
1205409,0.2,1
1205410,0.2,1
1205411,0.2,1
1205412,0.2,1
1205413,0.2,1
1205414,0.2,1
1205415,0.2,1
1205416,0.2,1
1205417,0.2,1
1205418,0.2,1
1205419,0.2,1
1205420,0.2,1
1205421,0.2,1
1205422,0.2,1
1205423,0.2,1
1205424,0.2,1
1205425,0.2,1
1205426,0.2,1
1205427,0.2,1
1205428,0.2,1
1205429,0.2,1
1208243,0.2,1
1208244,0.2,1
1208245,0.2,1
1208246,0.2,1
1208247,0.2,1
1208248,0.2,1
1208249,0.2,1
1208250,0.2,1
1208251,0.2,1
1208252,0.2,1
1208253,0.2,1
1208254,0.2,1
1208255,0.2,1
1208256,0.2,1
1208257,0.2,1
1208258,0.2,1
1208259,0.2,1
1208260,0.2,1
1208261,0.2,1
1208262,0.2,1
1208263,0.2,1
1208264,0.2,1
1208265,0.2,1
1208266,0.2,1
1208267,0.2,1
1208268,0.2,1
1211082,0.2,1
1211083,0.2,1
1211084,0.2,1
1211085,0.2,1
1211086,0.2,1
1211087,0.2,1
1211088,0.2,1
1211089,0.2,1
1211090,0.2,1
1211091,0.2,1
1211092,0.2,1
1211093,0.2,1
1211094,0.2,1
1211095,0.2,1
1211096,0.2,1
1211097,0.2,1
1211098,0.2,1
1211099,0.2,1
1211100,0.2,1
1211101,0.2,1
1211102,0.2,1
1211103,0.2,1
1211104,0.2,1
1211105,0.2,1
1211106,0.2,1
1213921,0.2,1
1213922,0.2,1
1213923,0.2,1
1213924,0.2,1
1213925,0.2,1
1213926,0.2,1
1213927,0.2,1
1213928,0.2,1
1213929,0.2,1
1213930,0.2,1
1213931,0.2,1
1213932,0.2,1
1213933,0.2,1
1213934,0.2,1
1213935,0.2,1
1213936,0.2,1
1213937,0.2,1
1213938,0.2,1
1213939,0.2,1
1213940,0.2,1
1213941,0.2,1
1213942,0.2,1
1213943,0.2,1
1213944,0.2,1
1213945,0.2,1
1216760,0.2,1
1216761,0.2,1
1216762,0.2,1
1216763,0.2,1
1216764,0.2,1
1216765,0.2,1
1216766,0.2,1
1216767,0.2,1
1216768,0.2,1
1216769,0.2,1
1216770,0.2,1
1216771,0.2,1
1216772,0.2,1
1216773,0.2,1
1216774,0.2,1
1216775,0.2,1
1216776,0.2,1
1216777,0.2,1
1216778,0.2,1
1216779,0.2,1
1216780,0.2,1
1216781,0.2,1
1216782,0.2,1
1216783,0.2,1
1216784,0.2,1
1219599,0.2,1
1219600,0.2,1
1219601,0.2,1
1219602,0.2,1
1219603,0.2,1
1219604,0.2,1
1219605,0.2,1
1219606,0.2,1
1219607,0.2,1
1219608,0.2,1
1219609,0.2,1
1219610,0.2,1
1219611,0.2,1
1219612,0.2,1
1219613,0.2,1
1219614,0.2,1
1219615,0.2,1
1219616,0.2,1
1219617,0.2,1
1219618,0.2,1
1219619,0.2,1
1219620,0.2,1
1219621,0.2,1
1219622,0.2,1
1222438,0.2,1
1222439,0.2,1
1222440,0.2,1
1222441,0.2,1
1222442,0.2,1
1222443,0.2,1
1222444,0.2,1
1222445,0.2,1
1222446,0.2,1
1222447,0.2,1
1222448,0.2,1
1222449,0.2,1
1222450,0.2,1
1222451,0.2,1
1222452,0.2,1
1222453,0.2,1
1222454,0.2,1
1222455,0.2,1
1222456,0.2,1
1222457,0.2,1
1222458,0.2,1
1222459,0.2,1
1222460,0.2,1
1222461,0.2,1
1225280,0.2,1
1225282,0.2,1
1225283,0.2,1
1225284,0.2,1
1225285,0.2,1
1225286,0.2,1
1225287,0.2,1
1225288,0.2,1
1225289,0.2,1
1225290,0.2,1
1225291,0.2,1
1225292,0.2,1
1225293,0.2,1
1225294,0.2,1
1225295,0.2,1
1225296,0.2,1
1225297,0.2,1
1225298,0.2,1
1225299,0.2,1
1228120,0.2,1
1228121,0.2,1
1228122,0.2,1
1228123,0.2,1
1228124,0.2,1
1228125,0.2,1
1228126,0.2,1
1228127,0.2,1
1228128,0.2,1
1228129,0.2,1
1228130,0.2,1
1228131,0.2,1
1228132,0.2,1
1228133,0.2,1
1228134,0.2,1
1228135,0.2,1
1228136,0.2,1
1228137,0.2,1
1230958,0.2,1
1230960,0.2,1
1230962,0.2,1
1230963,0.2,1
1230964,0.2,1
1230965,0.2,1
1230966,0.2,1
1230967,0.2,1
1230968,0.2,1
1230969,0.2,1
1230970,0.2,1
1230971,0.2,1
1230972,0.2,1
1230973,0.2,1
1230974,0.2,1
1230975,0.2,1
1230976,0.2,1
1233799,0.2,1
1233800,0.2,1
1233801,0.2,1
1233802,0.2,1
1233803,0.2,1
1233804,0.2,1
1233805,0.2,1
1233806,0.2,1
1233807,0.2,1
1233808,0.2,1
1233809,0.2,1
1233810,0.2,1
1233811,0.2,1
1233812,0.2,1
1233813,0.2,1
1236638,0.2,1
1236639,0.2,1
1236641,0.2,1
1236642,0.2,1
1236643,0.2,1
1236644,0.2,1
1236645,0.2,1
1236647,0.2,1
1236648,0.2,1
1236649,0.2,1
1236650,0.2,1
1239481,0.2,1
1239482,0.2,1
1239484,0.2,1
1262322,0.4,1
1262323,0.4,1
1262324,0.4,1
1265163,0.4,1
1268000,0.4,1
1270839,0.4,1
1270840,0.4,1
1270841,0.4,1
1273678,0.4,1
1273679,0.4,1
1273680,0.4,1
1273685,0.4,1
1273686,0.4,1
1276517,0.4,1
1276518,0.4,1
1276519,0.4,1
1276520,0.4,1
1276521,0.4,1
1276523,0.4,1
1276524,0.4,1
1276525,0.4,1
1276526,0.4,1
1279348,0.4,1
1279349,0.4,1
1279350,0.4,1
1279354,0.4,1
1279356,0.4,1
1279357,0.4,1
1279358,0.4,1
1279359,0.4,1
1279360,0.4,1
1279361,0.4,1
1279362,0.4,1
1279363,0.4,1
1279364,0.4,1
1279365,0.4,1
1282065,0.2,1
1282190,0.4,1
1282192,0.4,1
1282193,0.4,1
1282194,0.4,1
1282195,0.4,1
1282196,0.4,1
1282197,0.4,1
1282198,0.4,1
1282199,0.4,1
1282200,0.4,1
1282201,0.4,1
1282202,0.4,1
1282203,0.4,1
1282204,0.4,1
1284904,0.2,1
1284905,0.2,1
1285027,0.4,1
1285029,0.4,1
1285030,0.4,1
1285031,0.4,1
1285032,0.4,1
1285033,0.4,1
1285034,0.4,1
1285035,0.4,1
1285036,0.4,1
1285037,0.4,1
1285038,0.4,1
1285039,0.4,1
1285040,0.4,1
1285041,0.4,1
1285042,0.4,1
1285043,0.4,1
1287743,0.2,1
1287744,0.2,1
1287868,0.4,1
1287869,0.4,1
1287870,0.4,1
1287871,0.4,1
1287872,0.4,1
1287873,0.4,1
1287874,0.4,1
1287875,0.4,1
1287876,0.4,1
1287877,0.4,1
1287878,0.4,1
1287879,0.4,1
1287880,0.4,1
1287881,0.4,1
1287882,0.4,1
1287883,0.4,1
1290582,0.2,1
1290583,0.2,1
1290708,0.4,1
1290709,0.4,1
1290710,0.4,1
1290711,0.4,1
1290712,0.4,1
1290713,0.4,1
1290714,0.4,1
1290715,0.4,1
1290716,0.4,1
1290717,0.4,1
1290718,0.4,1
1290719,0.4,1
1290720,0.4,1
1290721,0.4,1
1290722,0.4,1
1293420,0.2,1
1293421,0.2,1
1293422,0.2,1
1293546,0.4,1
1293547,0.4,1
1293548,0.4,1
1293549,0.4,1
1293550,0.4,1
1293551,0.4,1
1293552,0.4,1
1293553,0.4,1
1293554,0.4,1
1293555,0.4,1
1293556,0.4,1
1293557,0.4,1
1293558,0.4,1
1293559,0.4,1
1293560,0.4,1
1293561,0.4,1
1293562,0.4,1
1296259,0.2,1
1296260,0.2,1
1296261,0.2,1
1296384,0.4,1
1296385,0.4,1
1296386,0.4,1
1296387,0.4,1
1296388,0.4,1
1296389,0.4,1
1296390,0.4,1
1296391,0.4,1
1296392,0.4,1
1296393,0.4,1
