Size class,N,"Area in class, km²",% area dropped (.5km cells),% area dropped (1km cells),% area dropped (2km cells),% area dropped (3km cells),% area dropped (5km cells)
< .001,7,0.004449647244233,100,100,100,100,100
< .01,41,0.216426382777154,98.36269496030636,100.00000000000001,100.00000000000001,100.00000000000001,100.00000000000001
< .1,425,20.137180958756563,74.9140193219954,94.85143401191904,97.5916349246709,99.33969043407498,99.80478834941752
< 1,756,295.62524308034733,10.712463425994367,53.0208290828598,88.72823368902046,94.30460662726891,97.730197335433715
< 3,350,620.0886613049094,0,7.53865082486683,58.32927739383203,77.88974963913675,92.21974065169613
< 10,326,1945.5730644562661,0,0,9.54694334047951,41.98866810959586,76.50988929408577
< 100,473,17036.072256711625,0,0,0.06717423985541467,1.406199246483422,12.591389492647334
>= 100,484,6760307.54177196,0,0,0,0,0
Total,2862,6780225.2590545025,6.927741830488436e-4,0.0032861821881392164,0.012404543360082072,0.02711532558271312,0.06658646096426593
