MPA size,"A total, km²",N,% MPA by count,% MPA by area
< 1 km²,1513.7,5677,31.65,0.0051
< 100 km²,162141.4,8737,48.71,0.5418
< 1000 km²,852239.8,2447,13.64,2.8478
>= 1000 km²,28910791.8,1074,5.99,96.6054
