iucn_sid,iucn_rgn,years,cat_ts,scores,pop_trend_desc,calc_trend
39358,global,"2000, 2009","LC, VU","0, 0.4",decreasing,0.04444
39359,global,"2000, 2005","NT, NT","0.2, 0.2",unknown,0
39362,global,"2000, 2009","NT, NT","0.2, 0.2",unknown,0
39368,global,"2000, 2009","NT, NT","0.2, 0.2",unknown,0
39369,global,"2000, 2003","VU, CR","0.4, 0.8",unknown,0.13333
39370,global,"2000, 2009, 2016, 2017","LC, NT, NT, VU","0, 0.2, 0.2, 0.4",decreasing,0.01838
39372,global,"2000, 2009","NT, NT","0.2, 0.2",unknown,0
39374,global,"2000, 2006, 2015","NT, VU, VU","0.2, 0.4, 0.4",decreasing,0.01228
39378,global,"2000, 2009","NT, NT","0.2, 0.2",unknown,0
39380,global,"2000, 2009, 2015","NT, NT, NT","0.2, 0.2, 0.2",unknown,-0
39381,global,"2000, 2009","NT, NT","0.2, 0.2",unknown,0
39384,global,"2000, 2005","NT, NT","0.2, 0.2",unknown,0
39385,global,"2000, 2007","NT, EN","0.2, 0.6",unknown,0.05714
39387,global,"2000, 2005, 2016","LC, LC, LC","0, 0, 0",stable,0
39388,global,"2000, 2005","NT, VU","0.2, 0.4",decreasing,0.04
39389,global,"2000, 2006, 2013","EN, CR, EN","0.6, 0.8, 0.6",decreasing,-7.9e-4
39393,global,"2000, 2006, 2013","EN, CR, CR","0.6, 0.8, 0.8",decreasing,0.01496
39396,global,"2000, 2005, 2015","LC, LC, LC","0, 0, 0",unknown,0
39397,global,"2000, 2006","EN, CR","0.6, 0.8",decreasing,0.03333
39399,europe,"2015, 2016","NT, NT","0.2, 0.2",stable,0
39399,global,"2000, 2005, 2016","NT, NT, NT","0.2, 0.2, 0.2",decreasing,-0
39400,global,"2000, 2006","NT, NT","0.2, 0.2",decreasing,0
39412,global,"2000, 2005","NT, NT","0.2, 0.2",unknown,0
39413,global,"2000, 2005, 2016","VU, VU, VU","0.4, 0.4, 0.4",decreasing,-0
39416,global,"2000, 2006, 2015","LC, LC, LC","0, 0, 0",unknown,0
39418,global,"2000, 2006, 2015","VU, EN, EN","0.4, 0.6, 0.6",decreasing,0.01228
39771,global,"2000, 2003","VU, EN","0.4, 0.6",stable,0.06667
39774,global,"2007, 2008","VU, VU","0.4, 0.4",decreasing,0
40797,global,"2000, 2009","NT, NT","0.2, 0.2",unknown,0
40802,global,"1996, 2002, 2012, 2017","VU, VU, VU, VU","0.4, 0.4, 0.4, 0.4",decreasing,0
41005,global,"1996, 2017","VU, VU","0.4, 0.4",decreasing,0
41007,global,"2012, 2017","VU, VU","0.4, 0.4",decreasing,0
41008,global,"2002, 2015","VU, VU","0.4, 0.4",decreasing,0
41010,global,"2012, 2017","VU, VU","0.4, 0.4",decreasing,0
41064,global,"2000, 2007, 2016","CR, CR, CR","0.8, 0.8, 0.8",decreasing,-0
41366,mediterranean,"2004, 2016","LC, LC","0, 0",unknown,0
41664,global,"1996, 2008, 2015","LC, LC, LC","0, 0, 0",increasing,0
41665,global,"1996, 2008, 2014, 2016","LC, LC, LC, LC","0, 0, 0, 0",stable,0
41666,global,"1996, 2008, 2015","LC, LC, LC","0, 0, 0",increasing,0
41668,global,"1996, 2008, 2015","VU, EN, EN","0.4, 0.6, 0.6",decreasing,0.01119
41670,global,"1996, 2016","LC, LC","0, 0",unknown,0
41671,global,"1996, 2008, 2015","LC, LC, LC","0, 0, 0",increasing,0
41672,global,"1996, 2008, 2016","LC, LC, LC","0, 0, 0",unknown,0
41711,global,"1996, 2008","EN, EN","0.6, 0.6",unknown,0
41712,global,"2008, 2012","EN, EN","0.6, 0.6",unknown,0
41718,global,"2003, 2015","NT, LC","0.2, 0",unknown,-0.01667
41722,global,"2003, 2016","LC, LC","0, 0",unknown,0
41723,global,"2003, 2016","LC, LC","0, 0",unknown,0
41724,global,"2003, 2016","LC, LC","0, 0",unknown,0
41725,global,"2003, 2015","LC, LC","0, 0",unknown,0
41726,global,"2003, 2016","LC, LC","0, 0",unknown,0
41727,global,"2003, 2016","LC, LC","0, 0",unknown,0
41728,global,"2003, 2015","LC, LC","0, 0",unknown,0
41729,global,"2003, 2015","LC, LC","0, 0",unknown,0
41732,global,"2003, 2015","LC, LC","0, 0",unknown,0
41740,global,"2003, 2013","CR, EN","0.8, 0.6",decreasing,-0.02
41743,global,"2003, 2015","LC, LC","0, 0",stable,0
41753,global,"2003, 2016","LC, LC","0, 0",stable,0
41755,global,"1996, 2008","VU, VU","0.4, 0.4",unknown,0
41794,global,"2003, 2016","NT, LC","0.2, 0",unknown,-0.01538
41796,global,"2003, 2016","LC, LC","0, 0",stable,0
41797,global,"2003, 2016","VU, VU","0.4, 0.4",decreasing,0
41805,global,"2003, 2015","LC, LC","0, 0",unknown,0
41806,global,"2003, 2015","LC, LC","0, 0",unknown,0
41807,global,"2003, 2015","LC, LC","0, 0",unknown,0
41808,global,"2003, 2015","LC, LC","0, 0",unknown,0
41810,global,"2003, 2016","NT, EN","0.2, 0.6",decreasing,0.03077
41811,global,"2003, 2016","LC, LC","0, 0",unknown,0
41818,global,"2003, 2015","LC, LC","0, 0",stable,0
41820,global,"2003, 2015","LC, LC","0, 0",unknown,0
41824,global,"2003, 2016","LC, LC","0, 0",unknown,0
41828,global,"2003, 2015","LC, LC","0, 0",unknown,0
41829,global,"2003, 2016","LC, LC","0, 0",unknown,0
41833,global,"2003, 2006","NT, NT","0.2, 0.2",unknown,0
41837,global,"2003, 2009, 2015","NT, NT, LC","0.2, 0.2, 0",unknown,-0.01667
41838,global,"2003, 2009, 2015","NT, NT, LC","0.2, 0.2, 0",unknown,-0.01667
41839,global,"2003, 2015","LC, LC","0, 0",unknown,0
41841,global,"2003, 2016","LC, LC","0, 0",unknown,0
41842,global,"2003, 2016","LC, LC","0, 0",unknown,0
41844,global,"2003, 2016","LC, LC","0, 0",unknown,0
41846,global,"2003, 2016","LC, LC","0, 0",stable,0
41848,global,"2003, 2016","VU, VU","0.4, 0.4",decreasing,0
41849,global,"2003, 2016","VU, VU","0.4, 0.4",decreasing,0
41858,global,"2003, 2015","LC, LC","0, 0",unknown,0
41862,global,"2003, 2016","LC, LC","0, 0",stable,0
41864,global,"2003, 2015","LC, LC","0, 0",unknown,0
41872,global,"2003, 2016","NT, NT","0.2, 0.2",decreasing,0
41873,global,"2003, 2015","NT, LC","0.2, 0",unknown,-0.01667
41874,global,"2003, 2016","VU, VU","0.4, 0.4",decreasing,0
41876,global,"2009, 2016","VU, VU","0.4, 0.4",decreasing,0
41878,global,"2003, 2016","VU, EN","0.4, 0.6",decreasing,0.01538
42704,global,"2016, 2017","LC, LC","0, 0",unknown,0
42713,global,"2003, 2009, 2016","LC, LC, LC","0, 0, 0",unknown,0
42716,global,"2003, 2011","LC, LC","0, 0",unknown,0
42717,global,"2003, 2015","LC, LC","0, 0",unknown,0
42720,global,"2003, 2015","LC, LC","0, 0",unknown,0
42721,global,"2003, 2015","LC, LC","0, 0",unknown,0
42729,global,"2003, 2016","VU, VU","0.4, 0.4",decreasing,0
44183,global,"2000, 2005, 2016","NT, NT, LC","0.2, 0.2, 0",stable,-0.01343
44186,global,"2004, 2015","LC, LC","0, 0",unknown,0
60108,global,"2006, 2015","LC, LC","0, 0",stable,0
60111,global,"2006, 2015","LC, LC","0, 0",unknown,0
60112,global,"2006, 2016","LC, LC","0, 0",unknown,0
60121,global,"2006, 2016","EN, EN","0.6, 0.6",decreasing,0
60140,global,"2006, 2016","LC, LC","0, 0",stable,0
60146,global,"2006, 2015","LC, LC","0, 0",unknown,0
60147,global,"2006, 2016","NT, NT","0.2, 0.2",unknown,0
60148,global,"2006, 2016","NT, NT","0.2, 0.2",unknown,0
60150,global,"2006, 2015","NT, NT","0.2, 0.2",unknown,0
60153,global,"2006, 2016","NT, NT","0.2, 0.2",unknown,0
60155,global,"2006, 2016","NT, NT","0.2, 0.2",unknown,0
60156,global,"2006, 2011, 2015","NT, LC, LC","0.2, 0, 0",unknown,-0.02295
60158,global,"2006, 2016","LC, LC","0, 0",unknown,0
60159,global,"2006, 2016","LC, LC","0, 0",unknown,0
60160,global,"2006, 2016","NT, NT","0.2, 0.2",unknown,0
60162,global,"2006, 2015","VU, VU","0.4, 0.4",decreasing,0
60163,global,"2006, 2016","LC, LC","0, 0",unknown,0
60164,global,"2006, 2016","LC, LC","0, 0",unknown,0
60166,global,"2006, 2016","VU, VU","0.4, 0.4",decreasing,0
60168,global,"2006, 2016","NT, NT","0.2, 0.2",unknown,0
60171,global,"2006, 2016","NT, NT","0.2, 0.2",decreasing,0
60175,global,"2006, 2016","VU, VU","0.4, 0.4",unknown,0
60191,global,"2006, 2015","LC, LC","0, 0",increasing,0
60192,global,"2006, 2016","LC, LC","0, 0",stable,0
60195,global,"2006, 2016","NT, VU","0.2, 0.4",stable,0.02
60200,global,"2006, 2016","NT, NT","0.2, 0.2",decreasing,0
60210,global,"2006, 2015","LC, LC","0, 0",unknown,0
60212,global,"2006, 2015","LC, LC","0, 0",unknown,0
60344,global,"2008, 2010, 2014","CR, CR, CR","0.8, 0.8, 0.8",decreasing,-0
61405,europe,"2006, 2015","CR, CR","0.8, 0.8",decreasing,0
61417,global,"2006, 2007","EN, CR","0.6, 0.8",decreasing,0.2
61418,global,"2006, 2007","EN, CR","0.6, 0.8",decreasing,0.2
63119,global,"2007, 2016","LC, LC","0, 0",unknown,0
63120,global,"2007, 2015","LC, NT","0, 0.2",decreasing,0.025
63127,global,"2007, 2015","LC, LC","0, 0",unknown,0
63132,global,"2007, 2016","EN, EN","0.6, 0.6",decreasing,0
63152,global,"2007, 2016","LC, LC","0, 0",unknown,0
63165,global,"2003, 2011","LC, LC","0, 0",stable,0
64396,global,"2007, 2008","VU, VU","0.4, 0.4",decreasing,0
64400,global,"2007, 2008","VU, VU","0.4, 0.4",decreasing,0
64410,global,"2007, 2008","VU, VU","0.4, 0.4",decreasing,0
64411,global,"2007, 2008","VU, VU","0.4, 0.4",decreasing,0
64412,global,"2007, 2008","VU, VU","0.4, 0.4",decreasing,0
132730,global,"2008, 2017","LC, LC","0, 0",unknown,0
132733,global,"2008, 2017","LC, LC","0, 0",stable,0
132754,global,"2008, 2017","LC, LC","0, 0",unknown,0
132767,global,"2008, 2017","LC, LC","0, 0",unknown,0
132783,global,"2008, 2017","LC, LC","0, 0",unknown,0
132822,global,"2008, 2017","LC, LC","0, 0",stable,0
132860,global,"2008, 2014","VU, VU","0.4, 0.4",unknown,0
132869,global,"2008, 2014","NT, NT","0.2, 0.2",decreasing,0
132878,global,"2008, 2014","NT, NT","0.2, 0.2",decreasing,0
132880,global,"2008, 2014","VU, VU","0.4, 0.4",unknown,0
132881,global,"2008, 2014","LC, LC","0, 0",unknown,0
132883,global,"2008, 2014","LC, LC","0, 0",decreasing,0
132885,global,"2008, 2014","LC, LC","0, 0",unknown,0
132887,global,"2008, 2014","LC, LC","0, 0",unknown,0
132888,global,"2008, 2014","NT, NT","0.2, 0.2",decreasing,0
132895,global,"2008, 2014","LC, LC","0, 0",unknown,0
132903,global,"2008, 2014","LC, LC","0, 0",unknown,0
132904,global,"2008, 2014","NT, NT","0.2, 0.2",unknown,0
132911,global,"2008, 2014","LC, LC","0, 0",unknown,0
132916,global,"2008, 2014","LC, LC","0, 0",unknown,0
132917,global,"2008, 2014","LC, LC","0, 0",unknown,0
132922,global,"2008, 2014","LC, LC","0, 0",decreasing,0
132923,global,"2008, 2014","LC, LC","0, 0",unknown,0
132925,global,"2008, 2014","LC, LC","0, 0",unknown,0
132936,global,"2008, 2014","LC, LC","0, 0",decreasing,0
132940,global,"2008, 2014","VU, VU","0.4, 0.4",decreasing,0
132948,global,"2008, 2014","NT, NT","0.2, 0.2",decreasing,0
132956,global,"2008, 2014","VU, VU","0.4, 0.4",unknown,0
132958,global,"2008, 2014","LC, LC","0, 0",unknown,0
132960,global,"2008, 2014","LC, LC","0, 0",unknown,0
132969,global,"2008, 2014","VU, VU","0.4, 0.4",decreasing,0
132975,global,"2008, 2014","LC, LC","0, 0",unknown,0
132976,global,"2008, 2014","NT, NT","0.2, 0.2",decreasing,0
132978,global,"2008, 2014","NT, NT","0.2, 0.2",decreasing,0
132980,global,"2008, 2014","NT, NT","0.2, 0.2",decreasing,0
132983,global,"2008, 2014","NT, NT","0.2, 0.2",decreasing,0
132986,global,"2008, 2014","LC, LC","0, 0",unknown,0
132992,global,"2008, 2014","NT, NT","0.2, 0.2",decreasing,0
132997,global,"2008, 2014","NT, NT","0.2, 0.2",decreasing,0
132998,global,"2008, 2014","LC, LC","0, 0",decreasing,0
133001,global,"2008, 2014","LC, LC","0, 0",unknown,0
