iucn_sid,iucn_rgn,years,cat_ts,scores,pop_trend_desc,calc_trend
2055,global,"2008, 2016","LC, LC","0, 0",increasing,0
2057,global,"2008, 2015","EN, EN","0.6, 0.6",decreasing,0
2058,global,"2008, 2014, 2016","LC, LC, LC","0, 0, 0",decreasing,0
2059,global,"2008, 2015","NT, LC","0.2, 0",increasing,-0.02857
2060,global,"2008, 2015","LC, LC","0, 0",increasing,0
2061,global,"2008, 2015","NT, LC","0.2, 0",increasing,-0.02857
2062,global,"2008, 2015","LC, LC","0, 0",stable,0
2467,global,"2008, 2012","LC, LC","0, 0",increasing,0
2478,global,"2008, 2013","EN, EN","0.6, 0.6",unknown,0
3381,global,"2010, 2012, 2017","LC, LC, LC","0, 0, 0",stable,0
3590,global,"2008, 2015","VU, VU","0.4, 0.4",decreasing,0
3897,global,"2015, 2017","VU, VU","0.4, 0.4",decreasing,0
4160,global,"2008, 2013, 2017","NT, NT, NT","0.2, 0.2, 0.2",decreasing,-0
4162,global,"2008, 2013","EN, EN","0.6, 0.6",decreasing,0
5360,global,"2008, 2011","LC, LC","0, 0",unknown,0
6204,global,"2008, 2016","VU, VU","0.4, 0.4",unknown,0
6335,global,"2008, 2012, 2017","NT, NT, LC","0.2, 0.2, 0",unknown,-0.02295
6909,global,"2006, 2008, 2015","VU, VU, VU","0.4, 0.4, 0.4",decreasing,-0
7135,global,"2010, 2012, 2017","LC, LC, LC","0, 0, 0",stable,0
7750,global,"2008, 2011, 2015","EN, EN, EN","0.6, 0.6, 0.6",decreasing,-0
7861,global,"2007, 2008","VU, VU","0.4, 0.4",decreasing,0
8010,global,"2008, 2016","LC, LC","0, 0",unknown,0
8153,global,"2008, 2013","LC, LC","0, 0",increasing,0
8239,global,"2008, 2012, 2016","EN, NT, NT","0.6, 0.2, 0.2",increasing,-0.05
8951,global,"2008, 2010, 2013, 2015","LC, LC, LC, LC","0, 0, 0, 0",stable,0
9266,global,"2012, 2017","LC, LC","0, 0",stable,0
9461,global,"2008, 2012","LC, LC","0, 0",unknown,0
9660,global,"2008, 2016","LC, LC","0, 0",increasing,0
10066,global,"2003, 2017","VU, VU","0.4, 0.4",decreasing,0
10070,global,"2012, 2017","VU, VU","0.4, 0.4",decreasing,0
10072,global,"2003, 2012, 2017","VU, VU, VU","0.4, 0.4, 0.4",decreasing,-0
10075,global,"2003, 2014","VU, VU","0.4, 0.4",decreasing,0
10083,global,"2010, 2017","LC, LC","0, 0",unknown,0
10087,global,"2003, 2015","VU, VU","0.4, 0.4",decreasing,0
10340,global,"2008, 2015","LC, LC","0, 0",unknown,0
11140,global,"2008, 2012","LC, LC","0, 0",unknown,0
11142,global,"2008, 2012","LC, LC","0, 0",unknown,0
11145,global,"2008, 2012","LC, LC","0, 0",unknown,0
11696,global,"2008, 2015","LC, LC","0, 0",unknown,0
12125,global,"2008, 2012","LC, LC","0, 0",unknown,0
12246,global,"2008, 2015","LC, LC","0, 0",unknown,0
12419,global,"2004, 2008, 2015","NT, NT, NT","0.2, 0.2, 0.2",decreasing,-0
13232,mediterranean,"2008, 2011","LC, LC","0, 0",unknown,0
13581,global,"2008, 2015","LC, LC","0, 0",increasing,0
13583,global,"2008, 2015","LC, LC","0, 0",stable,0
13653,global,"2008, 2013, 2015","CR, CR, EN","0.8, 0.8, 0.6",increasing,-0.02308
13654,global,"2008, 2015","CR, EN","0.8, 0.6",decreasing,-0.02857
13704,global,"2008, 2012, 2017","NT, NT, LC","0.2, 0.2, 0",unknown,-0.02295
14049,global,"2007, 2008","EN, EN","0.6, 0.6",decreasing,0
14051,global,"2007, 2008, 2015","VU, VU, VU","0.4, 0.4, 0.4",unknown,-0
14053,global,"2007, 2008","VU, VU","0.4, 0.4",decreasing,0
14214,global,"2008, 2013","LC, LC","0, 0",stable,0
14549,global,"2008, 2015","EN, EN","0.6, 0.6",decreasing,0
15269,global,"2008, 2015","LC, LC","0, 0",unknown,0
15419,global,"2008, 2017","VU, EN","0.4, 0.6",decreasing,0.02222
16781,global,"2008, 2013","LC, LC","0, 0",stable,0
17013,global,"2008, 2016","LC, LC","0, 0",unknown,0
17026,global,"2008, 2015","VU, EN","0.4, 0.6",decreasing,0.02857
17028,global,"2007, 2008, 2017","CR, CR, CR","0.8, 0.8, 0.8",decreasing,-0
17032,global,"2008, 2012","LC, LC","0, 0",unknown,0
17096,global,"2006, 2017","NT, LC","0.2, 0",decreasing,-0.01818
17177,global,"2006, 2017","NT, LC","0.2, 0",decreasing,-0.01818
17978,global,"2008, 2012, 2017","VU, VU, VU","0.4, 0.4, 0.4",decreasing,-0
18175,global,"2006, 2013","CR, CR","0.8, 0.8",decreasing,0
18376,global,"2011, 2014","LC, LC","0, 0",unknown,0
18878,global,"2008, 2013","LC, LC","0, 0",stable,0
19488,global,"2005, 2016","VU, EN","0.4, 0.6",decreasing,0.01818
20425,global,"2008, 2012, 2017","VU, VU, CR","0.4, 0.4, 0.8",decreasing,0.0459
20729,global,"2008, 2012","LC, LC","0, 0",unknown,0
20738,global,"2008, 2012","LC, LC","0, 0",unknown,0
21257,global,"2008, 2016","LC, LC","0, 0",unknown,0
22103,global,"2007, 2008","VU, VU","0.4, 0.4",decreasing,0
22563,global,"2008, 2012","LC, LC","0, 0",unknown,0
39327,global,"2003, 2016","LC, LC","0, 0",stable,0
39328,global,"2005, 2016","NT, NT","0.2, 0.2",decreasing,0
39334,global,"2005, 2015","LC, LC","0, 0",stable,0
39351,global,"2003, 2016","LC, LC","0, 0",increasing,0
39354,global,"2005, 2016","NT, LC","0.2, 0",stable,-0.01818
39355,global,"2003, 2016","LC, LC","0, 0",stable,0
39370,global,"2009, 2016, 2017","NT, NT, VU","0.2, 0.2, 0.4",decreasing,0.01579
39374,global,"2006, 2015","VU, VU","0.4, 0.4",decreasing,0
39380,global,"2009, 2015","NT, NT","0.2, 0.2",unknown,0
39387,global,"2005, 2016","LC, LC","0, 0",stable,0
39389,global,"2006, 2013","CR, EN","0.8, 0.6",decreasing,-0.02857
39393,global,"2006, 2013","CR, CR","0.8, 0.8",decreasing,0
39396,global,"2005, 2015","LC, LC","0, 0",unknown,0
39399,europe,"2015, 2016","NT, NT","0.2, 0.2",stable,0
39399,global,"2005, 2016","NT, NT","0.2, 0.2",decreasing,0
39413,global,"2005, 2016","VU, VU","0.4, 0.4",decreasing,0
39416,global,"2006, 2015","LC, LC","0, 0",unknown,0
39418,global,"2006, 2015","EN, EN","0.6, 0.6",decreasing,0
39774,global,"2007, 2008","VU, VU","0.4, 0.4",decreasing,0
