mpa_status,lbl,mu,mu_rr
FALSE,Global EEZ,0.1696132476220896,0.14429568402734816
FALSE,Global EEZ post-Aichi,0.16977118076534453,0.14461092155843336
FALSE,Africa,0.1752939549579781,0.14120041736115402
FALSE,Asia,0.1485517022765976,0.12211918882236095
FALSE,C. America/Caribbean,0.15580978105474028,0.08173747029356292
FALSE,Europe,0.18359337259432332,0.17586830141271895
FALSE,N. America,0.15537045787265338,0.11420273469428173
FALSE,Oceania,0.17686751943718537,0.16221443671569724
FALSE,S. America,0.18147987197632245,0.14475125088263033
FALSE,Southern Islands,0.1610700410258469,0.13610557619726013
FALSE,High seas,0.1962337319276522,0.20525561385121702
TRUE,Global EEZ,0.17698848331581568,0.159332705151663
TRUE,Global EEZ post-Aichi,0.18360140855811183,0.17313956579496098
TRUE,Africa,0.1261172155877146,0.11189537712462339
TRUE,Asia,0.1595300552051362,0.14968405481659788
TRUE,C. America/Caribbean,0.10261210326605069,0.03956396611730053
TRUE,Europe,0.1505676301232405,0.1578427847716533
TRUE,N. America,0.18443196177324642,0.1526015312818945
TRUE,Oceania,0.17959890169262205,0.1646296213733983
TRUE,S. America,0.19725378222192627,0.18803198302927443
TRUE,Southern Islands,0.15265270490138375,0.12632968965305225
TRUE,High seas,0.11681893030133866,0.06343793819483434
