mpa_status,lbl,mu,mu_rr
FALSE,Global EEZ,0.16941332176068558,0.14396415217782826
FALSE,Global EEZ post-Aichi,0.16963995787284017,0.14431626488200913
FALSE,Africa,0.17494263393135578,0.14007281847822647
FALSE,Asia,0.14789529024937628,0.12138687970583857
FALSE,C. America/Caribbean,0.1545037078856223,0.07975449900690557
FALSE,Europe,0.18405871723225534,0.17612633668398425
FALSE,N. America,0.15506259403693845,0.11405841566986691
FALSE,Oceania,0.17661392916978386,0.16161505163584053
FALSE,S. America,0.18109463564039802,0.1444473012998368
FALSE,Southern Islands,0.16107254588833084,0.13612169521918158
FALSE,High seas,0.19624318736506932,0.2052337748521306
TRUE,Global EEZ,0.17946512647652085,0.1624936258771576
TRUE,Global EEZ post-Aichi,0.18354842574846716,0.1731693667951277
TRUE,Africa,0.12421105293587562,0.09385774561722332
TRUE,Asia,0.16071478978450082,0.15012223423587137
TRUE,C. America/Caribbean,0.10563317403566709,0.034415407918027434
TRUE,Europe,0.1461054409591342,0.15186205456968196
TRUE,N. America,0.18549002753546284,0.1537332095065443
TRUE,Oceania,0.18252726499298333,0.1712946912137109
TRUE,S. America,0.1989420956681097,0.1920642385040929
TRUE,Southern Islands,0.1529482407277593,0.1272665917235936
TRUE,High seas,0.11211832541867273,0.05893481022187091
