mpa_status,hab_desc,mu,mu_rr
FALSE,intertidal habitats,0.09419305329190872,0.08743462236710332
FALSE,seagrass,0.07482796651942522,0.06529445943756862
FALSE,mangroves,0.06494399780350632,0.06664545920351816
FALSE,kelp,0.12171804500536898,0.08701086878911793
FALSE,coral reef,0.08223118025957343,0.06680159912637176
FALSE,rocky reef,0.08545989864329175,0.06644365921837198
FALSE,shallow sandy bottom,0.10708729046891,0.0977650566934945
FALSE,soft shelf,0.11240852472072763,0.09210857472314413
FALSE,hard shelf,0.09224305193355735,0.06685528706448002
FALSE,sea ice edge,0.13052223529565354,0.10474004531983055
FALSE,soft slope,0.13920217229930973,0.11835622893864592
FALSE,hard slope,0.1307659807779313,0.10303965752872206
FALSE,seamounts,0.16569987759966584,0.17304455827949328
FALSE,oceanic waters,0.16548758190569482,0.1757655435809895
TRUE,intertidal habitats,0.10700151327767907,0.10163430538816824
TRUE,seagrass,0.06817425046039748,0.05052191884701604
TRUE,mangroves,0.057626827843672526,0.06305701218887044
TRUE,kelp,0.09684936855180094,0.0767538638915379
TRUE,coral reef,0.08146109697260244,0.06666061476204006
TRUE,rocky reef,0.09128427970597418,0.07303276958775562
TRUE,shallow sandy bottom,0.10061427092215582,0.05348431033385094
TRUE,soft shelf,0.11793021511772354,0.09927820235993215
TRUE,hard shelf,0.11021217609398924,0.09607198799246397
TRUE,sea ice edge,0.11641715045567458,0.0759468516478359
TRUE,soft slope,0.13155418834944357,0.1000255659779856
TRUE,hard slope,0.12599351502078082,0.10322559356959299
TRUE,seamounts,0.15437865263678166,0.13861417205146231
TRUE,oceanic waters,0.15107508742093537,0.14276337296136452
