iucn_sid,sciname,suit_all,kingdom,phylum,class,order,family
22727471,Charadrius tricollaris,marginal,ANIMALIA,CHORDATA,AVES,CHARADRIIFORMES,CHARADRIIDAE
22727481,Charadrius bifrontatus,marginal,ANIMALIA,CHORDATA,AVES,CHARADRIIFORMES,CHARADRIIDAE
22728303,Anas chlorotis,marginal,ANIMALIA,CHORDATA,AVES,ANSERIFORMES,ANATIDAE
22733821,Tachycineta albilinea,marginal,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,HIRUNDINIDAE
44392784,Dendrobium hornei,unknown,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,ORCHIDALES,ORCHIDACEAE
44393582,Puccinellia raroflorens,marginal,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,POACEAE
61634591,Momotus coeruliceps,marginal,ANIMALIA,CHORDATA,AVES,CORACIIFORMES,MOMOTIDAE
61634940,Momotus bahamensis,marginal,ANIMALIA,CHORDATA,AVES,CORACIIFORMES,MOMOTIDAE
68460168,Pseudomogoplistes madeirae,unknown,ANIMALIA,ARTHROPODA,INSECTA,ORTHOPTERA,MOGOPLISTIDAE
103709500,Rhipidura javanica,marginal,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,RHIPIDURIDAE
103709532,Rhipidura nigritorquis,marginal,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,RHIPIDURIDAE
103799817,Cinnyris pulchellus,marginal,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,NECTARINIIDAE
103800445,Cinnyris melanogastrus,marginal,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,NECTARINIIDAE
103899954,Tetrix nanus,marginal,ANIMALIA,ARTHROPODA,INSECTA,ORTHOPTERA,TETRIGIDAE
110432975,Aegilops peregrina var. brachyathera,unknown,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,POACEAE
110433063,Aegilops peregrina var. peregrina,unknown,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,POACEAE
