shp_iucn_sid,iucn_sid,sciname,presence,subpop,dbf_file,max_depth,comp_assessed
165846,165846,Genicanthus spinus,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/ANGELFISH.dbf,< 200 m,TRUE
165878,165878,Centropyge flavissima,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/ANGELFISH.dbf,< 200 m,TRUE
165834,165834,Apolemichthys arcuatus,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/ANGELFISH.dbf,< 200 m,TRUE
165860,165860,Centropyge vrolikii,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/ANGELFISH.dbf,< 200 m,TRUE
165885,165885,Pygoplites diacanthus,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/ANGELFISH.dbf,< 200 m,TRUE
165822,165822,Apolemichthys griffisi,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/ANGELFISH.dbf,< 200 m,TRUE
165835,165835,Apolemichthys trimaculatus,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/ANGELFISH.dbf,< 200 m,TRUE
165836,165836,Holacanthus limbaughi,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/ANGELFISH.dbf,< 200 m,TRUE
165837,165837,Centropyge argi,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/ANGELFISH.dbf,< 200 m,TRUE
165838,165838,Centropyge colini,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/ANGELFISH.dbf,< 200 m,TRUE
165839,165839,Pomacanthus asfur,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/ANGELFISH.dbf,< 200 m,TRUE
165840,165840,Pomacanthus sexstriatus,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/ANGELFISH.dbf,< 200 m,TRUE
165841,165841,Apolemichthys xanthopunctatus,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/ANGELFISH.dbf,< 200 m,TRUE
165842,165842,Pomacanthus rhomboides,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/ANGELFISH.dbf,< 200 m,TRUE
165843,165843,Genicanthus melanospilos,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/ANGELFISH.dbf,< 200 m,TRUE
165844,165844,Apolemichthys xanthurus,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/ANGELFISH.dbf,< 200 m,TRUE
