iucn_sid,habs,max_depth
10018,"NA",unknown
10019,"NA",unknown
10020,"NA",unknown
10021,"NA",unknown
10030,11.5,deep oceanic
10056,"9.10, 9.9",< 200 m
10057,"10.1, 12.5, 12.6, 15.11, 15.12, 9.1, 9.10, 9.2, 9.6, 9.7, 9.9",200 m +
10060,"NA",unknown
10063,"10.1, 12.4, 9.1, 9.10, 9.2, 9.7, 9.9",200 m +
10064,"9.10, 9.7, 9.9",< 200 m
10065,"9.7, 9.9",< 200 m
10066,"12.7, 9.10, 9.2, 9.9",< 200 m
10069,"9.10, 9.2, 9.3, 9.4, 9.5, 9.6, 9.7, 9.8.4, 9.8.5, 9.8.6",< 200 m
10070,"9.7, 9.8.1, 9.8.2, 9.8.5, 9.8.6, 9.9",< 200 m
10072,"12.7, 9.10, 9.2, 9.4, 9.7",< 200 m
10074,"9.2, 9.4, 9.5, 9.6, 9.7, 9.9",< 200 m
10075,"12.7, 9.1, 9.10, 9.6, 9.9",< 200 m
10077,"9.2, 9.4",< 200 m
10082,"12.7, 17, 9.1, 9.10, 9.2, 9.6, 9.7, 9.9",< 200 m
10083,"9.6, 9.7, 9.9",< 200 m
10087,"9.4, 9.5, 9.6, 9.7, 9.8.1, 9.8.5",< 200 m
10088,"15.11, 9.10, 9.7, 9.9",< 200 m
10089,"9.7, 9.9",< 200 m
10097,"NA",unknown
10105,"NA",unknown
10106,"NA",unknown
10268,9.10,< 200 m
10269,"9.1, 9.10",< 200 m
10273,"NA",unknown
10303,9.7,< 200 m
10340,"10.1, 10.2, 12.1, 12.2, 13.1, 17, 9.1",200 m +
10707,"10.1, 10.2, 10.3",200 m +
10708,"10.1, 10.2, 10.3",200 m +
10724,"NA",unknown
10939,"10.1, 9.1, 9.9",200 m +
11030,9.10,< 200 m
11047,"10.1, 10.2, 10.3",200 m +
11048,"10.1, 10.2, 10.3",200 m +
11060,9.10,< 200 m
11130,9.8.3,< 200 m
11140,"10.1, 9.1",200 m +
11141,"10.1, 9.1",200 m +
11142,"10.1, 9.1",200 m +
11143,9.1,< 200 m
11144,"10.1, 9.1",200 m +
11145,"10.1, 9.1, 9.10",200 m +
11146,9.1,< 200 m
11150,"9.10, 9.4, 9.5, 9.6",< 200 m
11191,"NA",unknown
11200,"10.1, 9.1",200 m +
11368,"NA",unknown
11375,"10.2, 9.1, 9.2",200 m +
11501,"NA",unknown
11533,"NA",unknown
11534,"10.1, 12.2, 9.1",200 m +
11696,"10.1, 10.2, 12.1, 13.1, 9.1",200 m +
11987,"12.2, 12.3, 12.4, 9.1, 9.4, 9.5",< 200 m
12103,"NA",unknown
12125,"10.1, 9.1",200 m +
12126,"10.1, 9.1",200 m +
12137,"9.1, 9.3, 9.4",< 200 m
12242,"NA",unknown
12244,"NA",unknown
12246,"10.1, 10.2, 12.1, 13.1, 17, 9.1",200 m +
12302,"12.5, 9.1",< 200 m
12303,"10.1, 12.1, 12.2, 13.1, 9.1, 9.2",200 m +
12305,"12.1, 12.2, 12.5, 13.1, 9.1",< 200 m
12382,"NA",unknown
12404,"NA",unknown
12416,"9.2, 9.9",< 200 m
12417,"12.7, 9.2",< 200 m
12419,"12.5, 9.1",< 200 m
12421,"12.5, 9.1",< 200 m
12427,"12.5, 9.1",< 200 m
12807,"NA",unknown
12808,"NA",unknown
12809,"NA",unknown
12810,"NA",unknown
13006,"10.1, 9.1",200 m +
13045,"NA",unknown
13145,"12.6, 9.1, 9.1",< 200 m
13232,9.1,< 200 m
13238,"NA",unknown
13241,"10.1, 10.2, 10.3",200 m +
13242,"10.1, 10.2, 10.3",200 m +
13243,"10.1, 10.2, 10.3",200 m +
13244,"10.1, 10.2, 10.3",200 m +
13245,"10.1, 10.2, 10.3",200 m +
13246,"10.1, 10.2, 10.3",200 m +
13247,"10.1, 10.2, 10.3",200 m +
13248,"10.1, 10.2, 10.3",200 m +
13249,"10.1, 10.2, 10.3",200 m +
13250,"10.1, 10.2, 10.3",200 m +
13251,"10.1, 10.2, 10.3",200 m +
13252,"NA",unknown
