loiczid,n_spp,mean_risk,var_risk,log_mean_risk
11167,1,0,NA,NA
11168,1,0,NA,NA
11169,1,0,NA,NA
11170,1,0,NA,NA
11171,1,0,NA,NA
11172,1,0,NA,NA
11173,1,0,NA,NA
11174,1,0,NA,NA
11175,1,0,NA,NA
11176,1,0,NA,NA
11177,1,0,NA,NA
11178,1,0,NA,NA
11179,1,0,NA,NA
11180,1,0,NA,NA
11181,1,0,NA,NA
11182,1,0,NA,NA
11183,1,0,NA,NA
11184,1,0,NA,NA
11185,1,0,NA,NA
11186,1,0,NA,NA
11187,1,0,NA,NA
11188,1,0,NA,NA
11190,1,0,NA,NA
11240,1,0,NA,NA
11241,1,0,NA,NA
11242,1,0,NA,NA
11243,1,0,NA,NA
11244,1,0,NA,NA
11245,1,0,NA,NA
11246,1,0,NA,NA
11247,2,0,0,NA
11248,2,0,0,NA
11249,2,0,0,NA
11250,1,0,NA,NA
11251,1,0,NA,NA
11252,1,0,NA,NA
11253,2,0,0,NA
11254,2,0,0,NA
11255,2,0,0,NA
11256,1,0,NA,NA
11257,2,0,0,NA
11258,2,0,0,NA
11259,2,0,0,NA
11260,1,0,NA,NA
11261,1,0,NA,NA
11262,1,0,NA,NA
11263,1,0,NA,NA
11264,1,0,NA,NA
11265,1,0,NA,NA
11267,1,0,NA,NA
11268,1,0,NA,NA
11269,1,0,NA,NA
11275,3,0,0,NA
11277,1,0,NA,NA
11278,2,0,0,NA
11279,1,0,NA,NA
11280,1,0,NA,NA
11281,1,0,NA,NA
11282,1,0,NA,NA
11696,1,0,NA,NA
11697,1,0,NA,NA
11698,1,0,NA,NA
11699,1,0,NA,NA
11700,1,0,NA,NA
11702,1,0,NA,NA
11745,1,0,NA,NA
11746,1,0,NA,NA
11747,1,0,NA,NA
11748,1,0,NA,NA
11749,1,0,NA,NA
11750,1,0,NA,NA
11751,1,0,NA,NA
11752,2,0,0,NA
11753,2,0,0,NA
11754,1,0,NA,NA
11755,1,0,NA,NA
11757,1,0,NA,NA
11758,1,0,NA,NA
11759,1,0,NA,NA
11760,1,0,NA,NA
11761,1,0,NA,NA
11762,1,0,NA,NA
11778,1,0,NA,NA
11788,1,0,NA,NA
11789,1,0,NA,NA
11815,1,0,NA,NA
11816,1,0,NA,NA
11817,1,0,NA,NA
11818,1,0,NA,NA
11819,1,0,NA,NA
11820,1,0,NA,NA
11821,1,0,NA,NA
11828,1,0,NA,NA
11829,1,0,NA,NA
11830,1,0,NA,NA
11831,1,0,NA,NA
11832,1,0,NA,NA
11833,1,0,NA,NA
11838,1,0,NA,NA
11839,1,0,NA,NA
11840,1,0,NA,NA
11841,1,0,NA,NA
11842,1,0,NA,NA
11843,1,0,NA,NA
11844,1,0,NA,NA
11845,1,0,NA,NA
11846,1,0,NA,NA
11847,1,0,NA,NA
11848,1,0,NA,NA
11849,1,0,NA,NA
11850,1,0,NA,NA
11851,2,0,0,NA
11852,2,0,0,NA
11853,3,0,0,NA
11854,3,0,0,NA
11855,3,0,0,NA
11856,3,0,0,NA
11857,2,0,0,NA
11858,3,0,0,NA
11859,1,0,NA,NA
11860,1,0,NA,NA
11861,2,0,0,NA
11877,1,0,NA,NA
11878,1,0,NA,NA
11879,1,0,NA,NA
11880,1,0,NA,NA
11881,1,0,NA,NA
11882,1,0,NA,NA
11883,1,0,NA,NA
11884,1,0,NA,NA
11885,1,0,NA,NA
11886,1,0,NA,NA
11887,1,0,NA,NA
11888,1,0,NA,NA
11889,1,0,NA,NA
11890,1,0,NA,NA
11891,1,0,NA,NA
11892,1,0,NA,NA
11893,1,0,NA,NA
11894,1,0,NA,NA
11895,1,0,NA,NA
11896,1,0,NA,NA
11897,1,0,NA,NA
11898,1,0,NA,NA
11899,1,0,NA,NA
11900,1,0,NA,NA
11901,1,0,NA,NA
11902,1,0,NA,NA
11903,1,0,NA,NA
11904,1,0,NA,NA
11905,1,0,NA,NA
11916,1,0,NA,NA
11917,1,0,NA,NA
11924,1,0,NA,NA
11928,1,0,NA,NA
11931,1,0,NA,NA
11938,1,0,NA,NA
11941,1,0,NA,NA
11960,1,0,NA,NA
11961,1,0,NA,NA
11962,1,0,NA,NA
11963,1,0,NA,NA
11964,1,0,NA,NA
11965,1,0,NA,NA
11966,1,0,NA,NA
11967,1,0,NA,NA
11968,1,0,NA,NA
11969,2,0,0,NA
11970,2,0,0,NA
11971,2,0,0,NA
11972,1,0,NA,NA
11973,2,0,0,NA
11974,2,0,0,NA
11975,2,0,0,NA
11976,2,0,0,NA
11977,2,0,0,NA
11978,2,0,0,NA
11979,1,0,NA,NA
11980,1,0,NA,NA
11981,3,0,0,NA
11982,1,0,NA,NA
