iucn_sid,sciname,lme_id,cat_score,cat_current,rgns,cat_score_global
2467,Balaena mysticetus,26,NA,"NA",europe,0
2467,Balaena mysticetus,59,NA,"NA",europe,0
2474,Balaenoptera acutorostrata,20,0,LC,europe,0
2474,Balaenoptera acutorostrata,21,0,LC,europe,0
2474,Balaenoptera acutorostrata,22,0,LC,europe,0
2474,Balaenoptera acutorostrata,23,0,LC,europe,0
2474,Balaenoptera acutorostrata,24,0,LC,europe,0
2474,Balaenoptera acutorostrata,25,0,LC,europe,0
2474,Balaenoptera acutorostrata,26,0,LC,europe,0
2474,Balaenoptera acutorostrata,59,0,LC,europe,0
2475,Balaenoptera borealis,20,0.6,EN,europe,0.6
2475,Balaenoptera borealis,21,0.6,EN,europe,0.6
2475,Balaenoptera borealis,22,0.6,EN,europe,0.6
2475,Balaenoptera borealis,23,0.6,EN,europe,0.6
2475,Balaenoptera borealis,24,0.6,EN,europe,0.6
2475,Balaenoptera borealis,25,0.6,EN,europe,0.6
2475,Balaenoptera borealis,26,0.6,EN,europe,0.6
2475,Balaenoptera borealis,59,0.6,EN,europe,0.6
2477,Balaenoptera musculus,20,0.6,EN,europe,0.6
2477,Balaenoptera musculus,21,0.6,EN,europe,0.6
2477,Balaenoptera musculus,22,0.6,EN,europe,0.6
2477,Balaenoptera musculus,23,0.6,EN,europe,0.6
2477,Balaenoptera musculus,24,0.6,EN,europe,0.6
2477,Balaenoptera musculus,25,0.6,EN,europe,0.6
2477,Balaenoptera musculus,26,0.6,EN,europe,0.6
2477,Balaenoptera musculus,59,0.6,EN,europe,0.6
2478,Balaenoptera physalus,20,0.2,NT,europe,0.6
2478,Balaenoptera physalus,21,0.2,NT,europe,0.6
2478,Balaenoptera physalus,22,0.2,NT,europe,0.6
2478,Balaenoptera physalus,23,0.2,NT,europe,0.6
2478,Balaenoptera physalus,24,0.2,NT,europe,0.6
2478,Balaenoptera physalus,25,0.2,NT,europe,0.6
2478,Balaenoptera physalus,26,0.4,VU,mediterranean,0.6
2478,Balaenoptera physalus,59,0.2,NT,europe,0.6
2478,Balaenoptera physalus,62,0.4,VU,mediterranean,0.6
2539,Balistes vetula,5,0,LC,gulf_of_mexico,0.2
2539,Balistes vetula,20,NA,DD,europe,0.2
2539,Balistes vetula,21,NA,DD,europe,0.2
2539,Balistes vetula,22,NA,DD,europe,0.2
2539,Balistes vetula,23,NA,DD,europe,0.2
2539,Balistes vetula,24,NA,DD,europe,0.2
2539,Balistes vetula,25,NA,DD,europe,0.2
2539,Balistes vetula,26,NA,DD,europe,0.2
2539,Balistes vetula,59,NA,DD,europe,0.2
2761,Benthophiloides brauneri,20,NA,DD,europe,NA
2761,Benthophiloides brauneri,21,NA,DD,europe,NA
2761,Benthophiloides brauneri,22,NA,DD,europe,NA
