iucn_sid,sciname,main_common_name,published_year,old_cat,criteria,cat,cat_score,iucn_version
190320,Opsanus phobetron,Scarecrow Toadfish,2015,LC,NA,LC,0,2018-1
190321,Diaphus garmani,Garman's Lanternfish,2015,LC,NA,LC,0,2018-1
190323,Thalassophryne nattereri,Copper Joe Toadfish,2015,LC,NA,LC,0,2018-1
190324,Chauliodus sloani,Sloane's Viperfish,2015,LC,NA,LC,0,2018-1
190325,Diplectrum bivittatum,Dwarf Sand Perch,2015,LC,NA,LC,0,2018-1
190327,Centropomus parallelus,Fat Snook,2015,LC,NA,LC,0,2018-1
190328,Sphoeroides yergeri,Speckled Puffer,2015,LC,NA,LC,0,2018-1
190329,Cyprinodon artifrons,Yucatan Pupfish,2015,LC,NA,LC,0,2018-1
190330,Pterycombus brama,Atlantic Fanfish,2015,LC,NA,LC,0,2018-1
190331,Gyrinomimus myersi,Myers Whalefish,2015,DD,NA,DD,NA,2018-1
190332,Canthidermis sufflamen,Ocean Triggerfish,2015,LC,NA,LC,0,2018-1
190333,Aluterus heudelotii,Dotterel Filefish,2015,LC,NA,LC,0,2018-1
190334,Bathytyphlops sewelli,NA,2015,LC,NA,LC,0,2018-1
190335,Aulopus filamentosus,Mediterranean Flagfin,2015,LC,NA,LC,0,2018-1
190336,Scorpaena calcarata,Smooth-head Scorpionfish,2015,LC,NA,LC,0,2018-1
190339,Serranus subligarius,Belted Sandbass,2015,LC,NA,LC,0,2018-1
190340,Hemicaranx amblyrhynchus,Bluntnose Jack,2015,LC,NA,LC,0,2018-1
190341,Acanthochaenus luetkenii,Pricklefish,2015,LC,NA,LC,0,2018-1
190342,Neoconger mucronatus,Ridged Eel,2015,LC,NA,LC,0,2018-1
190344,Ogilbia cayorum,Key Brotula,2015,LC,NA,LC,0,2018-1
190345,Ancylopsetta dilecta,Three-eye Flounder,2015,LC,NA,LC,0,2018-1
190346,Zu cristatus,Scalloped Ribbonfish,2015,LC,NA,LC,0,2018-1
190347,Zenopsis conchifer,Silvery John Dory,2015,LC,NA,LC,0,2018-1
190348,Astroscopus y-graecum,Southern Stargazer,2015,LC,NA,LC,0,2018-1
190349,Cetomimus gillii,NA,2015,DD,NA,DD,NA,2018-1
190350,Avocettina infans,Avocet Snipe Eel,2015,LC,NA,LC,0,2018-1
190351,Gymnothorax nigromarginatus,Blackedge Moray,2015,LC,NA,LC,0,2018-1
190353,Aristostomias tittmanni,Loosejaw,2015,LC,NA,LC,0,2018-1
190354,Idiastion kyphos,Sharpcheek Scorpionfish,2015,LC,NA,LC,0,2018-1
190355,Ogilbia suarezae,Shy Brotula,2015,LC,NA,LC,0,2018-1
190356,Aldrovandia affinis,Allied Halosaur,2015,LC,NA,LC,0,2018-1
190357,Albula nemoptera,Caribbean Bonefish,2012,DD,NA,DD,NA,2018-1
190358,Paralichthys albigutta,Gulf Flounder,2015,LC,NA,LC,0,2018-1
190359,Borostomias mononema,Sickle Snaggletooth,2015,LC,NA,LC,0,2018-1
190360,Astronesthes macropogon,NA,2015,LC,NA,LC,0,2018-1
190361,Astronesthes niger,Snaggletooth,2015,LC,NA,LC,0,2018-1
190362,Sphyraena guachancho,Guachanche Barracuda,2015,LC,NA,LC,0,2018-1
