iucn_sid,sciname,main_common_name,published_year,old_cat,criteria,cat,cat_score,iucn_version
190967,Akko dionaea,Atlantic Specter Goby,2015,DD,NA,DD,NA,2018-1
190973,Apogon planifrons,Pale Cardinalfish,2015,LC,NA,LC,0,2018-1
190974,Phaeoptyx xenus,Sponge Cardinalfish,2015,LC,NA,LC,0,2018-1
191108,Anguilla rostrata,American Eel,2017,EN,A2bd,EN,0.6,2018-1
191110,Ophichthus gomesii,Pallid Snake Eel,2015,LC,NA,LC,0,2018-1
191191,Menidia beryllina,Inland Silverside,2013,LC,NA,LC,0,2018-1
191192,Menidia colei,Golden Silverside,2015,EN,B2ab(iii),EN,0.6,2018-1
191193,Batrachoides gilberti,Large-eye Toadfish,2015,LC,NA,LC,0,2018-1
191196,Chriodorus atherinoides,Hardhead Halfbeak,2015,LC,NA,LC,0,2018-1
191197,Hyporhamphus meeki,Meek's Halfbeak,2015,LC,NA,LC,0,2018-1
