loiczid,eco_code,cells
8169,20001,352
8170,20001,352
8171,20001,354
8172,20001,353
8173,20001,352
8174,20001,350
8175,20001,357
8176,20001,350
8177,20001,352
8178,20001,353
8179,20001,354
8180,20001,352
8181,20001,353
8182,20001,352
8183,20001,351
8184,20001,354
8185,20001,353
8186,20001,352
8187,20001,353
8188,20001,352
8189,20001,353
8190,20001,352
8191,20001,353
8192,20001,352
8193,20001,353
8194,20001,354
8195,20001,348
8196,20001,359
8197,20001,357
8198,20001,352
8199,20001,347
8200,20001,352
8201,20001,352
8202,20001,353
8203,20001,353
8204,20001,354
8205,20001,350
8206,20001,355
8207,20001,351
8208,20001,354
8209,20001,351
8210,20001,352
8211,20001,354
8212,20001,352
8213,20001,353
8214,20001,353
8215,20001,353
8216,20001,354
8217,20001,348
8218,20001,353
8219,20001,353
8220,20001,355
8221,20001,351
8222,20001,354
8223,20001,352
8224,20001,353
8225,20001,352
8226,20001,354
8227,20001,351
8228,20001,353
8229,20001,354
8230,20001,352
8231,20001,353
8232,20001,352
8233,20001,352
8234,20001,353
8235,20001,352
8236,20001,355
8237,20001,350
8238,20001,345
8239,20001,358
8240,20001,353
8241,20001,355
8242,20001,353
8243,20001,354
8244,20001,352
8245,20001,352
8246,20001,352
8247,20001,353
8248,20001,354
8249,20001,352
8250,20001,351
8251,20001,353
8252,20001,353
8253,20001,353
8254,20001,352
8255,20001,353
8256,20001,352
8257,20001,353
8258,20001,352
8259,20001,354
8260,20001,185
8261,20001,3
8887,20001,78
8888,20001,375
8889,20001,386
8890,20001,383
8891,20001,386
8892,20001,386
8893,20001,385
8894,20001,385
8895,20001,384
8896,20001,387
8897,20001,385
8898,20001,386
8899,20001,384
8900,20001,386
8901,20001,384
8902,20001,387
8903,20001,384
8904,20001,386
8905,20001,385
8906,20001,386
8907,20001,386
8908,20001,385
8909,20001,385
8910,20001,385
8911,20001,386
8912,20001,390
8913,20001,375
8914,20001,390
8915,20001,385
8916,20001,386
8917,20001,385
8918,20001,385
8919,20001,385
8920,20001,386
8921,20001,387
8922,20001,384
8923,20001,385
8924,20001,384
8925,20001,378
8926,20001,387
8927,20001,356
8928,20001,334
8929,20001,339
8930,20001,336
8931,20001,310
8932,20001,333
8933,20001,302
8934,20001,290
8935,20001,289
8936,20001,307
8937,20001,305
8938,20001,333
8939,20001,316
8940,20001,309
8941,20001,329
8942,20001,372
8943,20001,372
8944,20001,387
8945,20001,384
8946,20001,387
8947,20001,384
8948,20001,385
8949,20001,385
8950,20001,386
8951,20001,385
8952,20001,385
8953,20001,385
8954,20001,384
8955,20001,385
8956,20001,381
8957,20001,392
8958,20001,387
8959,20001,383
8960,20001,386
8961,20001,384
8962,20001,386
8963,20001,385
8964,20001,387
8965,20001,384
8966,20001,387
8967,20001,383
8968,20001,386
8969,20001,385
8970,20001,386
8971,20001,384
8972,20001,387
8973,20001,383
8974,20001,387
8975,20001,385
8976,20001,387
8977,20001,384
8978,20001,387
8979,20001,382
8980,20001,387
8981,20001,242
9605,20001,4
9606,20001,111
9607,20001,361
9608,20001,421
9609,20001,419
9610,20001,418
9611,20001,418
9612,20001,419
9613,20001,419
9614,20001,419
9615,20001,419
9616,20001,419
9617,20001,420
9618,20001,419
9619,20001,418
9620,20001,418
9621,20001,419
9622,20001,418
9623,20001,422
9624,20001,415
9625,20001,417
9626,20001,425
9627,20001,393
9628,20001,370
9629,20001,360
9630,20001,335
9631,20001,294
9632,20001,282
9633,20001,262
9634,20001,232
9635,20001,194
9636,20001,204
9637,20001,270
9638,20001,263
9639,20001,285
9640,20001,228
9641,20001,231
9642,20001,286
9643,20001,212
9644,20001,139
9645,20001,73
9646,20001,53
9647,20001,40
9648,20001,2
9652,20001,1
9653,20001,8
9654,20001,25
9655,20001,54
9656,20001,62
9657,20001,61
9658,20001,61
9659,20001,53
9660,20001,51
9661,20001,33
9662,20001,50
9663,20001,79
9664,20001,111
9665,20001,70
9666,20001,100
9667,20001,148
9668,20001,178
9669,20001,266
9670,20001,282
9671,20001,400
9672,20001,416
9673,20001,423
9674,20001,414
9675,20001,425
9676,20001,416
9677,20001,418
9678,20001,419
9679,20001,419
9680,20001,419
9681,20001,419
9682,20001,417
9683,20001,421
9684,20001,418
9685,20001,421
9686,20001,418
9687,20001,418
9688,20001,418
9689,20001,418
9690,20001,421
9691,20001,419
9692,20001,418
9693,20001,420
9694,20001,419
9695,20001,418
9696,20001,420
9697,20001,419
9698,20001,418
9699,20001,419
9700,20001,417
9701,20001,420
9702,20001,123
10323,20001,34
10324,20001,194
10325,20001,374
10326,20001,451
10327,20001,454
10328,20001,454
10329,20001,452
10330,20001,455
10331,20001,452
10332,20001,455
10333,20001,452
10334,20001,454
10335,20001,453
10336,20001,452
10337,20001,454
10338,20001,447
10339,20001,431
10340,20001,414
10341,20001,434
10342,20001,467
10343,20001,406
10344,20001,338
10345,20001,373
10346,20001,307
10347,20001,222
10348,20001,193
10349,20001,186
10350,20001,202
10351,20001,169
10352,20001,84
10353,20001,74
10354,20001,63
10355,20001,70
10356,20001,100
10357,20001,142
10358,20001,93
10359,20001,137
10360,20001,152
10361,20001,37
10362,20001,67
10363,20001,46
10369,20001,16
10370,20001,50
10371,20001,16
10372,20001,24
10373,20001,62
10374,20001,25
10375,20001,19
10376,20001,6
10377,20001,14
10389,20001,10
10390,20001,41
10391,20001,97
10392,20001,82
10393,20001,152
10394,20001,150
10395,20001,192
10396,20001,217
10397,20001,303
10398,20001,437
10399,20001,453
10400,20001,453
10401,20001,453
10402,20001,455
10403,20001,451
10404,20001,453
10405,20001,455
10406,20001,452
10407,20001,452
10408,20001,456
10409,20001,453
10410,20001,453
10411,20001,454
10412,20001,453
10413,20001,453
10414,20001,455
10415,20001,458
10416,20001,448
10417,20001,452
10418,20001,454
10419,20001,454
10420,20001,453
10421,20001,453
10422,20001,397
11038,20001,37
11039,20001,114
11040,20001,189
11041,20001,278
11042,20001,344
11043,20001,377
11044,20001,348
11045,20001,315
11046,20001,292
11047,20001,263
11048,20001,265
11049,20001,225
11050,20001,208
11051,20001,130
11052,20001,160
11053,20001,339
11054,20001,319
11055,20001,248
11056,20001,283
11057,20001,353
11058,20001,442
11059,20001,226
11060,20001,70
11062,20001,21
11063,20001,120
11064,20001,137
11065,20001,243
11066,20001,296
11067,20001,209
11068,20001,201
11069,20001,216
11070,20001,128
11071,20001,157
11072,20001,136
11073,20001,52
11074,20001,29
11075,20001,37
11076,20001,7
11077,20001,3
11080,20001,26
11081,20001,20
11100,20001,93
11101,20001,147
11102,20001,148
11103,20001,168
11104,20001,160
11105,20001,158
11106,20001,149
11107,20001,152
11108,20001,146
11109,20001,133
11110,20001,150
11111,20001,181
11112,20001,240
11113,20001,282
11114,20001,279
11115,20001,285
11116,20001,359
11117,20001,402
11118,20001,423
11119,20001,476
11120,20001,472
11121,20001,462
11122,20001,377
11123,20001,473
11124,20001,452
11125,20001,460
11126,20001,471
11127,20001,475
11128,20001,473
11129,20001,473
11130,20001,473
11131,20001,475
11132,20001,472
11133,20001,474
11134,20001,470
11135,20001,480
11136,20001,473
11137,20001,473
11138,20001,473
11139,20001,475
11140,20001,472
11141,20001,474
11142,20001,474
11143,20001,44
11061,20001,1
11098,20001,1
11099,20001,33
11754,20001,63
11755,20001,220
11756,20001,365
11757,20001,481
11758,20001,331
11759,20001,125
11760,20001,70
11761,20001,91
11762,20001,79
11763,20001,155
11764,20001,93
11765,20001,50
11766,20001,27
11773,20001,183
11774,20001,251
11775,20001,6
11776,20001,32
11777,20001,57
11778,20001,109
11779,20001,125
11780,20001,171
11781,20001,114
11788,20001,3
11789,20001,77
11790,20001,188
11791,20001,191
11792,20001,24
11815,20001,86
11816,20001,218
11817,20001,157
11818,20001,143
11819,20001,127
11820,20001,87
11821,20001,62
11822,20001,59
11823,20001,5
11827,20001,15
11828,20001,93
11829,20001,125
11830,20001,136
11831,20001,192
11832,20001,343
11833,20001,295
11834,20001,140
11838,20001,77
11839,20001,508
11840,20001,510
11841,20001,390
11842,20001,341
11843,20001,409
11844,20001,485
11845,20001,363
11846,20001,492
11847,20001,396
11848,20001,250
11849,20001,202
11850,20001,182
11851,20001,195
11852,20001,191
11853,20001,201
11854,20001,265
11855,20001,311
11856,20001,360
11857,20001,460
11858,20001,509
11859,20001,509
11860,20001,510
11861,20001,507
11862,20001,509
11863,20001,188
12470,20001,73
12471,20001,183
12472,20001,279
12473,20001,326
12474,20001,390
12475,20001,322
12476,20001,349
12477,20001,437
12478,20001,304
12479,20001,20
12486,20001,30
12487,20001,22
12488,20001,1
12547,20001,18
12548,20001,48
12549,20001,3
12555,20001,44
12556,20001,195
12557,20001,251
12558,20001,307
12559,20001,206
12560,20001,58
12562,20001,72
12563,20001,36
12564,20001,26
12565,20001,90
12566,20001,104
12567,20001,6
12572,20001,19
12573,20001,22
12574,20001,62
12575,20001,198
12576,20001,312
12577,20001,392
12578,20001,528
12579,20001,545
12580,20001,545
12581,20001,543
12582,20001,547
12583,20001,527
12584,20001,370
12585,20001,234
12586,20001,79
13185,20001,97
13186,20001,269
13187,20001,296
13188,20001,315
13189,20001,311
13190,20001,269
13191,20001,99
13194,20001,38
13195,20001,29
13273,20001,64
13274,20001,161
13275,20001,123
13276,20001,39
13279,20001,19
13280,20001,37
13281,20001,53
13282,20001,41
13283,20001,45
13284,20001,65
13285,20001,126
13286,20001,205
13287,20001,141
13288,20001,151
13289,20001,138
13290,20001,232
13291,20001,279
13292,20001,449
13293,20001,566
13294,20001,564
13295,20001,566
13296,20001,565
13297,20001,564
13298,20001,566
13299,20001,564
13300,20001,564
13301,20001,565
13302,20001,566
13303,20001,565
13304,20001,564
13305,20001,565
13306,20001,559
13307,20001,370
13308,20001,73
13903,20001,200
13904,20001,514
13905,20001,601
13906,20001,373
13907,20001,121
13912,20001,152
14000,20001,53
14001,20001,173
14002,20001,133
14003,20001,203
14004,20001,160
14005,20001,142
14006,20001,194
14007,20001,232
14008,20001,381
14009,20001,551
14010,20001,601
14011,20001,602
14012,20001,601
14013,20001,602
14014,20001,601
14015,20001,602
14016,20001,603
14017,20001,601
14018,20001,601
14019,20001,603
14020,20001,600
14021,20001,602
14022,20001,602
14023,20001,602
14024,20001,601
14025,20001,602
14026,20001,602
14027,20001,601
14028,20001,516
14029,20001,53
13908,20001,91
13909,20001,78
13910,20001,97
13911,20001,76
13913,20001,108
13914,20001,21
14620,20001,15
14621,20001,143
14622,20001,425
14623,20001,640
14624,20001,641
14625,20001,639
14626,20001,638
14627,20001,640
14628,20001,639
14629,20001,640
14630,20001,607
14631,20001,92
14632,20001,59
14633,20001,10
14720,20001,136
14721,20001,341
14722,20001,418
14723,20001,328
14724,20001,259
14725,20001,348
14726,20001,593
14727,20001,638
14728,20001,638
14729,20001,643
14730,20001,639
14731,20001,639
14732,20001,639
14733,20001,639
14734,20001,640
14735,20001,639
14736,20001,640
14737,20001,640
14738,20001,640
14739,20001,635
14740,20001,642
14741,20001,641
14742,20001,640
14743,20001,638
14744,20001,639
14745,20001,641
14746,20001,640
14747,20001,638
14748,20001,366
14749,20001,26
15336,20001,22
15337,20001,160
15338,20001,324
15339,20001,485
15340,20001,638
15341,20001,660
15342,20001,660
15343,20001,629
15344,20001,563
15345,20001,538
15346,20001,465
15347,20001,457
15348,20001,478
15349,20001,377
15350,20001,150
15351,20001,2
15441,20001,123
15442,20001,462
15443,20001,642
15444,20001,659
15445,20001,513
15446,20001,627
15447,20001,665
15448,20001,652
15449,20001,661
15450,20001,660
15451,20001,659
15452,20001,659
15453,20001,661
15454,20001,660
15455,20001,659
15456,20001,660
15457,20001,659
15458,20001,658
15459,20001,663
15460,20001,659
15461,20001,659
15462,20001,659
15463,20001,660
15464,20001,659
15465,20001,660
15466,20001,659
15467,20001,311
16054,20001,210
16055,20001,505
16056,20001,605
16057,20001,553
16058,20001,489
16059,20001,449
16060,20001,347
16061,20001,258
16062,20001,191
16063,20001,17
16158,20001,28
16159,20001,327
16160,20001,466
16161,20001,572
16162,20001,484
16163,20001,654
16164,20001,585
16165,20001,658
16166,20001,676
16167,20001,684
16168,20001,679
16169,20001,677
16170,20001,680
16171,20001,679
16172,20001,680
16173,20001,677
16174,20001,681
16175,20001,680
16176,20001,677
16177,20001,682
16178,20001,677
16179,20001,679
16180,20001,680
16181,20001,680
16182,20001,677
16183,20001,678
16184,20001,681
16185,20001,678
16186,20001,632
16187,20001,5
16772,20001,48
16773,20001,512
16774,20001,736
16775,20001,449
16878,20001,357
16879,20001,686
16880,20001,691
16881,20001,687
16882,20001,535
16883,20001,652
16884,20001,735
16885,20001,739
16886,20001,733
16887,20001,739
16888,20001,736
16889,20001,738
16890,20001,737
16891,20001,739
16892,20001,738
16893,20001,735
16894,20001,737
16895,20001,737
16896,20001,737
16897,20001,742
16898,20001,733
16899,20001,737
16900,20001,739
16901,20001,735
16902,20001,739
16903,20001,736
16904,20001,738
16905,20001,737
16906,20001,702
16907,20001,243
16908,20001,62
16776,20001,35
16877,20001,11
17491,20001,95
17492,20001,625
17493,20001,738
17494,20001,736
17495,20001,734
17496,20001,695
17497,20001,604
17498,20001,463
17499,20001,426
17500,20001,289
17501,20001,116
17503,20001,80
17504,20001,49
17505,20001,39
17506,20001,154
17507,20001,237
17508,20001,117
17597,20001,279
17598,20001,243
17599,20001,144
17600,20001,311
17601,20001,364
17602,20001,424
17603,20001,729
17604,20001,674
17605,20001,526
17606,20001,737
17607,20001,739
17608,20001,737
17609,20001,737
17610,20001,737
17611,20001,738
17612,20001,737
17613,20001,737
17614,20001,737
17615,20001,740
17616,20001,737
17617,20001,735
17618,20001,738
17619,20001,739
17620,20001,736
17621,20001,738
17622,20001,734
17623,20001,741
17624,20001,738
17625,20001,737
17626,20001,737
17627,20001,739
17628,20001,734
17629,20001,303
18211,20001,571
18212,20001,787
18213,20001,812
18214,20001,792
18215,20001,781
18216,20001,643
18217,20001,650
18218,20001,573
18219,20001,359
18220,20001,365
18221,20001,419
18222,20001,392
18223,20001,342
18224,20001,241
18225,20001,174
18226,20001,184
18227,20001,213
18228,20001,97
18319,20001,52
18320,20001,171
18321,20001,238
18322,20001,424
18323,20001,305
18324,20001,405
18325,20001,338
18326,20001,388
18327,20001,501
18328,20001,666
18329,20001,798
18330,20001,796
18331,20001,798
18332,20001,797
18333,20001,798
18334,20001,798
18335,20001,795
18336,20001,799
18337,20001,799
18338,20001,797
18339,20001,798
18340,20001,797
18341,20001,798
18342,20001,798
18343,20001,796
18344,20001,798
18345,20001,797
18346,20001,798
18347,20001,798
18348,20001,660
18349,20001,56
18931,20001,725
18932,20001,819
18933,20001,818
18934,20001,817
18935,20001,813
18936,20001,818
18937,20001,818
18938,20001,792
18939,20001,594
18940,20001,558
18941,20001,349
18942,20001,325
18943,20001,179
18944,20001,163
19049,20001,47
19050,20001,203
19051,20001,388
19052,20001,743
19053,20001,818
19054,20001,816
19055,20001,818
19056,20001,818
19057,20001,819
19058,20001,818
19059,20001,817
19060,20001,818
19061,20001,818
19062,20001,817
19063,20001,819
19064,20001,816
19065,20001,715
19066,20001,440
19067,20001,168
18945,20001,1
19651,20001,117
19652,20001,706
19653,20001,839
19654,20001,837
19655,20001,838
19656,20001,836
19657,20001,838
19658,20001,839
19659,20001,836
19660,20001,801
19661,20001,795
19662,20001,572
19663,20001,332
19664,20001,38
19772,20001,253
19773,20001,793
19774,20001,834
19775,20001,840
19776,20001,839
19777,20001,836
19778,20001,838
19779,20001,837
19780,20001,839
19781,20001,835
19782,20001,752
19783,20001,448
19784,20001,166
20372,20001,79
20373,20001,692
20374,20001,878
20375,20001,879
20376,20001,879
20377,20001,880
20378,20001,876
20379,20001,879
20380,20001,879
20381,20001,879
20382,20001,878
20383,20001,879
20384,20001,255
20493,20001,42
20494,20001,318
20495,20001,569
20496,20001,764
20497,20001,831
20498,20001,544
20499,20001,323
20500,20001,157
20501,20001,52
21093,20001,26
21094,20001,627
21095,20001,899
21096,20001,900
21097,20001,898
21098,20001,897
21099,20001,897
21100,20001,899
21101,20001,899
21102,20001,896
21103,20001,899
21104,20001,332
21216,20001,8
21217,20001,44
21814,20001,9
21815,20001,438
21816,20001,715
21817,20001,916
21818,20001,940
21819,20001,943
21820,20001,938
21821,20001,940
21822,20001,942
21823,20001,939
21824,20001,425
22537,20001,37
22538,20001,261
22539,20001,485
22540,20001,735
22541,20001,941
22542,20001,959
22543,20001,960
22544,20001,501
23261,20001,38
23262,20001,265
23263,20001,492
23264,20001,413
NA,20001,2907330
7742,20017,3
7750,20017,24
7751,20017,53
7752,20017,63
7753,20017,21
8437,20017,75
8438,20017,130
8439,20017,170
8440,20017,173
8441,20017,173
8442,20017,141
8443,20017,74
8444,20017,4
8457,20017,18
8458,20017,164
8459,20017,282
8460,20017,342
8461,20017,352
8462,20017,352
8463,20017,351
8464,20017,337
8465,20017,266
8466,20017,198
8467,20017,225
8468,20017,249
8469,20017,312
8470,20017,354
8471,20017,352
8472,20017,353
8473,20017,353
8474,20017,306
8475,20017,209
8476,20017,104
8477,20017,41
9155,20017,102
9156,20017,317
9157,20017,386
9158,20017,385
9159,20017,385
9160,20017,388
9161,20017,385
9162,20017,386
9163,20017,383
9164,20017,334
9165,20017,95
9176,20017,105
9177,20017,332
9178,20017,389
9179,20017,386
9180,20017,386
9181,20017,385
9182,20017,385
9183,20017,384
9184,20017,388
9185,20017,387
9186,20017,383
9187,20017,387
9188,20017,384
9189,20017,383
9190,20017,388
9191,20017,384
9192,20017,387
9193,20017,384
9194,20017,386
9195,20017,385
9196,20017,386
9197,20017,384
9198,20017,345
9199,20017,195
9200,20017,20
9874,20017,212
9875,20017,415
9876,20017,420
9877,20017,418
9878,20017,418
9879,20017,418
9880,20017,422
9881,20017,416
9882,20017,422
9883,20017,418
9884,20017,418
9885,20017,415
9886,20017,204
9895,20017,98
9896,20017,417
9897,20017,419
9898,20017,419
9899,20017,419
9900,20017,419
9901,20017,419
9902,20017,417
9903,20017,417
9904,20017,425
9905,20017,416
9906,20017,413
9907,20017,427
9908,20017,412
9909,20017,426
9910,20017,419
9911,20017,413
9912,20017,422
9913,20017,420
9914,20017,418
9915,20017,418
9916,20017,418
9917,20017,420
9918,20017,420
9919,20017,419
9920,20017,357
9921,20017,145
9922,20017,37
10589,20017,3
10590,20017,157
10591,20017,292
10592,20017,394
10593,20017,413
10594,20017,454
10595,20017,454
10596,20017,452
10597,20017,454
10598,20017,453
10599,20017,454
10600,20017,452
10601,20017,454
10602,20017,453
10603,20017,454
10604,20017,452
10605,20017,455
10606,20017,453
10607,20017,123
10614,20017,17
10615,20017,392
10616,20017,454
10617,20017,452
10618,20017,454
10619,20017,454
10620,20017,453
10621,20017,453
10622,20017,452
10623,20017,454
10624,20017,453
10625,20017,454
10626,20017,454
10627,20017,452
10628,20017,453
10629,20017,453
10630,20017,453
10631,20017,455
10632,20017,454
10633,20017,454
10634,20017,455
10635,20017,454
10636,20017,454
10637,20017,451
10638,20017,450
10639,20017,447
10640,20017,464
10641,20017,450
10642,20017,451
10643,20017,331
10644,20017,186
10645,20017,186
10646,20017,186
10647,20017,141
10648,20017,45
11308,20017,52
11309,20017,370
11310,20017,475
11311,20017,472
11312,20017,476
11313,20017,468
11314,20017,480
11315,20017,474
11316,20017,470
11317,20017,467
11318,20017,475
11319,20017,479
11320,20017,474
11321,20017,474
11322,20017,474
11323,20017,472
11324,20017,475
11325,20017,473
11326,20017,475
11327,20017,418
11328,20017,12
11334,20017,201
11335,20017,475
11336,20017,473
11337,20017,473
11338,20017,474
11339,20017,473
11340,20017,474
11341,20017,473
11342,20017,475
11343,20017,473
11344,20017,474
11345,20017,472
11346,20017,474
11347,20017,474
11348,20017,473
11349,20017,474
11350,20017,473
11351,20017,474
11352,20017,475
