iucn_sid,sciname
34079,Cupressus duclouxiana
30325,Cupressus dupreziana
44045,Cupressus dupreziana var. atlantica
44046,Cupressus dupreziana var. dupreziana
42218,Cupressus funebris
42219,Cupressus goveniana
34000,Cupressus goveniana var. abramsiana
30918,Cupressus goveniana var. goveniana
42220,Cupressus guadalupensis
34081,Cupressus guadalupensis var. forbesii
34080,Cupressus guadalupensis var. guadalupensis
42221,Cupressus lusitanica
34082,Cupressus lusitanica var. benthamii
19754436,Cupressus lusitanica var. lusitanica
42222,Cupressus macnabiana
30375,Cupressus macrocarpa
42258,Cupressus sargentii
32518,Cupressus sempervirens
32131,Cupressus torulosa
32336,Cupressus torulosa var. gigantea
191576,Cupressus torulosa var. torulosa
42440,Dacrycarpus cinctus
42441,Dacrycarpus compactus
42442,Dacrycarpus cumingii
42443,Dacrycarpus dacrydioides
42444,Dacrycarpus expansus
42445,Dacrycarpus imbricatus
34204,Dacrycarpus kinabaluensis
34205,Dacrycarpus steupii
31003,Dacrycarpus vieillardii
30998,Dacrydium araucarioides
42446,Dacrydium balansae
42447,Dacrydium beccarii
31407,Dacrydium comosum
34206,Dacrydium cornwallianum
42448,Dacrydium cupressinum
42449,Dacrydium elatum
34207,Dacrydium ericioides
34208,Dacrydium gibbsiae
40742,Dacrydium gracile
30999,Dacrydium guillauminii
34211,Dacrydium leptophyllum
31000,Dacrydium lycopodioides
34210,Dacrydium magnum
42450,Dacrydium medium
31051,Dacrydium nausoriense
42471,Dacrydium nidulum
42472,Dacrydium novoguineense
42473,Dacrydium pectinatum
34149,Dacrydium spathoides
42474,Dacrydium xanthandrum
42225,Diselma archeri
34150,Falcatifolium angustum
42475,Falcatifolium falciforme
34151,Falcatifolium gruezoi
42476,Falcatifolium papuanum
42557,Falcatifolium sleumeri
42477,Falcatifolium taxoides
30926,Fitzroya cupressoides
32351,Fokienia hodginsii
32312,Glyptostrobus pensilis
42478,Halocarpus bidwillii
42479,Halocarpus biformis
34152,Halocarpus kirkii
42223,Juniperus angosturana
63549,Juniperus arizonica
42224,Juniperus ashei
16335081,Juniperus ashei var. ashei
16335124,Juniperus ashei var. ovata
34083,Juniperus barbadensis
44164,Juniperus barbadensis var. barbadensis
39146,Juniperus barbadensis var. lucayana
30376,Juniperus bermudiana
31081,Juniperus blancoi
16335622,Juniperus blancoi var. blancoi
16335631,Juniperus blancoi var. huehuentensis
63547,Juniperus blancoi var. mucronata
30326,Juniperus brevifolia
42226,Juniperus californica
30327,Juniperus cedrus
42227,Juniperus chinensis
191577,Juniperus chinensis var. chinensis
191578,Juniperus chinensis var. sargentii
63548,Juniperus chinensis var. tsukusiensis
16335864,Juniperus coahuilensis
32500,Juniperus comitana
42229,Juniperus communis
42230,Juniperus convallium
34133,Juniperus convallium var. convallium
34134,Juniperus convallium var. microsperma
42231,Juniperus deppeana
16335916,Juniperus deppeana var. deppeana
16336230,Juniperus deppeana var. pachyphlaea
31083,Juniperus deppeana var. robusta
40954,Juniperus deppeana var. sperryi
31084,Juniperus deppeana var. zacatecensis
30311,Juniperus drupacea
31085,Juniperus durangensis
42232,Juniperus excelsa
16336618,Juniperus excelsa subsp. excelsa
16336635,Juniperus excelsa subsp. polycarpos
42233,Juniperus flaccida
44048,Juniperus flaccida var. flaccida
44047,Juniperus flaccida var. martinezii
16337247,Juniperus flaccida var. poblana
42234,Juniperus foetidissima
42235,Juniperus formosana
34136,Juniperus gamboana
42236,Juniperus gracilior
