iucn_sid,sciname,kingdom,phylum,class,order,family,main_common_name,published_year,old_cat,criteria,aoo_km2,eoo_km2,depth_upper,depth_lower,cat,cat_score
3381,Butis butis,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,ELEOTRIDAE,Crimson-tipped Gudgeon,2017,LC,NA,NA,NA,NA,NA,LC,0
3565,Callionymus sanctaehelenae,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,CALLIONYMIDAE,St Helena Dragonet,1996,CR,D,NA,NA,NA,NA,CR,0.8
3590,Callorhinus ursinus,ANIMALIA,CHORDATA,MAMMALIA,CARNIVORA,OTARIIDAE,Northern Fur Seal,2015,VU,A2b,16996944,20302016,NA,207,VU,0.4
3851,Carcharhinus limbatus,ANIMALIA,CHORDATA,CHONDRICHTHYES,CARCHARHINIFORMES,CARCHARHINIDAE,Blacktip Shark,2009,NT,NA,NA,NA,NA,NA,NT,0.2
3852,Carcharhinus obscurus,ANIMALIA,CHORDATA,CHONDRICHTHYES,CARCHARHINIFORMES,CARCHARHINIDAE,Dusky Shark,2009,VU,A2bd,NA,NA,0,400,VU,0.4
3853,Carcharhinus plumbeus,ANIMALIA,CHORDATA,CHONDRICHTHYES,CARCHARHINIFORMES,CARCHARHINIDAE,Sandbar Shark,2009,VU,A2bd+4bd,NA,NA,0,280,VU,0.4
3854,Carcharias taurus,ANIMALIA,CHORDATA,CHONDRICHTHYES,LAMNIFORMES,ODONTASPIDIDAE,Sand Tiger Shark,2009,VU,A2ab+3d,NA,NA,NA,NA,VU,0.4
3855,Carcharodon carcharias,ANIMALIA,CHORDATA,CHONDRICHTHYES,LAMNIFORMES,LAMNIDAE,Great White Shark,2009,VU,A2cd+3cd,NA,NA,0,250,VU,0.4
3897,Caretta caretta,ANIMALIA,CHORDATA,REPTILIA,TESTUDINES,CHELONIIDAE,Loggerhead Turtle,2017,VU,A2b,NA,NA,NA,NA,VU,0.4
4159,Cephalorhynchus commersonii,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,DELPHINIDAE,Commerson's Dolphin,2017,LC,NA,NA,NA,0,NA,LC,0
4160,Cephalorhynchus eutropia,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,DELPHINIDAE,Chilean Dolphin,2017,NT,NA,NA,NA,NA,0,NT,0.2
4162,Cephalorhynchus hectori,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,DELPHINIDAE,Hector's Dolphin,2013,EN,A4d,NA,NA,NA,NA,EN,0.6
4292,Cetorhinus maximus,ANIMALIA,CHORDATA,CHONDRICHTHYES,LAMNIFORMES,CETORHINIDAE,Basking Shark,2005,VU,A2ad+3d,NA,NA,NA,NA,VU,0.4
4362,Chaetodon marleyi,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,CHAETODONTIDAE,Doublesash Butterflyfish,2010,LC,NA,NA,NA,NA,120,LC,0
4364,Chaetodon robustus,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,CHAETODONTIDAE,Three-banded Butterflyfish,2010,LC,NA,NA,NA,3,70,LC,0
4592,Cheilinus undulatus,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,LABRIDAE,Humphead Wrasse,2004,EN,A2bd+3bd,NA,NA,NA,NA,EN,0.6
4615,Chelonia mydas,ANIMALIA,CHORDATA,REPTILIA,TESTUDINES,CHELONIIDAE,Green Turtle,2004,EN,A2bd,NA,NA,NA,NA,EN,0.6
4987,Clupeonella cultriventris,ANIMALIA,CHORDATA,ACTINOPTERYGII,CLUPEIFORMES,CLUPEIDAE,NA,2008,LC,NA,NA,NA,NA,NA,LC,0
5360,Coregonus albula,ANIMALIA,CHORDATA,ACTINOPTERYGII,SALMONIFORMES,SALMONIDAE,Vendace,2011,LC,NA,NA,NA,NA,NA,LC,0
5363,Coregonus autumnalis,ANIMALIA,CHORDATA,ACTINOPTERYGII,SALMONIFORMES,SALMONIDAE,Arctic Cisco,2008,LC,NA,NA,NA,NA,NA,LC,0
5369,Coregonus lavaretus,ANIMALIA,CHORDATA,ACTINOPTERYGII,SALMONIFORMES,SALMONIDAE,Lavaret,2008,VU,D2,NA,NA,NA,NA,VU,0.4
5659,Crocodylus acutus,ANIMALIA,CHORDATA,REPTILIA,CROCODYLIA,CROCODYLIDAE,American Crocodile,2012,VU,A2cd,NA,NA,NA,NA,VU,0.4
5668,Crocodylus porosus,ANIMALIA,CHORDATA,REPTILIA,CROCODYLIA,CROCODYLIDAE,Salt-water Crocodile,1996,LR/lc,NA,NA,NA,NA,NA,LC,0
