am_sid,sciname,common_name,kingdom,phylum,class,iucn_sid,taxa
Fis-26653,Pomadasys stridens,Striped piggy,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-28123,Albula glossodonta,Roundjaw bonefish,Animalia,Chordata,Actinopterygii,194299,bony fish
Fis-22770,Alosa alosa,Allis shad,Animalia,Chordata,Actinopterygii,903,bony fish
Fis-23465,Cheilopogon furcatus,Spotfin flyingfish,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-52020,Thalassoma ascensionis,Greenfish,Animalia,Chordata,Actinopterygii,21689,bony fish
Fis-1646,Pegusa nasuta,Blackhand sole,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-22868,Coregonus albula,Vendace,Animalia,Chordata,Actinopterygii,5360,bony fish
Fis-25886,Brachaelurus waddi,Blind shark,Animalia,Chordata,Elasmobranchii,41732,cart fish
Fis-52319,Alepocephalus triangularis,Triangulate slickhead,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-32587,Rhabdosargus thorpei,Bigeye stumpnose,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-26147,Saurida tumbil,Greater lizardfish,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-25680,Acanthopagrus berda,Goldsilk seabream,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-150758,Eleginus nawaga,Navaga,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-54327,Scorpaenopsis oxycephala,Tassled scorpionfish,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-56329,Coelorinchus kishinouyei,Mugura grenadier,Animalia,Chordata,Actinopterygii,NA,bony fish
SLB-11826,Funchalia woodwardi,Woodward's pelagic shrimp,Animalia,Arthropoda,Malacostraca,NA,invertebrate
SLB-61985,Cladocora arbuscula,tube coral,Animalia,Cnidaria,Anthozoa,133575,invertebrate
ITS-Mam-612598,Mesoplodon traversii,spade-toothed beaked whale,Animalia,Chordata,Mammalia,41760,mammal
ITS-Mam-180450,Cephalorhynchus eutropia,black dolphin,Animalia,Chordata,Mammalia,4160,mammal
ITS-73297,Nucella lapillus,Atlantic dogwinkle,Animalia,Mollusca,Gastropoda,NA,invertebrate
W-Msc-600713,Morula uva,NA,Animalia,Mollusca,Gastropoda,NA,invertebrate
W-Msc-576828,Tonna olearium,oily tun,Animalia,Mollusca,Gastropoda,NA,invertebrate
ITS-567355,Chicoreus pomum,apple murex,Animalia,Mollusca,Gastropoda,NA,invertebrate
ITS-Mam-180420,Sousa teuszii,Atlantic hump-backed dolphin,Animalia,Chordata,Mammalia,20425,mammal
W-Bch-107382,Charybdis hellerii,spiny hands,Animalia,Arthropoda,Malacostraca,NA,invertebrate
ITS-Mam-180635,Arctocephalus philippii,Juan Fernandez fur seal,Animalia,Chordata,Mammalia,2059,mammal
ITS-96967,Pandalus borealis,northern shrimp,Animalia,Arthropoda,Malacostraca,NA,invertebrate
ITS-Mam-180513,Mesoplodon bowdoini,Andrew's beaked whale,Animalia,Chordata,Mammalia,13242,mammal
SLB-93966,Ceratosoma amoena,clown nudibranch,Animalia,Mollusca,Gastropoda,NA,invertebrate
SLB-93407,Murex tribulus,caltrop murex,Animalia,Mollusca,Gastropoda,NA,invertebrate
SLB-76656,Cymatium aquatile,Aquatile hairy triton,Animalia,Mollusca,Gastropoda,NA,invertebrate
Bra-235673,Dyscritosia secreta,NA,Animalia,Brachiopoda,Articulata,NA,invertebrate
W-Bch-208825,Charybdis truncata,blunt-toothed crab,Animalia,Arthropoda,Malacostraca,NA,invertebrate
ITS-Mam-612591,Eubalaena japonica,North Pacific right whale,Animalia,Chordata,Mammalia,41711,mammal
ITS-Mam-180419,Sousa chinensis,Pacific humpback dolphin,Animalia,Chordata,Mammalia,20424,mammal
ITS-556336,Alluroteuthis antarcticus,Antarctic neosquid,Animalia,Mollusca,Cephalopoda,163260,invertebrate
SLB-100583,Pyrene punctata,punctate dove shell,Animalia,Mollusca,Gastropoda,NA,invertebrate
SLB-88336,Actinopyga miliaris,hairy blackfish,Animalia,Echinodermata,Holothuroidea,180265,invertebrate
SLB-93022,Cerithidea obtusa,obtuse horn shell,Animalia,Mollusca,Gastropoda,NA,invertebrate
Fis-29372,Engraulis ringens,Anchoveta,Animalia,Chordata,Actinopterygii,183775,bony fish
Fis-22701,Orthopristis chrysoptera,Pigfish,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-22215,Coryphaena hippurus,Common dolphinfish,Animalia,Chordata,Actinopterygii,154712,bony fish
Fis-29358,Coryphaena equiselis,Pompano dolphinfish,Animalia,Chordata,Actinopterygii,170350,bony fish
Fis-53544,Abalistes stellaris,Starry triggerfish,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-8344,Alectis indica,Indian threadfish,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-22703,Cephalopholis cruentata,Graysby,Animalia,Chordata,Actinopterygii,132761,bony fish
Fis-22704,Epinephelus adscensionis,Rock hind,Animalia,Chordata,Actinopterygii,132819,bony fish
Fis-22720,Epinephelus itajara,Atlantic goliath grouper,Animalia,Chordata,Actinopterygii,195409,bony fish
Fis-22721,Epinephelus morio,Red grouper,Animalia,Chordata,Actinopterygii,44681,bony fish
Fis-22722,Epinephelus striatus,Nassau grouper,Animalia,Chordata,Actinopterygii,7862,bony fish
Fis-29302,Balistes vetula,Queen triggerfish,Animalia,Chordata,Actinopterygii,2539,bony fish
Fis-29289,Argentina sphyraena,Argentine,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-22718,Benthosema glaciale,Glacier lantern fish,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-29314,Callionymus reticulatus,Reticulated dragonet,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-29313,Callionymus lyra,Dragonet,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-29344,Clupea harengus,Atlantic herring,Animalia,Chordata,Actinopterygii,155123,bony fish
Fis-3399,Gadiculus thori,NA,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-22723,Glyptocephalus cynoglossus,Witch flounder,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-22724,Lepidorhombus boscii,Four-spot megrim,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-22725,Lepidorhombus whiffiagonis,Megrim,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-22726,Merlangius merlangus,Whiting,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-22727,Merluccius merluccius,European hake,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-22729,Micromesistius poutassou,Blue whiting,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-22728,Microchirus variegatus,Thickback sole,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-22730,Molva molva,Ling,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-22732,Pollachius pollachius,Pollack,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-22711,Anguilla anguilla,European eel,Animalia,Chordata,Actinopterygii,60344,bony fish
Fis-22710,Agonus cataphractus,Hooknose,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-29267,Ammodytes marinus,Lesser sand-eel,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-29269,Ammodytes tobianus,Small sandeel,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-22712,Aphia minuta,Transparent goby,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-29291,Argyropelecus affinis,Pacific hatchet fish,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-22714,Arnoglossus laterna,Mediterranean scaldfish,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-22713,Arnoglossus imperialis,Imperial scaldfish,Animalia,Chordata,Actinopterygii,154687,bony fish
Fis-29297,Arnoglossus thori,Thor's scaldfish,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-22715,Chelidonichthys cuculus,Red gurnard,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-29300,Atherina presbyter,Sand smelt,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-139729,Melanolagus bericoides,Bigscale deepsea smelt,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-22717,Belone belone,Garfish,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-22731,Parablennius gattorugine,Tompot blenny,Animalia,Chordata,Actinopterygii,185128,bony fish
Fis-29304,Blennius ocellaris,Butterfly blenny,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-22740,Brosme brosme,Tusk,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-22741,Buenia jeffreysii,Jeffrey's goby,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-22742,Buglossidium luteum,Solenette,Animalia,Chordata,Actinopterygii,155044,bony fish
Fis-22743,Capros aper,Boarfish,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-22745,Centrolabrus exoletus,Rock cook,Animalia,Chordata,Actinopterygii,187803,bony fish
Fis-22746,Cepola macrophthalma,Red bandfish,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-22749,Chirolophis ascanii,Yarrell's blenny,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-22750,Coris julis,Mediterranean rainbow wrasse,Animalia,Chordata,Actinopterygii,187752,bony fish
Fis-22769,Symphodus melops,Corkwing wrasse,Animalia,Chordata,Actinopterygii,187748,bony fish
Fis-22751,Crystallogobius linearis,Crystal goby,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-22752,Ctenolabrus rupestris,Goldsinny-wrasse,Animalia,Chordata,Actinopterygii,187751,bony fish
Fis-29361,Cyclopterus lumpus,Lumpfish,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-22755,Dicentrarchus labrax,European seabass,Animalia,Chordata,Actinopterygii,135606,bony fish
Fis-22763,Diplecogaster bimaculata,Two-spotted clingfish,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-62865,Echiodon drummondii,NA,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-22756,Engraulis encrasicolus,European anchovy,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-22757,Entelurus aequoreus,Snake pipefish,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-22760,Eutrigla gurnardus,Grey gurnard,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-29394,Gadus morhua,Atlantic cod,Animalia,Chordata,Actinopterygii,8784,bony fish
Fis-22744,Caranx hippos,Crevalle jack,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-29403,Gobius niger,Black goby,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-29404,Gobius paganellus,Rock goby,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-22761,Gobiusculus flavescens,Two-spotted goby,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-22762,Gymnammodytes semisquamatus,Smooth sandeel,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-22764,Helicolenus dactylopterus,Blackbelly rosefish,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-22766,Istiophorus platypterus,Indo-Pacific sailfish,Animalia,Chordata,Actinopterygii,170338,bony fish
Fis-22765,Istiophorus albicans,Atlantic sailfish,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-22748,Chanos chanos,Milkfish,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-22737,Aphareus furca,Small toothed jobfish,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-29276,Aphareus rutilans,Rusty jobfish,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-29278,Aprion virescens,Green jobfish,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-22219,Apsilus dentatus,Black snapper,Animalia,Chordata,Actinopterygii,155126,bony fish
Fis-29288,Apsilus fuscus,African forktail snapper,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-29375,Etelis carbunculus,Deep-water red snapper,Animalia,Chordata,Actinopterygii,154999,bony fish
Fis-22768,Lamna nasus,Porbeagle,Animalia,Chordata,Elasmobranchii,11200,cart fish
Fis-22735,Acanthocybium solandri,Wahoo,Animalia,Chordata,Actinopterygii,170331,bony fish
Fis-22747,Cetorhinus maximus,Basking shark,Animalia,Chordata,Elasmobranchii,4292,cart fish
Fis-29265,Allothunnus fallai,Slender tuna,Animalia,Chordata,Actinopterygii,170349,bony fish
Fis-22736,Acanthostracion quadricornis,Scrawled cowfish,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-22738,Auxis rochei,Bullet tuna,Animalia,Chordata,Actinopterygii,170355,bony fish
Fis-22739,Auxis thazard,Frigate tuna,Animalia,Chordata,Actinopterygii,170344,bony fish
Fis-22754,Cybiosarda elegans,Leaping bonito,Animalia,Chordata,Actinopterygii,170321,bony fish
Fis-22758,Euthynnus affinis,Kawakawa,Animalia,Chordata,Actinopterygii,170336,bony fish
Fis-22759,Euthynnus alletteratus,Little tunny,Animalia,Chordata,Actinopterygii,170345,bony fish
Fis-29391,Euthynnus lineatus,Black skipjack,Animalia,Chordata,Actinopterygii,170320,bony fish
Fis-29263,Alepisaurus ferox,Long snouted lancetfish,Animalia,Chordata,Actinopterygii,154820,bony fish
Fis-29402,Gasterochisma melampus,Butterfly kingfish,Animalia,Chordata,Actinopterygii,170340,bony fish
Fis-22773,Conger esculentus,Grey conger,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-21661,Grammatorcynus bicarinatus,Shark mackerel,Animalia,Chordata,Actinopterygii,170308,bony fish
Fis-21662,Grammatorcynus bilineatus,Double-lined mackerel,Animalia,Chordata,Actinopterygii,170358,bony fish
Fis-22776,Gymnosarda unicolor,Dogtooth tuna,Animalia,Chordata,Actinopterygii,170342,bony fish
Fis-22777,Katsuwonus pelamis,Skipjack tuna,Animalia,Chordata,Actinopterygii,170310,bony fish
Fis-22805,Orcynopsis unicolor,Plain bonito,Animalia,Chordata,Actinopterygii,170319,bony fish
Fis-22812,Rastrelliger brachysoma,Short mackerel,Animalia,Chordata,Actinopterygii,170318,bony fish
Fis-29499,Rastrelliger faughni,Island mackerel,Animalia,Chordata,Actinopterygii,170324,bony fish
Fis-22813,Rastrelliger kanagurta,Indian mackerel,Animalia,Chordata,Actinopterygii,170328,bony fish
Fis-22815,Sarda australis,Australian bonito,Animalia,Chordata,Actinopterygii,170332,bony fish
Fis-22817,Sarda orientalis,Striped bonito,Animalia,Chordata,Actinopterygii,170313,bony fish
Fis-22818,Sarda sarda,Atlantic bonito,Animalia,Chordata,Actinopterygii,155096,bony fish
Fis-29506,Scomber australasicus,Blue mackerel,Animalia,Chordata,Actinopterygii,170329,bony fish
Fis-29507,Scomber japonicus,Chub mackerel,Animalia,Chordata,Actinopterygii,170306,bony fish
Fis-29508,Scomber scombrus,Atlantic mackerel,Animalia,Chordata,Actinopterygii,170354,bony fish
Fis-29509,Scomberomorus brasiliensis,Serra Spanish mackerel,Animalia,Chordata,Actinopterygii,170335,bony fish
Fis-22819,Scomberomorus cavalla,King mackerel,Animalia,Chordata,Actinopterygii,170339,bony fish
Fis-22820,Scomberomorus commerson,Narrow-barred Spanish mackerel,Animalia,Chordata,Actinopterygii,170316,bony fish
Fis-22821,Scomberomorus concolor,Monterey Spanish mackerel,Animalia,Chordata,Actinopterygii,20047,bony fish
Fis-22822,Scomberomorus guttatus,Indo-Pacific king mackerel,Animalia,Chordata,Actinopterygii,170311,bony fish
Fis-22823,Scomberomorus koreanus,Korean seerfish,Animalia,Chordata,Actinopterygii,170343,bony fish
Fis-22824,Scomberomorus lineolatus,Streaked seerfish,Animalia,Chordata,Actinopterygii,170353,bony fish
Fis-22825,Scomberomorus maculatus,Atlantic Spanish mackerel,Animalia,Chordata,Actinopterygii,170323,bony fish
Fis-3059,Apogonichthyoides taeniatus,Twobelt cardinal,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-29510,Scomberomorus munroi,Australian spotted mackerel,Animalia,Chordata,Actinopterygii,170330,bony fish
Fis-29290,Argyropelecus aculeatus,Lovely hatchetfish,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-22826,Scomberomorus niphonius,Japanese Spanish mackerel,Animalia,Chordata,Actinopterygii,170356,bony fish
Fis-29511,Scomberomorus plurilineatus,Kanadi kingfish,Animalia,Chordata,Actinopterygii,170348,bony fish
Fis-29512,Scomberomorus queenslandicus,Queensland school mackerel,Animalia,Chordata,Actinopterygii,154946,bony fish
Fis-22827,Scomberomorus regalis,Cero,Animalia,Chordata,Actinopterygii,170327,bony fish
Fis-22828,Scomberomorus semifasciatus,Broad-barred king mackerel,Animalia,Chordata,Actinopterygii,170337,bony fish
Fis-29513,Scomberomorus sierra,Pacific sierra,Animalia,Chordata,Actinopterygii,170325,bony fish
Fis-22829,Scomberomorus sinensis,Chinese seerfish,Animalia,Chordata,Actinopterygii,170346,bony fish
Fis-22831,Somniosus microcephalus,Greenland shark,Animalia,Chordata,Elasmobranchii,60213,cart fish
Fis-29532,Squalus acanthias,Picked dogfish,Animalia,Chordata,Elasmobranchii,39326,cart fish
Fis-22814,Rhinobatos percellens,Chola guitarfish,Animalia,Chordata,Elasmobranchii,161373,cart fish
Fis-22830,Scomberomorus tritor,West African Spanish mackerel,Animalia,Chordata,Actinopterygii,170326,bony fish
Fis-22832,Thunnus alalunga,Albacore,Animalia,Chordata,Actinopterygii,21856,bony fish
Fis-22833,Thunnus albacares,Yellowfin tuna,Animalia,Chordata,Actinopterygii,21857,bony fish
Fis-22834,Thunnus atlanticus,Blackfin tuna,Animalia,Chordata,Actinopterygii,155276,bony fish
Fis-22835,Thunnus maccoyii,Southern bluefin tuna,Animalia,Chordata,Actinopterygii,21858,bony fish
Fis-22836,Thunnus obesus,Bigeye tuna,Animalia,Chordata,Actinopterygii,21859,bony fish
Fis-49220,Thunnus thynnus,Atlantic bluefin tuna,Animalia,Chordata,Actinopterygii,21860,bony fish
Fis-22838,Thunnus tonggol,Longtail tuna,Animalia,Chordata,Actinopterygii,170351,bony fish
Fis-46990,Rhinobatos planiceps,Pacific guitarfish,Animalia,Chordata,Elasmobranchii,44584,cart fish
Fis-22779,Lutjanus guttatus,Spotted rose snapper,Animalia,Chordata,Actinopterygii,183777,bony fish
Fis-22780,Lutjanus inermis,Golden snapper,Animalia,Chordata,Actinopterygii,183282,bony fish
Fis-22781,Lutjanus jocu,Dog snapper,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-22782,Lutjanus jordani,Jordan's snapper,Animalia,Chordata,Actinopterygii,183780,bony fish
Fis-22783,Lutjanus kasmira,Common bluestripe snapper,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-22784,Lutjanus lemniscatus,Yellowstreaked snapper,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-22785,Lutjanus lunulatus,Lunartail snapper,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-29439,Lutjanus lutjanus,Bigeye snapper,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-22786,Lutjanus madras,Indian snapper,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-22787,Lutjanus mahogoni,Mahogany snapper,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-22788,Lutjanus malabaricus,Malabar blood snapper,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-22790,Lutjanus monostigma,One-spot snapper,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-22772,Callorhinchus capensis,Cape elephantfish,Animalia,Chordata,Holocephali,60138,cart fish
Fis-22791,Lutjanus notatus,Bluestriped snapper,Animalia,Chordata,Actinopterygii,154742,bony fish
Fis-29441,Lutjanus novemfasciatus,Pacific dog snapper,Animalia,Chordata,Actinopterygii,183311,bony fish
Fis-22792,Lutjanus peru,Pacific red snapper,Animalia,Chordata,Actinopterygii,183334,bony fish
Fis-22220,Lutjanus purpureus,Southern red snapper,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-22793,Lutjanus quinquelineatus,Five-lined snapper,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-22794,Lutjanus rivulatus,Blubberlip snapper,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-29369,Elops saurus,Ladyfish,Animalia,Chordata,Actinopterygii,191822,bony fish
Fis-53903,Lutjanus russellii,Russell's snapper,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-22796,Lutjanus sanguineus,Humphead snapper,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-22797,Lutjanus sebae,Emperor red snapper,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-29442,Lutjanus semicinctus,Black-banded snapper,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-22798,Lutjanus synagris,Lane snapper,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-21518,Lutjanus timoriensis,Timor snapper,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-22800,Lutjanus viridis,Blue and gold snapper,Animalia,Chordata,Actinopterygii,183596,bony fish
Fis-22801,Lutjanus vitta,Brownstripe red snapper,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-22802,Lutjanus vivanus,Silk snapper,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-29444,Macolor macularis,Midnight snapper,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-22803,Macolor niger,Black and white snapper,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-22804,Ocyurus chrysurus,Yellowtail snapper,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-29467,Paracaesio kusakarii,Saddle-back snapper,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-29468,Paracaesio sordida,Dirty ordure snapper,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-47262,Paracaesio xanthura,Yellowtail blue snapper,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-21658,Pinjalo pinjalo,Pinjalo,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-22810,Pristipomoides aquilonaris,Wenchman,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-22811,Pristipomoides argyrogrammicus,Ornate jobfish,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-22936,Pristipomoides auricilla,Goldflag jobfish,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-22937,Pristipomoides filamentosus,Crimson jobfish,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-29487,Pristipomoides flavipinnis,Golden eye jobfish,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-22849,Boops boops,Bogue,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-22952,Sarpa salpa,Salema,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-22221,Pristipomoides freemani,Slender wenchman,Animalia,Chordata,Actinopterygii,154682,bony fish
Fis-22938,Pristipomoides macrophthalmus,Cardinal snapper,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-22851,Bothus podas,Wide-eyed flounder,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-22939,Pristipomoides multidens,Goldbanded jobfish,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-22940,Pristipomoides sieboldii,Lavender jobfish,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-29488,Pristipomoides typus,Sharptooth jobfish,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-22941,Pristipomoides zonatus,Oblique-banded snapper,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-22944,Randallichthys filamentosus,Randall's snapper,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-22946,Rhomboplites aurorubens,Vermilion snapper,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-22959,Symphorichthys spilurus,Sailfin snapper,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-22960,Symphorus nematophorus,Chinamanfish,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-29447,Makaira nigricans,Blue marlin,Animalia,Chordata,Actinopterygii,170314,bony fish
Fis-164254,Istiompax indica,Black marlin,Animalia,Chordata,Actinopterygii,170312,bony fish
Fis-22899,Makaira mazara,Indo-Pacific blue marlin,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-164253,Kajikia albida,Atlantic white marlin,Animalia,Chordata,Actinopterygii,170322,bony fish
Fis-29562,Tetrapturus pfluegeri,Longbill spearfish,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-8203,Tetrapturus georgii,Roundscale spearfish,Animalia,Chordata,Actinopterygii,170333,bony fish
Fis-163398,Kajikia audax,Striped marlin,Animalia,Chordata,Actinopterygii,170309,bony fish
Fis-29312,Callionymus filamentosus,Blotchfin dragonet,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-29576,Xiphias gladius,Swordfish,Animalia,Chordata,Actinopterygii,23148,bony fish
Fis-22902,Megalops cyprinoides,Indo-Pacific tarpon,Animalia,Chordata,Actinopterygii,166868,bony fish
Fis-22841,Albula vulpes,Bonefish,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-29498,Pterothrissus belloci,Longfin bonefish,Animalia,Chordata,Actinopterygii,194305,bony fish
Fis-29264,Alepocephalus bairdii,Baird's slickhead,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-52418,Coregonus lavaretus,European whitefish,Animalia,Chordata,Actinopterygii,5369,bony fish
Fis-29501,Salmo salar,Atlantic salmon,Animalia,Chordata,Actinopterygii,19855,bony fish
Fis-21630,Salmo trutta,Sea trout,Animalia,Chordata,Actinopterygii,19861,bony fish
Fis-22919,Oncorhynchus mykiss,Rainbow trout,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-22915,Oncorhynchus gorbuscha,Pink salmon,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-22916,Oncorhynchus keta,Chum salmon,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-22918,Oncorhynchus masou masou,Masu salmon,Animalia,Chordata,Actinopterygii,15319,bony fish
Fis-22920,Oncorhynchus nerka,Sockeye salmon,Animalia,Chordata,Actinopterygii,135301,bony fish
Fis-22921,Oncorhynchus tshawytscha,Chinook salmon,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-22917,Oncorhynchus kisutch,Coho salmon,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-22950,Salvelinus fontinalis,Brook trout,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-153593,Salvelinus alpinus alpinus,Arctic char,Animalia,Chordata,Actinopterygii,19877,bony fish
Fis-22856,Centrolophus niger,Rudderfish,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-22953,Schedophilus ovalis,Imperial blackfish,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-60263,Plecoglossus altivelis altivelis,Ayu sweetfish,Animalia,Chordata,Actinopterygii,62222,bony fish
Fis-22900,Mallotus villosus,Capelin,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-22922,Osmerus mordax,Rainbow smelt,Animalia,Chordata,Actinopterygii,202413,bony fish
Fis-22880,Hypomesus pretiosus,Surf smelt,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-22963,Thaleichthys pacificus,Eulachon,Animalia,Chordata,Actinopterygii,202415,bony fish
Fis-22887,Lampanyctodes hectoris,Hector's lanternfish,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-22878,Harpadon nehereus,Bombay-duck,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-146035,Lutjanus fulviflamma,Dory snapper,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-22893,Lutjanus fulvus,Blacktail snapper,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-22896,Lutjanus johnii,John's snapper,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-22894,Lutjanus gibbus,Humpback red snapper,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-22895,Lutjanus griseus,Grey snapper,Animalia,Chordata,Actinopterygii,NA,bony fish
