am_sid,sciname,common_name,kingdom,phylum,class,iucn_sid,taxa
Fis-35269,Scorpaenopsis brevifrons,Bigmouth scorpionfish,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-35271,Valenciennea bella,Bella goby,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-35275,Valenciennea persica,NA,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-35296,Chaetodon daedalma,Wrought iron butterflyfish,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-35297,Chaetodon smithi,Smith's butterflyfish,Animalia,Chordata,Actinopterygii,165675,bony fish
Fis-35299,Pseudochromis pesi,Pale dottyback,Animalia,Chordata,Actinopterygii,18510,bony fish
Fis-170329,Ostorhinchus norfolcensis,Norfolk cardinalfish,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-35316,Ecsenius bathi,Bath's comb-tooth,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-28587,Cirrhitops hubbardi,NA,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-28589,Amblyeleotris sungami,Magnus' prawn-goby,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-28611,Cryptocentrus caeruleopunctatus,Harlequin prawn-goby,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-137821,Helcogramma vulcana,Volcano triplefin,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-21236,Dunckerocampus baldwini,Redstripe pipefish,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-60386,Pseudanthias taeniatus,NA,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-28632,Plectranthias gardineri,NA,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-35372,Upeneus francisi,Francis' goatfish,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-28638,Priolepis boreus,NA,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-35378,Hoplolatilus luteus,Yellow tilefish,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-35380,Hoplolatilus fourmanoiri,Yellow-spotted tilefish,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-149524,Siphonognathus caninis,Sharpnose weed whiting,Animalia,Chordata,Actinopterygii,190680,bony fish
Fis-35386,Siphonognathus tanyourus,Longtail weed whiting,Animalia,Chordata,Actinopterygii,190684,bony fish
Fis-28648,Liopropoma swalesi,Swales' basslet,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-28652,Pelates octolineatus,Western striped trumpeter,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-35390,Liopropoma lemniscatum,Ribbon basslet,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-35394,Liopropoma tonstrinum,Redstriped basslet,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-28663,Luzonichthys microlepis,Slender splitfin,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-35397,Luzonichthys taeniatus,Striped splitfin,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-35398,Luzonichthys williamsi,NA,Animalia,Chordata,Actinopterygii,154730,bony fish
Fis-35402,Cheilodipterus parazonatus,Mimic cardinal,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-35404,Cheilodipterus pygmaios,NA,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-35415,Aplodactylus punctatus,NA,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-28684,Sphoeroides angusticeps,Narrow-headed puffer,Animalia,Chordata,Actinopterygii,183925,bony fish
Fis-28697,Gobiomorphus gobioides,Giant bully,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-28709,Cypselurus simus,Short-nosed flyingfish,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-28716,Hydrolagus barbouri,NA,Animalia,Chordata,Holocephali,60190,cart fish
Fis-28723,Liza haematocheila,So-iuy mullet,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-28735,Plectranthias anthioides,NA,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-35462,Cirrhilabrus rubripinnis,Redfin wrasse,Animalia,Chordata,Actinopterygii,155032,bony fish
Fis-35463,Oxymetopon compressus,Robust ribbongoby,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-35464,Oxymetopon cyanoctenosum,Blue-barred ribbon goby,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-35466,Meiacanthus vittatus,One-striped fangblenny,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-28751,Sebastes baramenuke,NA,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-28754,Sebastes iracundus,NA,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-28758,Agonomalus proboscidalis,NA,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-35471,Lepidotrigla sayademalha,NA,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-35472,Foetorepus masudai,Masuda’s dragonet,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-28764,Takifugu radiatus,NA,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-28766,Takifugu exascurus,NA,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-21777,Macropharyngodon cyanoguttatus,NA,Animalia,Chordata,Actinopterygii,187667,bony fish
Fis-168160,Macropharyngodon marisrubri,NA,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-161073,Zearaja nasuta,New Zealand rough skate,Animalia,Chordata,Elasmobranchii,41800,cart fish
Fis-35513,Mobula munkiana,Munk's devil ray,Animalia,Chordata,Elasmobranchii,60198,cart fish
Fis-28825,Bathyraja spinosissima,Spiny skate,Animalia,Chordata,Elasmobranchii,161486,cart fish
Fis-131850,Amblyraja badia,Broad skate,Animalia,Chordata,Elasmobranchii,161452,cart fish
Fis-28887,Trinectes fluviatilis,Freshwater sole,Animalia,Chordata,Actinopterygii,183331,bony fish
Fis-156316,Ariopsis guatemalensis,Blue sea catfish,Animalia,Chordata,Actinopterygii,183394,bony fish
Fis-35561,Selenanthias myersi,NA,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-142472,Filimanus heptadactyla,Sevenfinger threadfin,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-140587,Daector schmitti,Schmitt's toadfish,Animalia,Chordata,Actinopterygii,183284,bony fish
Fis-35578,Porichthys mimeticus,Mimetic midshipman,Animalia,Chordata,Actinopterygii,183779,bony fish
Fis-35582,Monolene dubiosa,Acapulco flounder,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-28928,Heteroconger digueti,Cortez garden eel,Animalia,Chordata,Actinopterygii,183554,bony fish
Fis-151399,Paraconger similis,Shorttail conger,Animalia,Chordata,Actinopterygii,183384,bony fish
Fis-165597,Ariosoma prorigerum,Slope conger,Animalia,Chordata,Actinopterygii,183237,bony fish
Fis-35595,Symphurus diabolicus,Devil's tonguefish,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-35605,Symphurus varius,Mottled tonguefish,Animalia,Chordata,Actinopterygii,183215,bony fish
Fis-35624,Meiacanthus luteus,Yellow fangbelly,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-28970,Spicara nigricauda,Blacktail picarel,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-35640,Uropterygius polystictus,Peppered moray,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-35644,Serranus sanctaehelenae,St. Helena comber,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-28989,Sphoeroides marmoratus,Guinean puffer,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-35648,Pseudorhombus micrognathus,NA,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-29002,Coryphaenoides boops,Shortsnout grenadier,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-29003,Coryphaenoides bucephalus,Narrowsnout grenadier,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-29004,Coryphaenoides bulbiceps,Large-eye grenadier,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-29006,Apterichtus equatorialis,Equatorial eel,Animalia,Chordata,Actinopterygii,183866,bony fish
Fis-35664,Callechelys cliffi,Sandy ridgefin eel,Animalia,Chordata,Actinopterygii,183546,bony fish
Fis-124168,Callechelys eristigma,Spotted ridgefin eel,Animalia,Chordata,Actinopterygii,183706,bony fish
Fis-35673,Phaenomonas pinnata,Elastic eel,Animalia,Chordata,Actinopterygii,183392,bony fish
Fis-35676,Pseudomyrophis micropinna,Plain worm eel,Animalia,Chordata,Actinopterygii,183807,bony fish
Fis-29013,Quassiremus nothochir,Smallfish snake-eel,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-29015,Lepophidium microlepis,Silver cusk eel,Animalia,Chordata,Actinopterygii,183889,bony fish
Fis-35678,Ophidion iris,Rainbow cusk eel,Animalia,Chordata,Actinopterygii,183998,bony fish
Fis-29033,Ophioscion imiceps,Blinkard croaker,Animalia,Chordata,Actinopterygii,183997,bony fish
Fis-29035,Odontoscion eurymesops,Galapagos croaker,Animalia,Chordata,Actinopterygii,183445,bony fish
Fis-35707,Cynoscion nannus,Dwarf weakfish,Animalia,Chordata,Actinopterygii,183248,bony fish
Fis-29049,Allenichthys glauerti,Glauert's anglerfish,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-35709,Echinophryne crassispina,Prickly anglerfish,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-29059,Pareques perissa,Odd highhat,Animalia,Chordata,Actinopterygii,183784,bony fish
Fis-35724,Stellifer mancorensis,Smooth stardrum,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-29063,Stellifer minor,Minor stardrum,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-49263,Ctenosciaena peruviana,Peruvian barbel drum,Animalia,Chordata,Actinopterygii,183559,bony fish
Fis-29068,Astroscopus sexspinosus,Brazilian stargazer,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-29083,Sebastes sinensis,Blackmouth rockfish,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-29091,Sebastes cortezi,Cortez rockfish,Animalia,Chordata,Actinopterygii,155254,bony fish
Fis-35789,Prionotus teaguei,Long-ray searobin,Animalia,Chordata,Actinopterygii,183422,bony fish
Fis-162929,Manonichthys polynemus,Longfin dottyback,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-35823,Neenchelys buitendijki,Fintail serpent eel,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-35835,Polysteganus baissaci,Frenchman seabream,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-35836,Bodianus insularis,Island hogfish,Animalia,Chordata,Actinopterygii,187643,bony fish
Fis-165325,Xenocephalus innotabilis,Bulldog stargazer,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-29166,Eleutheronema tridactylum,Threefinger threadfin,Animalia,Chordata,Actinopterygii,155171,bony fish
Fis-29168,Filimanus sealei,Eightfinger threadfin,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-35892,Ecsenius paroculus,Spottedback coralblenny,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-29200,Gymnothorax marshallensis,Marshall Islands moray,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-170335,Ostorhinchus pallidofasciatus,Palestriped cardinalfish,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-167306,Ostorhinchus rueppellii,Gobbleguts,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-162365,Siphamia guttulata,Speckled siphonfish,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-163623,Apogonichthyoides chrysurus,Golden cardinalfish,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-35914,Vincentia macrocauda,Smooth cardinalfish,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-29214,Vincentia novaehollandiae,Eastern gobbleguts,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-162927,Manonichthys paranox,Midnight dottyback,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-162933,Oxycercichthys veliferus,Sailfin dottyback,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-35945,Acanthistius paxtoni,Orangelined wirrah,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-29243,Atherinomorus lineatus,Lined silverside,Animalia,Chordata,Actinopterygii,46863,bony fish
Fis-35957,Plectranthias megalophthalmus,Citron perchlet,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-35967,Antipodocottus galatheae,Galathea sculpin,Animalia,Chordata,Actinopterygii,155138,bony fish
Fis-29255,Perryena leucometopon,Whitenose pigfish,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-35974,Pseudomugil inconspicuus,Inconspicuous blue-eye,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-35977,Samaris macrolepis,Large-scale crested righteye flounder,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-29258,Cetichthys indagator,NA,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-34946,Samariscus nielseni,Nielsen's righteye flounder,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-35980,Cetichthys parini,NA,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-35981,Danacetichthys galathenus,NA,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-35982,Rhamphocetichthys savagei,Savage's birdsnouted whalefish,Animalia,Chordata,Actinopterygii,155232,bony fish
Fis-47004,Grammoplites knappi,NA,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-46921,Atrobucca kyushini,Black-spot croaker,Animalia,Chordata,Actinopterygii,155157,bony fish
Fis-46922,Bahaba polykladiskos,Spine bahaba,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-46917,Heminodus philippinus,NA,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-47016,Pterygotrigla tagala,NA,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-47024,Johnius heterolepis,Large-scale croaker,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-47026,Johnius latifrons,Broad-head croaker,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-47036,Pterygotrigla megalops,Large eye gurnard,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-47053,Johnius trewavasae,Trewavas croaker,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-47063,Bovitrigla acanthomoplate,NA,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-47217,Solenostomus armatus,Armored pipefish,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-47232,Grammatonotus crosnieri,Long-tailed groppo,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-47240,Cubiceps kotlyari,Kotlyar's cubehead,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-47242,Kalyptatherina helodes,Marine sailfin silverside,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-47270,Hoplolatilus chlupatyi,Chameleon sand tilefish,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-47272,Hoplolatilus purpureus,Purple sand tilefish,Animalia,Chordata,Actinopterygii,NA,bony fish
