iucn_sid,year,cat_ts,cat_ts_score,iucn_version
10030,1996,VU,0.4,2017-3
10030,2000,NT,0.2,2017-3
10030,2005,NT,0.2,2017-3
10056,1988,VU,0.4,2017-3
10056,1990,VU,0.4,2017-3
10056,1994,VU,0.4,2017-3
10056,1996,VU,0.4,2017-3
10056,2000,EN,0.6,2017-3
10056,2012,EN,0.6,2017-3
10056,2017,EN,0.6,2017-3
10057,1996,VU,0.4,2017-3
10057,2017,LC,0,2017-3
10063,2017,LC,0,2017-3
10064,1996,VU,0.4,2017-3
10065,1996,VU,0.4,2017-3
10066,1996,VU,0.4,2017-3
10066,2003,VU,0.4,2017-3
10066,2017,VU,0.4,2017-3
10069,1996,VU,0.4,2017-3
10070,2012,VU,0.4,2017-3
10070,2017,VU,0.4,2017-3
10072,1996,VU,0.4,2017-3
10072,2003,VU,0.4,2017-3
10072,2012,VU,0.4,2017-3
10072,2017,VU,0.4,2017-3
10074,1996,VU,0.4,2017-3
10074,2017,LC,0,2017-3
10075,1996,VU,0.4,2017-3
10075,2003,VU,0.4,2017-3
10075,2014,VU,0.4,2017-3
10082,1996,VU,0.4,2017-3
10082,2017,NT,0.2,2017-3
10083,1996,VU,0.4,2017-3
10083,2010,LC,0,2017-3
10083,2017,LC,0,2017-3
10087,1996,VU,0.4,2017-3
10087,2003,VU,0.4,2017-3
10087,2015,VU,0.4,2017-3
10088,1996,VU,0.4,2017-3
10088,2017,EN,0.6,2017-3
10089,1996,VU,0.4,2017-3
10089,2017,LC,0,2017-3
10103,1996,LC,0,2017-3
10103,2006,VU,0.4,2017-3
10103,2008,VU,0.4,2017-3
10103,2017,VU,0.4,2017-3
101729662,2017,LC,0,2017-3
102673135,2017,VU,0.4,2017-3
10268,1986,EN,0.6,2017-3
10268,1988,EN,0.6,2017-3
10268,1990,EN,0.6,2017-3
10268,1994,EN,0.6,2017-3
10268,1996,EN,0.6,2017-3
10268,2010,CR,0.8,2017-3
10269,1996,EN,0.6,2017-3
10269,2010,CR,0.8,2017-3
10276,1986,VU,0.4,2017-3
10276,1988,VU,0.4,2017-3
10276,1990,VU,0.4,2017-3
10276,1994,VU,0.4,2017-3
10276,1996,LC,0,2017-3
10276,2000,NT,0.2,2017-3
10276,2008,NT,0.2,2017-3
10276,2015,NT,0.2,2017-3
102998555,2016,LC,0,2017-3
102998555,2017,LC,0,2017-3
10303,1986,EX,1,2017-3
10303,1988,EX,1,2017-3
10303,1990,EX,1,2017-3
10303,1994,EX,1,2017-3
10303,1996,EX,1,2017-3
10303,2008,EX,1,2017-3
10303,2016,EX,1,2017-3
10310,1996,LC,0,2017-3
10310,2008,LC,0,2017-3
10310,2016,LC,0,2017-3
103123966,2017,LC,0,2017-3
103167815,2017,LC,0,2017-3
10329,1990,EN,0.6,2017-3
10329,1994,VU,0.4,2017-3
10329,1996,NT,0.2,2017-3
10329,2008,VU,0.4,2017-3
10329,2015,VU,0.4,2017-3
10340,1996,LC,0,2017-3
10340,2008,LC,0,2017-3
10340,2015,LC,0,2017-3
103422139,2017,LC,0,2017-3
103670928,2016,NT,0.2,2017-3
103670944,2016,NT,0.2,2017-3
103702644,2016,EN,0.6,2017-3
103709500,2016,LC,0,2017-3
103709532,2016,LC,0,2017-3
103727557,2016,LC,0,2017-3
103727557,2017,LC,0,2017-3
103727590,2016,LC,0,2017-3
103766072,2016,LC,0,2017-3
103766072,2017,LC,0,2017-3
103766090,2016,LC,0,2017-3
103766090,2017,LC,0,2017-3
103766143,2016,LC,0,2017-3
103766143,2017,LC,0,2017-3
103780243,2016,LC,0,2017-3
103780258,2016,LC,0,2017-3
103780279,2016,NT,0.2,2017-3
103798407,2016,LC,0,2017-3
103798407,2017,LC,0,2017-3
103798418,2016,VU,0.4,2017-3
103799817,2016,LC,0,2017-3
103800445,2016,LC,0,2017-3
103817982,2016,LC,0,2017-3
103818044,2016,LC,0,2017-3
103899954,2017,LC,0,2017-3
104006414,2016,LC,0,2017-3
104006414,2017,LC,0,2017-3
104006526,2016,LC,0,2017-3
104006526,2017,LC,0,2017-3
104007058,2016,LC,0,2017-3
104007058,2017,LC,0,2017-3
104023514,2017,EN,0.6,2017-3
104062546,2016,LC,0,2017-3
104062546,2017,LC,0,2017-3
104062579,2016,EN,0.6,2017-3
104062579,2017,EN,0.6,2017-3
104176764,2017,NT,0.2,2017-3
10707,1986,VU,0.4,2017-3
10707,1988,VU,0.4,2017-3
10707,1990,VU,0.4,2017-3
10707,1996,VU,0.4,2017-3
10708,1996,VU,0.4,2017-3
10708,2008,LC,0,2017-3
10722,1990,VU,0.4,2017-3
10722,1994,VU,0.4,2017-3
10722,1996,EN,0.6,2017-3
10722,2014,CR,0.8,2017-3
107259870,2017,VU,0.4,2017-3
107261198,2017,LC,0,2017-3
107261486,2017,LC,0,2017-3
107604828,2017,LC,0,2017-3
1086,1986,EN,0.6,2017-3
1086,1988,EN,0.6,2017-3
1086,1990,EN,0.6,2017-3
1086,1994,EN,0.6,2017-3
1086,1996,VU,0.4,2017-3
1086,2004,VU,0.4,2017-3
10939,1996,VU,0.4,2017-3
109480118,2017,LC,0,2017-3
109480361,2017,LC,0,2017-3
10960,1983,EN,0.6,2017-3
10960,1986,EN,0.6,2017-3
10960,1988,EN,0.6,2017-3
10960,1990,EN,0.6,2017-3
10960,1994,EN,0.6,2017-3
10960,1996,VU,0.4,2017-3
10960,2014,VU,0.4,2017-3
110133954,2017,LC,0,2017-3
11030,1996,LC,0,2017-3
11030,2008,LC,0,2017-3
110432466,2017,NT,0.2,2017-3
