am_sid,area_km2_0pct,area_km2_60pct,area_km2_probwt
ITS-95853,11637211.459999999,7587079.27,8316293.8314
ITS-95857,2765020.19,2452760.44,2299394.404
ITS-95859,893286.58,698650.44,706809.2576
ITS-95861,10217730.54,8242052.42,8591767.994
ITS-95865,6596602.52,3561917.58,3965615.8437
ITS-95868,3773492.26,3231862.65,3143208.2673
ITS-95869,7575594.2,5427456.71,5825295.1901
ITS-95871,1730123.9,979937.28,1077351.7366
ITS-95873,8711897.24,7361565.68,7292703.9795
ITS-95875,4316799.72,3997962.73,3793589.6502
ITS-95878,10419169.17,4910484.44,5403448.7838
ITS-95883,2554776.21,1769920.09,1889717.8315
ITS-95884,5856352.46,4242305.64,4405536.8763
ITS-95886,1302502.55,423854.2,539849.4492
ITS-95889,3931779.97,1998107.67,2215607.9863
ITS-95897,1362714.59,441698.79,561686.0534
ITS-95898,7976534.9,5929995.57,6216034.6408
ITS-95902,7906713.65,6364709.96,6546225.4999
ITS-95913,6065933.73,4611832.1,4656551.5172
ITS-95916,11364483.88,6138353.67,6660450.1392
ITS-95917,34036610.95,21813145.8,23233658.147
ITS-95921,115941268.15,34972570.51,49235162.2244
ITS-95923,306719453.84,181417607.35,196759715.9756
ITS-95927,13384438.16,4830636.54,6362534.3839
ITS-95929,8153315.42,3932004.07,4280446.663
ITS-95933,4270856.14,3256496.64,3355673.5397
ITS-95934,32493111.6,17576603.98,19869356.698400002
ITS-95940,113498755.22000001,111309737.06,107617011.8531
ITS-95944,176711127.87,150583162.42000002,154207033.6173
ITS-95947,239899269.72,98362138.52000001,128700837.1836
ITS-95948,45982153.96,20622117.15,24484352.4463
ITS-95949,43417975.76,25753431.81,27900913.4935
ITS-95950,20306744.73,5171877.14,7354045.4086
ITS-95958,18988906.6,11832155.07,12587178.2919
ITS-95966,5700568.95,2647495.12,3010959.8162
ITS-95971,1052800.1,693171.92,698567.8920999999
ITS-95979,33002520.01,7284370.77,12812245.7256
ITS-95991,1700432.69,1267624.06,1315215.5458
ITS-95993,845823.95,645455.24,655230.8918
ITS-95994,12888531.31,8615648.46,9195957.4159
ITS-95995,7823924.05,5974151.33,5969036.9116
ITS-96001,625058.19,394166.35,408299.3048
ITS-96002,4073044.97,2896316.23,3008139.9837
ITS-96003,9579426.68,3310963.24,4843034.9965
ITS-96005,3637932.07,2701076.98,2798642.9824
ITS-96010,13790072.53,10530173.45,10411414.8647
ITS-96015,1256185.1300000001,290735.5,399403.2932
ITS-96020,22220389.95,10839366.56,12468560.8524
ITS-96024,1342873.2,672781.13,738543.453
ITS-96028,7535228.72,2998833.81,3470523.5706
ITS-96030,3312721.78,2356461.59,2430649.1601
ITS-96033,8431583.32,2986274.36,3804510.5331
ITS-96036,5238876.39,3577224.96,3811881.1803
ITS-96038,1044204.39,313006.22000000003,459825.277
ITS-96041,888592.38,422604.18,505323.5397
ITS-96042,1985409.83,1635243.98,1665261.6112
ITS-96046,419831.61,377619.03,383363.8677
ITS-96047,13172763.27,10261068.66,10335582.3105
ITS-96051,150698778.38,46740000.43,64246513.2075
ITS-96056,43599606.84,18555153.63,22150550.932
ITS-96060,3420863.51,2309592.4,2471062.573
ITS-96061,388725.52999999997,172057.22,210617.8776
ITS-96062,54163600.010000005,32809282.53,35642281.7963
ITS-96064,15406809.459999999,9326206.38,10178566.4245
ITS-96066,811329.3,434924.24,496941.3302
ITS-96067,110432628.35000001,28438510.05,46362161.5123
ITS-96074,181182990.92,27762191.51,51626541.192
ITS-96081,5293621.42,3133624.01,3535197.3657
ITS-96082,10015301.32,5201585.21,6134965.5281
ITS-96083,302633486.28,257031573.05999997,255568279.91259998
ITS-96085,184651366.15,35263990.62,63161594.5709
ITS-96086,66929661.050000004,18526852.75,26499592.6326
ITS-96088,27262303.37,6314843.68,10210578.1657
ITS-96090,195174694.6,124391470.35000001,127558539.97590001
ITS-96093,26364481.37,5413815.77,10046954.6736
ITS-96097,274265678.5,233269839.76999998,224818954.704
ITS-96099,288729622.09999996,189359272.42999998,192983432.8544
ITS-96100,83993450.11,41486533.27,49084112.5014
ITS-96101,4555318.65,802996.33,1377741.5162
ITS-96102,324933995.89,219865819.52999997,220961309.9304
ITS-96109,183106267.42,76550779.82000001,99677382.3177
ITS-96110,3130101.03,1952593.29,2190395.9232
ITS-96111,65795382.260000005,15411027.63,27259556.7287
ITS-96114,12732017.03,5637072.83,6716509.3063
ITS-96115,98756292.93,40713681.76,48193026.8948
ITS-96116,68109175.16,27072135.16,37637839.0197
ITS-96117,196248177.66,161793999.57,163106704.5546
ITS-96118,35514539.21,9591301.77,14414731.4982
ITS-96119,60429047.330000006,5899703.65,17820921.5371
ITS-96120,175304106.78,39556049.86,63501294.86
ITS-96121,136107065.61,42894055.61,75187341.6843
ITS-96124,458095.41000000003,301516.92,317496.126
ITS-96126,136592248.96,27308103.64,49245494.874
ITS-96137,30505674.4,24888178.53,24315258.0207
ITS-96139,301745520.77,199957481.73,212237273.2571
