iucn_sid,sciname,main_common_name,cat,cat_score,published_year,iucn_version
163065,Opisthoteuthis californiana,NA,DD,NA,2014,2018-1
163066,Tremoctopus robsoni,NA,LC,0,2014,2018-1
163067,Sandalops melancholicus,Sandal-eye Squid,DD,NA,2014,2018-1
163068,Gonatopsis octopedatus,NA,LC,0,2014,2018-1
163070,Lycoteuthis springeri,NA,DD,NA,2014,2018-1
163071,Ornithoteuthis volatilis,NA,LC,0,2014,2018-1
163073,Histioteuthis bonnellii,NA,LC,0,2014,2018-1
163074,Opisthoteuthis bruuni,NA,DD,NA,2014,2018-1
163075,Ocythoe tuberculata,NA,LC,0,2014,2018-1
163077,Amphitretus thielei,NA,LC,0,2014,2018-1
163079,Mastigoteuthis atlantica,NA,DD,NA,2014,2018-1
163080,Argonauta argo,NA,LC,0,2014,2018-1
163082,Tremoctopus gelatus,Gelatinous Blanket Octopus,LC,0,2014,2018-1
163083,Argonauta nouryi,NA,LC,0,2014,2018-1
163085,Nototodarus hawaiiensis,NA,LC,0,2014,2018-1
163086,Octopoteuthis megaptera,NA,DD,NA,2014,2018-1
163088,Leachia pacifica,NA,DD,NA,2014,2018-1
163089,Pyroteuthis addolux,NA,LC,0,2014,2018-1
163090,Grimpoteuthis plena,NA,DD,NA,2014,2018-1
163094,Abraliopsis felis,NA,LC,0,2014,2018-1
163095,Brachioteuthis riisei,NA,DD,NA,2014,2018-1
163096,Enoploteuthis jonesi,NA,LC,0,2014,2018-1
163101,Brachioteuthis beanii,NA,LC,0,2014,2018-1
163102,Ancistroteuthis lichtensteini,NA,LC,0,2014,2018-1
163106,Grimpoteuthis megaptera,NA,DD,NA,2014,2018-1
163108,Batoteuthis skolops,Bush-club Squid,LC,0,2014,2018-1
163110,Enoploteuthis octolineata,NA,DD,NA,2014,2018-1
163112,Asperoteuthis acanthoderma,NA,LC,0,2014,2018-1
163114,Abralia veranyi,NA,LC,0,2014,2018-1
163117,Cirroctopus antarctica,NA,LC,0,2014,2018-1
163118,Liocranchia valdiviae,NA,LC,0,2014,2018-1
163121,Grimpoteuthis pacifica,NA,DD,NA,2014,2018-1
163125,Argonauta cornuta,NA,DD,NA,2014,2018-1
163129,Nototodarus gouldi,NA,LC,0,2014,2018-1
163131,Onykia ingens,Greater Hooked Squid,LC,0,2014,2018-1
163132,Mastigoteuthis pyrodes,NA,DD,NA,2014,2018-1
163134,Abralia renschi,NA,DD,NA,2014,2018-1
163141,Opisthoteuthis massyae,NA,VU,0.4,2014,2018-1
163142,Abralia multihamata,NA,DD,NA,2014,2018-1
163143,Leachia danae,NA,LC,0,2014,2018-1
163144,Opisthoteuthis chathamensis,NA,CR,0.8,2014,2018-1
163146,Watasenia scintillans,Japanese Firefly Squid,LC,0,2014,2018-1
163152,Sthenoteuthis oualaniensis,NA,LC,0,2014,2018-1
163155,Stigmatoteuthis arcturi,NA,LC,0,2014,2018-1
163156,Galiteuthis armata,NA,LC,0,2014,2018-1
163157,Abralia siedleckyi,NA,DD,NA,2014,2018-1
163160,Mastigoteuthis dentata,NA,DD,NA,2014,2018-1
163161,Todarodes angolensis,NA,LC,0,2014,2018-1
163162,Eogonatus tinro,NA,DD,NA,2014,2018-1
163163,Ommastrephes bartramii,NA,LC,0,2014,2018-1
163170,Mesonychoteuthis hamiltoni,Colossal squid,LC,0,2014,2018-1
163172,Stauroteuthis syrtensis,NA,DD,NA,2014,2018-1
163177,Histioteuthis reversa,NA,LC,0,2014,2018-1
163178,Opisthoteuthis pluto,NA,DD,NA,2014,2018-1
163179,Discoteuthis laciniosa,NA,LC,0,2014,2018-1
163180,Octopoteuthis rugosa,NA,DD,NA,2014,2018-1
163181,Helicocranchia papillata,NA,DD,NA,2014,2018-1
163184,Abralia andamanica,NA,LC,0,2014,2018-1
163186,Gonatus fabricii,NA,LC,0,2014,2018-1
163187,Enoploteuthis chunii,NA,DD,NA,2014,2018-1
163189,Todarodes sagittatus,NA,LC,0,2014,2018-1
163190,Gonatus ursabrunae,NA,DD,NA,2014,2018-1
163192,Pyroteuthis serrata,NA,DD,NA,2014,2018-1
163194,Callimachus rancureli,NA,DD,NA,2014,2018-1
163198,Sthenoteuthis pteropus,NA,LC,0,2014,2018-1
163202,Gonatus steenstrupi,NA,LC,0,2014,2018-1
163203,Onychoteuthis borealijaponica,NA,DD,NA,2014,2018-1
163204,Chiroteuthis calyx,NA,LC,0,2014,2018-1
163207,Haliphron atlanticus,NA,LC,0,2014,2018-1
163211,Argonauta hians,NA,LC,0,2014,2018-1
163218,Liocranchia reinhardti,NA,LC,0,2014,2018-1
163219,Lampadioteuthis megaleia,NA,LC,0,2014,2018-1
163221,Opisthoteuthis philipii,NA,DD,NA,2014,2018-1
163222,Cycloteuthis serventyi,NA,LC,0,2014,2018-1
163225,Grimpoteuthis umbellata,NA,DD,NA,2014,2018-1
163226,Chiroteuthis joubini,NA,LC,0,2014,2018-1
163227,Leachia cyclura,NA,DD,NA,2014,2018-1
163228,Thysanoteuthis rhombus,Diamondback squid,LC,0,2014,2018-1
163229,Galiteuthis phyllura,NA,LC,0,2014,2018-1
163231,Abralia marisarabica,NA,DD,NA,2014,2018-1
163232,Ornithoteuthis antillarum,NA,LC,0,2014,2018-1
163234,Histioteuthis machrohista,NA,LC,0,2014,2018-1
163235,Abraliopsis gilchristi,NA,LC,0,2014,2018-1
163238,Planctoteuthis levimana,NA,DD,NA,2014,2018-1
163240,Chtenopteryx sepioloides,NA,DD,NA,2014,2018-1
163241,Cirroctopus mawsoni,NA,LC,0,2014,2018-1
163242,Illex oxygonius,NA,LC,0,2014,2018-1
163243,Pholidoteuthis adami,NA,LC,0,2014,2018-1
163245,Taonius borealis,NA,LC,0,2014,2018-1
163246,Illex argentinus,Argentine Squid,LC,0,2014,2018-1
163247,Berryteuthis anonychus,Minimal armhook squid,LC,0,2014,2018-1
163252,Onykia robusta,NA,DD,NA,2014,2018-1
163253,Gonatopsis makko,NA,LC,0,2014,2018-1
163255,Enoploteuthis reticulata,NA,LC,0,2014,2018-1
163256,Discoteuthis discus,NA,LC,0,2014,2018-1
163257,Planctoteuthis danae,NA,LC,0,2014,2018-1
163258,Teuthowenia megalops,NA,LC,0,2014,2018-1
163260,Alluroteuthis antarctica,NA,LC,0,2014,2018-1
163262,Abralia trigonura,NA,LC,0,2014,2018-1
163263,Megalocranchia maxima,NA,DD,NA,2014,2018-1
163265,Architeuthis dux,NA,LC,0,2014,2018-1
163266,Onykia loennbergii,NA,LC,0,2014,2018-1
163267,Taningia danae,NA,LC,0,2014,2018-1
163268,Nototeuthis dimegacotyle,NA,DD,NA,2014,2018-1
163269,Illex coindetii,NA,LC,0,2014,2018-1
163270,Mastigoteuthis agassizii,NA,DD,NA,2014,2018-1
163274,Abralia similis,NA,LC,0,2014,2018-1
163275,Filippovia knipovitchi,NA,LC,0,2014,2018-1
163276,Teuthowenia pellucida,NA,LC,0,2014,2018-1
163278,Lepidoteuthis grimaldii,NA,LC,0,2014,2018-1
163282,Opisthoteuthis persephone,NA,DD,NA,2014,2018-1
163284,Grimpoteuthis wuelkeri,NA,DD,NA,2014,2018-1
163288,Bathyteuthis abyssicola,Deepsea Squid,LC,0,2014,2018-1
163294,Hyaloteuthis pelagica,NA,LC,0,2014,2018-1
163298,Abralia steindachneri,NA,LC,0,2014,2018-1
163299,Grimpoteuthis bathynectes,NA,LC,0,2014,2018-1
163300,Abraliopsis affinis,NA,LC,0,2014,2018-1
163302,Abralia astrosticta,NA,LC,0,2014,2018-1
163304,Opisthoteuthis grimaldii,NA,DD,NA,2014,2018-1
163305,Gonatopsis japonicus,NA,DD,NA,2014,2018-1
163306,Mastigoteuthis magna,NA,DD,NA,2014,2018-1
163309,Promachoteuthis megaptera,NA,DD,NA,2014,2018-1
163310,Histioteuthis atlantica,NA,LC,0,2014,2018-1
163311,Martialia hyadesi,Black Squid,LC,0,2014,2018-1
163312,Bolitaena pygmaea,NA,LC,0,2014,2018-1
163316,Abraliopsis atlantica,NA,DD,NA,2014,2018-1
163325,Abralia fasciolata,NA,DD,NA,2014,2018-1
163328,Stauroteuthis gilchristi,NA,DD,NA,2014,2018-1
163330,Grimpoteuthis abyssicola,NA,DD,NA,2014,2018-1
163332,Taonius belone,NA,LC,0,2014,2018-1
163334,Octopoteuthis deletron,NA,DD,NA,2014,2018-1
163337,Cirroctopus hochbergi,NA,EN,0.6,2014,2018-1
163338,Bathothauma lyromma,NA,LC,0,2014,2018-1
163341,Grimpoteuthis hippocrepium,NA,DD,NA,2014,2018-1
163342,Gonatus berryi,NA,LC,0,2014,2018-1
163343,Onykia robsoni,NA,LC,0,2014,2018-1
163345,Mastigoteuthis hjorti,NA,DD,NA,2014,2018-1
163347,Octopoteuthis sicula,NA,DD,NA,2014,2018-1
163348,Onychoteuthis compacta,NA,DD,NA,2014,2018-1
163350,Gonatus pyros,NA,LC,0,2014,2018-1
163352,Abralia dubia,NA,DD,NA,2014,2018-1
163353,Pyroteuthis margaritifera,NA,LC,0,2014,2018-1
163357,Pterygioteuthis gemmata,NA,LC,0,2014,2018-1
163361,Luteuthis dentatus,NA,DD,NA,2014,2018-1
163362,Gonatus antarcticus,NA,LC,0,2014,2018-1
163365,Magnapinna pacifica,NA,DD,NA,2014,2018-1
163366,Octopoteuthis indica,NA,DD,NA,2014,2018-1
163368,Pterygioteuthis microlampas,NA,LC,0,2014,2018-1
163369,Todaropsis eblanae,NA,LC,0,2014,2018-1
163372,Chiroteuthis spoeli,NA,LC,0,2014,2018-1
163373,Onykia indica,NA,DD,NA,2014,2018-1
163374,Galiteuthis glacialis,NA,LC,0,2014,2018-1
163375,Onychoteuthis banksii,NA,DD,NA,2014,2018-1
163377,Opisthoteuthis agassizii,NA,DD,NA,2014,2018-1
163389,Neoteuthis thielei,NA,LC,0,2014,2018-1
163391,Argonauta boettgeri,NA,LC,0,2014,2018-1
163394,Mastigoteuthis danae,NA,DD,NA,2014,2018-1
163396,Gonatus kamtschaticus,NA,LC,0,2014,2018-1
163399,Opisthoteuthis extensa,NA,DD,NA,2014,2018-1
163400,Gonatus oregonensis,NA,DD,NA,2014,2018-1
163402,Mastigoteuthis glaukopsis,NA,DD,NA,2014,2018-1
163403,Kondakovia longimana,NA,LC,0,2014,2018-1
163404,Opisthoteuthis albatrossi,NA,DD,NA,2014,2018-1
163405,Abraliopsis falco,NA,LC,0,2014,2018-1
164334,Spergularia marina,Lesser Sea-Spurrey,LC,0,2014,2018-1
164893,Brachirus harmandi,Harmand's Sole,LC,0,2012,2018-1
165291,Sphyrna lewini Eastern Central and Southeast Pacific subpopulation,NA,EN,0.6,2009,2018-1
165293,Sphyrna lewini Northwest and Western Central Atlantic subpopulation,NA,EN,0.6,2009,2018-1
165294,Sphyrna lewini Western Indian Ocean subpopulation,NA,EN,0.6,2009,2018-1
165296,Sphyrna lewini Southwest Atlantic subpopulation,NA,VU,0.4,2009,2018-1
165297,Sphyrna lewini Eastern Central Atlantic subpopulation,NA,VU,0.4,2009,2018-1
165811,Septaria borbonica,NA,LC,0,2016,2018-1
165912,Conocara nigrum,Flathead Slickhead,DD,NA,2010,2018-1
165913,Paraliparis atramentatus,NA,DD,NA,2010,2018-1
166009,Takifugu orbimaculatus,NA,LC,0,2011,2018-1
166031,Sineleotris chalmersi,NA,LC,0,2012,2018-1
166077,Eleotris fusca,Brown Spinecheek Gudgeon,LC,0,2017,2018-1
166138,Bostrychus sinensis,Four-eyed Sleeper,LC,0,2012,2018-1
166144,Glossogobius olivaceus,NA,LC,0,2011,2018-1
166171,Eleotris oxycephala,NA,LC,0,2012,2018-1
166184,Anguilla japonica,Japanese Eel,EN,0.6,2014,2018-1
166189,Anguilla marmorata,Marbled Eel,LC,0,2014,2018-1
166197,Salanx chinensis,Chinese noodlefish,DD,NA,2012,2018-1
166200,Salanx cuvieri,Noodlefish,DD,NA,2012,2018-1
166263,Sermyla riqueti,NA,LC,0,2012,2018-1
166268,Assiminea latericea,NA,LC,0,2012,2018-1
166410,Ophisternon bengalense,Bengal mudeel,LC,0,2010,2018-1
166442,Tenualosa ilisha,Hilsa,LC,0,2014,2018-1
166446,Arius arius,Threadfin Sea Catfish,LC,0,2012,2018-1
166470,Planiliza tade,NA,DD,NA,2018,2018-1
166533,Glossogobius giuris,Bareye Goby,LC,0,2016,2018-1
166552,Pisodonophis boro,NA,LC,0,2010,2018-1
166575,Gazza minuta,Toothed Ponyfish,LC,0,2017,2018-1
166598,Drombus globiceps,Bighead goby,LC,0,2012,2018-1
166633,Mystus gulio,NA,LC,0,2010,2018-1
166680,Theodoxus reticularis,NA,LC,0,2010,2018-1
166693,Neritina violacea,Red-mouth Nerite Snail,LC,0,2010,2018-1
166699,Assiminea beddomeana,NA,LC,0,2010,2018-1
166700,Iravadia ornata,NA,LC,0,2010,2018-1
166704,Gangetia miliacea,NA,LC,0,2010,2018-1
166708,Neritina sulculosa,NA,LC,0,2010,2018-1
166709,Tanysiphon rivalis,NA,LC,0,2010,2018-1
166715,Stenothyra deltae,NA,LC,0,2010,2018-1
166719,Scaphula deltae,NA,LC,0,2010,2018-1
166725,Stenothyra ornata,NA,LC,0,2010,2018-1
166739,Clithon reticularis,NA,LC,0,2010,2018-1
166750,Thiara paludomoidea,NA,LC,0,2010,2018-1
166754,Assiminea hungerfordiana,NA,DD,NA,2010,2018-1
166774,Polymesoda bengalensis,Bengali Geloina,LC,0,2012,2018-1
166777,Nerita articulata,NA,LC,0,2010,2018-1
166783,Stenothyra blanfordiana,NA,LC,0,2010,2018-1
166856,Planiliza macrolepis,Largescale Mullet,LC,0,2018,2018-1
166879,Gerres limbatus,NA,LC,0,2014,2018-1
166892,Terapon jarbua,Tiger Perch,LC,0,2017,2018-1
166893,Ambassis vachellii,Vachell's Glassfish,LC,0,2012,2018-1
166894,Anguilla bicolor,Shortfin Eel,NT,0.2,2014,2018-1
166897,Gerres filamentosus,Whipfin Mojarra,LC,0,2017,2018-1
166900,Hyporhamphus limbatus,Congaturi Halfbeak,LC,0,2011,2018-1
166919,Gerres oyena,Common Silver-biddy,LC,0,2016,2018-1
166925,Monodactylus argenteus,Silver Moony,LC,0,2017,2018-1
166940,Cynoglossus trigrammus,NA,LC,0,2012,2018-1
166944,Moolgarda perusii,Longfinned Mullet,LC,0,2017,2018-1
166963,Taenioides gracilis,Slender Eel Goby,LC,0,2017,2018-1
166985,Hyporhamphus unifasciatus,Atlantic Silverstripe Halfbeak,LC,0,2015,2018-1
166990,Boleophthalmus boddarti,Boddart's goggle-eyed goby,LC,0,2012,2018-1
166992,Caragobius urolepis,Scaleless Worm Goby,LC,0,2012,2018-1
167010,Oxyurichthys tentacularis,NA,DD,NA,2016,2018-1
167710,Odontesthes regia,Chilean silverside,LC,0,2009,2018-1
167997,Pellonula vorax,Bigtoothed Pellonula,LC,0,2010,2018-1
168e3,Enneacampus kaupi,Vipère de mer,LC,0,2017,2018-1
168297,Ayarnangra estuarius,NA,DD,NA,2010,2018-1
168438,Gobiopterus chuno,NA,DD,NA,2010,2018-1
168780,Acanthus ilicifolius,Holy Mangrove,LC,0,2011,2018-1
169353,Johnius coitor,Big-eyed Jewfish,LC,0,2009,2018-1
169358,Microphis leiaspis,Barhead Pipefish,LC,0,2017,2018-1
169359,Tetraroge barbata,Mangrove Waspfish,LC,0,2009,2018-1
169360,Arius berneyi,Lesser Salmon Catfish,LC,0,2009,2018-1
169361,Hippichthys heptagonus,Reticulated Freshwater Pipefish,LC,0,2017,2018-1
169365,Kurtus gulliveri,Incubator Fish,LC,0,2009,2018-1
169376,Poeciliopsis elongata,Elongate Toothcarp,NT,0.2,2010,2018-1
169587,Nematalosa galatheae,Galathea Gizzard Shad,LC,0,2017,2018-1
169590,Lophiogobius ocellicauda,NA,LC,0,2009,2018-1
169595,Tridentiger kuroiwae,NA,LC,0,2009,2018-1
169628,Coregonus subautumnalis,NA,VU,0.4,2009,2018-1
169632,Plicofollis dussumieri,Blacktip Sea Catfish,LC,0,2017,2018-1
169636,Bathygobius ostreicola,NA,DD,NA,2009,2018-1
169975,Palinurus elephas,Common Spiny Lobster,VU,0.4,2014,2018-1
170267,Diplodus sargus ssp. lineatus,White Seabream,LC,0,2014,2018-1
170269,Diplodus sargus ssp. sargus,White Seabream,LC,0,2014,2018-1
170270,Diplodus sargus ssp. ascensionis,White Sea-bream,LC,0,2014,2018-1
170271,Diplodus sargus ssp. kotschyi,One Spot Seabream,LC,0,2014,2018-1
170275,Diplodus argenteus ssp. caudimacula,Silver Porgy,LC,0,2014,2018-1
170276,Diplodus argenteus ssp. argenteus,South American Silver Porgy,LC,0,2014,2018-1
170277,Diplodus sargus ssp. helenae,St. Helena white Seabream,LC,0,2014,2018-1
170278,Diplodus sargus ssp. cadenati,Moroccan white Seabream,LC,0,2014,2018-1
170350,Coryphaena equiselis,Pompano Dolphinfish,LC,0,2011,2018-1
170501,Batagur affinis,Southern River Terrapin,CR,0.8,2016,2018-1
170600,Myosotella myosotis,NA,LC,0,2018,2018-1
170603,Ovatella vulcani,NA,LC,0,2017,2018-1
170605,Ovatella aequalis,NA,LC,0,2017,2018-1
171815,Scaphula pinna,NA,LC,0,2012,2018-1
171899,Batissa similis,NA,DD,NA,2012,2018-1
171906,Neosolen aquaedulcioris,NA,LC,0,2012,2018-1
172016,Assiminea avilai,NA,DD,NA,2018,2018-1
172284,Hippocampus satomiae,Satomi's Pygmy Seahorse,DD,NA,2017,2018-1
172359,Ambassis nalua,Scalloped Perchlet,LC,0,2012,2018-1
172393,Ambassis interrupta,Long-spined Glassfish,LC,0,2012,2018-1
172404,Pomadasys argenteus,Silver Javelin,LC,0,2012,2018-1
172443,Bathygobius fuscus,Brown Frillfin,LC,0,2017,2018-1
172450,Bunaka gyrinoides,Green-backed Gudgeon,LC,0,2012,2018-1
172468,Ichthyocampus carce,Indian Freshwater Pipefish,LC,0,2017,2018-1
172469,Hippichthys penicillus,Beady Pipefish,LC,0,2017,2018-1
172470,Parambassis thomassi,Western Ghat glassy perchlet,LC,0,2011,2018-1
172491,Parambassis dayi,Day's glassy perchlet,LC,0,2011,2018-1
172495,Lutjanus johnii,John's Snapper,LC,0,2016,2018-1
172497,Zenarchopterus dispar,Feathered River-garfish,LC,0,2012,2018-1
173157,Neritina platyconcha,NA,DD,NA,2010,2018-1
174486,Tremoctopus gracilis,Palmate Octopus,LC,0,2014,2018-1
174487,Tremoctopus violaceus,Common Blanket Octopus,LC,0,2014,2018-1
175075,Villorita cornucopia,NA,LC,0,2011,2018-1
175104,Faunus ater,NA,LC,0,2011,2018-1
176049,Opisthoteuthis borealis,NA,DD,NA,2014,2018-1
176050,Opisthoteuthis calypso,NA,VU,0.4,2014,2018-1
176051,Opisthoteuthis hardyi,NA,DD,NA,2014,2018-1
176053,Grimpoteuthis boylei,NA,LC,0,2014,2018-1
176054,Grimpoteuthis challengeri,NA,LC,0,2014,2018-1
176055,Grimpoteuthis discoveryi,NA,LC,0,2014,2018-1
176058,Cryptoteuthis brevibracchiata,NA,DD,NA,2014,2018-1
176060,Luteuthis shuishi,NA,DD,NA,2014,2018-1
176063,Asperoteuthis lui,NA,DD,NA,2014,2018-1
176064,Asperoteuthis mangoldae,NA,DD,NA,2014,2018-1
176065,Chiroteuthis picteti,NA,LC,0,2014,2018-1
176066,Chiroteuthis veranyi,NA,LC,0,2014,2018-1
176067,Abralia omiae,NA,DD,NA,2014,2018-1
176068,Enoploteuthis leptura,NA,LC,0,2014,2018-1
176069,Enoploteuthis magnoceani,NA,DD,NA,2014,2018-1
176070,Berryteuthis magister,NA,LC,0,2014,2018-1
176072,Histioteuthis berryi,NA,DD,NA,2014,2018-1
176073,Histioteuthis celetaria,NA,DD,NA,2014,2018-1
176074,Histioteuthis cerasina,NA,LC,0,2014,2018-1
176075,Histioteuthis corona,NA,LC,0,2014,2018-1
176076,Histioteuthis inermis,NA,DD,NA,2014,2018-1
176077,Histioteuthis pacifica,NA,DD,NA,2014,2018-1
176079,Stigmatoteuthis dofleini,NA,LC,0,2014,2018-1
176081,Nematolampas venezuelensis,NA,DD,NA,2014,2018-1
176082,Magnapinna atlantica,NA,DD,NA,2014,2018-1
176083,Mastigoteuthis microlucens,NA,DD,NA,2014,2018-1
176084,Mastigoteuthis tyroi,NA,DD,NA,2014,2018-1
176085,Todarodes pacificus,NA,LC,0,2014,2018-1
176086,Promachoteuthis sloani,NA,DD,NA,2014,2018-1
176087,Promachoteuthis sulcus,NA,DD,NA,2014,2018-1
176088,Pterygioteuthis giardi,NA,LC,0,2014,2018-1
176732,Hydrophis inornatus,Plain Sea Snake,DD,NA,2010,2018-1
176773,Hydrophis walli,Wall's Sea Snake,DD,NA,2010,2018-1
177115,Ischaemum muticum,NA,LC,0,2011,2018-1
178048,Pythonichthys asodes,Pacific Mud Eel,LC,0,2010,2018-1
178051,Cynoponticus coniceps,Red pike-conger,DD,NA,2010,2018-1
178054,Myroconger nigrodentatus,Orange Conger-Moray,LC,0,2010,2018-1
178057,Phthanophaneron harveyi,Panamic flashlightfish,DD,NA,2010,2018-1
178060,Ammodytoides gilli,Panamic sand lance,LC,0,2010,2018-1
178062,Centropomus armatus,Longspine snook,LC,0,2010,2018-1
178063,Centropomus medius,Pacific blackfin,LC,0,2010,2018-1
178064,Centropomus nigrescens,Black Robalo,LC,0,2010,2018-1
178065,Centropomus robalito,Yellowfin snook,LC,0,2010,2018-1
178066,Centropomus unionensis,Humpback snook,LC,0,2010,2018-1
178067,Centropomus viridis,White snook,LC,0,2010,2018-1
178070,Cirrhitus rivulatus,Giant Hawkfish,LC,0,2010,2018-1
178072,Chaetodipterus zonatus,Pacific Spadefish,LC,0,2010,2018-1
178074,Parapsettus panamensis,Panama Spadefish,LC,0,2010,2018-1
178077,Lobotes pacificus,Pacific tripletail,LC,0,2010,2018-1
178081,Cerdale paludicola,Mangrove Worm-goby,DD,NA,2010,2018-1
178082,Cerdale prolata,Many-spined Worm-goby,DD,NA,2010,2018-1
178084,Clarkichthys bilineatus,Flagtail wormfish,DD,NA,2010,2018-1
178086,Microdesmus affinis,Olivaceous Wormfish,DD,NA,2010,2018-1
178087,Microdesmus dipus,Banded worm goby,DD,NA,2010,2018-1
178088,Microdesmus dorsipunctatus,Spotback Wormfish,DD,NA,2010,2018-1
178089,Microdesmus hildebrandi,Dark-tailed Worm-goby,DD,NA,2010,2018-1
178090,Microdesmus intermedius,Long-tailed Worm-goby,DD,NA,2010,2018-1
178091,Microdesmus knappi,Fat-lipped Worm-goby,DD,NA,2010,2018-1
178092,Microdesmus multiradiatus,Giant Worm-goby,DD,NA,2010,2018-1
178093,Microdesmus retropinnis,Rearfin Wormfish,DD,NA,2010,2018-1
178094,Microdesmus suttkusi,Spotside wormfish,DD,NA,2010,2018-1
178097,Psenes sio,Twospine driftfish,LC,0,2010,2018-1
178100,Priacanthus alalaua,Alalaua,LC,0,2010,2018-1
178102,Pristigenys serrula,Popeye catalufa,LC,0,2010,2018-1
178105,Sphyraena argentea,Pacific Barracuda,LC,0,2010,2018-1
178106,Sphyraena ensis,Mexican Barracuda,LC,0,2010,2018-1
178107,Sphyraena idiastes,Pelican Barracuda,LC,0,2010,2018-1
178108,Sphyraena lucasana,Cortez Barracuda,DD,NA,2010,2018-1
178111,Fistularia corneta,Pacific Cornetfish,LC,0,2017,2018-1
180105,Bathygadus sulcatus,NA,DD,NA,2011,2018-1
180106,Coelorinchus dorsalis,NA,DD,NA,2011,2018-1
180107,Coelorinchus macrolepis,NA,DD,NA,2011,2018-1
180108,Coelorinchus notatus,NA,DD,NA,2011,2018-1
180109,Coelorinchus quincunciatus,NA,LC,0,2011,2018-1
180110,Coelorinchus sexradiatus,NA,DD,NA,2011,2018-1
180111,Coelorinchus thompsoni,NA,LC,0,2011,2018-1
180112,Coelorinchus triocellatus,NA,DD,NA,2011,2018-1
180114,Coelorinchus weberi,NA,DD,NA,2011,2018-1
180115,Coryphaenoides camurus,NA,DD,NA,2011,2018-1
180116,Coryphaenoides dubius,NA,DD,NA,2011,2018-1
180118,Gadomus magnifilis,NA,DD,NA,2011,2018-1
180120,Trachonurus robinsi,NA,LC,0,2011,2018-1
180127,Congrogadus hierichthys,NA,LC,0,2011,2018-1
180129,Equulites laterofenestra,NA,DD,NA,2011,2018-1
180131,Hypoatherina crenolepis,Crenulated Silverside,DD,NA,2011,2018-1
180133,Paradiancistrus cuyoensis,Cuyo coralbrotula,VU,0.4,2011,2018-1
180135,Sebastapistes taeniophrys,NA,DD,NA,2011,2018-1
180139,Solivomer arenidens,NA,LC,0,2011,2018-1
180142,Zebrias lucapensis,NA,VU,0.4,2011,2018-1
180300,Mesothuria expectans,NA,DD,NA,2013,2018-1
180378,Neostichopus mollis,NA,DD,NA,2013,2018-1
180644,Pseudogobiopsis oligactis,NA,LC,0,2012,2018-1
180682,Eugnathogobius variegatus,NA,LC,0,2012,2018-1
180684,Protosalanx chinensis,NA,DD,NA,2012,2018-1
180706,Mugilogobius chulae,Yellowstripe goby,LC,0,2012,2018-1
180707,Brachirus panoides,NA,LC,0,2012,2018-1
180727,Polynemus melanochir,Blackhand Paradise Fish,LC,0,2012,2018-1
180735,Cynoglossus feldmanni,River Tonguesole,LC,0,2012,2018-1
180866,Mugilogobius platystomus,Indonesian Goby,LC,0,2012,2018-1
180924,Brachirus elongatus,Mekong Blind Sole,LC,0,2012,2018-1
180926,Ambassis miops,Flag-tailed Glassfish,LC,0,2012,2018-1
180964,Minyclupeoides dentibranchialus,NA,LC,0,2012,2018-1
180966,Achiroides melanorhijnchus,NA,LC,0,2012,2018-1
181e3,Mugilogobius mertoni,Merton's mangrove goby,LC,0,2012,2018-1
181023,Eugnathogobius kabilia,NA,LC,0,2012,2018-1
181029,Eugnathogobius mindora,NA,LC,0,2012,2018-1
181048,Mugilogobius rambaiae,Queen of Siam goby,LC,0,2012,2018-1
181100,Brachirus pan,Pan Sole,LC,0,2012,2018-1
181105,Doryichthys boaja,Long-snouted Pipefish,DD,NA,2017,2018-1
181137,Acanthogobius flavimanus,Yellowfin Goby,LC,0,2012,2018-1
181156,Datnioides polota,Silver Tiger fish,LC,0,2012,2018-1
181158,Neosalanx brevirostris,Ayu sweetfish,DD,NA,2012,2018-1
181215,Gonialosa modesta,Burmese River Gizzard Shad,LC,0,2012,2018-1
181239,Gonialosa whiteheadi,Southern Burmese Gizzard Shad,DD,NA,2012,2018-1
181269,Mugilogobius abei,NA,LC,0,2012,2018-1
181280,Oryzias haugiangensis,NA,DD,NA,2012,2018-1
181328,Pangasius krempfi,NA,VU,0.4,2011,2018-1
181547,Microphis brachyurus,Opossum Pipefish,LC,0,2017,2018-1
181550,Dalophis boulengeri,NA,LC,0,2010,2018-1
181577,Eleotris senegalensis,NA,LC,0,2010,2018-1
181797,Dormitator lebretonis,Sleeper Goby,LC,0,2010,2018-1
181933,Yongeichthys thomasi,NA,LC,0,2010,2018-1
181984,Gobionellus oceanicus,Highfin Goby,LC,0,2015,2018-1
182223,Tilapia guineensis,Guinean tilapia,LC,0,2010,2018-1
182239,Eleotris daganensis,NA,LC,0,2010,2018-1
182285,Periophthalmus barbarus,Atlantic Mudskipper,LC,0,2010,2018-1
182330,Brycinus longipinnis,African Long-finned Tetra,LC,0,2010,2018-1
182363,Bostrychus africanus,NA,LC,0,2010,2018-1
182498,Tylochromis praecox,NA,DD,NA,2010,2018-1
182712,Eleotris annobonensis,NA,DD,NA,2010,2018-1
182779,Arius gigas,Giant Sea Catfish,NT,0.2,2010,2018-1
182933,Gobioides sagitta,NA,LC,0,2010,2018-1
183097,Microphis brachyurus ssp. aculeatus,Subtropical-tropical Trunk-pouch Pipefish,DD,NA,2015,2018-1
183152,Microphis fluviatilis,Freshwater Pipefish,DD,NA,2016,2018-1
