group,n_spp,time
ANGELFISH.shp,86,8.216999999999985
BONEFISH_TARPONS.shp,22,2.5569999999999595
CHONDRICHTHYES.shp,1128,100.55800000000005
CORALS_PART_3.shp,17,1.7139999999999418
DAMSELFISH.shp,127,9.403999999999996
HAGFISH.shp,75,4.1340000000000146
MANGROVES.shp,77,8.842999999999961
MARINEFISH_PART_1.shp,874,72.20500000000004
MARINE_MAMMALS.shp,167,37.18700000000001
SEABREAMS_PORGIES.shp,151,10.446000000000026
SEAGRASSES.shp,74,6.81899999999996
SEASNAKES.shp,60,4.822999999999979
SURGEONFISH_TANGS_UNICORNFISH.shp,85,9.408999999999992
