iucn_sid,sciname,presence,subpop,dbf_file,max_depth,kingdom,phylum,class,order,taxon
154820,Alepisaurus ferox,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/zips_from_iucn_2018/IUCN_moremaps_part1/Alepisaurus_ferox.dbf,200 m +,ANIMALIA,chordata,actinopterygii,aulopiformes,aulopiformes
201946,Alosa aestivalis,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/zips_from_iucn_2018/IUCN_moremaps_part1/Alosa_aestivalis.dbf,200 m +,ANIMALIA,chordata,actinopterygii,clupeiformes,clupeiformes
908,Alosa alabamae,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/zips_from_iucn_2018/IUCN_moremaps_part1/Alosa_alabamae.dbf,200 m +,ANIMALIA,chordata,actinopterygii,clupeiformes,clupeiformes
98468449,Alosa braschnikowi,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/zips_from_iucn_2018/IUCN_moremaps_part1/Alosa_braschnikowi.dbf,< 200 m,ANIMALIA,chordata,actinopterygii,clupeiformes,clupeiformes
135548,Alosa caspia,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/zips_from_iucn_2018/IUCN_moremaps_part1/Alosa_caspia.dbf,< 200 m,ANIMALIA,chordata,actinopterygii,clupeiformes,clupeiformes
196673,Alosa chrysochloris,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/zips_from_iucn_2018/IUCN_moremaps_part1/Alosa_chrysochloris.dbf,< 200 m,ANIMALIA,chordata,actinopterygii,clupeiformes,clupeiformes
98468550,Alosa curensis,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/zips_from_iucn_2018/IUCN_moremaps_part1/Alosa_curensis.dbf,< 200 m,ANIMALIA,chordata,actinopterygii,clupeiformes,clupeiformes
907,Alosa immaculata,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/zips_from_iucn_2018/IUCN_moremaps_part1/Alosa_immaculata.dbf,< 200 m,ANIMALIA,chordata,actinopterygii,clupeiformes,clupeiformes
201947,Alosa mediocris,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/zips_from_iucn_2018/IUCN_moremaps_part1/Alosa_mediocris.dbf,200 m +,ANIMALIA,chordata,actinopterygii,clupeiformes,clupeiformes
201948,Alosa pseudoharengus,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/zips_from_iucn_2018/IUCN_moremaps_part1/Alosa_pseudoharengus.dbf,200 m +,ANIMALIA,chordata,actinopterygii,clupeiformes,clupeiformes
191206,Alosa sapidissima,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/zips_from_iucn_2018/IUCN_moremaps_part1/Alosa_sapidissima.dbf,200 m +,ANIMALIA,chordata,actinopterygii,clupeiformes,clupeiformes
98470302,Alosa saposchnikowii,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/zips_from_iucn_2018/IUCN_moremaps_part1/Alosa_saposchnikowii.dbf,< 200 m,ANIMALIA,chordata,actinopterygii,clupeiformes,clupeiformes
98470668,Amblygaster clupeoides,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/zips_from_iucn_2018/IUCN_moremaps_part1/Amblygaster_clupeoides.dbf,< 200 m,ANIMALIA,chordata,actinopterygii,clupeiformes,clupeiformes
75153246,Amblygaster leiogaster,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/zips_from_iucn_2018/IUCN_moremaps_part1/Amblygaster_leiogaster.dbf,200 m +,ANIMALIA,chordata,actinopterygii,clupeiformes,clupeiformes
98470734,Amblygaster sirm,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/zips_from_iucn_2018/IUCN_moremaps_part1/Amblygaster_sirm.dbf,< 200 m,ANIMALIA,chordata,actinopterygii,clupeiformes,clupeiformes
155024,Amphichthys cryptocentrus,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/zips_from_iucn_2018/IUCN_moremaps_part1/Amphichthys_cryptocentrus.dbf,< 200 m,ANIMALIA,chordata,actinopterygii,batrachoidiformes,batrachoidiformes
183742,Anchoa analis,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/zips_from_iucn_2018/IUCN_moremaps_part1/Anchoa_analis.dbf,< 200 m,ANIMALIA,chordata,actinopterygii,clupeiformes,clupeiformes
183309,Anchoa argentivittata,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/zips_from_iucn_2018/IUCN_moremaps_part1/Anchoa_argentivittata.dbf,< 200 m,ANIMALIA,chordata,actinopterygii,clupeiformes,clupeiformes
16405644,Anchoa cayorum,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/zips_from_iucn_2018/IUCN_moremaps_part1/Anchoa_cayorum.dbf,200 m +,ANIMALIA,chordata,actinopterygii,clupeiformes,clupeiformes
183885,Anchoa chamensis,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/zips_from_iucn_2018/IUCN_moremaps_part1/Anchoa_chamensis.dbf,< 200 m,ANIMALIA,chordata,actinopterygii,clupeiformes,clupeiformes
154717,Anchoa choerostoma,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/zips_from_iucn_2018/IUCN_moremaps_part1/Anchoa_choerostoma.dbf,< 200 m,ANIMALIA,chordata,actinopterygii,clupeiformes,clupeiformes
190269,Anchoa colonensis,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/zips_from_iucn_2018/IUCN_moremaps_part1/Anchoa_colonensis.dbf,200 m +,ANIMALIA,chordata,actinopterygii,clupeiformes,clupeiformes
98888849,Anchoa compressa,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/zips_from_iucn_2018/IUCN_moremaps_part1/Anchoa_compressa.dbf,< 200 m,ANIMALIA,chordata,actinopterygii,clupeiformes,clupeiformes
16405685,Anchoa cubana,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/zips_from_iucn_2018/IUCN_moremaps_part1/Anchoa_cubana.dbf,< 200 m,ANIMALIA,chordata,actinopterygii,clupeiformes,clupeiformes
183619,Anchoa curta,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/zips_from_iucn_2018/IUCN_moremaps_part1/Anchoa_curta.dbf,< 200 m,ANIMALIA,chordata,actinopterygii,clupeiformes,clupeiformes
154975,Anchoa delicatissima,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/zips_from_iucn_2018/IUCN_moremaps_part1/Anchoa_delicatissima.dbf,< 200 m,ANIMALIA,chordata,actinopterygii,clupeiformes,clupeiformes
183635,Anchoa eigenmannia,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/zips_from_iucn_2018/IUCN_moremaps_part1/Anchoa_eigenmannia.dbf,< 200 m,ANIMALIA,chordata,actinopterygii,clupeiformes,clupeiformes
183470,Anchoa exigua,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/zips_from_iucn_2018/IUCN_moremaps_part1/Anchoa_exigua.dbf,< 200 m,ANIMALIA,chordata,actinopterygii,clupeiformes,clupeiformes
16406269,Anchoa filifera,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/zips_from_iucn_2018/IUCN_moremaps_part1/Anchoa_filifera.dbf,< 200 m,ANIMALIA,chordata,actinopterygii,clupeiformes,clupeiformes
183382,Anchoa helleri,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/zips_from_iucn_2018/IUCN_moremaps_part1/Anchoa_helleri.dbf,< 200 m,ANIMALIA,chordata,actinopterygii,clupeiformes,clupeiformes
16406327,Anchoa hepsetus,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/zips_from_iucn_2018/IUCN_moremaps_part1/Anchoa_hepsetus.dbf,< 200 m,ANIMALIA,chordata,actinopterygii,clupeiformes,clupeiformes
183245,Anchoa ischana,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/zips_from_iucn_2018/IUCN_moremaps_part1/Anchoa_ischana.dbf,< 200 m,ANIMALIA,chordata,actinopterygii,clupeiformes,clupeiformes
16406486,Anchoa januaria,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/zips_from_iucn_2018/IUCN_moremaps_part1/Anchoa_januaria.dbf,< 200 m,ANIMALIA,chordata,actinopterygii,clupeiformes,clupeiformes
16406525,Anchoa lamprotaenia,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/zips_from_iucn_2018/IUCN_moremaps_part1/Anchoa_lamprotaenia.dbf,< 200 m,ANIMALIA,chordata,actinopterygii,clupeiformes,clupeiformes
183464,Anchoa lucida,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/zips_from_iucn_2018/IUCN_moremaps_part1/Anchoa_lucida.dbf,< 200 m,ANIMALIA,chordata,actinopterygii,clupeiformes,clupeiformes
191214,Anchoa lyolepis,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/zips_from_iucn_2018/IUCN_moremaps_part1/Anchoa_lyolepis.dbf,< 200 m,ANIMALIA,chordata,actinopterygii,clupeiformes,clupeiformes
195022,Anchoa marinii,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/zips_from_iucn_2018/IUCN_moremaps_part1/Anchoa_marinii.dbf,< 200 m,ANIMALIA,chordata,actinopterygii,clupeiformes,clupeiformes
190222,Anchoa mitchilli,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/zips_from_iucn_2018/IUCN_moremaps_part1/Anchoa_mitchilli.dbf,< 200 m,ANIMALIA,chordata,actinopterygii,clupeiformes,clupeiformes
183811,Anchoa mundeola,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/zips_from_iucn_2018/IUCN_moremaps_part1/Anchoa_mundeola.dbf,< 200 m,ANIMALIA,chordata,actinopterygii,clupeiformes,clupeiformes
183604,Anchoa mundeoloides,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/zips_from_iucn_2018/IUCN_moremaps_part1/Anchoa_mundeoloides.dbf,< 200 m,ANIMALIA,chordata,actinopterygii,clupeiformes,clupeiformes
183657,Anchoa nasus,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/zips_from_iucn_2018/IUCN_moremaps_part1/Anchoa_nasus.dbf,< 200 m,ANIMALIA,chordata,actinopterygii,clupeiformes,clupeiformes
183244,Anchoa panamensis,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/zips_from_iucn_2018/IUCN_moremaps_part1/Anchoa_panamensis.dbf,< 200 m,ANIMALIA,chordata,actinopterygii,clupeiformes,clupeiformes
190104,Anchoa parva,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/zips_from_iucn_2018/IUCN_moremaps_part1/Anchoa_parva.dbf,< 200 m,ANIMALIA,chordata,actinopterygii,clupeiformes,clupeiformes
98890443,Anchoa pectoralis,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/zips_from_iucn_2018/IUCN_moremaps_part1/Anchoa_pectoralis.dbf,< 200 m,ANIMALIA,chordata,actinopterygii,clupeiformes,clupeiformes
183516,Anchoa scofieldi,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/zips_from_iucn_2018/IUCN_moremaps_part1/Anchoa_scofieldi.dbf,< 200 m,ANIMALIA,chordata,actinopterygii,clupeiformes,clupeiformes
