iucn_sid,sciname,category,dbf_file,map_id,api_pop
11200,Lamna nasus,VU,CHONDRICHTHYES.dbf,NA,NA
11534,Lepidochelys olivacea,VU,REPTILES.dbf,NA,NA
11696,Leptonychotes weddellii,LC,MARINE_MAMMALS.dbf,NA,NA
12125,Lissodelphis borealis,LC,MARINE_MAMMALS.dbf,NA,NA
12126,Lissodelphis peronii,DD,MARINE_MAMMALS.dbf,NA,NA
12137,Lithognathus lithognathus,EN,SEABREAMS_PORGIES.dbf,NA,NA
12246,Lobodon carcinophaga,LC,MARINE_MAMMALS.dbf,NA,NA
13006,Megaptera novaeangliae,LC,MARINE_MAMMALS.dbf,NA,NA
13241,Mesoplodon bidens,DD,MARINE_MAMMALS.dbf,NA,NA
13242,Mesoplodon bowdoini,DD,MARINE_MAMMALS.dbf,NA,NA
13243,Mesoplodon carlhubbsi,DD,MARINE_MAMMALS.dbf,NA,NA
13244,Mesoplodon densirostris,DD,MARINE_MAMMALS.dbf,NA,NA
13245,Mesoplodon europaeus,DD,MARINE_MAMMALS.dbf,NA,NA
13246,Mesoplodon ginkgodens,DD,MARINE_MAMMALS.dbf,NA,NA
13247,Mesoplodon grayi,DD,MARINE_MAMMALS.dbf,NA,NA
13248,Mesoplodon hectori,DD,MARINE_MAMMALS.dbf,NA,NA
13249,Mesoplodon layardii,DD,MARINE_MAMMALS.dbf,NA,NA
13250,Mesoplodon mirus,DD,MARINE_MAMMALS.dbf,NA,NA
13251,Mesoplodon peruvianus,DD,MARINE_MAMMALS.dbf,NA,NA
13581,Mirounga angustirostris,LC,MARINE_MAMMALS.dbf,NA,NA
13583,Mirounga leonina,LC,MARINE_MAMMALS.dbf,NA,NA
13653,Monachus monachus,EN,MARINE_MAMMALS.dbf,NA,NA
13654,Neomonachus schauinslandi,EN,MARINE_MAMMALS.dbf,NA,NA
13704,Monodon monoceros,LC,MARINE_MAMMALS.dbf,NA,NA
14048,Mycteroperca cidi,DD,GROUPERS.dbf,NA,NA
14049,Mycteroperca jordani,EN,GROUPERS.dbf,NA,NA
14050,Mycteroperca microlepis,LC,GROUPERS.dbf,NA,NA
14051,Mycteroperca olfax,VU,GROUPERS.dbf,NA,NA
14052,Mycteroperca prionura,NT,GROUPERS.dbf,NA,NA
14053,Mycteroperca rosacea,VU,GROUPERS.dbf,NA,NA
14054,Mycteroperca rubra,LC,GROUPERS.dbf,NA,NA
14549,Neophoca cinerea,EN,MARINE_MAMMALS.dbf,NA,NA
15106,Odobenus rosmarus,VU,MARINE_MAMMALS.dbf,NA,NA
15269,Ommatophoca rossii,LC,MARINE_MAMMALS.dbf,NA,NA
15421,Orcinus orca,DD,MARINE_MAMMALS.dbf,NA,NA
15873,Pagrus pagrus,LC,SEABREAMS_PORGIES.dbf,NA,NA
16564,Peponocephala electra,LC,MARINE_MAMMALS.dbf,NA,NA
17013,Phoca vitulina,LC,MARINE_MAMMALS.dbf,NA,NA
17023,Phoca largha,LC,MARINE_MAMMALS.dbf,NA,NA
17026,Phocarctos hookeri,EN,MARINE_MAMMALS.dbf,NA,NA
17027,Phocoena phocoena,LC,MARINE_MAMMALS.dbf,NA,NA
17028,Phocoena sinus,CR,MARINE_MAMMALS.dbf,NA,NA
17029,Phocoena spinipinnis,DD,MARINE_MAMMALS.dbf,NA,NA
17032,Phocoenoides dalli,LC,MARINE_MAMMALS.dbf,NA,NA
18175,Pristis pectinata,CR,CHONDRICHTHYES.dbf,NA,NA
18374,Protemblemaria punctata,LC,COMBTOOTHBLENNIES.dbf,NA,NA
18596,Pseudorca crassidens,DD,MARINE_MAMMALS.dbf,NA,NA
19488,Rhincodon typus,EN,CHONDRICHTHYES.dbf,NA,NA
19950,Scarus guacamaia,NT,WRASSE.dbf,NA,NA
20047,Scomberomorus concolor,VU,TUNAS_BILLFISHES.dbf,NA,NA
20724,Stegastes sanctaehelenae,LC,DAMSELFISH.dbf,NA,NA
20729,Stenella attenuata,LC,MARINE_MAMMALS.dbf,NA,NA
20730,Stenella clymene,DD,MARINE_MAMMALS.dbf,NA,NA
20731,Stenella coeruleoalba,LC,MARINE_MAMMALS.dbf,NA,NA
20732,Stenella frontalis,DD,MARINE_MAMMALS.dbf,NA,NA
20733,Stenella longirostris,DD,MARINE_MAMMALS.dbf,NA,NA
20738,Steno bredanensis,LC,MARINE_MAMMALS.dbf,NA,NA
21341,Takifugu niphobles,LC,PUFFERFISH.dbf,NA,NA
21342,Takifugu poecilonotus,LC,PUFFERFISH.dbf,NA,NA
21343,Takifugu xanthopterus,LC,PUFFERFISH.dbf,NA,NA
21500,Tasmacetus shepherdi,DD,MARINE_MAMMALS.dbf,NA,NA
21689,Thalassoma ascensionis,DD,WRASSE.dbf,NA,NA
21856,Thunnus alalunga,NT,TUNAS_BILLFISHES.dbf,NA,NA
21857,Thunnus albacares,NT,TUNAS_BILLFISHES.dbf,NA,NA
21858,Thunnus maccoyii,CR,TUNAS_BILLFISHES.dbf,NA,NA
21859,Thunnus obesus,VU,TUNAS_BILLFISHES.dbf,NA,NA
21860,Thunnus thynnus,EN,TUNAS_BILLFISHES.dbf,NA,NA
21994,Torquigener brevipinnis,LC,PUFFERFISH.dbf,NA,NA
22102,Trichechus inunguis,VU,MARINE_MAMMALS.dbf,NA,NA
22103,Trichechus manatus,VU,MARINE_MAMMALS.dbf,NA,NA
22104,Trichechus senegalensis,VU,MARINE_MAMMALS.dbf,NA,NA
22563,Tursiops truncatus,LC,MARINE_MAMMALS.dbf,NA,NA
23148,Xiphias gladius,LC,TUNAS_BILLFISHES.dbf,NA,NA
23211,Ziphius cavirostris,LC,MARINE_MAMMALS.dbf,NA,NA
31382,Rhizophora apiculata,LC,MANGROVES.dbf,NA,NA
33705,Dolichandrone spathacea,LC,MANGROVES.dbf,NA,NA
34364,Aglaia cucullata,DD,MANGROVES.dbf,NA,NA
39303,Dermatolepis inermis,NT,GROUPERS.dbf,NA,NA
39324,Notorynchus cepedianus,DD,CHONDRICHTHYES.dbf,NA,NA
39327,Pristiophorus cirratus,LC,CHONDRICHTHYES.dbf,NA,NA
39328,Squatina californica,NT,CHONDRICHTHYES.dbf,NA,NA
39329,Squatina argentina,EN,CHONDRICHTHYES.dbf,NA,NA
39330,Squatina guggenheim,EN,CHONDRICHTHYES.dbf,NA,NA
39332,Squatina squatina,CR,CHONDRICHTHYES.dbf,NA,NA
39333,Heterodontus francisci,DD,CHONDRICHTHYES.dbf,NA,NA
39334,Heterodontus portusjacksoni,LC,CHONDRICHTHYES.dbf,NA,NA
39335,Brachaelurus colcloughi,VU,CHONDRICHTHYES.dbf,NA,NA
39336,Odontaspis noronhai,DD,CHONDRICHTHYES.dbf,NA,NA
39337,Pseudocarcharias kamoharai,NT,CHONDRICHTHYES.dbf,NA,NA
39338,Megachasma pelagios,LC,CHONDRICHTHYES.dbf,NA,NA
39339,Alopias vulpinus,VU,CHONDRICHTHYES.dbf,NA,NA
39341,Isurus oxyrinchus,VU,CHONDRICHTHYES.dbf,NA,NA
39342,Lamna ditropis,LC,CHONDRICHTHYES.dbf,NA,NA
39345,Haploblepharus edwardsii,NT,CHONDRICHTHYES.dbf,NA,NA
39347,Schroederichthys bivius,DD,CHONDRICHTHYES.dbf,NA,NA
39349,Scyliorhinus capensis,NT,CHONDRICHTHYES.dbf,NA,NA
39350,Leptocharias smithii,NT,CHONDRICHTHYES.dbf,NA,NA
39351,Furgaleus macki,LC,CHONDRICHTHYES.dbf,NA,NA
39352,Galeorhinus galeus,VU,CHONDRICHTHYES.dbf,NA,NA
39354,Hypogaleus hyugaensis,LC,CHONDRICHTHYES.dbf,NA,NA
39355,Mustelus antarcticus,LC,CHONDRICHTHYES.dbf,NA,NA
39356,Mustelus lenticulatus,LC,CHONDRICHTHYES.dbf,NA,NA
39357,Mustelus asterias,LC,CHONDRICHTHYES.dbf,NA,NA
39358,Mustelus mustelus,VU,CHONDRICHTHYES.dbf,NA,NA
39359,Mustelus canis,NT,CHONDRICHTHYES.dbf,NA,NA
39361,Triakis acutipinna,EN,CHONDRICHTHYES.dbf,NA,NA
39362,Triakis megalopterus,NT,CHONDRICHTHYES.dbf,NA,NA
39363,Triakis semifasciata,LC,CHONDRICHTHYES.dbf,NA,NA
39366,Carcharhinus amboinensis,DD,CHONDRICHTHYES.dbf,NA,NA
39368,Carcharhinus brevipinna,NT,CHONDRICHTHYES.dbf,NA,NA
39369,Carcharhinus hemiodon,CR,CHONDRICHTHYES.dbf,NA,NA
39370,Carcharhinus falciformis,VU,CHONDRICHTHYES.dbf,NA,NA
39371,Carcharhinus leiodon,EN,CHONDRICHTHYES.dbf,NA,NA
39372,Carcharhinus leucas,NT,CHONDRICHTHYES.dbf,NA,NA
39374,Carcharhinus longimanus,VU,CHONDRICHTHYES.dbf,NA,NA
39378,Galeocerdo cuvier,NT,CHONDRICHTHYES.dbf,NA,NA
39379,Glyphis glyphis,EN,CHONDRICHTHYES.dbf,NA,NA
39380,Negaprion brevirostris,NT,CHONDRICHTHYES.dbf,NA,NA
39381,Prionace glauca,NT,CHONDRICHTHYES.dbf,NA,NA
39382,Rhizoprionodon terraenovae,LC,CHONDRICHTHYES.dbf,NA,NA
39384,Triaenodon obesus,NT,CHONDRICHTHYES.dbf,NA,NA
39385,Sphyrna lewini,EN,CHONDRICHTHYES.dbf,NA,NA
39386,Sphyrna mokarran,EN,CHONDRICHTHYES.dbf,NA,NA
39387,Sphyrna tiburo,LC,CHONDRICHTHYES.dbf,NA,NA
39388,Sphyrna zygaena,VU,CHONDRICHTHYES.dbf,NA,NA
39389,Anoxypristis cuspidata,EN,CHONDRICHTHYES.dbf,NA,NA
39390,Pristis clavata,EN,CHONDRICHTHYES.dbf,NA,NA
39393,Pristis zijsron,CR,CHONDRICHTHYES.dbf,NA,NA
39394,Rhynchobatus djiddensis,VU,CHONDRICHTHYES.dbf,NA,NA
39396,Tetronarce californica,LC,CHONDRICHTHYES.dbf,NA,NA
39397,Dipturus batis,CR,CHONDRICHTHYES.dbf,NA,NA
39399,Raja clavata,NT,CHONDRICHTHYES.dbf,NA,NA
39400,Raja microocellata,NT,CHONDRICHTHYES.dbf,NA,NA
39412,Taeniura lymma,NT,CHONDRICHTHYES.dbf,NA,NA
39413,Urogymnus asperrimus,VU,CHONDRICHTHYES.dbf,NA,NA
39415,Aetobatus narinari,NT,CHONDRICHTHYES.dbf,NA,NA
39416,Myliobatis californicus,LC,CHONDRICHTHYES.dbf,NA,NA
39418,Mobula mobular,EN,CHONDRICHTHYES.dbf,NA,NA
39771,Dipturus laevis,EN,CHONDRICHTHYES.dbf,NA,NA
39773,Cephalopholis boenak,LC,GROUPERS.dbf,NA,NA
39774,Cromileptes altivelis,VU,GROUPERS.dbf,NA,NA
40635,Indopacetus pacificus,DD,MARINE_MAMMALS.dbf,NA,NA
40711,Stegastes sanctipauli,LC,DAMSELFISH.dbf,NA,NA
40797,Carcharhinus amblyrhynchoides,NT,CHONDRICHTHYES.dbf,NA,NA
41064,Pseudobatos horkelii,CR,CHONDRICHTHYES.dbf,NA,NA
41664,Arctocephalus forsteri,LC,MARINE_MAMMALS.dbf,NA,NA
41665,Otaria byronia,LC,MARINE_MAMMALS.dbf,NA,NA
41666,Zalophus californianus,LC,MARINE_MAMMALS.dbf,NA,NA
41668,Zalophus wollebaeki,EN,MARINE_MAMMALS.dbf,NA,NA
41670,Histriophoca fasciata,LC,MARINE_MAMMALS.dbf,NA,NA
41671,Pagophilus groenlandicus,LC,MARINE_MAMMALS.dbf,NA,NA
41672,Pusa hispida,LC,MARINE_MAMMALS.dbf,NA,NA
41711,Eubalaena japonica,EN,MARINE_MAMMALS.dbf,NA,NA
41712,Eubalaena glacialis,EN,MARINE_MAMMALS.dbf,NA,NA
41714,Tursiops aduncus,DD,MARINE_MAMMALS.dbf,NA,NA
41715,Phocoena dioptrica,DD,MARINE_MAMMALS.dbf,NA,NA
41718,Apristurus albisoma,LC,CHONDRICHTHYES.dbf,NA,NA
41719,Apristurus exsanguis,LC,CHONDRICHTHYES.dbf,NA,NA
41720,Asymbolus analis,LC,CHONDRICHTHYES.dbf,NA,NA
41721,Asymbolus funebris,DD,CHONDRICHTHYES.dbf,NA,NA
41722,Asymbolus occiduus,LC,CHONDRICHTHYES.dbf,NA,NA
41723,Asymbolus pallidus,LC,CHONDRICHTHYES.dbf,NA,NA
41724,Asymbolus parvus,LC,CHONDRICHTHYES.dbf,NA,NA
41725,Asymbolus rubiginosus,LC,CHONDRICHTHYES.dbf,NA,NA
41726,Asymbolus submaculatus,LC,CHONDRICHTHYES.dbf,NA,NA
41727,Asymbolus vincenti,LC,CHONDRICHTHYES.dbf,NA,NA
41728,Atelomycterus fasciatus,LC,CHONDRICHTHYES.dbf,NA,NA
41729,Atelomycterus macleayi,LC,CHONDRICHTHYES.dbf,NA,NA
41731,Aulohalaelurus labiosus,LC,CHONDRICHTHYES.dbf,NA,NA
41732,Brachaelurus waddi,LC,CHONDRICHTHYES.dbf,NA,NA
41733,Carcharhinus cautus,DD,CHONDRICHTHYES.dbf,NA,NA
41734,Carcharhinus dussumieri,NT,CHONDRICHTHYES.dbf,NA,NA
41735,Carcharhinus fitzroyensis,LC,CHONDRICHTHYES.dbf,NA,NA
41736,Carcharhinus galapagensis,NT,CHONDRICHTHYES.dbf,NA,NA
41737,Carcharhinus macloti,NT,CHONDRICHTHYES.dbf,NA,NA
41738,Carcharhinus sealei,NT,CHONDRICHTHYES.dbf,NA,NA
41739,Carcharhinus tilstoni,LC,CHONDRICHTHYES.dbf,NA,NA
41740,Centrophorus harrissoni,EN,CHONDRICHTHYES.dbf,NA,NA
41741,Carcharhinus brachyurus,NT,CHONDRICHTHYES.dbf,NA,NA
41743,Callorhinchus milii,LC,CHONDRICHTHYES.dbf,NA,NA
41746,Centroscyllium kamoharai,DD,CHONDRICHTHYES.dbf,NA,NA
41747,Centroscymnus coelolepis,NT,CHONDRICHTHYES.dbf,NA,NA
41749,Centroscymnus owstonii,LC,CHONDRICHTHYES.dbf,NA,NA
41752,Cephaloscyllium isabellum,LC,CHONDRICHTHYES.dbf,NA,NA
41753,Cephaloscyllium laticeps,LC,CHONDRICHTHYES.dbf,NA,NA
41754,Neophocaena asiaeorientalis,EN,MARINE_MAMMALS.dbf,NA,NA
41755,Physeter macrocephalus,VU,MARINE_MAMMALS.dbf,NA,NA
41758,Platanista gangetica,EN,MARINE_MAMMALS.dbf,NA,NA
41759,Mesoplodon perrini,DD,MARINE_MAMMALS.dbf,NA,NA
41760,Mesoplodon traversii,DD,MARINE_MAMMALS.dbf,NA,NA
41791,Chiloscyllium indicum,NT,CHONDRICHTHYES.dbf,NA,NA
41792,Chiloscyllium griseum,NT,CHONDRICHTHYES.dbf,NA,NA
41793,Chimaera panthera,DD,CHONDRICHTHYES.dbf,NA,NA
41794,Chlamydoselachus anguineus,LC,CHONDRICHTHYES.dbf,NA,NA
41795,Cirrhigaleus barbifer,DD,CHONDRICHTHYES.dbf,NA,NA
41796,Bathytoshia brevicaudata,LC,CHONDRICHTHYES.dbf,NA,NA
41797,Hemitrygon fluviorum,VU,CHONDRICHTHYES.dbf,NA,NA
41798,Deania calcea,LC,CHONDRICHTHYES.dbf,NA,NA
41799,Dipturus innominatus,NT,CHONDRICHTHYES.dbf,NA,NA
41800,Zearaja nasutus,LC,CHONDRICHTHYES.dbf,NA,NA
41801,Echinorhinus brucus,DD,CHONDRICHTHYES.dbf,NA,NA
41802,Echinorhinus cookei,NT,CHONDRICHTHYES.dbf,NA,NA
41804,Etmopterus caudistigmus,LC,CHONDRICHTHYES.dbf,NA,NA
41805,Etmopterus dianthus,LC,CHONDRICHTHYES.dbf,NA,NA
41806,Etmopterus dislineatus,LC,CHONDRICHTHYES.dbf,NA,NA
41807,Etmopterus evansi,LC,CHONDRICHTHYES.dbf,NA,NA
41808,Etmopterus fusus,LC,CHONDRICHTHYES.dbf,NA,NA
41809,Etmopterus pseudosqualiolus,LC,CHONDRICHTHYES.dbf,NA,NA
41810,Eusphyra blochii,EN,CHONDRICHTHYES.dbf,NA,NA
41811,Figaro boardmani,LC,CHONDRICHTHYES.dbf,NA,NA
41812,Galeus gracilis,DD,CHONDRICHTHYES.dbf,NA,NA
41813,Gogolia filewoodi,DD,CHONDRICHTHYES.dbf,NA,NA
41814,Gollum attenuatus,LC,CHONDRICHTHYES.dbf,NA,NA
41818,Hemiscyllium ocellatum,LC,CHONDRICHTHYES.dbf,NA,NA
41820,Hemiscyllium trispeculare,LC,CHONDRICHTHYES.dbf,NA,NA
41821,Hemitriakis abdita,DD,CHONDRICHTHYES.dbf,NA,NA
41822,Hemitriakis falcata,LC,CHONDRICHTHYES.dbf,NA,NA
41823,Heptranchias perlo,NT,CHONDRICHTHYES.dbf,NA,NA
41824,Heterodontus galeatus,LC,CHONDRICHTHYES.dbf,NA,NA
41825,Heterodontus zebra,LC,CHONDRICHTHYES.dbf,NA,NA
41826,Hydrolagus bemisi,LC,CHONDRICHTHYES.dbf,NA,NA
41827,Hydrolagus novaezealandiae,LC,CHONDRICHTHYES.dbf,NA,NA
41828,Hypnos monopterygius,LC,CHONDRICHTHYES.dbf,NA,NA
41829,Iago garricki,LC,CHONDRICHTHYES.dbf,NA,NA
41830,Isistius brasiliensis,LC,CHONDRICHTHYES.dbf,NA,NA
41831,Loxodon macrorhinus,LC,CHONDRICHTHYES.dbf,NA,NA
41832,Mobula eregoodootenkee,NT,CHONDRICHTHYES.dbf,NA,NA
41833,Mobula japanica,NT,CHONDRICHTHYES.dbf,NA,NA
41835,Nebrius ferrugineus,VU,CHONDRICHTHYES.dbf,NA,NA
41836,Negaprion acutidens,VU,CHONDRICHTHYES.dbf,NA,NA
41837,Orectolobus maculatus,LC,CHONDRICHTHYES.dbf,NA,NA
41838,Orectolobus ornatus,LC,CHONDRICHTHYES.dbf,NA,NA
41839,Orectolobus wardi,LC,CHONDRICHTHYES.dbf,NA,NA
41840,Oxynotus bruniensis,DD,CHONDRICHTHYES.dbf,NA,NA
41841,Parascyllium collare,LC,CHONDRICHTHYES.dbf,NA,NA
41842,Parascyllium ferrugineum,LC,CHONDRICHTHYES.dbf,NA,NA
41843,Parascyllium sparsimaculatum,DD,CHONDRICHTHYES.dbf,NA,NA
41844,Parascyllium variolatum,LC,CHONDRICHTHYES.dbf,NA,NA
41845,Parmaturus macmillani,DD,CHONDRICHTHYES.dbf,NA,NA
41846,Pristiophorus nudipinnis,LC,CHONDRICHTHYES.dbf,NA,NA
41848,Rhina ancylostoma,VU,CHONDRICHTHYES.dbf,NA,NA
41849,Glaucostegus typus,VU,CHONDRICHTHYES.dbf,NA,NA
41850,Rhizoprionodon acutus,LC,CHONDRICHTHYES.dbf,NA,NA
41851,Rhizoprionodon oligolinx,LC,CHONDRICHTHYES.dbf,NA,NA
41852,Rhizoprionodon taylori,LC,CHONDRICHTHYES.dbf,NA,NA
41853,Rhynchobatus australiae,VU,CHONDRICHTHYES.dbf,NA,NA
41854,Rhynchobatus laevis,VU,CHONDRICHTHYES.dbf,NA,NA
41855,Scymnodalatias albicauda,DD,CHONDRICHTHYES.dbf,NA,NA
41856,Scymnodalatias sherwoodi,DD,CHONDRICHTHYES.dbf,NA,NA
41857,Somniosus antarcticus,DD,CHONDRICHTHYES.dbf,NA,NA
41858,Squaliolus aliae,LC,CHONDRICHTHYES.dbf,NA,NA
41859,Squalus megalops,DD,CHONDRICHTHYES.dbf,NA,NA
41860,Squalus melanurus,LC,CHONDRICHTHYES.dbf,NA,NA
41861,Squalus rancureli,NT,CHONDRICHTHYES.dbf,NA,NA
41862,Squatina australis,LC,CHONDRICHTHYES.dbf,NA,NA
41863,Squatina tergocellata,LC,CHONDRICHTHYES.dbf,NA,NA
41864,Sutorectus tentaculatus,LC,CHONDRICHTHYES.dbf,NA,NA
41866,Trygonorrhina fasciata,LC,CHONDRICHTHYES.dbf,NA,NA
41867,Typhlonarke aysoni,DD,CHONDRICHTHYES.dbf,NA,NA
41871,Centrophorus squamosus,VU,CHONDRICHTHYES.dbf,NA,NA
41872,Chiloscyllium punctatum,NT,CHONDRICHTHYES.dbf,NA,NA
41873,Eucrossorhinus dasypogon,LC,CHONDRICHTHYES.dbf,NA,NA
41874,Hemipristis elongata,VU,CHONDRICHTHYES.dbf,NA,NA
41875,Hemiscyllium hallstromi,VU,CHONDRICHTHYES.dbf,NA,NA
41876,Odontaspis ferox,VU,CHONDRICHTHYES.dbf,NA,NA
41877,Squalus mitsukurii,DD,CHONDRICHTHYES.dbf,NA,NA
41878,Stegostoma fasciatum,EN,CHONDRICHTHYES.dbf,NA,NA
42701,Apristurus ampliceps,LC,CHONDRICHTHYES.dbf,NA,NA
42703,Apristurus bucephalus,DD,CHONDRICHTHYES.dbf,NA,NA
42704,Apristurus australis,LC,CHONDRICHTHYES.dbf,NA,NA
42711,Figaro striatus,DD,CHONDRICHTHYES.dbf,NA,NA
42712,Glyphis garricki,CR,CHONDRICHTHYES.dbf,NA,NA
42713,Halaelurus sellus,LC,CHONDRICHTHYES.dbf,NA,NA
42716,Mustelus stevensi,LC,CHONDRICHTHYES.dbf,NA,NA
42717,Orectolobus hutchinsi,LC,CHONDRICHTHYES.dbf,NA,NA
42720,Pristiophorus delicatus,LC,CHONDRICHTHYES.dbf,NA,NA
42721,Rhinobatos sainsburyi,LC,CHONDRICHTHYES.dbf,NA,NA
42722,Squalus notocaudatus,DD,CHONDRICHTHYES.dbf,NA,NA
