iucn_sid,sciname,category,dbf_file,map_id,api_pop
133259,Montipora stellata,LC,CORALS_PART_1.dbf,NA,NA
133260,Trachyphyllia geoffroyi,NT,CORALS_PART_2.dbf,NA,NA
133261,Pavona danai,VU,CORALS_PART_1.dbf,NA,NA
133262,Porites annae,NT,CORALS_PART_2.dbf,NA,NA
133263,Montastrea serageldini,VU,CORALS_PART_2.dbf,NA,NA
133264,Acropora cardenae,DD,CORALS_PART_1.dbf,NA,NA
133266,Acropora nobilis,LC,CORALS_PART_1.dbf,NA,NA
133267,Astreopora listeri,LC,CORALS_PART_1.dbf,NA,NA
133268,Micromussa diminuta,DD,CORALS_PART_2.dbf,NA,NA
133269,Heliofungia actiniformis,VU,CORALS_PART_2.dbf,NA,NA
133270,Porites myrmidonensis,LC,CORALS_PART_2.dbf,NA,NA
133271,Acropora sarmentosa,LC,CORALS_PART_1.dbf,NA,NA
133272,Pectinia paeonia,NT,CORALS_PART_2.dbf,NA,NA
133274,Acropora sekiseiensis,DD,CORALS_PART_1.dbf,NA,NA
133275,Psammocora decussata,DD,CORALS_PART_2.dbf,NA,NA
133276,Millepora latifolia,VU,CORALS_PART_3.dbf,NA,NA
133277,Porites australiensis,LC,CORALS_PART_2.dbf,NA,NA
133278,Leptastrea pruinosa,LC,CORALS_PART_2.dbf,NA,NA
133280,Acropora navini,DD,CORALS_PART_1.dbf,NA,NA
133281,Madracis formosa,LC,CORALS_PART_1.dbf,NA,NA
133282,Montipora kellyi,DD,CORALS_PART_1.dbf,NA,NA
133283,Acropora batunai,VU,CORALS_PART_1.dbf,NA,NA
133284,Plesiastrea versipora,LC,CORALS_PART_2.dbf,NA,NA
133285,Montipora palawanensis,NT,CORALS_PART_1.dbf,NA,NA
133287,Caulastrea connata,VU,CORALS_PART_2.dbf,NA,NA
133288,Agaricia grahamae,LC,CORALS_PART_1.dbf,NA,NA
133289,Euphyllia paraancora,VU,CORALS_PART_2.dbf,NA,NA
133290,Favites abdita,NT,CORALS_PART_2.dbf,NA,NA
133291,Acropora striata,VU,CORALS_PART_1.dbf,NA,NA
133292,Astreopora myriophthalma,LC,CORALS_PART_1.dbf,NA,NA
133293,Acropora valida,LC,CORALS_PART_1.dbf,NA,NA
133294,Acropora lokani,VU,CORALS_PART_1.dbf,NA,NA
133295,Mycedium umbra,LC,CORALS_PART_2.dbf,NA,NA
133296,Porites tuberculosa,VU,CORALS_PART_2.dbf,NA,NA
133297,Goniopora savignyi,LC,CORALS_PART_2.dbf,NA,NA
133298,Montipora turgescens,LC,CORALS_PART_1.dbf,NA,NA
133299,Fungia sinensis,LC,CORALS_PART_2.dbf,NA,NA
133300,Millepora boschmai,CR,CORALS_PART_3.dbf,NA,NA
133301,Porites ornata,EN,CORALS_PART_2.dbf,NA,NA
133302,Astreopora gracilis,LC,CORALS_PART_1.dbf,NA,NA
133303,Acropora lutkeni,NT,CORALS_PART_1.dbf,NA,NA
133304,Lobophyllia hataii,LC,CORALS_PART_2.dbf,NA,NA
133305,Montipora verrilli,DD,CORALS_PART_1.dbf,NA,NA
133306,Astreopora macrostoma,NT,CORALS_PART_1.dbf,NA,NA
133307,Favia rotundata,NT,CORALS_PART_2.dbf,NA,NA
133308,Fungia scruposa,LC,CORALS_PART_2.dbf,NA,NA
133309,Pocillopora inflata,VU,CORALS_PART_2.dbf,NA,NA
133310,Leptoria irregularis,VU,CORALS_PART_2.dbf,NA,NA
133311,Acropora halmaherae,DD,CORALS_PART_1.dbf,NA,NA
133313,Acropora cytherea,LC,CORALS_PART_1.dbf,NA,NA
133314,Montipora aequituberculata,LC,CORALS_PART_1.dbf,NA,NA
133315,Acropora monticulosa,NT,CORALS_PART_1.dbf,NA,NA
133316,Mycedium robokaki,LC,CORALS_PART_2.dbf,NA,NA
133317,Lithophyllon mokai,LC,CORALS_PART_2.dbf,NA,NA
133318,Acropora torihalimeda,DD,CORALS_PART_1.dbf,NA,NA
133319,Acropora horrida,VU,CORALS_PART_1.dbf,NA,NA
133320,Acropora solitaryensis,VU,CORALS_PART_1.dbf,NA,NA
133321,Cyphastrea ocellina,VU,CORALS_PART_2.dbf,NA,NA
133322,Acropora dendrum,VU,CORALS_PART_1.dbf,NA,NA
133323,Coscinaraea monile,LC,CORALS_PART_2.dbf,NA,NA
133324,Acropora gemmifera,LC,CORALS_PART_1.dbf,NA,NA
133325,Cyphastrea chalcidicum,LC,CORALS_PART_2.dbf,NA,NA
133326,Acanthastrea regularis,VU,CORALS_PART_2.dbf,NA,NA
133327,Acropora lovelli,VU,CORALS_PART_1.dbf,NA,NA
133328,Psammocora verrilli,DD,CORALS_PART_2.dbf,NA,NA
133329,Porites stephensoni,NT,CORALS_PART_2.dbf,NA,NA
133330,Leptoseris foliosa,LC,CORALS_PART_1.dbf,NA,NA
133332,Alveopora allingi,VU,CORALS_PART_2.dbf,NA,NA
133333,Oulophyllia bennettae,NT,CORALS_PART_2.dbf,NA,NA
133334,Acropora branchi,DD,CORALS_PART_1.dbf,NA,NA
133335,Mycedium steeni,VU,CORALS_PART_2.dbf,NA,NA
133336,Echinopora tiranensis,DD,CORALS_PART_2.dbf,NA,NA
133337,Merulina ampliata,LC,CORALS_PART_2.dbf,NA,NA
133338,Acropora speciosa,VU,CORALS_PART_1.dbf,NA,NA
133339,Alveopora ocellata,DD,CORALS_PART_2.dbf,NA,NA
133340,Symphyllia wilsoni,LC,CORALS_PART_2.dbf,NA,NA
133341,Anacropora forbesi,LC,CORALS_PART_1.dbf,NA,NA
133342,Montipora cryptus,NT,CORALS_PART_1.dbf,NA,NA
133343,Favites russelli,NT,CORALS_PART_2.dbf,NA,NA
133344,Podabacia sinai,DD,CORALS_PART_2.dbf,NA,NA
133345,Montipora tuberculosa,LC,CORALS_PART_1.dbf,NA,NA
133348,Acropora variolosa,LC,CORALS_PART_1.dbf,NA,NA
133349,Porites compressa,LC,CORALS_PART_2.dbf,NA,NA
133350,Acropora ridzwani,DD,CORALS_PART_1.dbf,NA,NA
133351,Leptoseris mycetoseroides,LC,CORALS_PART_1.dbf,NA,NA
133352,Acropora gomezi,DD,CORALS_PART_1.dbf,NA,NA
133353,Psammocora obtusangula,NT,CORALS_PART_2.dbf,NA,NA
133354,Galaxea astreata,VU,CORALS_PART_2.dbf,NA,NA
133356,Mycetophyllia ferox,VU,CORALS_PART_2.dbf,NA,NA
133357,Goniopora eclipsensis,LC,CORALS_PART_2.dbf,NA,NA
133358,Porites napopora,VU,CORALS_PART_2.dbf,NA,NA
133359,Acropora microclados,VU,CORALS_PART_1.dbf,NA,NA
133360,Pavona bipartita,VU,CORALS_PART_1.dbf,NA,NA
133361,Montipora setosa,EN,CORALS_PART_1.dbf,NA,NA
133364,Stylaraea punctata,DD,CORALS_PART_2.dbf,NA,NA
133365,Goniastrea edwardsi,LC,CORALS_PART_2.dbf,NA,NA
133366,Acanthastrea lordhowensis,NT,CORALS_PART_2.dbf,NA,NA
133367,Montipora confusa,NT,CORALS_PART_1.dbf,NA,NA
133368,Goniopora albiconus,VU,CORALS_PART_2.dbf,NA,NA
133369,Echinopora robusta,VU,CORALS_PART_2.dbf,NA,NA
133370,Porites profundus,LC,CORALS_PART_2.dbf,NA,NA
133371,Fungia distorta,LC,CORALS_PART_2.dbf,NA,NA
133372,Polyphyllia novaehiberniae,NT,CORALS_PART_2.dbf,NA,NA
133373,Montastraea faveolata,EN,CORALS_PART_2.dbf,NA,NA
133374,Montastrea multipunctata,VU,CORALS_PART_2.dbf,NA,NA
133375,Montipora corbettensis,VU,CORALS_PART_1.dbf,NA,NA
133376,Acanthastrea ishigakiensis,VU,CORALS_PART_2.dbf,NA,NA
133377,Diploria clivosa,LC,CORALS_PART_2.dbf,NA,NA
133378,Goniopora somaliensis,LC,CORALS_PART_2.dbf,NA,NA
133380,Madracis kirbyi,LC,CORALS_PART_1.dbf,NA,NA
133381,Acropora cervicornis,CR,CORALS_PART_1.dbf,NA,NA
133382,Pavona explanulata,LC,CORALS_PART_1.dbf,NA,NA
133383,Barabattoia laddi,VU,CORALS_PART_2.dbf,NA,NA
133384,Cantharellus noumeae,EN,CORALS_PART_2.dbf,NA,NA
133385,Acropora parahemprichii,DD,CORALS_PART_1.dbf,NA,NA
133386,Acanthastrea rotundoflora,NT,CORALS_PART_2.dbf,NA,NA
133387,Acropora globiceps,VU,CORALS_PART_1.dbf,NA,NA
133388,Pocillopora setichelli,LC,CORALS_PART_2.dbf,NA,NA
133389,Siderastrea siderea,LC,CORALS_PART_2.dbf,NA,NA
133390,Seriatopora hystrix,LC,CORALS_PART_2.dbf,NA,NA
133391,Goniopora burgosi,VU,CORALS_PART_2.dbf,NA,NA
133392,Favia laxa,NT,CORALS_PART_2.dbf,NA,NA
133394,Acropora loisetteae,VU,CORALS_PART_1.dbf,NA,NA
133395,Porites porites,LC,CORALS_PART_2.dbf,NA,NA
133396,Acropora desalwii,VU,CORALS_PART_1.dbf,NA,NA
133397,Fungia somervillei,LC,CORALS_PART_2.dbf,NA,NA
133398,Pavona varians,LC,CORALS_PART_1.dbf,NA,NA
133399,Porites okinawensis,VU,CORALS_PART_2.dbf,NA,NA
133400,Eusmilia fastigiata,LC,CORALS_PART_2.dbf,NA,NA
133401,Acropora hoeksemai,VU,CORALS_PART_1.dbf,NA,NA
133402,Acropora squarrosa,LC,CORALS_PART_1.dbf,NA,NA
133403,Turbinaria stellulata,VU,CORALS_PART_2.dbf,NA,NA
133404,Montipora samarensis,VU,CORALS_PART_1.dbf,NA,NA
133405,Caulastrea tumida,NT,CORALS_PART_2.dbf,NA,NA
133406,Psammocora haimeana,LC,CORALS_PART_2.dbf,NA,NA
133407,Pocillopora eydouxi,NT,CORALS_PART_2.dbf,NA,NA
133408,Coscinaraea wellsi,LC,CORALS_PART_2.dbf,NA,NA
133409,Montipora verruculosus,VU,CORALS_PART_1.dbf,NA,NA
133410,Pachyseris speciosa,LC,CORALS_PART_1.dbf,NA,NA
133411,Acanthastrea bowerbanki,VU,CORALS_PART_2.dbf,NA,NA
133412,Gyrosmilia interrupta,LC,CORALS_PART_2.dbf,NA,NA
133413,Cynarina lacrymalis,NT,CORALS_PART_2.dbf,NA,NA
133414,Goniastrea pectinata,LC,CORALS_PART_2.dbf,NA,NA
133415,Anacropora puertogalerae,VU,CORALS_PART_1.dbf,NA,NA
133416,Montipora circumvallata,LC,CORALS_PART_1.dbf,NA,NA
133417,Caulastrea furcata,LC,CORALS_PART_2.dbf,NA,NA
133418,Fungia concinna,LC,CORALS_PART_2.dbf,NA,NA
133419,Lobophyllia hemprichii,LC,CORALS_PART_2.dbf,NA,NA
133420,Montipora grisea,LC,CORALS_PART_1.dbf,NA,NA
133422,Montipora capricornis,VU,CORALS_PART_1.dbf,NA,NA
133423,Fungia horrida,LC,CORALS_PART_2.dbf,NA,NA
133424,Leptastrea inaequalis,NT,CORALS_PART_2.dbf,NA,NA
133425,Solenastrea hyades,LC,CORALS_PART_2.dbf,NA,NA
133426,Favia danae,LC,CORALS_PART_2.dbf,NA,NA
133427,Acropora simplex,VU,CORALS_PART_1.dbf,NA,NA
133428,Coscinaraea columna,LC,CORALS_PART_2.dbf,NA,NA
133429,Echinopora horrida,NT,CORALS_PART_2.dbf,NA,NA
133430,Porites heronensis,LC,CORALS_PART_2.dbf,NA,NA
133431,Heterocyathus aequicostatus,LC,CORALS_PART_1.dbf,NA,NA
133432,Acropora spicifera,VU,CORALS_PART_1.dbf,NA,NA
133433,Montipora crassituberculata,VU,CORALS_PART_1.dbf,NA,NA
133434,Montipora mactanensis,VU,CORALS_PART_1.dbf,NA,NA
133435,Seriatopora dendritica,VU,CORALS_PART_2.dbf,NA,NA
133436,Dichocoenia stellaris,DD,CORALS_PART_2.dbf,NA,NA
133437,Fungia moluccensis,LC,CORALS_PART_2.dbf,NA,NA
133438,Montipora foveolata,NT,CORALS_PART_1.dbf,NA,NA
133439,Agaricia tenuifolia,NT,CORALS_PART_1.dbf,NA,NA
133440,Platygyra pini,LC,CORALS_PART_2.dbf,NA,NA
133441,Acropora walindii,VU,CORALS_PART_1.dbf,NA,NA
133442,Oxypora lacera,LC,CORALS_PART_2.dbf,NA,NA
133443,Montipora australiensis,VU,CORALS_PART_1.dbf,NA,NA
133444,Oculina valenciennesi,DD,CORALS_PART_2.dbf,NA,NA
133445,Porites harrisoni,NT,CORALS_PART_2.dbf,NA,NA
133446,Astrangia poculata,LC,CORALS_PART_2.dbf,NA,NA
133448,Goniopora columna,NT,CORALS_PART_2.dbf,NA,NA
133449,Acropora haimei,DD,CORALS_PART_1.dbf,NA,NA
133450,Montipora turtlensis,VU,CORALS_PART_1.dbf,NA,NA
133451,Montipora danae,LC,CORALS_PART_1.dbf,NA,NA
133452,Goniastrea aspera,LC,CORALS_PART_2.dbf,NA,NA
133453,Pachyseris rugosa,VU,CORALS_PART_1.dbf,NA,NA
133454,Montipora pachytuberculata,DD,CORALS_PART_1.dbf,NA,NA
133456,Physogyra lichtensteini,VU,CORALS_PART_2.dbf,NA,NA
133457,Mussa angulosa,LC,CORALS_PART_2.dbf,NA,NA
133458,Hydnophora microconos,NT,CORALS_PART_2.dbf,NA,NA
133459,Goniopora lobata,NT,CORALS_PART_2.dbf,NA,NA
133460,Montipora cocosensis,VU,CORALS_PART_1.dbf,NA,NA
133461,Meandrina braziliensis,DD,CORALS_PART_2.dbf,NA,NA
133462,Acropora rongelapensis,DD,CORALS_PART_1.dbf,NA,NA
133463,Acropora aculeus,VU,CORALS_PART_1.dbf,NA,NA
133464,Alveopora excelsa,EN,CORALS_PART_2.dbf,NA,NA
133467,Alveopora minuta,EN,CORALS_PART_2.dbf,NA,NA
133468,Platygyra daedalea,LC,CORALS_PART_2.dbf,NA,NA
133469,Acropora downingi,LC,CORALS_PART_1.dbf,NA,NA
133470,Micromussa amakusensis,NT,CORALS_PART_2.dbf,NA,NA
133471,Acropora bushyensis,LC,CORALS_PART_1.dbf,NA,NA
133472,Isopora crateriformis,VU,CORALS_PART_1.dbf,NA,NA
133473,Scapophyllia cylindrica,LC,CORALS_PART_2.dbf,NA,NA
133474,Symphyllia agaricia,LC,CORALS_PART_2.dbf,NA,NA
133476,Madracis asperula,DD,CORALS_PART_1.dbf,NA,NA
133477,Favia leptophylla,DD,CORALS_PART_2.dbf,NA,NA
133478,Hydnophora exesa,NT,CORALS_PART_2.dbf,NA,NA
133479,Acropora hyacinthus,NT,CORALS_PART_1.dbf,NA,NA
133481,Acropora chesterfieldensis,LC,CORALS_PART_1.dbf,NA,NA
133482,Alveopora spongiosa,NT,CORALS_PART_2.dbf,NA,NA
133483,Acropora mirabilis,DD,CORALS_PART_1.dbf,NA,NA
133484,Anomastraea irregularis,VU,CORALS_PART_2.dbf,NA,NA
133485,Astreopora randalli,LC,CORALS_PART_1.dbf,NA,NA
133486,Porites horizontalata,VU,CORALS_PART_2.dbf,NA,NA
133488,Pectinia africanus,VU,CORALS_PART_2.dbf,NA,NA
133489,Montipora delicatula,VU,CORALS_PART_1.dbf,NA,NA
133490,Acanthastrea maxima,NT,CORALS_PART_2.dbf,NA,NA
133491,Oulophyllia levis,LC,CORALS_PART_2.dbf,NA,NA
133492,Porites rus,LC,CORALS_PART_2.dbf,NA,NA
133493,Platygyra ryukyuensis,NT,CORALS_PART_2.dbf,NA,NA
133494,Acropora papillare,VU,CORALS_PART_1.dbf,NA,NA
133495,Galaxea horrescens,LC,CORALS_PART_2.dbf,NA,NA
133496,Porites cylindrica,NT,CORALS_PART_2.dbf,NA,NA
133497,Caulastrea echinulata,VU,CORALS_PART_2.dbf,NA,NA
133498,Turbinaria peltata,VU,CORALS_PART_2.dbf,NA,NA
133499,Porites cocosensis,VU,CORALS_PART_2.dbf,NA,NA
133500,Acropora kosurini,VU,CORALS_PART_1.dbf,NA,NA
133501,Alveopora gigas,VU,CORALS_PART_2.dbf,NA,NA
133502,Psammocora superficialis,LC,CORALS_PART_2.dbf,NA,NA
133503,Fungia fungites,NT,CORALS_PART_2.dbf,NA,NA
133504,Porites furcata,LC,CORALS_PART_2.dbf,NA,NA
133505,Montipora taiwanensis,DD,CORALS_PART_1.dbf,NA,NA
133506,Cyphastrea hexasepta,VU,CORALS_PART_2.dbf,NA,NA
133507,Acropora khayranensis,DD,CORALS_PART_1.dbf,NA,NA
133508,Platygyra acuta,NT,CORALS_PART_2.dbf,NA,NA
133509,Podabacia motuporensis,NT,CORALS_PART_2.dbf,NA,NA
133510,Favia lizardensis,NT,CORALS_PART_2.dbf,NA,NA
133511,Oculina patagonica,LC,CORALS_PART_2.dbf,NA,NA
133513,Acropora anthocercis,VU,CORALS_PART_1.dbf,NA,NA
133515,Goniastrea ramosa,VU,CORALS_PART_2.dbf,NA,NA
133516,Favia truncatus,LC,CORALS_PART_2.dbf,NA,NA
133517,Lithophyllon ranjithi,EN,CORALS_PART_2.dbf,NA,NA
133519,Mycetophyllia danaana,LC,CORALS_PART_2.dbf,NA,NA
133521,Stephanocoenia intersepta,LC,CORALS_PART_1.dbf,NA,NA
133522,Helioseris cucullata,LC,CORALS_PART_1.dbf,NA,NA
133523,Alveopora fenestrata,VU,CORALS_PART_2.dbf,NA,NA
133524,Anacropora pillai,DD,CORALS_PART_1.dbf,NA,NA
133525,Montipora monasteriata,LC,CORALS_PART_1.dbf,NA,NA
133526,Seriatopora aculeata,VU,CORALS_PART_2.dbf,NA,NA
133527,Mussismilia harttii,DD,CORALS_PART_2.dbf,NA,NA
133528,Blastomussa merleti,LC,CORALS_PART_2.dbf,NA,NA
133529,Horastrea indica,VU,CORALS_PART_2.dbf,NA,NA
133530,Stylophora subseriata,LC,CORALS_PART_2.dbf,NA,NA
133531,Acropora palmerae,VU,CORALS_PART_1.dbf,NA,NA
133532,Acropora verweyi,VU,CORALS_PART_1.dbf,NA,NA
133533,Oculina robusta,DD,CORALS_PART_2.dbf,NA,NA
133534,Pocillopora zelli,LC,CORALS_PART_2.dbf,NA,NA
133535,Agaricia agaricites,LC,CORALS_PART_1.dbf,NA,NA
133536,Millepora intricata,LC,CORALS_PART_3.dbf,NA,NA
133537,Heterocyathus alternatus,LC,CORALS_PART_1.dbf,NA,NA
133538,Herpolitha limax,LC,CORALS_PART_2.dbf,NA,NA
133539,Leptoseris incrustans,VU,CORALS_PART_1.dbf,NA,NA
133540,Poritipora paliformis,VU,CORALS_PART_2.dbf,NA,NA
133542,Leptastrea aequalis,VU,CORALS_PART_2.dbf,NA,NA
133543,Porites brighami,LC,CORALS_PART_2.dbf,NA,NA
133544,Madracis carmabi,DD,CORALS_PART_1.dbf,NA,NA
133545,Paraclavarina triangularis,NT,CORALS_PART_2.dbf,NA,NA
133546,Porites latistella,LC,CORALS_PART_2.dbf,NA,NA
133547,Acropora yongei,LC,CORALS_PART_1.dbf,NA,NA
133548,Stylocoeniella armata,LC,CORALS_PART_1.dbf,NA,NA
133549,Porites panamensis,LC,CORALS_PART_2.dbf,NA,NA
133550,Acropora glauca,NT,CORALS_PART_1.dbf,NA,NA
133551,Lobophyllia corymbosa,LC,CORALS_PART_2.dbf,NA,NA
133552,Pocillopora fungiformis,EN,CORALS_PART_2.dbf,NA,NA
133553,Millepora dichotoma,LC,CORALS_PART_3.dbf,NA,NA
133554,Echinopora fruticulosa,NT,CORALS_PART_2.dbf,NA,NA
133555,Porites deformis,NT,CORALS_PART_2.dbf,NA,NA
133556,Montipora spumosa,LC,CORALS_PART_1.dbf,NA,NA
133557,Acanthastrea brevis,VU,CORALS_PART_2.dbf,NA,NA
133558,Pavona cactus,VU,CORALS_PART_1.dbf,NA,NA
133559,Mycedium elephantotus,LC,CORALS_PART_2.dbf,NA,NA
133560,Goniastrea palauensis,NT,CORALS_PART_2.dbf,NA,NA
133561,Porites flavus,DD,CORALS_PART_2.dbf,NA,NA
133562,Oxypora convoluta,DD,CORALS_PART_2.dbf,NA,NA
133563,Montipora peltiformis,NT,CORALS_PART_1.dbf,NA,NA
133564,Isophyllastrea rigida,LC,CORALS_PART_2.dbf,NA,NA
133565,Lobophyllia dentatus,VU,CORALS_PART_2.dbf,NA,NA
133566,Scolymia australis,LC,CORALS_PART_2.dbf,NA,NA
133567,Alveopora viridis,NT,CORALS_PART_2.dbf,NA,NA
133568,Porites rugosa,VU,CORALS_PART_2.dbf,NA,NA
133569,Favia favus,LC,CORALS_PART_2.dbf,NA,NA
133570,Psammocora profundacella,LC,CORALS_PART_2.dbf,NA,NA
133571,Platygyra carnosus,NT,CORALS_PART_2.dbf,NA,NA
133572,Porites echinulata,NT,CORALS_PART_2.dbf,NA,NA
133573,Australomussa rowleyensis,NT,CORALS_PART_2.dbf,NA,NA
133574,Porites pukoensis,CR,CORALS_PART_2.dbf,NA,NA
133575,Cladocora arbuscula,LC,CORALS_PART_2.dbf,NA,NA
133576,Acropora cerealis,LC,CORALS_PART_1.dbf,NA,NA
133577,Favites spinosa,VU,CORALS_PART_2.dbf,NA,NA
133578,Favites bestae,NT,CORALS_PART_2.dbf,NA,NA
133579,Pocillopora molokensis,DD,CORALS_PART_2.dbf,NA,NA
133580,Montipora hirsuta,NT,CORALS_PART_1.dbf,NA,NA
133581,Pavona diffluens,VU,CORALS_PART_1.dbf,NA,NA
133582,Oxypora crassispinosa,LC,CORALS_PART_2.dbf,NA,NA
133583,Acropora awi,VU,CORALS_PART_1.dbf,NA,NA
133584,Porites divaricata,LC,CORALS_PART_2.dbf,NA,NA
133585,Pseudosiderastrea tayami,NT,CORALS_PART_2.dbf,NA,NA
133587,Sandalolitha dentata,LC,CORALS_PART_2.dbf,NA,NA
133588,Euphyllia cristata,VU,CORALS_PART_2.dbf,NA,NA
133589,Psammocora explanulata,LC,CORALS_PART_2.dbf,NA,NA
133590,Siderastrea savignyana,LC,CORALS_PART_2.dbf,NA,NA
133591,Isophyllia sinuosa,LC,CORALS_PART_2.dbf,NA,NA
133593,Favia stelligera,NT,CORALS_PART_2.dbf,NA,NA
133594,Favia fragum,LC,CORALS_PART_2.dbf,NA,NA
133595,Millepora platyphylla,LC,CORALS_PART_3.dbf,NA,NA
133597,Cantharellus doederleini,LC,CORALS_PART_2.dbf,NA,NA
133598,Acropora proximalis,DD,CORALS_PART_1.dbf,NA,NA
133599,Montipora undata,NT,CORALS_PART_1.dbf,NA,NA
133600,Acropora indonesia,VU,CORALS_PART_1.dbf,NA,NA
133601,Favia helianthoides,NT,CORALS_PART_2.dbf,NA,NA
133602,Isopora togianensis,EN,CORALS_PART_1.dbf,NA,NA
133603,Millepora murrayi,NT,CORALS_PART_3.dbf,NA,NA
133604,Acropora arabensis,NT,CORALS_PART_1.dbf,NA,NA
133605,Scolymia wellsi,DD,CORALS_PART_2.dbf,NA,NA
133606,Symphyllia recta,LC,CORALS_PART_2.dbf,NA,NA
133607,Goniopora minor,NT,CORALS_PART_2.dbf,NA,NA
133608,Oxypora egyptensis,DD,CORALS_PART_2.dbf,NA,NA
133609,Echinophyllia orpheensis,LC,CORALS_PART_2.dbf,NA,NA
133611,Madracis senaria,LC,CORALS_PART_1.dbf,NA,NA
133612,Millepora foveolata,VU,CORALS_PART_3.dbf,NA,NA
133613,Porites solida,LC,CORALS_PART_2.dbf,NA,NA
133614,Seriatopora guttatus,LC,CORALS_PART_2.dbf,NA,NA
133615,Goniopora stutchburyi,LC,CORALS_PART_2.dbf,NA,NA
133616,Favia matthaii,NT,CORALS_PART_2.dbf,NA,NA
133617,Acropora jacquelineae,VU,CORALS_PART_1.dbf,NA,NA
133618,Madracis auretenra,LC,CORALS_PART_1.dbf,NA,NA
133619,Lobophyllia diminuta,VU,CORALS_PART_2.dbf,NA,NA
133620,Australogyra zelli,VU,CORALS_PART_2.dbf,NA,NA
133621,Acropora valenciennesi,LC,CORALS_PART_1.dbf,NA,NA
133622,Montipora capitata,NT,CORALS_PART_1.dbf,NA,NA
133623,Montipora cebuensis,VU,CORALS_PART_1.dbf,NA,NA
133624,Acanthastrea faviaformis,VU,CORALS_PART_2.dbf,NA,NA
133627,Goniastrea peresi,NT,CORALS_PART_2.dbf,NA,NA
133628,Cyphastrea agassizi,VU,CORALS_PART_2.dbf,NA,NA
133629,Favites stylifera,NT,CORALS_PART_2.dbf,NA,NA
133630,Favites micropentagona,NT,CORALS_PART_2.dbf,NA,NA
133631,Erythrastrea flabellata,NT,CORALS_PART_2.dbf,NA,NA
133633,Turbinaria mesenterina,VU,CORALS_PART_2.dbf,NA,NA
133634,Goniastrea retiformis,LC,CORALS_PART_2.dbf,NA,NA
133635,Montipora venosa,NT,CORALS_PART_1.dbf,NA,NA
133636,Leptoseris gardineri,LC,CORALS_PART_1.dbf,NA,NA
133637,Pocillopora indiania,VU,CORALS_PART_2.dbf,NA,NA
133638,Favia maritima,NT,CORALS_PART_2.dbf,NA,NA
133639,Acropora pichoni,NT,CORALS_PART_1.dbf,NA,NA
133640,Porites monticulosa,LC,CORALS_PART_2.dbf,NA,NA
133641,Goniopora djiboutiensis,LC,CORALS_PART_2.dbf,NA,NA
133642,Acanthastrea hemprichii,VU,CORALS_PART_2.dbf,NA,NA
133643,Goniopora sultani,LC,CORALS_PART_2.dbf,NA,NA
133644,Acropora formosa,NT,CORALS_PART_1.dbf,NA,NA
133645,Porites somaliensis,NT,CORALS_PART_2.dbf,NA,NA
133646,Montipora verrucosa,LC,CORALS_PART_1.dbf,NA,NA
133647,Acropora polystoma,VU,CORALS_PART_1.dbf,NA,NA
133648,Cyphastrea microphthalma,LC,CORALS_PART_2.dbf,NA,NA
133649,Acropora abrotanoides,LC,CORALS_PART_1.dbf,NA,NA
133650,Favites paraflexuosa,NT,CORALS_PART_2.dbf,NA,NA
133651,Platygyra lamellina,NT,CORALS_PART_2.dbf,NA,NA
133652,Leptastrea transversa,LC,CORALS_PART_2.dbf,NA,NA
133653,Isopora cylindrica,DD,CORALS_PART_1.dbf,NA,NA
133654,Favites chinensis,NT,CORALS_PART_2.dbf,NA,NA
133655,Acropora akajimensis,DD,CORALS_PART_1.dbf,NA,NA
133657,Solenastrea bournoni,LC,CORALS_PART_2.dbf,NA,NA
133658,Acropora bifurcata,DD,CORALS_PART_1.dbf,NA,NA
133659,Stylophora kuehlmanni,LC,CORALS_PART_2.dbf,NA,NA
133660,Isopora cuneata,VU,CORALS_PART_1.dbf,NA,NA
133661,Acropora echinata,VU,CORALS_PART_1.dbf,NA,NA
133662,Galaxea fascicularis,NT,CORALS_PART_2.dbf,NA,NA
133663,Madracis decactis,LC,CORALS_PART_1.dbf,NA,NA
133664,Pachyseris involuta,VU,CORALS_PART_1.dbf,NA,NA
133665,Goniastrea thecata,NT,CORALS_PART_2.dbf,NA,NA
133666,Acropora millepora,NT,CORALS_PART_1.dbf,NA,NA
133667,Craterestrea levis,LC,CORALS_PART_2.dbf,NA,NA
133668,Goniopora stokesi,NT,CORALS_PART_2.dbf,NA,NA
133669,Cyphastrea decadia,LC,CORALS_PART_2.dbf,NA,NA
133670,Micromussa minuta,NT,CORALS_PART_2.dbf,NA,NA
133671,Heteropsammia eupsammides,NT,CORALS_PART_2.dbf,NA,NA
133673,Fungia paumotensis,LC,CORALS_PART_2.dbf,NA,NA
133674,Montipora mollis,LC,CORALS_PART_1.dbf,NA,NA
133675,Alveopora tizardi,LC,CORALS_PART_2.dbf,NA,NA
133676,Psammocora vaughani,NT,CORALS_PART_2.dbf,NA,NA
133679,Heteropsammia cochlea,LC,CORALS_PART_2.dbf,NA,NA
133680,Porites astreoides,LC,CORALS_PART_2.dbf,NA,NA
133681,Acropora torresiana,DD,CORALS_PART_1.dbf,NA,NA
133682,Acropora subulata,LC,CORALS_PART_1.dbf,NA,NA
133683,Pectinia maxima,EN,CORALS_PART_2.dbf,NA,NA
133684,Coscinaraea hahazimaensis,VU,CORALS_PART_2.dbf,NA,NA
