iucn_sid,pop_trend,year,old_cat,cat_txt,param_id,api_error,cat_ts,cat_score,cat_ts_score,trend_score
102998555,decreasing,2016,LC,Least Concern,NA,NA,LC,0,0,-0.5
102998555,decreasing,2017,LC,Least Concern,NA,NA,LC,0,0,-0.5
10303,NA,1986,Ex,Extinct,NA,NA,EX,1,1,NA
10303,NA,1988,Ex,Extinct,NA,NA,EX,1,1,NA
10303,NA,1990,Ex,Extinct,NA,NA,EX,1,1,NA
10303,NA,1994,Ex,Extinct,NA,NA,EX,1,1,NA
10303,NA,1996,EX,Extinct,NA,NA,EX,1,1,NA
10303,NA,2008,EX,Extinct,NA,NA,EX,1,1,NA
10303,NA,2016,EX,Extinct,NA,NA,EX,1,1,NA
10310,unknown,1996,LR/lc,Lower Risk/least concern,NA,NA,LC,0,0,NA
10310,unknown,2008,LC,Least Concern,NA,NA,LC,0,0,NA
10310,unknown,2016,LC,Least Concern,NA,NA,LC,0,0,NA
10329,decreasing,1990,R,Rare,NA,NA,EN,0.6,0.6,-0.5
10329,decreasing,1994,V,Vulnerable,NA,NA,VU,0.4,0.4,-0.5
10329,decreasing,1996,LR/nt,Lower Risk/near threatened,NA,NA,NT,0.2,0.2,-0.5
10329,decreasing,2008,VU,Vulnerable,NA,NA,VU,0.4,0.4,-0.5
10329,decreasing,2015,VU,Vulnerable,NA,NA,VU,0.4,0.4,-0.5
10340,unknown,1996,LR/lc,Lower Risk/least concern,NA,NA,LC,0,0,NA
10340,unknown,2008,LC,Least Concern,NA,NA,LC,0,0,NA
10340,unknown,2015,LC,Least Concern,NA,NA,LC,0,0,NA
103670928,decreasing,2016,NT,Near Threatened,NA,NA,NT,0.2,0.2,-0.5
103670944,decreasing,2016,NT,Near Threatened,NA,NA,NT,0.2,0.2,-0.5
103702644,decreasing,2016,EN,Endangered,NA,NA,EN,0.6,0.6,-0.5
103709500,stable,2016,LC,Least Concern,NA,NA,LC,0,0,0
103709532,stable,2016,LC,Least Concern,NA,NA,LC,0,0,0
103727557,increasing,2016,LC,Least Concern,NA,NA,LC,0,0,0.5
103727557,increasing,2017,LC,Least Concern,NA,NA,LC,0,0,0.5
103727590,stable,2016,LC,Least Concern,NA,NA,LC,0,0,0
103766072,unknown,2016,LC,Least Concern,NA,NA,LC,0,0,NA
103766072,unknown,2017,LC,Least Concern,NA,NA,LC,0,0,NA
103766090,unknown,2016,LC,Least Concern,NA,NA,LC,0,0,NA
103766090,unknown,2017,LC,Least Concern,NA,NA,LC,0,0,NA
103766143,increasing,2016,LC,Least Concern,NA,NA,LC,0,0,0.5
103766143,increasing,2017,LC,Least Concern,NA,NA,LC,0,0,0.5
103773898,decreasing,2016,LC,Least Concern,NA,NA,LC,0,0,-0.5
103773898,decreasing,2017,LC,Least Concern,NA,NA,LC,0,0,-0.5
103780243,stable,2016,LC,Least Concern,NA,NA,LC,0,0,0
103780258,unknown,2016,LC,Least Concern,NA,NA,LC,0,0,NA
103780279,stable,2016,NT,Near Threatened,NA,NA,NT,0.2,0.2,0
103795069,stable,2016,LC,Least Concern,NA,NA,LC,0,0,0
103795115,stable,2016,LC,Least Concern,NA,NA,LC,0,0,0
103798407,decreasing,2016,LC,Least Concern,NA,NA,LC,0,0,-0.5
103798407,decreasing,2017,LC,Least Concern,NA,NA,LC,0,0,-0.5
103798418,stable,2016,VU,Vulnerable,NA,NA,VU,0.4,0.4,0
103799817,stable,2016,LC,Least Concern,NA,NA,LC,0,0,0
103800445,stable,2016,LC,Least Concern,NA,NA,LC,0,0,0
103817982,stable,2016,LC,Least Concern,NA,NA,LC,0,0,0
103818044,stable,2016,LC,Least Concern,NA,NA,LC,0,0,0
103889573,unknown,2016,LC,Least Concern,NA,NA,LC,0,0,NA
