iucn_sid,years,cat_ts,scores,pop_trend_desc,calc_trend
41010,"2012, 2017","VU, VU","0.4, 0.4",decreasing,NA
41064,"2007, 2016","CR, CR","0.8, 0.8",decreasing,NA
41664,"2008, 2015","LC, LC","0, 0",increasing,NA
41665,"2008, 2014, 2016","LC, LC, LC","0, 0, 0",stable,0
41666,"2008, 2015","LC, LC","0, 0",increasing,NA
41668,"2008, 2015","EN, EN","0.6, 0.6",decreasing,NA
41671,"2008, 2015","LC, LC","0, 0",increasing,NA
41672,"2008, 2016","LC, LC","0, 0",unknown,NA
41712,"2008, 2012","EN, EN","0.6, 0.6",unknown,NA
41718,"2003, 2015","NT, LC","0.2, 0",unknown,NA
41722,"2003, 2016","LC, LC","0, 0",unknown,NA
41723,"2003, 2016","LC, LC","0, 0",unknown,NA
41724,"2003, 2016","LC, LC","0, 0",unknown,NA
41725,"2003, 2015","LC, LC","0, 0",unknown,NA
41726,"2003, 2016","LC, LC","0, 0",unknown,NA
41727,"2003, 2016","LC, LC","0, 0",unknown,NA
41728,"2003, 2015","LC, LC","0, 0",unknown,NA
41729,"2003, 2015","LC, LC","0, 0",unknown,NA
41732,"2003, 2015","LC, LC","0, 0",unknown,NA
41740,"2003, 2013","CR, EN","0.8, 0.6",decreasing,NA
41743,"2003, 2015","LC, LC","0, 0",stable,NA
41753,"2003, 2016","LC, LC","0, 0",stable,NA
41794,"2003, 2016","NT, LC","0.2, 0",unknown,NA
41796,"2003, 2016","LC, LC","0, 0",stable,NA
41797,"2003, 2016","VU, VU","0.4, 0.4",decreasing,NA
41805,"2003, 2015","LC, LC","0, 0",unknown,NA
41806,"2003, 2015","LC, LC","0, 0",unknown,NA
41807,"2003, 2015","LC, LC","0, 0",unknown,NA
41808,"2003, 2015","LC, LC","0, 0",unknown,NA
41810,"2003, 2016","NT, EN","0.2, 0.6",decreasing,NA
41811,"2003, 2016","LC, LC","0, 0",unknown,NA
41816,"2003, 2009","LC, VU","0, 0.4",decreasing,NA
41818,"2003, 2015","LC, LC","0, 0",stable,NA
41820,"2003, 2015","LC, LC","0, 0",unknown,NA
41824,"2003, 2016","LC, LC","0, 0",unknown,NA
41828,"2003, 2015","LC, LC","0, 0",unknown,NA
41829,"2003, 2016","LC, LC","0, 0",unknown,NA
41833,"2003, 2006","NT, NT","0.2, 0.2",unknown,NA
41837,"2003, 2009, 2015","NT, NT, LC","0.2, 0.2, 0",unknown,-0.01667
