iucn_sid,years,cat_ts,scores,pop_trend_desc,calc_trend
222,"1994, 1996, 2004","VU, VU, VU","0.4, 0.4, 0.4",decreasing,-0
224,"1996, 2010","VU, CR","0.4, 0.8",decreasing,NA
225,"1996, 2010","EN, CR","0.6, 0.8",decreasing,NA
229,"1996, 2010","EN, CR","0.6, 0.8",decreasing,NA
230,"1994, 1996, 2010","EN, CR, CR","0.6, 0.8, 0.8",decreasing,0.00789
232,"1996, 2010","EN, CR","0.6, 0.8",decreasing,NA
233,"1996, 2006","VU, NT","0.4, 0.2",stable,NA
234,"1996, 2004","NT, LC","0.2, 0",stable,NA
236,"1996, 2010","EN, CR","0.6, 0.8",decreasing,NA
241,"1996, 2010","EN, CR","0.6, 0.8",decreasing,NA
245,"1996, 2006","NT, NT","0.2, 0.2",increasing,NA
697,"1996, 2016","LC, LC","0, 0",unknown,NA
1086,"1994, 1996, 2004","EN, VU, VU","0.6, 0.4, 0.4",unknown,-0.01429
1308,"1996, 2015","EN, LC","0.6, 0",unknown,NA
1615,"1996, 2015","VU, LC","0.4, 0",unknown,NA
2055,"1996, 2008, 2016","LC, LC, LC","0, 0, 0",increasing,0
2057,"1996, 2008, 2015","VU, EN, EN","0.4, 0.6, 0.6",decreasing,0.01119
2058,"1996, 2008, 2014, 2016","LC, LC, LC, LC","0, 0, 0, 0",decreasing,0
2059,"1994, 1996, 2008, 2015","VU, VU, NT, LC","0.4, 0.4, 0.2, 0",increasing,-0.01891
2060,"1996, 2008, 2015","LC, LC, LC","0, 0, 0",increasing,0
2061,"1994, 1996, 2008, 2015","VU, VU, NT, LC","0.4, 0.4, 0.2, 0",increasing,-0.01891
2062,"1996, 2008, 2015","LC, LC, LC","0, 0, 0",stable,0
2467,"1994, 1996, 2008, 2012","VU, VU, LC, LC","0.4, 0.4, 0, 0",increasing,-0.02553
2474,"1996, 2008","NT, LC","0.2, 0",stable,NA
2475,"1994, 1996, 2008","VU, EN, EN","0.4, 0.6, 0.6",unknown,0.0093
2477,"1994, 1996, 2008","EN, EN, EN","0.6, 0.6, 0.6",increasing,-0
2478,"1994, 1996, 2008, 2013","VU, EN, EN, EN","0.4, 0.6, 0.6, 0.6",unknown,0.00687
2539,"1996, 2015","VU, NT","0.4, 0.2",decreasing,NA
3381,"1996, 2010, 2012, 2017","NT, LC, LC, LC","0.2, 0, 0, 0",stable,-0.0105
3590,"1996, 2008, 2015","VU, VU, VU","0.4, 0.4, 0.4",decreasing,-0
3851,"1996, 2000, 2009","VU, NT, NT","0.4, 0.2, 0.2",unknown,-0.01278
3852,"1996, 2000, 2009","EN, NT, VU","0.6, 0.2, 0.4",decreasing,-0.00902
3853,"1996, 2000, 2009","VU, NT, VU","0.4, 0.2, 0.4",decreasing,0.00376
3854,"1996, 2000, 2009","EN, VU, VU","0.6, 0.4, 0.4",unknown,-0.01278
3855,"1996, 2000, 2009","VU, VU, VU","0.4, 0.4, 0.4",unknown,-0
3897,"1994, 1996, 2015, 2017","VU, EN, VU, VU","0.4, 0.6, 0.4, 0.4",decreasing,-0.00427
