iucn_sid,code,habitat,suitability,season,majorimportance,cat,subcat1,subcat2,include
245,10.1,Marine Oceanic - Epipelagic (0-200m),Suitable,NA,NA,10,1,NA,TRUE
245,12.4,Marine Intertidal - Mud Flats and Salt Flats,Suitable,NA,NA,12,4,NA,TRUE
245,12.5,Marine Intertidal - Salt Marshes (Emergent Grasses),Suitable,NA,NA,12,5,NA,TRUE
245,13.4,Marine Coastal/Supratidal - Coastal Brackish/Saline Lagoons/Marine Lakes,Suitable,NA,NA,13,4,NA,TRUE
245,15.3,Artificial/Aquatic - Aquaculture Ponds,Unknown,NA,NA,15,3,NA,FALSE
245,5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),Suitable,NA,NA,5,1,NA,FALSE
245,9.10,Marine Neritic - Estuaries,Suitable,NA,NA,9,10,NA,TRUE
697,5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),Suitable,NA,NA,5,1,NA,FALSE
884,13.3,Marine Coastal/Supratidal - Coastal Sand Dunes,Unknown,NA,NA,13,3,NA,TRUE
889,13.3,Marine Coastal/Supratidal - Coastal Sand Dunes,Suitable,NA,Yes,13,3,NA,TRUE
903,5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),Suitable,NA,Yes,5,1,NA,FALSE
903,9.1,Marine Neritic - Pelagic,Suitable,NA,NA,9,1,NA,TRUE
903,9.10,Marine Neritic - Estuaries,Suitable,NA,NA,9,10,NA,TRUE
904,5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),Suitable,NA,Yes,5,1,NA,FALSE
904,9.1,Marine Neritic - Pelagic,Suitable,NA,NA,9,1,NA,TRUE
904,9.10,Marine Neritic - Estuaries,Suitable,NA,NA,9,10,NA,TRUE
906,13.4,Marine Coastal/Supratidal - Coastal Brackish/Saline Lagoons/Marine Lakes,Suitable,NA,Yes,13,4,NA,TRUE
906,9.1,Marine Neritic - Pelagic,Suitable,NA,NA,9,1,NA,TRUE
906,9.10,Marine Neritic - Estuaries,Suitable,NA,NA,9,10,NA,TRUE
907,5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),Suitable,NA,Yes,5,1,NA,FALSE
907,9.1,Marine Neritic - Pelagic,Suitable,NA,NA,9,1,NA,TRUE
908,10.1,Marine Oceanic - Epipelagic (0-200m),Suitable,NA,NA,10,1,NA,TRUE
908,12.5,Marine Intertidal - Salt Marshes (Emergent Grasses),Suitable,NA,NA,12,5,NA,TRUE
908,13.4,Marine Coastal/Supratidal - Coastal Brackish/Saline Lagoons/Marine Lakes,Suitable,NA,NA,13,4,NA,TRUE
908,13.5,Marine Coastal/Supratidal - Coastal Freshwater Lakes,Suitable,NA,NA,13,5,NA,TRUE
908,9.10,Marine Neritic - Estuaries,Suitable,NA,NA,9,10,NA,TRUE
1086,10.1,Marine Oceanic - Epipelagic (0-200m),Suitable,NA,NA,10,1,NA,TRUE
1086,12.1,Marine Intertidal - Rocky Shoreline,Suitable,NA,NA,12,1,NA,TRUE
1086,12.4,Marine Intertidal - Mud Flats and Salt Flats,Suitable,NA,NA,12,4,NA,TRUE
1086,9.1,Marine Neritic - Pelagic,Suitable,NA,NA,9,1,NA,TRUE
1118,12.2,"Marine Intertidal - Sandy Shoreline and/or Beaches, Sand Bars, Spits, Etc",Suitable,NA,NA,12,2,NA,TRUE
1308,12.6,Marine Intertidal - Tidepools,Suitable,resident,NA,12,6,NA,TRUE
1308,15.11,Artificial/Marine - Marine Anthropogenic Structures,Suitable,resident,NA,15,11,NA,TRUE
1308,9.10,Marine Neritic - Estuaries,Suitable,resident,NA,9,10,NA,TRUE
1308,9.2,Marine Neritic - Subtidal Rock and Rocky Reefs,Suitable,resident,NA,9,2,NA,TRUE
1615,9.2,Marine Neritic - Subtidal Rock and Rocky Reefs,NA,NA,NA,9,2,NA,TRUE
1615,9.3,Marine Neritic - Subtidal Loose Rock/pebble/gravel,NA,NA,NA,9,3,NA,TRUE
1615,9.4,Marine Neritic - Subtidal Sandy,NA,NA,NA,9,4,NA,TRUE
1615,9.5,Marine Neritic - Subtidal Sandy-Mud,NA,NA,NA,9,5,NA,TRUE
1615,9.6,Marine Neritic - Subtidal Muddy,NA,NA,NA,9,6,NA,TRUE
1784,13.2,Marine Coastal/supratidal - Coastal Caves/Karst,Suitable,NA,NA,13,2,NA,TRUE
1793,12.5,Marine Intertidal - Salt Marshes (Emergent Grasses),Marginal,NA,NA,12,5,NA,TRUE
1793,13.4,Marine Coastal/Supratidal - Coastal Brackish/Saline Lagoons/Marine Lakes,Suitable,resident,Yes,13,4,NA,TRUE
1793,13.5,Marine Coastal/Supratidal - Coastal Freshwater Lakes,Suitable,resident,Yes,13,5,NA,TRUE
1793,9.10,Marine Neritic - Estuaries,Suitable,resident,NA,9,10,NA,TRUE
1846,13.4,Marine Coastal/Supratidal - Coastal Brackish/Saline Lagoons/Marine Lakes,Suitable,NA,NA,13,4,NA,TRUE
1847,13.4,Marine Coastal/Supratidal - Coastal Brackish/Saline Lagoons/Marine Lakes,Suitable,NA,NA,13,4,NA,TRUE
1847,5.14,"Wetlands (inland) - Permanent Saline, Brackish or Alkaline Lakes",Suitable,NA,NA,5,14,NA,FALSE
1847,5.16,"Wetlands (inland) - Permanent Saline, Brackish or Alkaline Marshes/Pools",Suitable,NA,NA,5,16,NA,FALSE
1904,13.3,Marine Coastal/Supratidal - Coastal Sand Dunes,Suitable,NA,NA,13,3,NA,TRUE
2055,10.1,Marine Oceanic - Epipelagic (0-200m),Suitable,resident,Yes,10,1,NA,TRUE
2055,10.2,Marine Oceanic - Mesopelagic (200-1000m),Suitable,resident,Yes,10,2,NA,TRUE
2055,12.1,Marine Intertidal - Rocky Shoreline,Suitable,resident,Yes,12,1,NA,TRUE
2055,13.1,Marine Coastal/Supratidal - Sea Cliffs and Rocky Offshore Islands,Suitable,resident,Yes,13,1,NA,TRUE
2055,9.1,Marine Neritic - Pelagic,Suitable,resident,Yes,9,1,NA,TRUE
2057,10.1,Marine Oceanic - Epipelagic (0-200m),Suitable,resident,Yes,10,1,NA,TRUE
2057,12.1,Marine Intertidal - Rocky Shoreline,Suitable,resident,Yes,12,1,NA,TRUE
2057,13.1,Marine Coastal/Supratidal - Sea Cliffs and Rocky Offshore Islands,Suitable,resident,Yes,13,1,NA,TRUE
2057,9.1,Marine Neritic - Pelagic,Suitable,resident,Yes,9,1,NA,TRUE
2058,10.1,Marine Oceanic - Epipelagic (0-200m),Suitable,resident,Yes,10,1,NA,TRUE
2058,12.1,Marine Intertidal - Rocky Shoreline,Suitable,resident,Yes,12,1,NA,TRUE
2058,13.1,Marine Coastal/Supratidal - Sea Cliffs and Rocky Offshore Islands,Suitable,resident,Yes,13,1,NA,TRUE
2058,9.1,Marine Neritic - Pelagic,Suitable,resident,Yes,9,1,NA,TRUE
2059,10.1,Marine Oceanic - Epipelagic (0-200m),Suitable,resident,Yes,10,1,NA,TRUE
2059,12.1,Marine Intertidal - Rocky Shoreline,Suitable,resident,Yes,12,1,NA,TRUE
2059,13.1,Marine Coastal/Supratidal - Sea Cliffs and Rocky Offshore Islands,Suitable,resident,Yes,13,1,NA,TRUE
2059,9.1,Marine Neritic - Pelagic,Suitable,resident,Yes,9,1,NA,TRUE
2059,9.2,Marine Neritic - Subtidal Rock and Rocky Reefs,Suitable,resident,Yes,9,2,NA,TRUE
2060,10.1,Marine Oceanic - Epipelagic (0-200m),Suitable,resident,Yes,10,1,NA,TRUE
