mpa_year,cell_id,mpa_pct,prot_area_km2
0,2566001,0.96875,93.96875
0,2566002,0.4888888888888889,44.48888888888889
0,2566064,0.01,1.01
0,2566066,0.18181818181818182,10.181818181818182
0,2566068,0.2727272727272727,3.2727272727272725
0,2568835,0.95,95.95
0,2568836,0.946236559139785,88.94623655913979
0,2568837,0.6190476190476191,13.619047619047619
0,2568838,0.43243243243243246,16.43243243243243
0,2568839,0.8452380952380952,71.8452380952381
0,2568840,0.97,97.97
0,2568841,0.57,57.57
0,2568903,0.05,5.05
0,2571673,0.03,3.03
0,2571674,1,84
0,2571675,1,7
0,2571676,0.7413793103448276,43.741379310344826
0,2571677,0.89,89.89
0,2571678,0.91,91.91
0,2571679,0.06,6.06
0,2571680,0.11,11.11
0,2574512,0.16,16.16
0,2574513,0.8571428571428571,48.857142857142854
0,2574514,0.7407407407407407,60.74074074074074
0,2574515,0.8,68.8
0,2574516,1,101
0,2574517,0.67,67.67
0,2577351,0.19,19.19
0,2577352,0.8775510204081632,86.87755102040816
0,2577353,1,101
0,2577354,0.97,97.97
0,2577355,0.17,17.17
0,2577356,0.01,1.01
0,2580190,0.01,1.01
0,2580191,0.55,55.55
0,2580192,0.18,18.18
0,2580193,0.2,20.2
0,2585940,0.02,2.02
0,2588565,0.023809523809523808,1.0238095238095237
0,2588778,0.030303030303030304,1.0303030303030303
0,2588779,0.13043478260869565,3.130434782608696
0,2591404,0.3333333333333333,1.3333333333333333
0,2591405,0.05813953488372093,5.058139534883721
0,2591619,0.0684931506849315,5.068493150684931
0,2594244,0.2631578947368421,5.2631578947368425
0,2594245,0.08247422680412371,8.082474226804123
0,2594246,0.010869565217391304,1.0108695652173914
0,2594457,0.12307692307692308,8.123076923076923
0,2594458,0.3333333333333333,2.3333333333333335
0,2597084,0.06666666242811442,2.0666666624281143
0,2597085,0.1111111111111111,1.1111111111111112
0,2597086,0.06666666242811442,2.0666666624281143
0,2597087,0.05194805194805195,4.0519480519480515
0,2597088,0.05194805194805195,4.0519480519480515
0,2597296,0.045454545454545456,3.0454545454545454
0,2600135,0.037037037037037035,3.037037037037037
0,2602974,0.052083333333333336,5.052083333333333
0,2622829,0.011494252873563218,1.0114942528735633
0,2625480,0.16883116883116883,13.168831168831169
0,2625668,0.02197802197802198,2.021978021978022
0,2628319,0.4642857142857143,26.464285714285715
0,2628412,0.024691358024691357,2.0246913580246915
0,2628552,0.6511627906976745,28.651162790697676
0,2628553,0.6043956043956044,55.604395604395606
0,2628554,0.7,70.7
0,2628555,0.7,70.7
0,2628556,0.7,70.7
0,2628557,0.7,70.7
0,2628558,0.7,70.7
0,2628559,0.7,70.7
0,2628560,0.7,70.7
0,2631158,0.5999999618530297,36.59999996185303
0,2631250,0.10526315789473684,2.1052631578947367
0,2631251,0.14705882352941177,5.147058823529412
0,2631252,0.06060606060606061,4.0606060606060606
0,2631330,0.07446808510638298,7.074468085106383
0,2631331,0.11,11.11
0,2631391,0.9999999364217163,30.999999936421716
0,2631392,0.9411764705882353,64.94117647058823
0,2631393,1,101
0,2631394,1,101
0,2631395,1,101
0,2631396,1,101
0,2631397,1,101
0,2631398,1,101
0,2631399,1,101
0,2633997,0.9365079365079365,59.93650793650794
0,2633998,0.16,16.16
0,2634091,0.0684931506849315,5.068493150684931
0,2634170,0.01,1.01
0,2634196,0.23809523809523808,10.238095238095237
0,2634230,0.9473684210526315,18.94736842105263
0,2634231,0.9666666052076591,58.96666660520766
0,2634232,1,101
0,2634233,1,101
0,2634234,1,101
0,2634235,1,101
0,2634236,1,101
0,2634237,1,101
0,2634238,1,101
0,2636836,1,13
0,2636837,0.7951807228915663,66.79518072289157
0,2636838,0.06,6.06
0,2637035,0.04,2.04
0,2637040,0.03529411764705882,3.0352941176470587
0,2637069,0.8,8.8
0,2637070,0.9642857142857143,81.96428571428571
0,2637071,1,101
0,2637072,1,101
0,2637073,1,101
0,2637074,1,101
0,2637075,1,101
0,2637076,1,101
0,2637077,1,101
0,2639675,1,4
0,2639676,1,77
0,2639677,0.8192771084337349,68.81927710843374
0,2639678,0.07,7.07
0,2639831,0.04838709677419355,3.0483870967741935
0,2639876,0.3333333333333333,1.3333333333333333
0,2639878,0.4333333057827437,13.433333305782744
0,2639879,0.32203391912647306,19.322033919126472
0,2639908,0.3333333333333333,1.3333333333333333
0,2639909,1,101
0,2639910,1,94
0,2639911,1,100
0,2639912,1,101
0,2639913,1,101
0,2639914,1,101
0,2639915,1,101
0,2639916,1,101
0,2642515,1,13
0,2642516,1,5
0,2642517,0.34375,33.34375
0,2642608,0.04918032786885246,3.0491803278688523
0,2642715,0.021505376344086023,2.021505376344086
0,2642716,0.046511627906976744,2.046511627906977
0,2642717,0.07228915662650602,6.072289156626506
0,2642718,0.053763440860215055,5.053763440860215
0,2642747,1,12
