dbf_file,iucn_sid,sciname,subpop,kingdom,phylum,class,order,family,code,marine,terrestrial,freshwater
ANGELFISH.dbf,165872,Genicanthus watanabei,NA,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,POMACANTHIDAE,LC,t,f,f
ANGELFISH.dbf,165873,Pomacanthus annularis,NA,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,POMACANTHIDAE,LC,t,f,f
ANGELFISH.dbf,165874,Genicanthus personatus,NA,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,POMACANTHIDAE,LC,t,f,f
ANGELFISH.dbf,165875,Centropyge shepardi,NA,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,POMACANTHIDAE,LC,t,f,f
ANGELFISH.dbf,165876,Centropyge multispinis,NA,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,POMACANTHIDAE,LC,t,f,f
ANGELFISH.dbf,165827,Genicanthus takeuchii,NA,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,POMACANTHIDAE,LC,t,f,f
ANGELFISH.dbf,165828,Centropyge fisheri,NA,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,POMACANTHIDAE,LC,t,f,f
ANGELFISH.dbf,165829,Pomacanthus xanthometopon,NA,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,POMACANTHIDAE,LC,t,f,f
ANGELFISH.dbf,165830,Centropyge hotumatua,NA,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,POMACANTHIDAE,LC,t,f,f
ANGELFISH.dbf,165831,Pomacanthus chrysurus,NA,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,POMACANTHIDAE,LC,t,f,f
ANGELFISH.dbf,165832,Holacanthus bermudensis,NA,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,POMACANTHIDAE,LC,t,f,f
ANGELFISH.dbf,165833,Pomacanthus maculosus,NA,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,POMACANTHIDAE,LC,t,f,f
ANGELFISH.dbf,165847,Chaetodontoplus ballinae,NA,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,POMACANTHIDAE,LC,t,f,f
ANGELFISH.dbf,165848,Centropyge heraldi,NA,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,POMACANTHIDAE,LC,t,f,f
ANGELFISH.dbf,165849,Centropyge ferrugata,NA,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,POMACANTHIDAE,LC,t,f,f
ANGELFISH.dbf,165850,Chaetodontoplus melanosoma,NA,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,POMACANTHIDAE,LC,t,f,f
ANGELFISH.dbf,165851,Pomacanthus semicirculatus,NA,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,POMACANTHIDAE,LC,t,f,f
ANGELFISH.dbf,165852,Paracentropyge multifasciata,NA,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,POMACANTHIDAE,LC,t,f,f
ANGELFISH.dbf,165853,Apolemichthys xanthotis,NA,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,POMACANTHIDAE,LC,t,f,f
ANGELFISH.dbf,165854,Centropyge debelius,NA,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,POMACANTHIDAE,LC,t,f,f
ANGELFISH.dbf,165855,Centropyge eibli,NA,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,POMACANTHIDAE,LC,t,f,f
ANGELFISH.dbf,165856,Genicanthus semifasciatus,NA,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,POMACANTHIDAE,LC,t,f,f
ANGELFISH.dbf,165857,Chaetodontoplus duboulayi,NA,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,POMACANTHIDAE,LC,t,f,f
ANGELFISH.dbf,165858,Centropyge interruptus,NA,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,POMACANTHIDAE,LC,t,f,f
ANGELFISH.dbf,165866,Genicanthus semicinctus,NA,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,POMACANTHIDAE,LC,t,f,f
ANGELFISH.dbf,165867,Pomacanthus navarchus,NA,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,POMACANTHIDAE,LC,t,f,f
ANGELFISH.dbf,165868,Centropyge nox,NA,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,POMACANTHIDAE,LC,t,f,f
