iucn_sid,sciname_api,category
182239,Eleotris daganensis,LC
182285,Periophthalmus barbarus,LC
182330,Brycinus longipinnis,LC
182363,Bostrychus africanus,LC
182389,Pelvicachromis subocellatus,DD
182498,Tylochromis praecox,DD
182521,Tilapia cabrae,LC
182611,Ethmalosa fimbriata,LC
182736,Clarias ngamensis,LC
182745,Chrysichthys walkeri,EN
182779,Arius gigas,NT
182822,Stenogobius kenyae,LC
182933,Gobioides sagitta,LC
182997,Chrysichthys nigrodigitatus,LC
183097,Microphis brachyurus ssp. aculeatus,DD
183152,Microphis fluviatilis,DD
183153,Myrophis plumbeus,LC
183155,Anguilla mossambica,LC
183158,Kuhlia rupestris,LC
183160,Awaous aeneofuscus,LC
183165,Arius africanus,DD
183167,Hippichthys cyanospilos,LC
183169,Eleotris vittata,LC
183171,Liza dumerili,DD
183177,Bathygobius soporator,LC
183206,Diplectrum pacificum,LC
183208,Genyatremus pacifici,LC
183209,Cheilopogon papilio,LC
183210,Symphurus undecimplerus,LC
183211,Eucinostomus dowii,LC
183213,Selene peruviana,LC
183214,Doryrhamphus excisus,LC
183215,Symphurus varius,LC
183216,Atherinella panamensis,LC
183217,Neoopisthopterus tropicus,LC
183218,Microgobius brevispinis,LC
183220,Synodus lucioceps,LC
183222,Myrichthys aspetocheiros,LC
183223,Gobionellus liolepis,DD
183224,Gymnothorax dovii,LC
183225,Kyphosus analogus,LC
183226,Opistognathus punctatus,LC
183227,Symphurus atricaudus,LC
183229,Synchiropus atrilabiatus,LC
183230,Diplectrum labarum,LC
183231,Eugerres lineatus,LC
183232,Monolene maculipinna,LC
183233,Tomicodon zebra,LC
183234,Aplatophis zorro,DD
183235,Opisthonema medirastre,LC
183237,Ariosoma prorigerum,LC
183239,Diplectrum maximum,LC
183242,Ilypnus luculentus,DD
183243,Lythrypnus cobalus,DD
183244,Anchoa panamensis,LC
183245,Anchoa ischana,LC
183246,Gymnothorax panamensis,LC
183247,Poeciliopsis fasciata,NT
183248,Cynoscion nannus,LC
183249,Scorpaena sonorae,LC
183250,Gobiesox adustus,LC
183251,Ogilbia ventralis,LC
183252,Nebris occidentalis,LC
183254,Schedophilus haedrichi,LC
183255,Gobiosoma nudum,DD
183256,Anisotremus scapularis,LC
183257,Dormitator latifrons,LC
183259,Apogon atradorsatus,LC
183261,Hemanthias signifer,LC
183262,Paralabrax callaensis,DD
183263,Synodus lacertinus,LC
183264,Heteroconger canabus,DD
183265,Tomicodon vermiculatus,VU
183266,Atherinella nocturna,LC
183267,Leuresthes sardina,NT
183268,Syacium ovale,LC
183269,Ogilbia robertsoni,LC
183270,Ogilbia nudiceps,LC
183271,Stellifer minor,LC
183272,Cathorops dasycephalus,LC
183274,Tylosurus crocodilus,LC
183277,Lile gracilis,LC
183278,Cynoscion stolzmanni,LC
183279,Tomicodon humeralis,LC
183281,Pontinus furcirhinus,LC
183282,Lutjanus inermis,LC
183283,Pronotogrammus multifasciatus,LC
183284,Daector schmitti,VU
183285,Microgobius emblematicus,LC
183286,Atherinella pachylepis,LC
183287,Hirundichthys marginatus,LC
183288,Gymnothorax angusticeps,LC
183289,Conodon macrops,LC
183291,Ogilbia sedorae,LC
183292,Trinectes fimbriatus,LC
183293,Caranx vinctus,LC
183294,Strongylura exilis,LC
183295,Hoplopagrus guentherii,LC
183296,Seriolella violacea,LC
183297,Paraconger californiensis,LC
183298,Pseudobalistes naufragium,LC
183300,Bellator farrago,LC
183301,Porichthys myriaster,LC
183304,Diplectrum euryplectrum,LC
183306,Gordiichthys combibus,DD
183307,Elacatinus nesiotes,VU
183309,Anchoa argentivittata,LC
183311,Lutjanus novemfasciatus,LC
183312,Chlopsis apterus,LC
183313,Pomadasys macracanthus,LC
183314,Poeciliopsis latidens,NT
183315,Ogcocephalus porrectus,LC
183316,Etropus ciadi,LC
183317,Haemulon steindachneri,LC
183321,Kyphosus lutescens,LC
183322,Uropterygius versutus,LC
183323,Gobulus crescentalis,LC
183324,Caranx caninus,LC
183325,Chriolepis lepidota,VU
183328,Microlepidotus brevipinnis,LC
183329,Apogon atricaudus,LC
183330,Xenistius californiensis,LC
183331,Trinectes fluviatilis,LC
183332,Paralonchurus rathbuni,LC
183333,Uropterygius polystictus,DD
183334,Lutjanus peru,LC
183335,Lythrypnus pulchellus,LC
183336,Lile stolifera,LC
183337,Peprilus simillimus,LC
183338,Gobiesox marijeanae,DD
183339,Peprilus medius,LC
183340,Eleotris picta,LC
183342,Isopisthus remifer,LC
183343,Paralabrax loro,DD
183344,Stellifer walkeri,DD
183345,Aruma histrio,LC
183346,Pleuronichthys ritteri,LC
183348,Xenichthys rupestris,DD
183349,Selene orstedii,LC
183350,Ophioscion simulus,LC
183351,Batrachoides waltersi,LC
183352,Cathorops taylori,DD
183354,Umbrina wintersteeni,DD
183355,Ophidion scrippsae,LC
183356,Paranebris bauchotae,DD
183357,Colpichthys regis,NT
183358,Cynoscion reticulatus,LC
183359,Tomicodon absitus,VU
183361,Diplectrum sciurus,LC
183362,Cyclopsetta querna,LC
183363,Lythrypnus dalli,LC
183364,Oligoplites saurus,LC
183365,Pontinus sierra,LC
183368,Bollmannia pawneea,DD
183369,Chriolepis minutillus,DD
183370,Astroscopus zephyreus,LC
183372,Quassiremus evionthas,VU
183374,Hippoglossina bollmani,LC
183375,Echidna nocturna,LC
183376,Symphurus elongatus,LC
183377,Lepophidium negropinna,LC
183379,Lycengraulis poeyi,LC
183380,Larimus pacificus,LC
183381,Opistognathus rhomaleus,LC
183382,Anchoa helleri,LC
183384,Paraconger similis,LC
183385,Ophichthus longipenis,LC
183386,Larimus effulgens,LC
183387,Odontognathus panamensis,LC
183388,Umbrina dorsalis,LC
183389,Achirus klunzingeri,LC
183390,Ophioscion scierus,LC
183391,Gymnothorax eurygnathos,DD
183392,Phaenomonas pinnata,LC
183394,Ariopsis guatemalensis,LC
183395,Xenocys jessiae,VU
183398,Diplectrum eumelum,LC
183401,Gobiesox milleri,DD
183402,Ophidion imitator,LC
183404,Galeichthys peruvianus,LC
183405,Opistognathus walkeri,DD
183407,Eleotrica cableae,VU
183409,Cheilotrema saturnum,DD
183410,Bellator loxias,LC
183411,Merluccius productus,LC
183412,Haemulon maculicauda,LC
183413,Evorthodus minutus,LC
183414,Opisthopterus macrops,LC
183415,Enypnias aceras,DD
183416,Pliosteostoma lutipinnis,LC
183417,Lythrypnus rhizophora,DD
183418,Arcos rhodospilus,LC
183419,Apogon retrosella,LC
183421,Coryphopterus urospilus,LC
183422,Prionotus teaguei,VU
183423,Serranus psittacinus,LC
183424,Notarius armbrusteri,DD
183426,Zalieutes elater,LC
183428,Etropus peruvianus,LC
183429,Oligoplites refulgens,LC
183430,Neobythites stelliferoides,LC
183432,Symphurus gorgonae,LC
183434,Anisotremus caesius,LC
183435,Aboma etheostoma,DD
183436,Gnathophis cinctus,LC
183437,Lile nigrofasciata,LC
183438,Mugil setosus,LC
183439,Cynoscion parvipinnis,DD
183440,Eugerres brevimanus,LC
183441,Chriolepis tagus,DD
183442,Opistognathus brochus,DD
183443,Myripristis leiognathus,LC
183444,Pareques viola,LC
183445,Odontoscion eurymesops,VU
183446,Tomicodon boehlkei,LC
183447,Gymnothorax verrilli,LC
183448,Gobiesox daedaleus,LC
183449,Prionotus ruscarius,LC
183450,Enchelycore octaviana,LC
183451,Bollmannia marginalis,DD
183453,Poeciliopsis turrubarensis,LC
183454,Gobiosoma chiquita,LC
183455,Atherinella nesiotes,DD
183456,Opistognathus galapagensis,LC
183457,Colpichthys hubbsi,EN
183458,Elacatinus digueti,LC
183459,Microgobius cyclolepis,LC
183461,Syngnathus carinatus,DD
183463,Bollmannia gomezi,DD
183464,Anchoa lucida,LC
183465,Hermosilla azurea,LC
183466,Gobiomorus maculatus,LC
183467,Engyophrys sanctilaurentii,LC
183470,Anchoa exigua,LC
183471,Larimus argenteus,LC
183475,Ctenogobius sagittula,LC
183476,Serranus stilbostigma,LC
183477,Gymnothorax castaneus,LC
183478,Cilus gilberti,DD
183481,Opistognathus smithvanizi,DD
183484,Cathorops steindachneri,DD
183485,Ariosoma gilberti,LC
183487,Haemulon scudderii,LC
183488,Opistognathus panamaensis,LC
183489,Anisotremus interruptus,LC
183490,Gobiosoma paradoxum,LC
183491,Scorpaena mystes,LC
183492,Chriolepis zebra,LC
183493,Tomicodon bidens,VU
183494,Porichthys ephippiatus,LC
183495,Notarius planiceps,LC
183496,Cathorops hypophthalmus,LC
183498,Ichthyapus selachops,LC
183499,Occidentarius platypogon,LC
183501,Stellifer ericymba,LC
183502,Ophichthus frontalis,LC
183504,Arcos erythrops,LC
183506,Porichthys analis,LC
183507,Haemulopsis axillaris,LC
183508,Synodus evermanni,LC
183509,Chiloconger dentatus,LC
183510,Corvula macrops,DD
183511,Letharchus rosenblatti,LC
183512,Syngnathus macrobrachium,DD
183514,Pleuronichthys guttulatus,LC
183515,Pseudupeneus grandisquamis,LC
183516,Anchoa scofieldi,LC
183517,Elacatinus puncticulatus,LC
183518,Gobiesox stenocephalus,DD
183520,Stromateus stellatus,LC
183522,Antennatus strigatus,LC
183523,Ophioscion typicus,LC
183524,Cathorops multiradiatus,LC
183526,Anarchias galapagensis,LC
183527,Merluccius gayi,DD
183528,Paralichthys adspersus,LC
183531,Lutjanus colorado,LC
183532,Balistes polylepis,LC
183533,Batrachoides boulengeri,VU
183534,Orthopristis forbesi,DD
183536,Macrodon mordax,DD
183537,Etropus ectenes,LC
183538,Micropogonias megalops,LC
183540,Enypnias seminudus,LC
183542,Eugerres periche,DD
183543,Eucinostomus gracilis,LC
183545,Bathygobius andrei,LC
183546,Callechelys cliffi,DD
183547,Syacium latifrons,LC
183549,Peprilus snyderi,LC
183550,Bascanichthys bascanoides,LC
183553,Lonchopisthus sinuscalifornicus,LC
183554,Heteroconger digueti,LC
183556,Melanorhinus cyanellus,LC
183557,Rhynchoconger nitens,LC
183558,Pherallodiscus funebris,LC
183559,Ctenosciaena peruviana,DD
183560,Parrella fusca,DD
183561,Bairdiella icistia,LC
183562,Stellifer melanocheir,LC
183563,Arcos poecilophthalmus,VU
183565,Sciaena deliciosa,LC
183566,Bregmaceros bathymaster,LC
183568,Atherinella starksi,LC
183569,Stellifer mancorensis,LC
183570,Ilypnus gilberti,LC
183571,Ophidion galeoides,LC
183573,Elacatinus janssi,LC
183574,Achirus scutum,LC
183575,Cheilopogon dorsomacula,LC
183576,Paralabrax maculatofasciatus,LC
183577,Micropogonias ectenes,LC
183578,Menticirrhus panamensis,LC
183579,Caranx caballus,LC
183580,Elattarchus archidium,LC
183581,Paralonchurus peruanus,LC
183584,Lepophidium prorates,LC
183585,Tomicodon chilensis,LC
183588,Stellifer wintersteenorum,DD
183589,Elacatinus limbaughi,DD
183590,Diplectrum macropoma,LC
183591,Cathorops fuerthii,DD
183592,Stellifer zestocarus,LC
183593,Porichthys margaritatus,LC
183594,Gobionellus daguae,DD
183595,Hyporhamphus gilli,LC
183596,Lutjanus viridis,LC
183597,Gymnothorax phalarus,LC
183598,Chilara taylori,LC
183599,Tomicodon petersii,LC
183600,Tomicodon eos,LC
183601,Symphurus chabanaudi,LC
183602,Menticirrhus undulatus,DD
183603,Gobiesox pinniger,LC
183604,Anchoa mundeoloides,LC
183606,Symphurus prolatinaris,LC
183608,Serranus tico,LC
183609,Notarius insculptus,DD
183610,Microlepidotus inornatus,LC
183613,Ogilbia nigromarginata,LC
183614,Scorpaena afuerae,LC
183616,Serranus huascarii,LC
183617,Haemulon sexfasciatum,LC
183618,Medialuna californiensis,LC
183619,Anchoa curta,LC
183620,Anisotremus taeniatus,LC
183621,Rypticus courtenayi,VU
183622,Synodus sechurae,LC
183627,Evermannia zosterura,LC
183631,Paralichthys woolmani,DD
183632,Citharichthys gilberti,LC
183633,Gobionellus microdon,LC
183634,Otophidium indefatigabile,LC
183635,Anchoa eigenmannia,LC
183636,Selene brevoortii,LC
183637,Tylosurus pacificus,LC
183639,Paralonchurus goodei,LC
183640,Apogon dovii,LC
183641,Pherallodiscus varius,DD
183642,Prionotus stephanophrys,LC
183643,Muraena clepsydra,LC
183645,Cyclopsetta panamensis,LC
183647,Ogilbia cocoensis,VU
183648,Menticirrhus elongatus,LC
183649,Bathygobius ramosus,LC
183650,Ptereleotris carinata,LC
183651,Haemulon flaviguttatum,LC
183656,Ancylopsetta dendritica,LC
183657,Anchoa nasus,LC
183658,Trinectes fonsecensis,LC
183659,Cratinus agassizii,NT
183660,Antennatus sanguineus,LC
183661,Notarius kessleri,LC
183662,Opisthonema libertate,LC
183663,Trinectes opercularis,DD
183664,Muraena argus,LC
183665,Pleuronichthys ocellatus,LC
183666,Ophichthus remiger,LC
183667,Polydactylus approximans,LC
183668,Gymneleotris seminudus,LC
183669,Menticirrhus nasus,LC
183670,Opisthopterus effulgens,VU
183671,Prionotus horrens,LC
183672,Bollmannia ocellata,DD
183673,Elacatinus inornatus,LC
183674,Sciaena wieneri,DD
183675,Eucinostomus currani,LC
183677,Rypticus bicolor,LC
183678,Ophichthus zophochir,LC
183680,Genyatremus dovii,LC
183681,Pycnomma semisquamatum,DD
183682,Cynoscion othonopterus,VU
183683,Symphurus oligomerus,LC
183684,Trachinotus paitensis,LC
183685,Seriola peruana,LC
183686,Cynoscion nortoni,DD
183687,Syacium longidorsale,LC
183688,Hemicaranx zelotes,LC
183689,Monolene dubiosa,LC
183690,Xenichthys agassizii,VU
183691,Xenichthys xanti,LC
183692,Ophichthus triserialis,LC
183693,Sufflamen verres,LC
183695,Notarius biffi,LC
183696,Pleuronichthys verticalis,LC
183697,Sargocentron suborbitalis,LC
183698,Notarius lentiginosus,DD
183700,Scorpaena russula,LC
183702,Orthopristis lethopristis,DD
183704,Synodus scituliceps,LC
183706,Callechelys eristigma,LC
183707,Echiodon exsilium,LC
183708,Evermannia panamensis,DD
183709,Ethmidium maculatum,DD
183710,Pomadasys empherus,DD
183711,Paraletharchus pacificus,LC
183712,Paralabrax auroguttatus,DD
183713,Xenomugil thoburni,LC
183714,Orthopristis chalceus,LC
183715,Scorpaena guttata,DD
183716,Chaenomugil proboscideus,LC
183718,Physiculus nematopus,LC
183719,Trachinotus kennedyi,LC
183720,Opisthonema berlangai,VU
183721,Stellifer ephelis,LC
183722,Gillichthys seta,VU
183723,Quietula guaymasiae,NT
183724,Porichthys notatus,LC
183726,Micropogonias altipinnis,LC
183729,Trachurus symmetricus,LC
183733,Atherinella nepenthe,LC
183734,Aphos porosus,LC
183735,Cathorops tuyra,DD
183736,Anisotremus davidsonii,LC
183737,Fowlerichthys avalonis,LC
183738,Poeciliopsis prolifica,NT
183740,Stellifer chrysoleuca,LC
183742,Anchoa analis,DD
183743,Syngnathus auliscus,LC
183744,Umbrina roncador,LC
183745,Ogilbia deroyi,LC
183746,Paralabrax humeralis,DD
183748,Gobiosoma homochroma,EN
183749,Myripristis gildi,VU
183750,Seriphus politus,LC
183751,Bellator gymnostethus,LC
183752,Fodiator rostratus,LC
183755,Strongylura scapularis,LC
183756,Apogon guadalupensis,LC
183757,Ilisha fuerthii,LC
183758,Brotula ordwayi,LC
183759,Neoconger vermiformis,LC
183760,Porichthys greenei,LC
183761,Hippoglossina macrops,LC
183762,Bollmannia longpinnus,DD
183763,Lutjanus aratus,LC
183765,Bagre panamensis,LC
183767,Hemiramphus saltator,LC
183768,Pontinus strigatus,LC
183769,Paralabrax albomaculatus,EN
183770,Cerdale ionthas,DD
183772,Membras gilberti,LC
183773,Ogilbia boydwalkeri,LC
183775,Engraulis ringens,LC
183776,Hirundichthys rondeletii,LC
183777,Lutjanus guttatus,LC
183778,Cynoscion albus,DD
183779,Porichthys mimeticus,LC
183780,Lutjanus jordani,LC
183782,Lythrypnus gilberti,VU
183783,Quassiremus nothochir,LC
183784,Pareques perissa,DD
183785,Chriolepis dialepta,VU
183786,Hemanthias peruanus,LC
183787,Etropus delsmani,DD
183790,Lepophidium stigmatistium,LC
183791,Pontinus vaughani,LC
183792,Akko brevis,DD
183795,Pomadasys branickii,LC
183796,Symphurus callopterus,LC
183797,Citharichthys gordae,DD
183798,Hemilutjanus macrophthalmos,DD
183799,Merluccius angustimanus,LC
183800,Akko rossi,DD
183801,Paralichthys californicus,LC
183802,Arcos decoris,LC
183803,Symphurus fasciolaris,LC
183805,Girella freminvillei,LC
183806,Symphurus melasmatotheca,LC
183807,Pseudomyrophis micropinna,LC
183808,Carangoides otrynter,LC
183809,Diplectrum rostrum,LC
183810,Symphurus atramentatus,LC
183811,Anchoa mundeola,LC
183812,Odontoscion xanthops,LC
183814,Hemicaranx leucurus,LC
183815,Ogilbia davidsmithi,LC
183816,Bollmannia umbrosa,DD
183818,Ariopsis seemanni,LC
183819,Tomicodon myersi,LC
183820,Prionotus miles,VU
183821,Ogcocephalus darwini,LC
183823,Syacium maculiferum,DD
183824,Opistognathus fossoris,LC
183826,Paraletharchus opercularis,VU
183827,Atherinopsis californiensis,LC
183828,Ophichthus mecopterus,LC
183829,Paralonchurus petersii,LC
183830,Roncador stearnsii,LC
183831,Parrella lucretiae,LC
183832,Gobulus birdsongi,CR
183833,Haemulopsis leuciscus,LC
183835,Eucinostomus entomelas,LC
183836,Scytalichthys miurus,LC
183837,Atherinella guatemalensis,LC
183842,Chlopsis bicollaris,NT
183843,Umbrina bussingi,LC
183844,Batrachoides pacifici,LC
183846,Gobiesox papillifer,LC
183847,Sciades dowii,LC
183848,Atractoscion nobilis,LC
183849,Kyphosus elegans,LC
183850,Gymnothorax equatorialis,LC
183852,Serranus socorroensis,VU
183856,Engraulis mordax,LC
183857,Daector reticulata,VU
183858,Paralabrax clathratus,LC
183859,Gymnothorax porphyreus,LC
183860,Pseudorhombus binii,DD
183861,Paralabrax nebulifer,LC
183862,Bothus leopardinus,LC
183863,Pareques fuscovittatus,LC
183864,Bairdiella ensifera,LC
183866,Apterichtus equatorialis,LC
183868,Prognichthys sealei,LC
183869,Menticirrhus ophicephalus,LC
183871,Ctenogobius manglicola,LC
183872,Chloroscombrus orqueta,LC
183874,Diapterus peruvianus,LC
183876,Opisthopterus equatorialis,LC
183877,Bascanichthys panamensis,LC
183878,Cetengraulis mysticetus,LC
183879,Opistognathus fenmutis,DD
183880,Gobiesox woodsi,VU
183881,Symphurus williamsi,LC
183882,Herpetoichthys fossatus,LC
183883,Ethadophis byrnei,DD
183884,Callechelys galapagensis,DD
183885,Anchoa chamensis,VU
183887,Ophichthus apachus,DD
183888,Echiophis brunneus,LC
183889,Lepophidium microlepis,LC
183890,Leptenchelys vermiformis,DD
183891,Prognichthys tringa,LC
183892,Symphurus leei,LC
183893,Umbrina analis,LC
183894,Gobiesox schultzi,LC
183895,Acanthistius pictus,LC
183897,Prionotus albirostris,LC
183898,Diplectrum conceptione,LC
183899,Umbrina reedi,LC
183900,Bollmannia macropoma,DD
183901,Cynoscion squamipinnis,LC
183902,Lythrypnus alphigena,DD
183903,Perissias taeniopterus,LC
183904,Hyporhamphus snyderi,LC
183905,Myrichthys pantostigmius,LC
183906,Symphurus melanurus,LC
183908,Ophichthus rugifer,LC
183910,Opisthonema bulleri,LC
183911,Stellifer oscitans,LC
183912,Pomadasys schyrii,DD
183913,Sciaena fasciata,LC
183914,Evermannia erici,DD
183915,Lophogobius cristulatus,LC
183916,Gobulus hancocki,LC
183917,Anchovia macrolepidota,LC
183918,Bascanichthys cylindricus,LC
183919,Prionotus birostratus,LC
183920,Trinectes xanthurus,LC
183921,Muraena lentiginosa,LC
183922,Opisthopterus dovii,LC
183926,Quietula y-cauda,LC
183927,Guavina micropus,DD
183928,Xystreurys liolepis,LC
183929,Mugil hospes,LC
183930,Grammonus diagrammus,LC
183931,Harengula thrissina,LC
183932,Achirus mazatlanus,LC
183933,Hippoglossina tetrophthalma,LC
183934,Anchoviella balboae,DD
183935,Paralonchurus dumerilii,LC
183936,Ogilbia jewettae,LC
183937,Orthopristis cantharinus,DD
183938,Rypticus nigripinnis,LC
183939,Notarius cookei,VU
183940,Scorpaena histrio,LC
183942,Aseraggodes herrei,DD
183944,Gorgasia punctata,LC
183945,Micropogonias manni,DD
183946,Ophioscion strabo,LC
183947,Bollmannia chlamydes,LC
183948,Lutjanus argentiventris,LC
183950,Lythrypnus insularis,VU
183951,Hyporhamphus naos,LC
183953,Petrotyx hopkinsi,LC
183954,Cynoscion analis,LC
183956,Haemulopsis nitidus,LC
183957,Atherinops affinis,LC
183958,Chriolepis cuneata,DD
183960,Parrella ginsburgi,DD
183962,Pisodonophis daspilotus,NT
183964,Monolene asaedai,DD
183965,Trachurus murphyi,DD
183966,Gymnothorax serratidens,DD
183967,Lophiodes spilurus,LC
183969,Argentina sialis,LC
183970,Brotula clarkae,DD
183971,Bellator xenisma,LC
183972,Oligoplites altus,LC
183973,Diapterus aureolus,LC
183974,Stellifer pizarroensis,LC
183975,Microgobius curtus,LC
183976,Liopropoma fasciatum,LC
183977,Polydactylus opercularis,LC
183978,Serranus aequidens,LC
183979,Barbulifer mexicanus,DD
183981,Gobioides peruanus,LC
183982,Argentina aliceae,LC
183983,Microgobius crocatus,LC
183984,Bairdiella armata,LC
183986,Bagre pinnimaculatus,LC
183988,Citharichthys platophrys,LC
183989,Menticirrhus paitensis,LC
183990,Exocoetus peruvianus,DD
183991,Caulolatilus princeps,LC
183992,Gerres cinereus,LC
183993,Hyporhamphus rosae,DD
183994,Scorpaenodes xyris,LC
183995,Ophioscion vermicularis,LC
183996,Cynoscion phoxocephalus,LC
183997,Ophioscion imiceps,LC
183998,Ophidion iris,LC
183999,Tomicodon prodomus,DD
184000,Anchoa starksi,LC
184002,Lythrypnus solanensis,DD
184003,Trachinotus stilbe,LC
184005,Lepophidium pardale,LC
184006,Kathetostoma averruncus,LC
184007,Atherinella eriarcha,LC
184008,Cheilopogon xenopterus,LC
184010,Cypselurus callopterus,LC
184011,Barbulifer pantherinus,DD
184013,Parrella maxillaris,LC
184015,Pontinus clemensi,LC
184016,Girella nigricans,LC
184019,Stellifer illecebrosus,LC
184021,Haemulopsis elongatus,LC
184023,Conodon serrifer,LC
184024,Physiculus talarae,LC
184025,Umbrina galapagorum,VU
184026,Heteroconger pellegrini,LC
184027,Ophichthus melope,LC
184028,Gobiesox aethus,VU
184029,Lythrypnus zebra,LC
184030,Tomicodon abuelorum,EN
184032,Larimus acclivis,LC
184033,Pareques lanfeari,LC
184036,Microgobius miraflorensis,LC
184037,Zalembius rosaceus,LC
184038,Umbrina xanti,LC
184040,Atherinella crystallina,NT
184041,Myrichthys tigrinus,LC
184042,Citharichthys fragilis,LC
184043,Pseudogramma thaumasium,LC
184044,Gillichthys mirabilis,LC
184045,Atherinella argentea,LC
184046,Myrophis vafer,LC
184049,Platybelone argalus ssp. pterura,LC
184050,Oligoplites saurus ssp. inornatus,LC
184051,Tylosurus crocodilus ssp. fodiator,LC
184052,Etropus delsmani ssp. pacificus,DD
184053,Cheilopogon pinnatibarbatus ssp. californicus,LC
184055,Doryrhamphus excisus ssp. excisus,LC
184056,Sardinops sagax ssp. sagax,LC
184088,Morone americana,LC
184099,Spirinchus thaleichthys,LC
184493,Melampus massauensis,DD
184520,Laemodonta oblonga,DD
184523,Melampus caffer,LC
184552,Hydrobia recta,LC
184554,Iphigenia delessertii,LC
184576,Laemodonta amplicata,DD
184590,Egeria nux,LC
184626,Iphigenia curta,LC
184635,Egeria schwabi,DD
184679,Cerithidea decollata,LC
184686,Mytilopsis africanus,LC
184700,Egeria heukelomii,LC
184711,Iphigenia laevigata,LC
184723,Egeria congica,LC
184732,Egeria tenuicula,DD
184740,Hydrobia musaensis,LC
184812,Telescopium telescopium,LC
184814,Morrisonietta gracilis,DD
184829,Stenothyra glabrata,LC
184847,Iravadia reticulata,LC
184861,Morrisonietta krungtepensis,DD
184867,Stenothyra prasongi,DD
184876,Rehderiella parva,LC
184889,Stenothyra maculata,DD
184904,Auriculastra elongata,LC
184918,Auriculastra subula,LC
184929,Clenchiella microscopica,LC
184939,Iravadia rohdei,LC
184940,Iravadia cochinchinensis,LC
185182,Dactylopterus volitans,LC
185774,Pedipes affinis,LC
185780,Pirenella conica,LC
185865,Phaeoptyx pigmentaria,LC
185866,Phaeoptyx conklini,LC
185868,Astrapogon alutus,LC
185869,Astrapogon stellatus,DD
185870,Astrapogon puncticulatus,LC
185872,Leptophilypnus fluviatilis,LC
185874,Eucinostomus lefroyi,LC
185876,Acyrtus rubiginosus,LC
185877,Acyrtus artius,LC
185880,Derilissus kremnobates,DD
185881,Derilissus altifrons,LC
185885,Nes longus,LC
185887,Ginsburgellus novemlineatus,LC
185893,Psilotris celsus,LC
185894,Psilotris amblyrhynchus,DD
185902,Tigrigobius zebrellus,LC
185909,Varicus marilynae,DD
185917,Evermannichthys convictor,DD
185919,Gramma linki,LC
185920,Gramma melacara,LC
185921,Gramma loreto,LC
185922,Acyrtops beryllinus,LC
185923,Apogon binotatus,LC
185924,Paroncheilus affinis,LC
185925,Apogon aurolineatus,LC
185926,Apogon lachneri,LC
185927,Apogon leptocaulus,LC
185928,Apogon robbyi,LC
185929,Apogon robinsi,LC
185930,Apogon gouldi,LC
185931,Apogon pseudomaculatus,LC
185933,Zapogon evermanni,LC
185934,Apogon phenax,LC
185935,Apogon quadrisquamatus,LC
185936,Apogon townsendi,LC
185937,Apogon maculatus,LC
185938,Apogon pillionatus,LC
185939,Arcos nudus,LC
185941,Barbulifer antennatus,LC
185942,Barbulifer ceuthoecus,LC
185943,Bathygobius curacao,LC
185945,Bollmannia eigenmanni,LC
185946,Bollmannia litura,LC
185947,Bollmannia communis,LC
185948,Chriolepis benthonis,DD
185950,Chriolepis vespa,LC
185951,Chriolepis fisheri,LC
185953,Coryphopterus kuna,DD
185955,Coryphopterus tortugae,VU
185956,Coryphopterus venezuelae,VU
185959,Coryphopterus punctipectophorus,LC
185962,Coryphopterus dicrus,LC
185963,Ctenogobius boleosoma,LC
185964,Ctenogobius smaragdus,LC
185965,Ctenogobius saepepallens,LC
185966,Ctenogobius pseudofasciatus,LC
185967,Ctenogobius stigmaturus,LC
185968,Ctenogobius claytonii,VU
185969,Ctenogobius phenacus,LC
185970,Ctenogobius fasciatus,LC
185971,Diapterus auratus,LC
185972,Dormitator maculatus,LC
185981,Tigrigobius multifasciatus,LC
185982,Tigrigobius macrodon,LC
185989,Eleotris amblyopsis,LC
185990,Eleotris perniger,LC
185991,Eleotris pisonis,LC
185992,Erotelis smaragdus,LC
185993,Eucinostomus melanopterus,LC
185994,Eucinostomus argenteus,LC
185995,Eucinostomus gula,LC
185996,Eucinostomus jonesii,LC
185997,Eugerres plumieri,LC
185998,Eugerres brasilianus,LC
185999,Evorthodus lyricus,LC
186000,Gobiesox lucayanus,LC
186001,Gobiesox nigripinnis,LC
186003,Gobiesox punctulatus,LC
186004,Gobiesox barbatulus,LC
186005,Gobiesox strumosus,LC
186006,Gobioides grahamae,DD
186007,Gobioides broussonnetii,LC
186008,Gobiomorus dormitor,LC
186010,Gobiosoma ginsburgi,LC
186011,Gobiosoma longipala,LC
186012,Gobiosoma bosc,LC
186014,Gobiosoma hildebrandi,VU
186015,Gobiosoma spes,LC
186016,Gobiosoma spilotum,EN
186019,Guavina guavina,LC
186020,Lipogramma rosea,LC
186021,Lipogramma klayi,LC
186022,Lipogramma regia,LC
186023,Lipogramma flavescens,DD
186024,Lipogramma evides,LC
186025,Lipogramma anabantoides,LC
186026,Lipogramma trilineata,LC
186028,Lythrypnus phorellus,LC
186030,Lythrypnus spilus,LC
186033,Lythrypnus nesiotes,LC
186035,Microgobius carri,LC
186036,Microgobius signatus,LC
186037,Microgobius thalassinus,LC
186038,Microgobius microlepis,LC
186039,Microgobius meeki,LC
186040,Microgobius gulosus,LC
186041,Oxyurichthys stigmalophius,LC
186042,Palatogobius paradoxus,LC
186043,Parrella macropteryx,LC
