iucn_sid,sciname_api,category
18458,Pseudemys alabamensis,EN
18460,Pseudemys rubriventris,NT
18711,Pteronura brasiliensis,EN
18878,Pungitius pungitius,LC
19330,Rattus exulans,LC
19387,Redigobius dewaali,LC
19388,Redigobius bikolanus,LC
19401,Reithrodontomys raviventris,EN
19735,Kryptolebias marmoratus,LC
19782,Rutilus frisii,LC
19855,Salmo salar,LC
19861,Salmo trutta,LC
19877,Salvelinus alpinus,LC
19897,Sanopus greenfieldorum,VU
20314,Solegnathus dunckeri,DD
20315,Solegnathus hardwickii,DD
20316,Solegnathus lettiensis,DD
20318,Solegnathus spinosissimus,DD
20425,Sousa teuszii,CR
20745,Stenodus leucichthys,EW
20795,Stereolepis gigas,CR
20860,Sander lucioperca,LC
20862,Sander volgensis,LC
21257,Syngnathus abaster,LC
21326,Taenioides jacksoni,NT
21628,Teramulus kieneri,LC
22003,Totoaba macdonaldi,CR
22105,Trichechus manatus ssp. manatus,EN
22383,Truncatella guerinii,LC
22781,Urocyon littoralis,NT
22823,Ursus maritimus,VU
22979,Vimba vimba,LC
23141,Xeromys myoides,VU
23259,Zosterisessor ophiocephalus,LC
32042,Juniperus taxifolia,NT
37930,Sesbania coccinea ssp. atollensis,DD
38559,Dypsis psammophila,EN
39070,Sesuvium edmondstonii,LC
39084,Amaranthus anderssonii,LC
39086,Amaranthus sclerantoides,LC
39087,Blutaparon rigidum,EX
39098,Vallesia glabra var. pubescens,LC
39105,Tiquilia darwinii,LC
39106,Tiquilia fusca,LC
39107,Tiquilia galapagoa,LC
39109,Tournefortia pubescens,LC
39331,Squatina occulta,EN
39340,Cetorhinus maximus,EN
39343,Lamna nasus,CR
39344,Lamna nasus,EN
39373,Carcharhinus limbatus,VU
39376,Carcharhinus obscurus,VU
39427,Cephalorhynchus hectori ssp. maui,CR
39464,Dalatias licha,NT
39465,Squatina guggenheim,EN
39541,Notorynchus cepedianus,NT
39543,Carcharhinus amboinensis,NT
39544,Carcharhinus brevipinna,VU
39545,Cetorhinus maximus,EN
39908,Liolaemus occipitalis,VU
40708,Pomatoschistus canestrinii,LC
40710,Percarina demidoffii,NT
40715,Syngnathoides biaculeatus,LC
40773,Hippocampus subelongatus,DD
40784,Neovison macrodon,EX
40802,Hippocampus barbouri,VU
41005,Hippocampus mohnikei,VU
41006,Hippocampus guttulatus,DD
41007,Hippocampus algiricus,VU
41008,Hippocampus comes,VU
41010,Hippocampus kelloggi,VU
41030,Syngnathus watermeyeri,CR
41065,Rhinella marina,LC
41303,Sylvilagus palustris,LC
41366,Crocidura whitakeri,LC
41590,Atilax paludinosus,LC
41667,Zalophus japonicus,EX
41673,Pusa hispida ssp. botnica,LC
41677,Pusa hispida ssp. ochotensis,LC
41713,Balaenoptera musculus ssp. intermedia,CR
41742,Carcharhinus brachyurus,VU
41745,Centrophorus uyato,DD
41756,Platanista gangetica ssp. gangetica,EN
41761,Pontoporia blainvillei,VU
41772,Sus barbatus,VU
41880,Haliotis cracherodii,CR
42178,Zamia roezlii,NT
42248,Juniperus rigida,LC
42393,Odocoileus hemionus,LC
42394,Odocoileus virginianus,LC
42653,Peromyscus gossypinus,LC
42654,Peromyscus polionotus,LC
42675,Oryzomys palustris,LC
42833,Hemiscyllium ocellatum,NT
42834,Negaprion acutidens,EN
43972,Polyprion americanus,DD
43973,Polyprion americanus,CR
43993,Vanvoorstia bennettiana,EX
44070,Carcharias taurus,CR
